datetime,open,high,low,close,volume
2020-01-01 09:15:00,459.04,461.0,457.6,460.68,34946
2020-01-01 09:30:00,460.72,460.8,459.52,460.12,9938
2020-01-01 09:45:00,460.12,461.12,459.68,460.56,9926
2020-01-01 10:00:00,460.56,461.04,459.48,459.76,12128
2020-01-01 10:15:00,459.76,460.4,458.8,460.08,23390
2020-01-01 10:30:00,459.8,461.12,459.76,460.68,15208
2020-01-01 10:45:00,460.68,460.72,458.0,458.4,42399
2020-01-01 11:00:00,458.4,458.48,457.88,458.4,18331
2020-01-01 11:15:00,458.4,458.44,457.84,458.16,8718
2020-01-01 11:30:00,458.16,458.4,457.92,458.36,8372
2020-01-01 11:45:00,458.36,458.4,456.8,457.68,18152
2020-01-01 12:00:00,457.68,458.12,457.2,458.0,17706
2020-01-01 12:15:00,458.0,458.4,457.6,457.6,8124
2020-01-01 12:30:00,457.6,458.16,457.08,457.6,19652
2020-01-01 12:45:00,457.6,458.08,457.32,457.6,28678
2020-01-01 13:00:00,457.6,458.36,457.4,457.68,14996
2020-01-01 13:15:00,457.68,458.28,457.28,457.68,18755
2020-01-01 13:30:00,457.68,459.76,457.32,458.32,43813
2020-01-01 13:45:00,458.32,458.4,457.92,458.28,13972
2020-01-01 14:00:00,458.28,458.4,458.0,458.4,10393
2020-01-01 14:15:00,458.4,458.4,457.12,457.6,35229
2020-01-01 14:30:00,457.6,457.6,457.24,457.6,23155
2020-01-01 14:45:00,457.6,457.84,457.04,457.8,23388
2020-01-01 15:00:00,457.8,459.16,456.88,457.6,57846
2020-01-01 15:15:00,457.6,460.88,456.92,458.4,248012
2020-01-02 09:15:00,460.76,460.76,458.96,459.36,50412
2020-01-02 09:30:00,459.36,460.0,458.32,459.68,32917
2020-01-02 09:45:00,459.68,460.24,454.76,456.64,116681
2020-01-02 10:00:00,456.32,458.16,456.12,457.64,42251
2020-01-02 10:15:00,457.64,460.0,456.4,459.68,70524
2020-01-02 10:30:00,459.68,459.96,458.88,458.88,10837
2020-01-02 10:45:00,458.88,459.52,458.84,459.16,5676
2020-01-02 11:00:00,459.16,459.16,456.92,457.6,30796
2020-01-02 11:15:00,457.6,458.2,456.84,457.12,30318
2020-01-02 11:30:00,457.12,457.6,456.92,457.6,11293
2020-01-02 11:45:00,457.6,457.64,456.8,456.84,40334
2020-01-02 12:00:00,456.84,457.32,456.84,457.2,8680
2020-01-02 12:15:00,457.2,457.24,457.04,457.24,21904
2020-01-02 12:30:00,457.24,457.24,456.92,456.96,11916
2020-01-02 12:45:00,457.2,457.2,456.48,456.48,49924
2020-01-02 13:00:00,456.52,457.2,456.48,456.8,32466
2020-01-02 13:15:00,456.8,457.16,456.64,457.0,32373
2020-01-02 13:30:00,456.84,457.6,456.4,456.8,62325
2020-01-02 13:45:00,456.8,457.64,455.8,457.28,147274
2020-01-02 14:00:00,457.28,458.76,457.04,458.36,18934
2020-01-02 14:15:00,458.36,458.56,457.4,457.6,13835
2020-01-02 14:30:00,457.8,458.0,457.36,457.48,29780
2020-01-02 14:45:00,457.6,457.76,456.88,457.08,37167
2020-01-02 15:00:00,457.08,457.8,457.04,457.64,62566
2020-01-02 15:15:00,457.64,458.4,456.16,457.48,72366
2020-01-03 09:15:00,459.24,460.32,457.08,459.84,102093
2020-01-03 09:30:00,459.84,460.32,459.2,459.56,63997
2020-01-03 09:45:00,459.52,460.52,457.0,457.48,271702
2020-01-03 10:00:00,457.44,458.4,456.96,457.96,59142
2020-01-03 10:15:00,457.96,458.08,457.2,457.72,17217
2020-01-03 10:30:00,457.72,458.32,457.6,457.84,12263
2020-01-03 10:45:00,457.84,459.0,457.84,458.28,15038
2020-01-03 11:00:00,458.28,458.48,456.4,456.48,53822
2020-01-03 11:15:00,456.48,456.8,456.32,456.68,18888
2020-01-03 11:30:00,456.68,456.68,455.2,455.28,72515
2020-01-03 11:45:00,455.28,456.0,455.0,456.0,30502
2020-01-03 12:00:00,456.0,456.8,455.12,456.4,76779
2020-01-03 12:15:00,456.4,456.8,456.0,456.0,59570
2020-01-03 12:30:00,456.0,456.32,455.6,456.32,66061
2020-01-03 12:45:00,456.36,456.36,455.36,455.84,10697
2020-01-03 13:00:00,455.84,455.84,455.28,455.64,7424
2020-01-03 13:15:00,455.76,456.0,455.2,455.4,11004
2020-01-03 13:30:00,455.4,455.8,454.0,454.16,34050
2020-01-03 13:45:00,454.16,454.32,453.6,454.16,23911
2020-01-03 14:00:00,454.16,454.56,453.88,454.08,5534
2020-01-03 14:15:00,454.08,454.24,453.6,454.0,20717
2020-01-03 14:30:00,454.0,454.4,453.32,454.08,41219
2020-01-03 14:45:00,454.08,455.2,453.48,454.8,65927
2020-01-03 15:00:00,455.0,456.4,454.8,455.88,154931
2020-01-03 15:15:00,455.88,456.0,455.04,455.52,62233
2020-01-06 09:15:00,452.84,454.4,448.96,450.12,53217
2020-01-06 09:30:00,450.12,450.64,449.16,449.6,17856
2020-01-06 09:45:00,449.6,450.16,447.84,450.08,33205
2020-01-06 10:00:00,450.16,451.04,449.84,449.92,17047
2020-01-06 10:15:00,449.92,451.2,449.88,450.84,14089
2020-01-06 10:30:00,450.84,452.6,450.28,452.4,29177
2020-01-06 10:45:00,452.4,454.16,451.8,454.08,105727
2020-01-06 11:00:00,454.08,454.2,449.6,450.08,316840
2020-01-06 11:15:00,449.8,452.68,448.84,452.56,177893
2020-01-06 11:30:00,452.56,453.04,451.24,451.88,37980
2020-01-06 11:45:00,451.88,451.96,450.68,451.64,17185
2020-01-06 12:00:00,451.64,452.16,451.56,451.96,12196
2020-01-06 12:15:00,451.96,452.52,451.4,452.12,16776
2020-01-06 12:30:00,452.0,452.0,451.4,451.96,11994
2020-01-06 12:45:00,451.96,452.0,450.84,451.2,17436
2020-01-06 13:00:00,451.2,452.0,450.72,452.0,13151
2020-01-06 13:15:00,452.0,452.0,451.28,452.0,18821
2020-01-06 13:30:00,452.0,452.0,451.6,451.96,11596
2020-01-06 13:45:00,451.96,452.0,451.32,451.48,10966
2020-01-06 14:00:00,451.52,451.52,449.48,450.44,43794
2020-01-06 14:15:00,450.88,451.04,449.6,450.6,31727
2020-01-06 14:30:00,450.64,450.72,447.4,448.6,41292
2020-01-06 14:45:00,448.6,450.72,448.44,450.0,24802
2020-01-06 15:00:00,450.44,450.52,449.72,449.88,37325
2020-01-06 15:15:00,449.88,450.36,447.2,448.16,68535
2020-01-07 09:15:00,452.04,454.16,451.6,452.52,36825
2020-01-07 09:30:00,452.52,453.96,451.4,451.84,19301
2020-01-07 09:45:00,451.84,452.28,449.12,449.36,23592
2020-01-07 10:00:00,449.36,451.12,447.64,450.8,51178
2020-01-07 10:15:00,450.64,450.64,446.8,448.28,86877
2020-01-07 10:30:00,448.28,449.88,448.0,449.6,22713
2020-01-07 10:45:00,449.44,449.64,447.68,448.0,10467
2020-01-07 11:00:00,448.0,448.72,447.2,447.88,13108
2020-01-07 11:15:00,447.88,448.04,447.36,447.96,21487
2020-01-07 11:30:00,447.96,448.0,446.4,446.44,21415
2020-01-07 11:45:00,446.44,446.76,445.0,445.72,44435
2020-01-07 12:00:00,445.72,446.04,445.28,445.56,27677
2020-01-07 12:15:00,445.56,446.16,444.52,445.52,37297
2020-01-07 12:30:00,445.56,447.64,445.24,447.2,25160
2020-01-07 12:45:00,447.32,448.0,447.12,447.36,9501
2020-01-07 13:00:00,447.36,447.6,446.8,447.48,12548
2020-01-07 13:15:00,447.48,447.48,445.76,446.04,12749
2020-01-07 13:30:00,446.04,446.32,444.8,445.88,13756
2020-01-07 13:45:00,445.96,446.16,445.12,445.56,20883
2020-01-07 14:00:00,445.6,445.8,445.24,445.64,7885
2020-01-07 14:15:00,445.72,445.8,445.28,445.6,11204
2020-01-07 14:30:00,445.6,445.8,445.04,445.04,13077
2020-01-07 14:45:00,445.04,445.36,443.8,444.96,30870
2020-01-07 15:00:00,445.08,445.96,444.84,445.72,27297
2020-01-07 15:15:00,445.72,446.0,444.2,445.04,63892
2020-01-08 09:15:00,441.6,441.6,435.08,439.6,180171
2020-01-08 09:30:00,439.4,442.48,439.4,442.44,55409
2020-01-08 09:45:00,442.44,443.2,441.6,442.72,42592
2020-01-08 10:00:00,442.72,443.16,441.6,442.04,31957
2020-01-08 10:15:00,442.04,444.4,442.04,444.4,25037
2020-01-08 10:30:00,444.36,444.8,442.52,442.64,35002
2020-01-08 10:45:00,442.6,443.2,441.84,442.36,21794
2020-01-08 11:00:00,442.36,442.4,441.68,442.36,14725
2020-01-08 11:15:00,442.32,442.4,441.6,441.64,17349
2020-01-08 11:30:00,441.68,442.4,441.64,442.0,18960
2020-01-08 11:45:00,442.04,442.4,441.8,441.96,15044
2020-01-08 12:00:00,441.96,442.6,441.76,442.24,28945
2020-01-08 12:15:00,442.24,444.16,441.88,444.08,21006
