datetime,open,high,low,close,volume
2020-01-01 05:30:00,238.6,238.6,237.1,238.1,4208837
2020-01-02 05:30:00,238.2,240.95,238.1,239.85,8402979
2020-01-03 05:30:00,241.0,241.0,238.0,238.5,9284478
2020-01-06 05:30:00,237.5,238.3,235.0,235.1,7636617
2020-01-07 05:30:00,236.05,237.9,234.6,235.35,8416741
2020-01-08 05:30:00,234.0,235.8,233.25,234.2,7043211
2020-01-09 05:30:00,235.6,236.6,235.05,235.8,9452653
2020-01-10 05:30:00,237.6,238.75,236.8,238.0,9973746
2020-01-13 05:30:00,238.5,240.5,238.25,239.25,12243639
2020-01-14 05:30:00,240.25,243.8,238.3,243.25,11843444
2020-01-15 05:30:00,242.55,243.0,241.1,242.4,5476729
2020-01-16 05:30:00,242.5,243.9,240.1,240.75,9369668
2020-01-17 05:30:00,240.75,242.1,239.4,239.95,7392403
2020-01-20 05:30:00,240.05,243.25,240.05,241.9,8020816
2020-01-21 05:30:00,241.45,241.45,238.0,238.45,9571070
2020-01-22 05:30:00,239.6,239.6,237.1,238.05,7654918
2020-01-23 05:30:00,238.1,238.75,236.9,237.9,6120434
2020-01-24 05:30:00,237.4,239.1,237.0,238.15,6801874
2020-01-27 05:30:00,237.0,237.4,234.3,234.6,6837613
2020-01-28 05:30:00,234.75,235.9,230.5,230.75,14582907
2020-01-29 05:30:00,231.5,237.65,231.15,236.65,20469708
2020-01-30 05:30:00,236.95,237.0,233.0,234.05,10394149
2020-01-31 05:30:00,235.75,238.4,234.05,235.15,18455880
2020-02-01 05:30:00,236.9,239.25,215.5,219.0,42268141
2020-02-03 05:30:00,215.0,216.9,205.0,207.6,79764370
2020-02-04 05:30:00,210.8,217.6,209.15,215.65,35767812
2020-02-05 05:30:00,216.3,217.5,211.5,216.45,21253607
2020-02-06 05:30:00,218.0,219.9,211.8,213.55,27388582
2020-02-07 05:30:00,213.8,215.7,212.75,213.4,17133407
2020-02-10 05:30:00,214.0,214.05,210.05,210.55,9617387
2020-02-11 05:30:00,216.5,216.95,211.8,212.6,29803784
2020-02-12 05:30:00,213.4,214.8,211.8,213.05,9928416
2020-02-13 05:30:00,213.05,213.45,211.2,211.9,9153131
2020-02-14 05:30:00,212.25,212.9,206.8,207.7,13731692
2020-02-17 05:30:00,208.0,208.65,204.0,204.8,15561953
2020-02-18 05:30:00,204.55,204.6,200.5,203.85,20934864
2020-02-19 05:30:00,205.25,207.15,203.85,206.7,9054560
2020-02-20 05:30:00,207.0,208.55,205.45,207.45,15592846
2020-02-24 05:30:00,207.0,207.45,201.8,203.0,16594046
2020-02-25 05:30:00,203.8,205.4,201.5,201.8,15313516
2020-02-26 05:30:00,200.65,201.95,196.3,198.6,17869240
2020-02-27 05:30:00,198.4,199.15,195.9,197.55,17271066
2020-02-28 05:30:00,195.0,199.9,192.05,197.55,32628444
2020-03-02 05:30:00,199.5,203.45,193.65,195.3,18560049
2020-03-03 05:30:00,197.0,197.45,192.55,193.85,17947416
2020-03-04 05:30:00,194.95,195.55,186.55,187.5,27664076
2020-03-05 05:30:00,187.55,191.2,186.55,188.05,20025924
2020-03-06 05:30:00,184.85,184.85,179.75,181.75,26764504
2020-03-09 05:30:00,179.0,179.0,174.5,177.2,21795899
2020-03-11 05:30:00,174.0,176.75,172.35,175.65,27957737
2020-03-12 05:30:00,169.0,169.15,150.55,155.8,52040944
2020-03-13 05:30:00,150.0,164.0,134.6,162.25,61592332
2020-03-16 05:30:00,158.0,158.1,145.25,147.25,33255085
2020-03-17 05:30:00,148.0,155.8,146.05,149.15,47658462
2020-03-18 05:30:00,152.1,154.65,147.35,150.7,50248786
2020-03-19 05:30:00,150.7,163.55,144.75,161.85,89753683
2020-03-20 05:30:00,165.1,176.5,165.1,175.5,61997991
2020-03-23 05:30:00,158.0,162.0,149.2,154.3,51354135
2020-03-24 05:30:00,162.95,163.7,147.4,149.7,52569242
2020-03-25 05:30:00,151.0,152.0,139.0,147.35,62506221
2020-03-26 05:30:00,150.0,159.4,143.25,156.4,58443502
2020-03-27 05:30:00,162.0,166.0,155.0,163.2,32636891
2020-03-30 05:30:00,156.05,164.9,156.05,159.2,28120394
2020-03-31 05:30:00,164.0,173.85,161.55,171.7,42630922
2020-04-01 05:30:00,171.7,172.75,164.55,166.4,18142049
2020-04-03 05:30:00,167.9,182.75,167.0,177.9,62868085
2020-04-07 05:30:00,185.7,185.7,173.65,181.55,36119016
2020-04-08 05:30:00,180.85,184.0,176.65,178.65,37561322
2020-04-09 05:30:00,184.0,186.25,180.0,185.25,42643743
2020-04-13 05:30:00,184.5,186.65,181.05,181.6,17744825
2020-04-15 05:30:00,184.05,193.75,182.7,189.35,49092959
2020-04-16 05:30:00,189.65,191.2,185.45,186.35,27082646
2020-04-17 05:30:00,190.45,191.4,186.95,188.1,26669272
2020-04-20 05:30:00,189.95,189.95,179.5,180.7,35767070
2020-04-21 05:30:00,178.0,184.3,176.05,179.6,23334550
2020-04-22 05:30:00,179.0,183.55,176.0,182.25,25164099
2020-04-23 05:30:00,182.95,184.0,179.65,180.55,32968241
2020-04-24 05:30:00,181.0,182.8,179.3,180.05,18050148
2020-04-27 05:30:00,180.25,182.3,179.3,179.85,13086773
2020-04-28 05:30:00,180.0,180.8,178.05,179.45,17802711
2020-04-29 05:30:00,180.5,182.9,179.65,182.15,21461158
2020-04-30 05:30:00,184.9,184.9,180.45,182.05,30169126
2020-05-04 05:30:00,181.75,181.75,170.65,174.05,30298058
2020-05-05 05:30:00,175.0,177.45,172.0,173.9,17709577
2020-05-06 05:30:00,171.4,171.4,160.5,163.9,65586753
2020-05-07 05:30:00,164.0,165.85,160.5,161.0,24249898
2020-05-08 05:30:00,163.95,164.15,157.1,158.25,25307551
2020-05-11 05:30:00,160.0,163.5,158.0,158.45,18095693
2020-05-12 05:30:00,158.45,165.9,157.5,165.05,21387983
