datetime,open,high,low,close,volume
2020-01-01 09:15:00,991.85,997.0,990.35,995.25,25231
2020-01-01 09:30:00,995.25,996.55,993.0,993.3,11056
2020-01-01 09:45:00,993.3,995.5,991.35,995.5,23944
2020-01-01 10:00:00,995.55,995.95,991.2,992.0,21027
2020-01-01 10:15:00,992.0,992.95,991.9,992.75,2301
2020-01-01 10:30:00,992.75,993.65,991.5,991.95,7009
2020-01-01 10:45:00,991.95,991.95,987.0,991.05,30896
2020-01-01 11:00:00,991.05,992.5,988.3,990.2,12143
2020-01-01 11:15:00,990.2,992.1,989.3,992.1,5576
2020-01-01 11:30:00,992.1,992.6,988.0,988.5,29385
2020-01-01 11:45:00,988.5,989.8,988.5,989.6,3858
2020-01-01 12:00:00,989.6,991.1,989.0,990.0,3841
2020-01-01 12:15:00,990.0,990.0,988.6,989.0,2364
2020-01-01 12:30:00,989.0,989.3,988.1,988.1,3511
2020-01-01 12:45:00,988.1,989.5,988.05,988.8,4458
2020-01-01 13:00:00,988.8,989.5,987.7,989.15,4981
2020-01-01 13:15:00,989.15,989.25,988.1,989.25,2558
2020-01-01 13:30:00,989.25,990.05,988.75,989.8,3583
2020-01-01 13:45:00,989.8,992.5,989.2,990.95,12847
2020-01-01 14:00:00,990.95,990.95,989.0,989.5,4708
2020-01-01 14:15:00,989.5,989.5,988.25,989.0,3783
2020-01-01 14:30:00,989.0,989.0,987.3,988.55,5867
2020-01-01 14:45:00,988.55,988.7,986.15,987.25,10050
2020-01-01 15:00:00,987.25,989.0,986.4,987.6,13536
2020-01-01 15:15:00,987.6,988.6,985.0,986.7,27552
2020-01-02 09:15:00,987.25,989.7,980.3,985.0,28930
2020-01-02 09:30:00,985.0,985.0,978.6,979.25,21095
2020-01-02 09:45:00,979.25,980.4,977.0,978.8,120761
2020-01-02 10:00:00,978.35,980.0,978.0,979.05,9184
2020-01-02 10:15:00,979.6,985.9,978.75,984.85,27827
2020-01-02 10:30:00,984.85,984.85,983.1,983.6,3805
2020-01-02 10:45:00,983.9,984.0,981.55,982.75,13381
2020-01-02 11:00:00,982.75,987.0,981.6,981.75,14525
2020-01-02 11:15:00,981.75,984.4,980.5,982.45,103411
2020-01-02 11:30:00,982.45,983.3,980.5,982.7,103006
2020-01-02 11:45:00,982.7,984.55,981.65,983.1,15448
2020-01-02 12:00:00,983.1,983.6,982.0,982.5,14493
2020-01-02 12:15:00,982.5,984.0,981.9,982.55,18345
2020-01-02 12:30:00,982.55,983.0,979.2,981.45,30394
2020-01-02 12:45:00,981.45,981.6,975.0,975.2,32578
2020-01-02 13:00:00,975.2,977.2,974.05,975.3,32236
2020-01-02 13:15:00,975.7,976.9,975.2,976.35,6758
2020-01-02 13:30:00,976.35,977.0,974.0,975.2,18283
2020-01-02 13:45:00,975.2,976.55,975.0,975.25,8199
2020-01-02 14:00:00,975.25,976.8,975.0,975.25,4369
2020-01-02 14:15:00,975.25,976.45,974.2,974.9,8037
2020-01-02 14:30:00,974.9,976.8,974.9,976.15,7090
2020-01-02 14:45:00,976.15,977.0,974.55,975.0,9671
2020-01-02 15:00:00,975.0,980.5,974.35,980.5,47199
2020-01-02 15:15:00,980.5,982.3,978.2,979.0,46704
2020-01-03 09:15:00,979.0,983.5,974.4,976.95,24819
2020-01-03 09:30:00,976.95,977.25,970.75,972.1,16897
2020-01-03 09:45:00,972.1,975.05,971.65,972.0,9088
2020-01-03 10:00:00,972.0,975.05,971.05,973.95,6959
2020-01-03 10:15:00,973.95,976.8,973.95,975.75,7921
2020-01-03 10:30:00,975.75,975.75,973.0,975.15,4573
2020-01-03 10:45:00,975.15,975.15,972.05,972.55,4356
2020-01-03 11:00:00,972.55,975.0,971.85,973.0,23283
2020-01-03 11:15:00,973.0,974.65,971.2,972.35,115470
2020-01-03 11:30:00,972.35,974.0,972.0,972.65,2955
2020-01-03 11:45:00,972.8,975.4,971.05,973.6,18066
2020-01-03 12:00:00,973.6,974.4,972.75,973.45,8582
2020-01-03 12:15:00,973.45,974.5,973.15,974.0,1623
2020-01-03 12:30:00,974.0,974.95,973.3,973.8,8279
2020-01-03 12:45:00,973.8,974.25,971.6,973.1,8162
2020-01-03 13:00:00,973.1,973.5,972.6,973.5,2908
2020-01-03 13:15:00,973.1,974.0,972.5,973.0,4864
2020-01-03 13:30:00,973.0,973.1,972.05,972.3,5156
2020-01-03 13:45:00,972.3,973.1,971.65,972.0,4267
2020-01-03 14:00:00,972.0,973.05,970.8,970.8,4106
2020-01-03 14:15:00,970.8,973.05,970.8,973.0,6216
2020-01-03 14:30:00,973.0,973.7,971.7,972.0,57677
2020-01-03 14:45:00,972.0,972.55,969.05,971.5,16896
2020-01-03 15:00:00,971.5,973.75,971.5,973.0,16571
2020-01-03 15:15:00,973.0,973.0,968.6,971.0,31098
2020-01-06 09:15:00,970.0,970.0,962.85,965.0,33354
2020-01-06 09:30:00,965.0,978.0,962.0,971.55,51580
2020-01-06 09:45:00,971.55,975.0,967.1,968.0,35107
2020-01-06 10:00:00,968.0,968.15,964.0,964.0,28416
2020-01-06 10:15:00,964.0,966.4,962.1,962.2,26338
2020-01-06 10:30:00,962.2,966.3,962.15,965.0,23506
2020-01-06 10:45:00,965.0,965.8,963.5,965.0,7686
2020-01-06 11:00:00,965.0,968.3,964.35,964.5,22633
2020-01-06 11:15:00,964.5,966.6,962.4,963.5,11064
2020-01-06 11:30:00,963.5,963.9,960.85,961.65,15992
2020-01-06 11:45:00,961.65,962.2,960.0,962.1,8489
2020-01-06 12:00:00,962.1,966.0,960.5,963.5,24920
2020-01-06 12:15:00,963.5,964.75,960.75,963.0,31136
2020-01-06 12:30:00,963.0,965.25,961.75,962.2,26533
2020-01-06 12:45:00,962.2,963.35,958.25,958.95,15394
2020-01-06 13:00:00,958.4,960.7,958.2,959.6,12169
2020-01-06 13:15:00,959.6,962.6,959.55,961.8,8661
2020-01-06 13:30:00,961.8,965.0,961.75,963.25,22365
2020-01-06 13:45:00,963.25,965.2,961.45,962.15,49481
2020-01-06 14:00:00,962.15,964.0,961.7,963.25,13334
2020-01-06 14:15:00,963.25,964.5,961.65,963.05,8210
2020-01-06 14:30:00,963.05,964.9,962.1,964.5,22606
2020-01-06 14:45:00,964.5,966.75,963.6,964.9,123146
2020-01-06 15:00:00,964.9,964.9,962.0,964.75,19601
2020-01-06 15:15:00,964.75,965.0,961.85,963.45,50773
2020-01-07 09:15:00,972.0,989.0,971.0,979.2,189953
2020-01-07 09:30:00,979.2,981.15,974.15,975.7,61086
2020-01-07 09:45:00,976.35,976.65,974.1,974.6,26735
2020-01-07 10:00:00,974.6,975.6,970.05,975.0,35137
2020-01-07 10:15:00,975.0,975.0,972.95,973.0,5826
2020-01-07 10:30:00,973.0,975.4,972.6,974.9,6547
2020-01-07 10:45:00,974.9,974.9,967.3,968.55,27916
2020-01-07 11:00:00,968.55,972.4,968.3,969.35,13661
2020-01-07 11:15:00,969.35,971.2,968.6,970.4,5560
2020-01-07 11:30:00,970.4,972.45,969.1,969.45,5651
2020-01-07 11:45:00,969.45,970.15,966.7,966.9,13629
2020-01-07 12:00:00,967.35,967.35,965.0,967.0,15267
2020-01-07 12:15:00,967.0,971.55,966.9,970.65,12085
2020-01-07 12:30:00,970.65,971.55,970.2,970.8,5911
2020-01-07 12:45:00,970.8,972.1,970.8,970.9,4114
2020-01-07 13:00:00,971.2,971.2,966.05,967.35,10051
2020-01-07 13:15:00,967.35,967.7,965.0,965.15,8624
2020-01-07 13:30:00,965.15,969.3,964.45,966.75,11050
2020-01-07 13:45:00,966.75,971.35,966.5,971.2,11629
2020-01-07 14:00:00,971.2,973.0,969.25,971.25,12383
2020-01-07 14:15:00,971.9,972.0,969.0,970.9,14188
2020-01-07 14:30:00,970.9,972.45,970.75,971.85,11517
2020-01-07 14:45:00,971.8,971.85,968.4,970.0,11281
2020-01-07 15:00:00,970.0,970.0,968.0,969.0,27035
2020-01-07 15:15:00,968.8,969.0,964.75,965.05,67447
2020-01-08 09:15:00,961.9,967.0,955.55,965.95,34475
2020-01-08 09:30:00,966.0,970.6,964.55,970.05,41712
2020-01-08 09:45:00,970.05,971.85,966.0,968.0,8132
2020-01-08 10:00:00,968.0,969.9,967.0,968.45,7576
2020-01-08 10:15:00,968.45,969.5,967.4,968.5,4788
2020-01-08 10:30:00,968.85,969.5,966.9,967.95,9876
2020-01-08 10:45:00,967.95,971.6,967.3,969.35,13621
2020-01-08 11:00:00,969.3,970.0,966.0,968.0,11621
2020-01-08 11:15:00,968.0,968.4,966.0,966.35,8147
2020-01-08 11:30:00,966.35,967.7,966.0,967.25,31566
2020-01-08 11:45:00,967.25,971.5,966.75,970.4,12703
2020-01-08 12:00:00,970.4,971.35,969.75,970.75,9681
2020-01-08 12:15:00,970.75,973.9,970.1,970.25,103148
2020-01-08 12:30:00,970.25,982.0,969.6,980.0,66356
2020-01-08 12:45:00,980.0,980.0,975.45,976.3,13299
2020-01-08 13:00:00,976.3,984.0,975.8,981.85,32344
2020-01-08 13:15:00,981.85,986.35,980.25,985.0,33356
2020-01-08 13:30:00,985.0,986.0,982.0,983.5,22003
2020-01-08 13:45:00,983.5,986.0,982.05,984.4,14192
2020-01-08 14:00:00,984.65,985.95,984.0,984.5,13316
2020-01-08 14:15:00,984.5,988.0,984.15,987.15,32018
2020-01-08 14:30:00,987.05,991.95,985.85,990.3,39881
2020-01-08 14:45:00,990.7,994.0,989.2,993.6,64185
2020-01-08 15:00:00,993.55,995.5,993.1,994.5,66802
2020-01-08 15:15:00,994.05,999.75,994.05,995.15,77222
2020-01-09 09:15:00,995.15,1023.0,993.05,1017.8,173459
2020-01-09 09:30:00,1018.85,1018.85,1013.0,1016.45,72630
2020-01-09 09:45:00,1016.45,1022.0,1012.5,1020.9,61400
2020-01-09 10:00:00,1020.9,1027.6,1019.3,1023.55,111589
2020-01-09 10:15:00,1023.55,1025.85,1020.85,1021.4,35038
2020-01-09 10:30:00,1021.4,1023.0,1016.6,1021.1,30902
2020-01-09 10:45:00,1021.1,1022.65,1019.75,1021.15,15919
2020-01-09 11:00:00,1021.15,1024.8,1020.45,1024.15,19041
2020-01-09 11:15:00,1024.15,1024.5,1021.75,1024.25,13613
2020-01-09 11:30:00,1024.25,1025.0,1022.6,1023.65,14208
2020-01-09 11:45:00,1023.65,1025.5,1022.3,1024.0,15195
2020-01-09 12:00:00,1024.75,1024.9,1023.0,1023.9,5688
2020-01-09 12:15:00,1023.9,1024.6,1020.7,1021.45,17882
2020-01-09 12:30:00,1021.45,1023.45,1021.0,1023.45,9316
2020-01-09 12:45:00,1023.45,1025.7,1022.9,1025.0,21959
2020-01-09 13:00:00,1025.0,1032.95,1024.9,1032.25,78040
2020-01-09 13:15:00,1032.25,1033.7,1029.8,1033.1,41563
2020-01-09 13:30:00,1033.1,1035.0,1030.45,1033.1,65294
2020-01-09 13:45:00,1034.0,1035.9,1033.2,1035.0,46801
2020-01-09 14:00:00,1035.0,1037.65,1031.35,1031.6,41622
2020-01-09 14:15:00,1031.6,1031.6,1024.25,1029.1,68315
2020-01-09 14:30:00,1029.1,1030.35,1026.8,1026.85,15167
2020-01-09 14:45:00,1026.9,1029.0,1025.85,1027.0,16509
2020-01-09 15:00:00,1027.0,1031.9,1025.85,1030.1,49088
2020-01-09 15:15:00,1030.1,1031.8,1025.0,1028.85,95189
2020-01-10 09:15:00,1028.5,1036.05,1026.8,1035.5,66646
2020-01-10 09:30:00,1035.5,1038.35,1032.15,1032.95,110126
2020-01-10 09:45:00,1032.95,1034.3,1031.2,1033.4,22711
2020-01-10 10:00:00,1033.7,1034.5,1032.35,1034.15,11078
2020-01-10 10:15:00,1033.55,1033.95,1031.25,1032.3,10359
2020-01-10 10:30:00,1032.3,1033.8,1028.2,1033.8,32317
2020-01-10 10:45:00,1033.95,1039.1,1033.75,1037.5,49369
2020-01-10 11:00:00,1037.25,1042.7,1036.8,1042.7,65858
2020-01-10 11:15:00,1042.65,1047.7,1041.7,1047.0,86554
2020-01-10 11:30:00,1047.0,1047.7,1043.85,1046.0,43787
2020-01-10 11:45:00,1046.25,1047.0,1044.15,1046.2,18554
2020-01-10 12:00:00,1046.2,1046.85,1041.85,1046.55,32661
2020-01-10 12:15:00,1046.9,1049.9,1046.15,1049.0,39686
2020-01-10 12:30:00,1049.0,1052.9,1048.75,1052.3,58252
2020-01-10 12:45:00,1052.3,1054.0,1045.95,1046.6,83667
2020-01-10 13:00:00,1046.6,1047.0,1043.1,1044.5,46326
2020-01-10 13:15:00,1044.5,1046.95,1044.0,1046.25,39922
2020-01-10 13:30:00,1046.25,1047.0,1042.0,1042.5,68362
