datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,1296.95,1300.0,1275.0,1294.2,13875,,,,,,,
2020-01-03,1295.0,1329.7,1285.0,1322.25,32674,,,,,,,
2020-01-05,1321.95,1340.0,1275.0,1287.0,31293,,,,,,,
2020-01-07,1298.0,1318.0,1285.05,1310.7,44044,,,,,,,
2020-01-09,1319.0,1405.8,1285.0,1372.4,196353,,,,,,,
2020-01-13,1379.4,1411.0,1362.0,1369.2,134015,,,,,,,
2020-01-15,1373.8,1373.8,1295.1,1306.35,158420,,,,,,,68.1100737971706
2020-01-17,1307.15,1314.75,1292.05,1302.75,35098,,,,,,,57.61187299007491
2020-01-19,1303.0,1316.0,1280.0,1290.6,38416,,,,,,,52.91832487581375
2020-01-21,1290.0,1319.45,1286.0,1303.3,52216,,,,,,,48.89358191343276
2020-01-23,1309.0,1364.85,1301.45,1329.05,211896,,,,,,,51.77700760885223
2020-01-27,1312.0,1360.0,1312.0,1329.75,64397,,,,,,,51.0496069513961
2020-01-29,1331.0,1355.15,1323.0,1331.75,39756,,,,,,,47.501757537561524
2020-01-31,1349.0,1349.0,1266.0,1281.25,36965,,,,,,,54.02810944633017
2020-02-02,1282.0,1315.0,1282.0,1292.3,20304,,,,,51.81451172502999,,50.36295851971252
2020-02-04,1301.0,1348.0,1293.8,1338.5,60762,,,,,52.22814135900909,,51.31420664093304
2020-02-06,1339.7,1360.95,1316.0,1328.95,61296,,,,,51.47956674988209,,50.19285392867057
2020-02-10,1332.0,1379.0,1317.0,1334.2,232025,,,,,52.528652657056746,,52.25359593471221
2020-02-12,1339.8,1344.0,1226.15,1268.65,499652,,,,,58.86321793208897,,63.61300097590152
2020-02-14,1268.85,1280.0,1229.35,1233.1,56198,,,100982.75,,58.08657834679199,,61.38269015773093
2020-02-16,1254.0,1254.0,1213.0,1223.5,85129,,,104545.45,,56.50740439488592,,57.89459137691189
2020-02-18,1220.5,1229.0,1200.7,1209.75,81617,,,106992.6,,53.954026512712566,,52.85256235256461
2020-02-20,1213.9,1246.9,1213.35,1230.9,48608,,,107858.35,,52.46139874277629,,50.18718823791271
2020-02-24,1225.0,1225.0,1190.0,1200.2,69317,,,109122.0,,51.45201089147249,,48.61560051190762
2020-02-26,1195.0,1212.35,1189.0,1198.6,65479,,,102578.3,,49.036864441619166,,44.35102247479491
2020-02-28,1188.0,1195.0,1175.0,1185.0,39171,,,97836.1,,46.88204047988368,,40.85588056839191
2020-03-01,1185.0,1198.9,1182.05,1190.2,99510,,,94890.6,,44.37129987329798,,36.81964192440456
2020-03-03,1199.0,1204.85,1150.0,1157.15,86926,,,97482.0,,45.23680462785819,,39.8467375904426
2020-03-05,1167.8,1221.0,1155.0,1191.9,64042,,,98763.3,,46.932832234113235,,44.23221837593927
