datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,169.35,183.45,168.1,183.45,8504961,,,,,,,,,
2020-01-03,187.8,192.6,183.0,192.6,3670040,,,,,,,,,
2020-01-05,200.0,202.2,185.55,200.6,9497209,,,,,,,,,
2020-01-07,208.0,221.1,203.0,221.1,3308135,,,,,,,,,
2020-01-09,232.15,243.75,220.55,220.55,3610594,,,,,,,,,
2020-01-13,209.55,209.55,199.1,199.1,199468,,,,,,,,,
2020-01-15,189.15,189.15,179.7,179.7,112797,,,,,,,,,19.32963488124778
2020-01-17,175.1,188.65,172.3,188.65,6703516,,,,,,,,,18.640783208051094
2020-01-19,198.05,198.05,185.0,198.05,2840614,,,,,,,,,17.42660755583243
2020-01-21,199.0,208.95,192.0,197.65,5261326,,198.145,,,,,,,17.328077100932465
2020-01-23,199.2,199.9,182.6,190.25,3854308,,196.70954545454546,,,,,,,17.32249624466606
2020-01-27,189.0,196.5,186.1,187.65,1838875,,195.06235537190082,,,,,,,15.989316955377348
2020-01-29,188.0,191.0,177.65,180.45,1655963,,192.40556348610068,,,,,,,15.493862254274816
2020-01-31,182.5,197.9,176.85,186.85,2493451,,191.39546103408236,,,,,,,16.51535818384271
2020-02-02,186.85,196.15,186.0,196.15,1171000,,192.2599226642492,,,,,15.992786180111176,,15.364856530445902
2020-02-04,201.9,205.95,190.1,193.25,5305011,,192.43993672529479,,,,,15.977585878054644,,15.45132612519053
2020-02-06,193.0,213.0,190.5,213.0,5385876,,196.17813004796844,,,,,16.64843209566156,,16.6932797595264
2020-02-10,219.9,221.65,207.0,211.25,3166049,,198.9184700392469,,,,,16.449150668921785,,16.336659082089778
2020-02-12,212.1,213.45,198.0,199.95,1809240,,199.106020941202,,,,,16.35225761038384,,16.18311530495098
2020-02-14,201.0,209.9,201.0,206.8,1474525,,200.5049262246198,,,3593147.9,,15.74686192545182,,15.110695074374695
2020-02-16,208.4,208.4,198.0,198.35,773097,,200.1131214565071,,,3206554.7,,15.252694813363096,,14.30455174301937
2020-02-18,200.8,200.8,188.45,197.85,3340792,,199.70164482805123,,,3190092.3,,14.989938388440697,,13.97155486219133
2020-02-20,197.85,198.15,193.0,194.85,911195,,198.81952758658736,,,2760791.6,,14.115899938076586,,12.474172240632988
2020-02-24,191.45,191.45,178.15,180.55,1821055,,195.4977952981169,,,2686437.6,,14.341509249466233,,13.18927124247312
2020-02-26,175.55,177.85,163.0,163.0,1724779,,189.5891052439138,,,2592146.85,,14.617253753141245,,13.925318188057902
2020-02-28,154.85,160.0,154.85,154.95,1655841,,183.2910861086567,,,2664965.5,,14.069395608680205,,12.952568211693569
