datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,550.85,571.0,548.4,569.05,850896,,,,,,,,,
2020-01-03,572.5,589.65,565.0,573.0,1823916,,,,,,,,,
2020-01-05,570.3,581.7,562.4,570.7,880116,,,,,,,,,
2020-01-07,576.0,582.85,564.25,578.4,1194827,,,,,,,,,
2020-01-09,579.1,600.9,579.1,588.1,1392066,,,,,,,,,
2020-01-13,591.9,598.8,586.0,593.45,540094,,,,,,,,,
2020-01-15,593.8,597.25,577.05,591.8,1291168,,,,,,,,,19.162303825207065
2020-01-17,595.45,597.1,577.45,578.9,470283,,,,,,,,,19.275052648269924
2020-01-19,581.7,588.9,573.0,584.15,425150,,,,,,,,,18.5420772138828
2020-01-21,580.0,592.0,578.7,584.15,576961,,581.1699999999998,,,,,,,17.45836746949469
2020-01-23,587.0,606.0,568.0,595.15,2124135,,583.711818181818,,,,,,,21.54140648787031
2020-01-27,594.0,614.4,583.6,588.35,2974261,,584.555123966942,,,,,,,23.324486562175146
2020-01-29,624.0,652.8,580.1,584.6,20643401,,584.5632832456798,,,,,,,32.593297646906656
2020-01-31,585.0,595.45,552.0,562.1,1881537,,580.4790499282835,,,,,,,34.58930238432477
2020-02-02,562.0,569.85,555.0,560.95,559415,,576.9283135776865,,,,,28.308873496469882,,31.021537715918427
2020-02-04,561.0,580.5,561.0,570.4,768308,,575.7413474726526,,,,,27.37644766423851,,28.97690704552127
2020-02-06,573.2,577.0,552.15,558.05,958652,,572.5247388412612,,,,,27.11659635338204,,28.24975931606415
2020-02-10,560.8,561.5,541.15,545.85,1071356,,567.6747863246683,,,,,26.44183888806635,,26.87098702326071
2020-02-12,545.8,556.35,543.0,549.05,770167,,564.2884615383649,,,,,25.172252276950307,,24.529542086720973
2020-02-14,547.0,552.2,535.45,536.95,332513,,559.3178321677531,,,2076461.1,,24.375846462600553,,23.191055966980425
2020-02-16,534.0,539.45,528.65,536.75,391945,,555.2145899554343,,,2053513.55,,23.121141004685388,,21.070569079478414
2020-02-18,536.35,544.45,523.55,539.8,757184,,552.4119372362644,,,2000176.95,,22.92007988487601,,21.04150923410218
2020-02-20,539.85,556.5,539.85,554.75,493528,,552.8370395569435,,,1980847.55,,22.367577545013344,,20.30457560051542
2020-02-24,555.0,559.4,531.4,535.65,806109,,549.7121232738629,,,1961411.65,,22.859325898821012,,21.60680338171395
2020-02-26,535.0,543.5,511.2,518.1,1318461,,543.9644644967968,,,1957731.4,,23.67067746464805,,23.411706907493137
2020-02-28,509.45,515.0,496.6,510.95,583329,,537.9618345882883,,,1959893.15,,23.486793644189042,,23.08971376555253
2020-03-01,513.0,521.55,497.0,500.4,432302,,531.1324101176904,,,1916949.85,,23.575679891279133,,23.335239594691252
2020-03-03,502.8,550.4,492.0,497.7,1249606,,525.0537900962921,,,1955916.0,,26.452049504302035,,29.2222210849392
2020-03-05,499.7,509.0,483.6,503.6,711702,,521.1531009878754,,,1970243.6,,26.366113550299634,,28.581296183738512
2020-03-09,499.05,499.05,477.5,482.45,644253,554.7766666666668,514.1161735355344,,,1973608.2,,26.344596913804015,,28.165645596214148
2020-03-11,485.0,489.5,418.5,448.3,1749765,547.9072043010754,502.1495965290735,,,1954889.7,-21.219576487127657,29.9214960647066,,35.33490675505191
2020-03-13,410.0,453.9,404.0,447.8,463441,541.4486749913286,492.2678517056056,,,1829348.7,-21.849912739965095,31.508017385274382,,37.77097435526708
2020-03-15,437.0,443.35,415.8,437.65,787495,534.7519862822106,482.33733321367725,,,836553.4,-23.313474680217283,31.54677701005691,,36.80632320897127
2020-03-17,430.0,460.0,417.3,441.7,1360012,528.7486323285196,474.94872717482684,,,810477.15,-23.634163208851998,32.419041323544214,,37.791003242139745
2020-03-19,430.0,442.0,414.0,422.15,3801726,521.8713012105507,465.3489585975856,,,972592.7,-28.217990137731686,32.075766685408524,,36.15584739017924
2020-03-23,408.2,414.75,385.0,395.35,2483496,513.7086366163217,452.6218752162064,,,1058352.1,-33.38107675457073,32.46748802857223,,36.32182048389504
2020-03-25,390.0,392.9,365.2,379.3,2253937,505.03711167333324,439.2906251768961,,,1123116.35,-35.90740114903683,32.28960856398598,,35.29173045313412
2020-03-27,390.0,395.0,348.2,357.6,668074,495.52503995247304,424.4377842356423,,,1102952.25,-38.227673173259625,33.39745666514837,,37.21203306376074
2020-03-29,351.0,357.0,326.7,331.6,1364098,484.9492309232812,407.55818710188913,,,1132648.8,-43.23375845245228,33.20771288531875,,36.15899584614873
2020-03-31,340.0,347.95,304.45,308.5,2539805,473.5654095733921,389.54760762881835,,,1243013.4,-47.188222203201235,33.98612851999496,,37.38349628600979
2020-04-02,311.0,314.95,296.45,298.65,1396809,462.2805444396249,373.0207698781241,,,1293256.6,-49.81937326724355,32.819799012392906,,34.23410412838473
2020-04-06,315.8,315.8,283.0,287.15,3777546,450.9817996370685,357.40790262755604,,,1444274.7,-51.19401716665251,32.818313632368266,,33.994951178348266
2020-04-08,286.0,358.95,280.0,353.4,8461073,444.68619966048345,356.67919305890945,,,1842651.95,-39.54840916866233,36.26685284684617,,41.49100108349785
