datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,576.0,578.48,572.04,572.98,2268050,,,,,,,,,
2020-01-03,572.98,579.4,570.41,576.78,1723390,,,,,,,,,
2020-01-05,574.2,579.56,570.84,575.77,1788685,,,,,,,,,
2020-01-07,578.0,582.0,573.2,579.45,3183290,,,,,,,,,
2020-01-09,582.32,601.6,580.2,586.6,7513215,,,,,,,,,
2020-01-13,586.58,593.76,583.14,589.56,3995170,,,,,,,,,
2020-01-15,589.23,590.3,580.0,587.49,3841645,,,,,,,,,11.888567883729143
2020-01-17,588.88,609.8,588.0,606.87,5585585,,,,,,,,,14.297863396940665
2020-01-19,608.6,616.0,606.41,611.92,4373565,,,,,,,,,13.275435429727573
2020-01-21,611.11,621.01,607.17,612.41,5652920,,589.983,,,,,,,13.392149491954704
2020-01-23,611.06,615.74,604.8,606.28,3494485,,592.9460909090908,,,,,,,12.904738277696435
2020-01-27,605.8,649.99,599.5,637.83,32210385,,601.1068016528924,,,,,,,20.143152101218583
2020-01-29,637.83,640.37,619.84,630.97,10312315,,606.5364740796392,,,,,,,20.215771499836993
2020-01-31,631.05,638.37,619.37,624.61,4242400,,609.822569701523,,,,,,,19.99225190849431
2020-02-02,624.8,634.6,623.43,628.83,2576210,,613.2784661194279,,,,,17.331542656847738,,18.39768093318459
2020-02-04,630.8,655.52,624.34,626.67,9930930,,615.71329046135,,,,,18.80578011084379,,20.675938848559497
2020-02-06,633.52,637.0,627.32,633.34,5138825,,618.9181467411045,,,,,17.93402543192874,,18.853017745697095
2020-02-10,633.29,641.19,622.6,638.24,4538495,,622.4312109699945,,,,,17.999438486549934,,18.80711234962442
2020-02-12,634.43,667.38,632.81,664.92,11427485,,630.1564453390864,,,,,19.606375694991126,,21.53678980665641
2020-02-14,661.04,666.6,655.4,660.86,3533430,,635.7389098228888,,,6366523.75,,18.811471165780855,,19.758323988918708
2020-02-16,665.16,668.41,657.44,659.11,3203305,,639.9881989459999,,,6413286.5,,18.08674754012009,,18.254374218109703
2020-02-18,657.6,659.76,646.65,655.63,4995935,,642.8321627739999,,,6576913.75,,17.636244653849307,,17.377927444796644
2020-02-20,657.86,672.99,648.01,651.06,4622330,,644.3281331787272,,,6718596.0,,18.288558142940154,,18.668313494627263
2020-02-24,651.4,651.4,611.27,617.38,8148220,,639.4284726007768,,,6966842.5,,20.19546288309969,,22.300082575555642
2020-02-26,619.4,623.1,605.82,613.41,8487925,,634.6978412188173,,,7015578.0,,19.944901816171413,,21.452743368790415
2020-02-28,606.0,617.7,581.05,585.42,8299780,,625.7382337244869,,,7230808.5,,21.360034798944294,,24.012451864052235
2020-03-01,592.2,599.45,575.2,581.11,4444330,,617.6240094109438,,,7260942.75,,21.60164185813731,,24.052392117999094
2020-03-03,588.0,637.35,586.25,634.27,14444010,,620.6505531544086,,,7703864.0,,24.462651649375353,,29.456331846274274
2020-03-05,634.2,646.39,617.04,634.19,10858170,,623.1122707626979,,,8028094.25,,24.861871402186907,,29.438501708625683
2020-03-09,631.75,637.8,605.21,612.25,4992665,616.5403333333333,621.1373124422074,,,7995081.5,,25.486729977194962,,29.966420191302795
2020-03-11,614.0,616.78,560.71,570.08,9736600,613.5428924731182,611.8541647254424,,,8307187.25,-0.5061258682676484,27.936450839981475,,34.335422209285205
2020-03-13,545.99,627.08,522.0,577.02,4930170,611.1865768296913,605.5206802299074,,,6943176.5,0.04161031935920878,34.06252944341627,,46.167723654155004
