datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,186.9,189.9,184.25,189.1,1680939,,,,,,,
2020-01-03,188.8,188.9,182.0,184.1,1347418,,,,,,,
2020-01-05,184.0,184.45,179.15,181.65,1688625,,,,,,,
2020-01-07,181.6,186.0,179.55,180.65,3215652,,,,,,,
2020-01-09,183.0,188.4,182.55,185.8,3925621,,,,,,,
2020-01-13,186.0,192.25,183.75,190.75,6102655,,,,,,,
2020-01-15,191.6,197.5,189.1,195.1,4684084,,,,,,,7.51944507105797
2020-01-17,195.75,198.0,194.65,196.55,1079519,,,,,,,6.5555252191406765
2020-01-19,196.95,198.75,192.8,195.05,2224157,,,,,,,6.424020571128885
2020-01-21,194.65,198.55,192.55,197.8,3393814,,,,,,,6.336361575275786
2020-01-23,198.15,206.3,196.65,204.65,6616639,,,,,,,6.995010052257617
2020-01-27,203.7,208.25,200.6,202.95,3372708,,,,,,,7.121152270636613
2020-01-29,202.95,205.3,198.65,199.7,2845554,,,,,,,7.032707187545537
2020-01-31,200.7,201.95,189.35,192.15,3195846,,,,,,,8.05625397614168
2020-02-02,191.25,196.15,189.35,195.4,1045796,,,,,7.51441851765292,,7.829193340291526
2020-02-04,195.6,201.5,178.55,185.65,21118237,,,,,9.157613263581514,,10.524251825317846
2020-02-06,189.0,189.0,181.25,182.05,6225684,,,,,9.012836802585298,,10.035437589021582
2020-02-10,182.75,183.0,176.5,177.75,4659027,,,,,8.762259510381813,,9.418385449120768
2020-02-12,178.5,182.7,177.6,181.05,5502636,,,,,8.407110346038568,,8.670565654125333
2020-02-14,182.0,182.65,177.65,179.05,2329005,,,4312680.8,,8.084934946811646,,8.03903732959461
2020-02-16,179.5,179.85,175.55,177.25,1764795,,,4316873.6,,7.735124086126002,,7.3991742178135
2020-02-18,177.25,179.6,173.75,178.25,1881360,,,4343570.7,,7.564479737596752,,7.135241485291304
2020-02-20,179.1,179.9,177.4,178.05,1232465,,,4320762.7,,7.114624276413224,,6.348449343177101
2020-02-24,177.95,177.95,170.7,173.65,3054563,,,4312708.25,,7.135174159793796,,6.517932794886379
2020-02-26,173.65,174.4,167.7,171.15,4891818,,,4361018.1,,7.097774369040289,,6.548663899173419
2020-02-28,166.5,170.0,161.2,164.35,2992108,,,4205490.75,,7.3393939345324934,,7.1215586737899566
2020-03-01,165.2,168.0,158.9,159.9,2486077,,,4095590.4,,7.48658423762666,,7.454204723284382
2020-03-03,162.4,163.75,155.95,161.8,8392337,,,4461231.3,,7.512471306557759,,7.512259886642404
2020-03-05,160.5,163.0,153.95,159.3,4808505,,,4590448.7,,7.638063300600549,,7.770114131157339
2020-03-09,157.5,157.95,149.7,154.85,2744590,182.51666666666668,,4557987.5,,7.796695879591236,,8.076644702344948
2020-03-11,153.0,157.35,139.55,143.3,10324216,179.986559139785,,4743366.35,-24.219989423585396,8.597960845119474,,9.704059762974332
2020-03-13,129.0,154.0,125.85,148.75,3986615,177.97129725979886,,4774061.7,-19.201520912547522,10.150615992885351,,12.789213878448988
2020-03-15,144.0,145.0,139.1,141.25,2107813,175.6021813075538,,4737174.65,-22.240572529589876,10.111176208910079,,12.264476445930388
2020-03-17,141.0,143.7,131.45,133.3,3541638,172.87300831996967,,4754464.25,-26.2109050650429,10.278448007159572,,12.262057808505174
2020-03-19,130.5,149.0,124.7,147.5,4910007,171.23604004126196,,4947674.8,-20.613562970936496,11.367653297184487,,14.272465846699557
2020-03-23,135.0,140.5,130.35,136.05,4569996,168.96597294182573,,4120262.75,-28.67627785058977,11.814039672551125,,14.752868192353782
2020-03-25,131.2,135.4,125.0,126.8,9969916,166.2455875907402,,4307474.35,-35.00768836494106,11.75539558628166,,14.134851576329632
2020-03-27,130.0,133.35,126.0,130.6,2572890,163.94587226230536,,4203167.5,-33.553803103536005,11.41904979184512,,13.002711931730481
2020-03-29,128.6,132.4,125.7,126.9,2019213,161.5558159873179,,4028996.35,-34.93975903614458,11.060520910361731,,11.95122975967019
2020-03-31,127.95,134.8,125.75,131.75,4806675,159.63286011716838,,4152879.85,-33.392315470171894,10.908463268262278,,11.46729635731809
2020-04-02,132.85,132.85,127.3,128.55,1864609,157.6275143031575,,4157870.55,-37.185438553628146,10.504893465964258,,10.480408841371814
2020-04-06,131.5,141.4,131.2,139.5,2629091,156.4579972513409,,4195257.1,-31.263858093126384,10.680830241607016,,10.87556474724354
2020-04-08,138.5,152.05,136.0,148.0,6147582,155.91232000931893,,4441012.95,-25.88883324987481,11.082198453327077,,11.73837828882169
2020-04-12,148.0,148.0,141.5,142.85,1726474,155.06958968613708,,4374608.5,-25.657038771792873,10.740795079361197,9.194386649858364,10.864971347904008
2020-04-14,142.85,147.2,139.0,140.45,3026934,154.1263903515476,,4281364.3,-28.121801432958037,10.552070312277955,9.295641709679199,10.420663672879687
2020-04-16,140.0,147.0,136.3,146.2,6909319,153.61501032886713,,4477224.85,-21.249663345004045,10.56302699125517,9.34248883393499,10.467232460637858
2020-04-20,149.0,154.9,140.55,141.15,8735966,152.8108161141015,,4789719.3,-22.466355396868998,10.842777925862695,9.403486871377568,11.114507870202038
2020-04-22,140.35,151.05,139.05,149.5,6896133,152.59721507448208,,4714909.1,-15.893108298171587,10.928055769637988,9.475680080019439,11.262117920174123
2020-04-24,146.3,151.8,145.15,148.45,2902096,152.32965281161228,,4619588.65,-18.006075669704515,10.6135098023883,9.549226728564431,10.49330994847724
