datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,539.9,542.5,535.7,540.6,17907016,,,,,,,,,
2020-01-03,538.0,540.8,536.25,538.85,9594690,,,,,,,,,
2020-01-05,537.25,537.25,523.8,525.7,12534334,,,,,,,,,
2020-01-07,531.3,535.6,515.0,525.95,32196145,,,,,,,,,
2020-01-09,530.7,547.4,530.3,540.25,31269426,,,,,,,,,
2020-01-13,539.4,546.05,534.15,537.6,21841240,,,,,,,,,
2020-01-15,535.1,540.0,530.65,537.15,23602408,,,,,,,,,13.825008862105632
2020-01-17,534.5,538.0,530.6,532.05,18312609,,,,,,,,,12.339632874322996
2020-01-19,533.0,544.0,531.0,534.85,19159996,,,,,,,,,12.483047786989973
2020-01-21,532.95,540.25,520.75,522.85,31005402,,533.585,,,,,,,13.933682559977624
2020-01-23,521.4,537.4,517.05,533.85,34913161,,533.6331818181818,,,,,,,15.209047330669051
2020-01-27,538.5,545.0,524.45,528.2,62158390,,532.6453305785124,,,,,,,16.23764268589365
2020-01-29,531.55,534.8,524.15,532.2,30720144,,532.5643613824192,,,,,,,15.188725907949722
2020-01-31,530.0,532.75,501.85,504.6,28108175,,527.4799320401612,,,,,,,18.077243663957972
2020-02-02,504.0,519.15,502.0,515.55,22531888,,525.3108534874045,,,,,16.743103109349864,,17.909649737948712
2020-02-04,520.0,540.4,516.65,539.1,36563951,,527.8179710351492,,,,,17.6061227754205,,19.14666376000067
2020-02-06,540.35,547.0,535.15,536.45,23594000,,529.3874308469402,,,,,17.014091493785145,,17.86101510662123
2020-02-10,538.65,544.8,530.5,539.75,23779605,,531.2715343293147,,,,,16.74344530752844,,17.239498834184957
2020-02-12,545.8,550.7,538.0,541.0,23253570,,533.0403462694393,,,,,16.35133048934981,,16.453388578961366
2020-02-14,541.25,548.65,536.55,545.8,14458649,,535.3602833113594,,,25875239.95,,15.949325870026469,,15.704379174317499
2020-02-16,543.0,545.35,537.75,541.6,7793293,,536.4947772547486,,,25369553.8,,15.21925520295779,,14.394481881111725
2020-02-18,541.0,546.5,536.0,544.8,24622537,,538.0048177538852,,,26120946.15,,14.79206092138296,,13.730979201541736
2020-02-20,545.5,549.35,541.8,547.0,13588526,,539.6403054349969,,,26173655.75,,14.148780500785627,,12.681811454451063
