datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2021-01-29,24.9,25.8,24.35,24.8,381938573,,,,,,,
2021-01-31,25.25,25.4,24.9,25.1,72044464,,,,,,,
2021-02-02,25.45,25.45,24.05,24.25,82551711,,,,,,,
2021-02-04,24.25,26.2,23.85,25.7,144804724,,,,,,,
2021-02-08,25.9,25.95,25.2,25.3,53567906,,,,,,,
2021-02-10,25.4,25.8,25.0,25.4,46718454,,,,,,,
2021-02-12,25.5,25.55,25.3,25.4,15658220,,,,,,,0.9306177693274463
2021-02-14,26.2,26.2,25.65,25.75,45629832,,,,,,,0.9004206906461986
2021-02-16,25.9,26.0,24.9,25.3,63195926,,,,,,,0.9437642310923818
2021-02-18,25.45,25.8,25.2,25.35,35564575,,,,,,,0.8726968599326664
2021-02-22,25.3,25.4,24.9,24.95,29674731,,,,,,,0.7986162911720628
2021-02-24,24.9,25.2,24.85,24.95,33720126,,,,,,,0.7122188519984481
2021-02-26,24.85,24.95,24.5,24.65,36424500,,,,,,,0.6629949182546644
2021-02-28,24.65,26.7,24.65,25.9,93579588,,,,,,,0.917995803785792
2021-03-02,26.1,26.3,25.45,25.5,67301369,,,,,0.9004733113013476,,0.9057059557646441
2021-03-04,25.25,25.7,24.8,24.95,46998159,,,,,0.9004229249492393,,0.9046889541691095
2021-03-08,25.1,25.5,24.8,24.95,37734742,,,,,0.8798089377644128,,0.8686234197077629
2021-03-10,25.0,25.1,24.85,24.85,11360743,,,,,0.8170050907067,,0.7606529364757071
2021-03-12,24.9,25.05,24.8,24.85,17086939,,,,,0.7620195323179509,,0.6722225777760616
2021-03-14,24.9,24.95,24.5,24.65,17385997,,,66647063.95,,0.7325150528084999,,0.6339887289800082
2021-03-16,24.65,24.8,24.1,24.15,23961493,,,48748209.95,,0.729509950008051,,0.6452852669827612
2021-03-18,24.2,24.6,23.5,23.95,31428708,,,46717422.15,,0.7630472824747795,,0.7227549928685485
2021-03-22,24.0,24.5,23.75,23.8,27560190,,,43967846.1,,0.7618883497553312,,0.7273795971293823
2021-03-24,23.8,23.9,22.9,22.95,36021279,,,38528673.85,,0.7826770979300312,,0.773512707392077
2021-03-26,23.2,23.3,22.9,23.05,16323314,,,36666444.25,,0.749789016074425,,0.7104675370318464
