datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,69.55,71.4,68.65,69.5,1886474,,,,,,,,,
2020-01-03,69.9,71.45,69.65,70.2,1021494,,,,,,,,,
2020-01-05,70.15,70.15,66.55,67.05,719957,,,,,,,,,
2020-01-07,67.5,72.5,67.3,71.2,1755648,,,,,,,,,
2020-01-09,72.1,72.25,68.0,68.4,1658512,,,,,,,,,
2020-01-13,68.75,69.6,67.3,67.45,1072784,,,,,,,,,
2020-01-15,67.1,68.15,67.1,67.6,865021,,,,,,,,,2.9108004898327517
2020-01-17,67.35,68.25,67.0,67.45,869257,,,,,,,,,2.5268456625258318
2020-01-19,67.5,68.0,66.05,66.2,397301,,,,,,,,,2.4015694834176533
2020-01-21,66.4,67.4,66.05,66.35,574452,,68.14000000000001,,,,,,,2.1841754906197552
2020-01-23,66.55,68.9,66.35,67.5,1660160,,68.02363636363637,,,,,,,2.256890049380337
2020-01-27,66.7,68.1,66.4,66.95,943266,,67.82842975206611,,,,,,,2.1496405465991817
2020-01-29,67.15,67.9,64.2,64.45,1028206,,67.21416979714499,,,,,,,2.440675269814667
2020-01-31,64.8,64.8,61.35,62.05,724294,,66.27522983402771,,,,,,,2.6262396223705013
2020-02-02,62.0,62.9,59.55,61.9,319703,,65.47973350056813,,,,,2.6959319300353886,,2.7570551219977593
2020-02-04,62.35,66.8,61.5,61.9,3013901,,64.8288728641012,,,,,2.973147982796338,,3.2102971562786404
2020-02-06,62.25,66.25,61.75,65.35,1535188,,64.92362325244643,,,,,3.1301884407366365,,3.437538643460702
2020-02-10,65.4,65.8,63.7,63.95,1907197,,64.74660084291071,,,,,3.027459194781017,,3.2040934018560074
2020-02-12,63.9,64.5,62.8,63.6,1126559,,64.5381279623815,,,,,2.898728278146143,,2.943627810564487
2020-02-14,63.6,64.5,62.55,62.85,207531,,64.23119560558486,,,1164345.25,,2.809016798115862,,2.772672114483239
2020-02-16,62.8,63.9,62.55,63.15,249796,,64.0346145863876,,,1082511.35,,2.6741717006238552,,2.5292096063632283
2020-02-18,65.25,68.4,64.2,64.6,6268618,,64.13741193431713,,,1344867.55,,2.907339663043528,,2.992750527039166
2020-02-20,64.6,65.45,62.8,63.15,754557,,63.95788249171401,,,1346597.55,,2.8844813125717397,,2.934571590249001
2020-02-24,63.0,63.5,61.0,61.45,979981,,63.50190385685691,,,1307814.2,,2.8509135086582438,,2.861032930343541
2020-02-26,61.0,61.95,58.5,60.05,1609685,,62.874284973792015,,,1305372.85,,2.9024002730149605,,2.960444619713672
2020-02-28,58.1,59.2,55.9,57.3,1506071,,61.86077861492073,,,1327037.2,,3.0080877406087803,,3.1608041376447016
2020-03-01,58.8,59.5,53.65,54.95,664245,,60.60427341220787,,,1316998.4,,3.2456774746392303,,3.6129531946212237
2020-03-03,54.5,58.05,53.5,53.85,1630632,,59.37622370089734,,,1355067.15,,3.353410049627521,,3.7702728835339028
2020-03-05,54.15,55.2,51.8,52.85,1165374,,58.18963757346146,,,1393470.8,,3.357215718292172,,3.708184085941487
2020-03-09,51.1,52.0,46.4,47.3,1213795,63.35166666666666,56.20970346919574,,,1425437.95,,3.6072830864286396,,4.16747524313217
2020-03-11,47.1,49.9,43.8,46.15,2409605,62.2418817204301,54.380666474796506,,,1462910.2,-33.597122302158276,3.8069497873289415,,4.490925307239601
2020-03-13,46.0,49.75,42.5,47.95,1113576,61.319824835241064,53.21145438846987,,,1471425.7,-31.69515669515669,4.080367285850352,,4.952391111307731
2020-03-15,47.9,47.9,42.1,45.65,1653889,60.30886839425777,51.83664449965717,,,1502709.85,-31.916480238627887,4.219783391115735,,5.102431536043293
2020-03-17,45.7,46.7,34.75,42.0,4839912,59.12765107849921,50.04816368153769,,,1708490.75,-41.01123595505618,4.824343354593249,,6.246482046664415
2020-03-19,40.45,50.7,37.85,46.75,4719430,58.32909294440249,49.44849755762174,,,1928477.1,-31.65204678362573,5.44778273409733,,7.349308872259782
2020-03-23,38.1,47.3,37.4,46.4,3195280,57.55947404476362,48.894225274417785,,,1937546.05,-31.208302446256486,5.79148559900914,,7.775144999834628
2020-03-25,44.1,49.0,44.1,46.0,1306868,56.813701525746616,48.36800249725091,,,1926130.05,-31.95266272189349,5.723059363756569,,7.295277153864379
2020-03-27,47.0,47.2,41.1,44.4,1567492,56.01281755634361,47.64654749775074,,,1909144.8,-34.17346182357303,5.751838254385032,,7.095829806055844
2020-03-29,42.4,44.6,41.95,43.9,1726105,55.231345455934346,46.96535704361424,,,1939122.1,-33.68580060422961,5.516176701966397,,6.354131497182238
2020-03-31,46.0,46.15,42.0,43.15,1525489,54.451903813616,46.2716557629571,,,2005020.0,-34.96608892238131,5.412851435901471,,5.986476074130158
2020-04-02,43.15,44.5,41.75,42.4,747695,53.67436163209239,45.56771835151036,,,2029914.95,-37.18518518518519,5.21230020064326,,5.446696140805083
2020-04-06,44.35,44.35,41.85,42.55,1247429,52.95666088163482,45.019042287599376,,,1778855.5,-36.44510828976849,5.008815478328675,,4.955301505655172
2020-04-08,43.0,43.85,41.5,42.0,3380808,52.24977953443258,44.47012550803585,,,1910168.05,-34.833204034134994,4.810057744479372,,4.520879330254341
2020-04-12,42.0,42.35,39.85,41.2,1907230,51.536890532211125,43.87555723384751,,,1956530.5,-33.601933924254624,4.637943525495986,3.9523069336357186,4.183933440422807
2020-04-14,41.8,41.85,39.85,40.6,3159243,50.83128469142331,43.28000137314796,,,2034008.4,-34.41033925686591,4.442002781800457,4.010509295361222,3.8198250645165186
2020-04-16,41.2,43.3,40.85,42.8,2385785,50.313137291976645,43.19272839621196,,,2077994.1,-30.8562197092084,4.31297820565543,4.055170302789858,3.633136507774346
2020-04-20,43.0,46.5,40.7,41.2,5610259,49.7251929505588,42.83041414235524,,,2325294.8,-36.95485845447589,4.4228273479094256,4.098258266362284,3.994362731126991
2020-04-22,41.0,41.2,38.95,39.6,5518721,49.07195469568404,42.24306611647247,,,2519699.25,-38.076622361219705,4.2627076653810425,4.139433215382285,3.7035803952412416
2020-04-24,39.8,40.75,39.4,39.9,1136324,48.48021568305927,41.81705409529566,,,2518246.75,-37.26415094339623,4.048549529242394,4.177760590418826,3.311254916749864
2020-04-26,40.7,40.7,38.85,39.45,1563680,47.8976211228619,41.38668062342372,55.292,,2535741.0,-37.23150357995226,3.8872384394956137,4.213701311798151,3.067680312443284
2020-04-28,40.1,41.7,38.5,41.0,2966218,47.45261330848372,41.316375055528496,54.73152941176471,,2563571.65,-35.07521773555028,3.8369124424553256,4.252459336525868,3.0897360172898747
2020-04-30,41.5,45.6,41.5,44.6,4349174,47.26857374019445,41.91339777270513,54.33421453287198,,2725351.55,-30.959752321981416,3.8926923730110605,4.285304426858118,3.3414697325030307
2020-05-04,41.7,42.9,40.1,40.3,2112220,46.81898833760126,41.62005272312238,53.78385317864171,,2748268.1,-36.18368962787015,3.937011179032365,4.320388755740139,3.5345728459057804
2020-05-06,40.3,41.0,38.0,40.45,1231865,46.408085864207635,41.40731586437285,53.26095697555772,,2567865.75,-34.17412530512611,3.868737607515393,4.3543162257020445,3.4454717055796507
2020-05-08,40.95,41.0,40.0,40.75,868511,46.04304806651682,41.287803889032325,52.77033121181036,,2375319.8,-32.139883430474605,3.6600118238138672,4.379569944062008,3.0378714883128324
2020-05-10,40.9,41.3,39.7,39.8,378302,45.640270771902834,41.01729409102644,52.26169077213152,,2234470.9,-30.541012216404884,3.5103270318462902,4.396311253769925,2.798215657000632
2020-05-12,39.6,41.5,38.8,40.5,1304199,45.308640399522005,40.92324061993072,51.80044799675382,,2234337.45,-26.296633303002736,3.4515195062989075,4.403172654825246,2.781845778418996
2020-05-14,41.0,42.35,39.3,39.6,1716565,44.94034101890769,40.68265141630695,51.32199905570465,,2241791.1,-26.46239554317549,3.422413496319107,4.405472769714966,2.826539519298134
2020-05-18,40.45,40.5,38.5,39.15,1438548,44.566770630591066,40.403987522432956,50.8446657594025,,2227413.25,-25.92242194891202,3.319412527007892,4.404212663338824,2.6887794121928983
2020-05-20,40.05,43.0,39.8,40.15,7620380,44.28181768668197,40.357807972899685,50.425267102171034,,2532157.8,-15.116279069767435,3.3577960821300143,4.395896429862203,2.8823202985542795
