datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,118.4,122.2,117.4,121.0,13251087,,,,,,,
2020-01-03,120.7,122.05,118.0,118.45,7609742,,,,,,,
2020-01-05,117.45,117.45,111.4,112.55,9066181,,,,,,,
2020-01-07,114.0,120.8,112.5,120.25,23964247,,,,,,,
2020-01-09,120.6,125.25,120.3,121.9,20345666,,,,,,,
2020-01-13,123.0,127.75,122.5,126.15,20611025,,,,,,,
2020-01-15,125.9,128.0,125.0,126.05,11601422,,,,,,,5.306943056943056
2020-01-17,126.8,129.15,126.3,127.25,9731241,,,,,,,4.796727383542028
2020-01-19,125.9,125.9,117.5,118.1,17245236,,,,,,,5.87245197988194
2020-01-21,117.55,120.0,116.1,117.15,19718144,,,,,,,5.464681292095301
2020-01-23,117.0,122.0,116.8,119.95,13277584,,,,,,,5.4120708658570615
2020-01-27,118.9,120.7,117.75,119.35,11870525,,,,,,,4.93790926704783
2020-01-29,119.35,120.5,115.65,117.0,12538236,,,,,,,4.921406868750957
2020-01-31,117.6,118.7,108.1,109.95,17186233,,,,,,,5.965416221057972
2020-02-02,109.15,113.45,108.0,111.15,7957363,,,,,5.713965708429595,,5.872257721977761
2020-02-04,111.6,119.3,111.5,118.45,13981662,,,,,5.973293726190912,,6.278231344366856
2020-02-06,119.25,132.45,117.5,131.55,38133667,,,,,6.896569884031223,,7.8061690514117235
2020-02-10,131.0,134.0,127.0,130.85,18764043,,,,,6.906883820202917,,7.665465580972841
2020-02-12,130.85,133.55,125.1,126.7,19735642,,,,,7.056528164134826,,7.801324312277897
2020-02-14,126.7,128.55,125.45,126.3,5030456,,,15580970.1,,6.682399970043673,,6.992451853431795
2020-02-16,126.3,127.0,123.35,124.05,4676268,,,15152229.15,,6.4021398180540965,,6.4204565895740595
2020-02-18,123.55,126.6,119.9,123.35,13194662,,,15431475.15,,6.429102582508193,,6.468082386159044
2020-02-20,123.0,127.65,122.5,123.1,6136632,,,15284997.7,,6.315485525679309,,6.244349303992798
2020-02-24,122.5,122.5,115.8,116.55,11020182,,,14637794.45,,6.401440259351389,,6.422987621026256
2020-02-26,116.05,117.1,111.7,112.3,13540881,,,14297555.2,,6.31537435835757,,6.250317648713084
2020-02-28,109.0,109.5,99.0,99.95,13676570,,,13950832.45,,6.907060441793926,,7.437711679187522
2020-03-01,103.0,107.25,101.25,102.7,13951164,,,14068319.55,,6.939911000362621,,7.414557469131302
2020-03-03,105.0,108.7,102.4,105.65,20144933,,,14589004.15,,6.887056542594723,,7.227435723117598
2020-03-05,106.0,109.5,94.95,100.85,23727957,,,14913140.2,,7.512998909171325,,8.45531178821213
2020-03-09,95.8,98.2,93.4,94.45,11747390,117.43499999999997,,14514602.5,,7.507905126360439,,8.286908500384568
2020-03-11,94.45,99.0,80.5,81.65,28035908,115.12629032258063,,15252518.7,-32.52066115702479,8.388372261418413,,9.996291569629042
2020-03-13,75.4,86.3,70.0,83.45,20793977,113.08265868886576,,15698691.3,-29.5483326298016,9.016645836272097,,11.050610935126842
2020-03-15,80.0,80.0,70.2,71.0,21506722,110.36764845087443,,16147115.6,-36.916925810750776,9.350160098862762,,11.41825131125223
2020-03-17,72.0,73.7,61.8,62.85,38317942,107.30199371210833,,17203701.05,-47.733887733887734,9.54957638892291,,11.498738981620768
2020-03-19,60.0,62.7,56.4,59.55,39980782,104.22121992423038,,18804872.0,-51.1484823625923,9.308798834385794,,10.655569503820233
2020-03-23,53.6,55.0,45.9,48.8,34747587,100.64565734847358,,19843168.25,-61.31589377724931,9.643931463515827,,11.155487613432712
2020-03-25,47.0,59.85,46.85,53.6,43342240,97.61045364857206,,20103596.9,-57.47719159063863,9.901527475674023,,11.46334067331609
