datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,191.91,202.0,191.02,201.2,6567965,,,,,,,,,
2020-01-03,199.51,201.08,197.9,198.88,2670087,,,,,,,,,
2020-01-05,197.55,197.55,188.32,191.11,4503124,,,,,,,,,
2020-01-07,192.8,194.55,186.96,192.71,5464757,,,,,,,,,
2020-01-09,194.88,199.18,194.05,196.95,7923577,,,,,,,,,
2020-01-13,197.67,207.63,197.67,205.76,5715687,,,,,,,,,
2020-01-15,204.49,214.63,204.1,213.03,5174968,,,,,,,,,8.703979246559893
2020-01-17,212.79,214.25,210.24,213.6,2593152,,,,,,,,,7.618794119250189
2020-01-19,213.54,213.54,206.24,208.05,1512159,,,,,,,,,7.562590630966389
2020-01-21,206.24,212.59,204.19,208.2,5666278,,202.949,,,,,,,7.735710685524195
2020-01-23,207.63,220.09,207.13,218.85,8166923,,205.8400909090909,,,,,,,8.774137260559556
2020-01-27,216.53,221.1,204.99,208.31,9423505,,206.28916528925618,,,,,,,10.186925354279717
2020-01-29,213.51,225.13,212.62,218.67,24200510,,208.54022614575504,,,,,,,11.432091460340002
2020-01-31,219.73,223.95,204.43,208.49,5883344,,208.5310941192541,,,,,,,12.9190534526586
2020-02-02,207.04,215.34,205.88,207.37,2771379,,208.31998609757153,,,,,11.159059738787652,,12.293849559722418
2020-02-04,209.35,233.08,209.35,230.09,11266351,,212.27817044346762,,,,,12.708080008149695,,14.68507847324368
2020-02-06,231.36,237.5,227.95,236.14,10420500,,216.6166849082917,,,,,12.383263768524703,,13.780294185345658
2020-02-10,235.69,239.25,231.51,232.49,5249280,,219.5027421976932,,,,,11.920242667868102,,12.726060767600767
2020-02-12,232.85,235.01,228.25,230.06,3123626,,221.42224361629445,,,,,11.4198259535128,,11.692911135006973
2020-02-14,230.32,232.43,226.23,228.48,1998541,,222.70547204969543,,,6514785.65,,10.92624067459064,,10.747844545069158
2020-02-16,229.58,230.47,221.4,222.35,1678742,,222.64084076793262,,,6270324.5,,10.754683393648403,,10.46071426605445
2020-02-18,220.8,227.54,216.38,226.79,3586662,,223.39523335558124,,,6316153.25,,10.791373279872863,,10.579851540901776
2020-02-20,225.73,231.18,224.84,226.2,2537460,,223.90519092729372,,,6217870.05,,10.395977368847365,,9.860173421283234
2020-02-24,222.46,226.53,214.96,220.3,6017470,,223.24970166778576,,,6245505.7,,10.498477438900016,,10.149512066723728
2020-02-26,219.5,219.5,207.63,209.2,5846117,,220.69521045546105,,,6141632.7,,10.685102695877926,,10.57494495829469
2020-02-28,202.29,210.6,196.54,203.63,6414180,,217.5924449181045,,,6176557.35,,10.970999159100018,,11.161940704513002
2020-03-01,207.93,211.93,197.55,200.42,2661290,,214.47018220572184,,,6050873.45,,11.255998669701555,,11.703010433243952
2020-03-03,202.89,206.86,193.25,198.7,7385007,,211.60287635013603,,,6290466.2,,11.450431120194404,,12.02317267453191
2020-03-05,199.48,205.59,183.9,199.48,9314988,,209.39871701374767,,,6680607.65,,12.286843396100705,,13.64414388755588
2020-03-09,192.86,197.43,188.98,191.5,3000519,211.56699999999998,206.1444048294299,,,6547319.7,,12.142368002851427,,13.117457366741291
2020-03-11,192.68,196.75,165.6,168.95,10599417,208.81751612903224,199.38178576953354,,,6668944.4,-16.028827037773365,13.664879906283028,,16.13559571142197
2020-03-13,154.45,185.8,148.9,167.65,9716846,206.16154734651406,193.6123701750729,,,6683611.45,-15.702936444086879,15.51001373282116,,19.6085218145706
2020-03-15,161.24,163.61,153.06,155.16,4390272,202.87112493706155,186.62103014324146,,,5693099.55,-18.811155878813256,15.437532742616236,,18.76964738486227
2020-03-17,151.31,163.5,128.14,135.64,14446022,198.53363300563825,177.35175193537935,,,6121233.45,-29.614446577759335,16.995616647233277,,21.541463611401394
2020-03-19,122.27,137.69,110.91,124.58,20429936,193.76243087624223,167.75688794712855,,,7004161.3,-36.74536684437675,17.75567531355687,,22.416330386509625
2020-03-23,112.12,115.68,84.3,95.51,14066621,187.42356436809757,154.6210901385597,,,7144174.8,-53.58184292379471,19.494511148057576,,25.398657728991335
2020-03-25,90.77,106.78,88.39,96.37,17144414,181.5491408604784,144.02998284063975,,,7480370.5,-54.76224006008543,19.40973407511318,,24.22889777332049
2020-03-27,100.55,107.97,94.24,95.45,12948092,175.99435757915722,135.19725868779614,,,7865311.1,-55.313670411985015,18.976094318531267,,22.47702180963141
2020-03-29,93.73,93.73,83.65,85.4,5482328,170.14956031598578,126.14321165365138,,,7983246.2,-58.9521749579428,18.43089196150414,,20.69577300671429
2020-03-31,88.57,91.15,81.99,90.53,14171403,165.012814489148,119.6680822620784,,,8591889.3,-56.517771373679146,17.7297254307012,,18.771573152740856
2020-04-02,91.06,92.84,83.11,84.57,6148828,159.82295548984817,113.28661275988232,,,8815393.6,-61.35709389993147,17.127230377757883,,17.26361831490016
2020-04-06,87.27,88.99,76.11,84.36,23143495,154.95437771630958,108.02722862172189,,,9793235.25,-59.50266429840142,16.808590688161882,,16.53260078898101
2020-04-08,83.65,101.18,80.56,98.71,29313749,151.3257081862251,106.33318705413609,,,11132049.7,-54.85891983353912,17.09350969956664,,17.21415601517199
2020-04-12,99.46,99.6,89.13,91.33,6059930,147.45501733550094,103.60533486247498,,,11134172.7,-56.19454170463811,16.600015456146018,14.092766294485955,16.089687267496284
2020-04-14,91.95,100.02,91.48,92.4,9376342,143.90308073321057,101.56800125111587,,,11310683.95,-55.441963639870764,16.012476603952823,14.254546856658125,14.856001266213706
2020-04-16,91.6,113.78,90.38,106.66,33894356,141.50030133106796,102.49381920545844,,,12684692.75,-53.64422617236734,16.55964684093218,14.382932417750876,16.28039052392886
2020-04-20,107.32,108.56,88.78,89.91,16616707,138.17189479357972,100.20585207719326,,,13382463.6,-61.9251291606674,16.797540484202198,14.530074974940128,16.86379170207685
