datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2023-05-09,1300.0,1430.0,1300.0,1382.85,38845338,,,,,,,
2023-05-11,1370.0,1438.8,1306.65,1394.45,7058545,,,,,,,
2023-05-15,1397.9,1409.8,1351.95,1359.0,1294643,,,,,,,
2023-05-17,1359.0,1369.95,1343.4,1355.8,780918,,,,,,,
2023-05-19,1360.0,1361.0,1325.75,1330.8,373144,,,,,,,
2023-05-21,1330.0,1349.0,1242.0,1330.45,914898,,,,,,,
2023-05-23,1339.95,1348.95,1314.0,1322.65,399019,,,,,,,61.38579001643516
2023-05-25,1329.0,1343.85,1319.8,1323.6,216098,,,,,,,52.75425546674857
2023-05-29,1328.0,1385.0,1320.0,1355.95,754505,,,,,,,55.4137191415611
2023-05-31,1379.95,1401.0,1326.0,1395.4,1454419,,,,,,,59.46284748450101
2023-06-02,1406.0,1509.05,1399.05,1466.25,1540408,,,,,,,70.2335716558583
2023-06-04,1443.95,1469.9,1413.05,1423.9,612827,,,,,,,67.65607649837811
2023-06-06,1430.8,1518.9,1430.0,1486.15,1229610,,,,,,,72.78909980498192
2023-06-08,1490.95,1496.0,1450.7,1485.3,356641,,,,,,,67.73522878101765
2023-06-12,1478.25,1544.5,1469.0,1521.2,679317,,,,,67.95200058877393,,69.13866624167193
2023-06-14,1527.05,1662.0,1524.1,1622.65,2611363,,,,,75.70703398488116,,81.91123122051737
2023-06-16,1630.0,1680.0,1608.8,1623.65,839183,,,,,75.24347453513535,,80.02394677825156
2023-06-18,1631.8,1724.0,1627.55,1700.55,658756,,,,,77.74706934127279,,83.57152308822927
2023-06-20,1719.0,1768.0,1680.05,1696.1,1484273,,,,,78.73650285548088,,84.32974899120403
2023-06-22,1724.0,1758.0,1645.05,1694.0,2071252,,,3208757.85,,81.9717215546054,,89.25392168565504
2023-06-26,1701.0,1720.0,1675.0,1677.7,487169,,,1290849.4,,78.5547249827248,,81.6807284965486
2023-06-28,1681.0,1720.0,1680.0,1699.75,211474,,,948495.85,,75.27289119187978,,74.97143578996156
2023-06-30,1719.45,1719.45,1701.0,1706.8,162099,,,891868.65,,70.33659568045016,,65.58958772424457
2023-07-02,1707.95,1716.95,1692.2,1697.45,171333,,,861389.4,,66.35657934454657,,58.67866989224459
2023-07-04,1709.4,1727.0,1661.05,1697.85,692974,,,877380.9,,66.32163705289501,,59.90599693177076
2023-07-06,1699.0,1749.95,1699.0,1733.8,567027,,,859987.35,,65.11688462096625,,58.59121511653135
2023-07-10,1744.0,1745.95,1717.8,1731.4,320853,,,856079.05,,62.02637672227724,,53.4729688404479
2023-07-12,1737.65,1897.9,1730.6,1820.3,1454265,,,917987.4,,70.72161757991664,,72.5832555722149
2023-07-14,1829.95,1854.0,1810.15,1819.9,276149,,,894069.6,,68.52662762661612,,67.76515149619472
2023-07-16,1819.7,1876.0,1815.9,1842.25,203252,1556.596666666667,,831511.25,,67.84529184600022,,66.48113520513817
2023-07-18,1857.0,1920.95,1825.65,1878.3,632006,1577.3517204301081,,786091.15,35.82818093068663,70.0444148075546,,71.30459924215747
2023-07-20,1884.9,1944.0,1880.0,1899.45,943185,1598.1322545959076,,802609.05,36.21499515938182,69.69941866870961,,70.36720856456975
2023-07-24,1925.0,1949.0,1898.5,1918.55,750735,1618.8043672026233,,778665.3,41.17365710080942,68.18684029425455,,67.04629179459334
2023-07-26,1933.0,1935.0,1800.0,1851.3,808992,1633.8040854476155,,801282.85,36.54668830210945,73.41212225402525,,78.39958822093861
2023-07-28,1849.9,1860.0,1803.0,1814.85,199521,1645.4844670316404,,777293.05,36.37285843101894,72.13721556832115,,74.82572954234975
2023-07-30,1815.0,1824.65,1725.0,1742.75,495740,1651.7596627070186,,671511.9,30.989514825810804,74.26115118648822,,78.97012440325236
2023-08-01,1760.0,1797.9,1726.05,1739.8,1203642,1657.4396844678563,,689734.85,31.538955884020716,74.07608257909902,,77.78176042139218
2023-08-03,1900.0,1945.0,1816.2,1880.6,3110626,1671.8371241796076,,812328.35,42.08220006044123,84.08721036791788,,99.04313052641241
2023-08-07,1879.95,1888.0,1751.7,1779.45,1544549,1678.7798903615685,,815342.15,31.23271507061469,88.05406680970988,,105.25869843790646
2023-08-09,1799.95,1850.0,1778.0,1841.6,887949,1689.284413564048,,756177.0,31.976494195212823,86.83988220083039,,99.71105263728975
2023-08-11,1845.0,1850.0,1816.05,1831.85,227997,1698.4821933341095,,743218.4,24.934356351236133,82.8565089397356,,88.74341506021203
2023-08-13,1829.0,1846.9,1806.0,1819.75,246751,1706.3059227964252,,744982.25,27.800407331975553,79.7088084864942,,80.76498892991707
2023-08-15,1814.9,1828.45,1803.95,1819.65,173663,1713.6184439063334,,745560.45,22.44053426639303,75.58171589479865,,71.38305795694453
2023-08-17,1822.9,1894.0,1820.85,1848.1,796557,1722.2946733317312,,776821.65,24.426041877061877,75.48994510692577,74.09574708910958,71.87774307337355
2023-08-21,1863.1,1876.4,1825.0,1850.15,489160,1730.543404084523,,766630.95,21.62437549303182,73.70059604989923,74.28736693781374,68.4636656868261
2023-08-23,1859.65,1859.65,1825.0,1827.85,410935,1736.8212489822959,,758826.35,12.645980340800534,70.80824326137996,74.12407391369705,62.82651338039749
2023-08-25,1809.55,1827.7,1780.0,1785.35,292066,1739.9521361447285,,757387.0,9.959042897176108,69.11227394908566,73.91970056082872,60.32985893640449
2023-08-27,1785.35,1797.45,1762.0,1773.05,296616,1742.0874821999075,,699504.55,4.263326570815318,66.6316384659687,73.5491861983186,56.182428262188296
2023-08-29,1780.05,1793.7,1772.2,1779.95,359881,1744.5302252837844,,703691.15,4.943694357644013,63.31331452648378,73.03507992068535,50.40110874970518
2023-08-31,1780.0,1826.45,1686.15,1716.55,791029,1742.7250494590241,1661.9360000000001,733080.0,1.3311688311688386,68.96195057700068,72.60142088809852,65.38623325665604
2023-09-04,1748.0,1784.0,1705.25,1772.15,407447,1744.6234333648936,1666.258117647059,721852.05,5.629731179591113,69.67872268691582,72.30555414490489,67.6137724866254
2023-09-06,1760.0,1803.45,1760.0,1779.7,440229,1746.8864376639328,1670.7068189158017,696704.25,4.703632887189291,67.761463893247,72.05517323495046,63.58610825622498
2023-09-08,1775.05,1788.95,1753.0,1756.55,541562,1747.509893298518,1674.0732181740054,686245.6,2.9148113428638434,65.43999445192179,71.89195319399951,58.97973870651752
2023-09-10,1766.5,1793.0,1752.05,1770.5,136095,1748.9931259889363,1677.8546605985543,652600.75,4.303514094671423,63.65557669354435,71.80191977229944,55.97459115583925
2023-09-12,1770.0,1819.9,1764.55,1813.5,957680,1753.1548597961018,1683.1740856731208,690508.7,6.811555791147628,63.05127325362305,71.69290764565704,55.87048711315411
2023-09-14,1820.95,1839.9,1761.55,1765.65,592214,1753.9609978737728,1686.4084352545672,695332.4,1.837005421617266,64.16291091702278,71.66110852219227,59.61723805173193
2023-09-18,1770.0,1773.4,1731.05,1734.45,135735,1752.7022238174006,1688.2924181857607,641937.05,0.17615802240960043,62.579891635174455,71.67955901928885,56.739259132899825
2023-09-20,1733.0,1748.8,1693.6,1739.8,655192,1751.8698222807943,1690.3123233549466,519165.35,-4.4223479646212205,62.044925845932504,71.39033596148937,56.48270807647393
2023-09-22,1749.0,1756.9,1719.0,1751.8,123106,1751.8653176175173,1692.7236047920076,448093.2,-3.741963844167273,60.296523730433655,71.11599916494995,53.38551091269622
2023-09-24,1759.9,1759.9,1721.55,1742.55,78971,1751.2643293841293,1694.677581074674,407644.3,-5.411860496675258,58.70887674247207,70.81145199483235,50.879539059032524
2023-09-26,1776.1,1776.55,1742.75,1756.5,139758,1751.6021145851532,1697.101989659981,403232.35,-6.4845871266570825,56.92302723404666,70.37407240904874,48.06623262141133
2023-09-28,1750.0,1845.0,1745.05,1795.3,448021,1754.4213329990143,1700.9528920262564,413295.85,-5.483166179683597,60.030196641706084,70.05176500814862,56.71365507276608
2023-10-02,1790.0,1806.95,1766.85,1798.4,122697,1757.2586663539166,1704.7743472409131,410747.55,-6.262542023924311,58.59207853837936,69.73193961628613,53.94467843490164
2023-10-04,1797.95,1818.8,1770.6,1776.65,347843,1758.5097201375352,1707.5930002902892,388311.85,-4.032301625884505,57.84275594420168,69.212960739292,52.98722219575882
2023-10-06,1768.4,1805.85,1746.65,1799.45,203884,1761.1510285157588,1711.195235573023,374048.05,-0.8485549769953415,57.94055408803921,68.73973868994928,54.02269402527098
2023-10-08,1800.0,1800.05,1757.25,1768.1,52615,1761.5993492566777,1713.426794962316,356132.05,1.454597618706055,56.85026454063849,68.15937580175428,52.15223168068602
2023-10-10,1784.9,1800.0,1766.05,1775.1,114854,1762.4703589820533,1715.8453520226174,347271.45,2.028968846993906,55.202149139184634,67.53024468709046,49.118508369824276
2023-10-12,1780.0,1804.8,1767.05,1789.4,142157,1764.2077551767597,1718.7298480217305,339548.5,-4.849516111879182,53.94680940976509,66.52556465515204,47.22374759035869
