datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,506.66,518.0,504.23,507.04,1243230,,,,,,,
2020-01-03,507.04,516.0,506.61,513.49,625645,,,,,,,
2020-01-05,513.49,513.49,500.22,503.97,414525,,,,,,,
2020-01-07,504.4,515.6,504.4,509.94,1023700,,,,,,,
2020-01-09,512.04,514.0,504.2,509.76,1093935,,,,,,,
2020-01-13,512.93,513.6,495.6,509.17,4746695,,,,,,,
2020-01-15,508.0,524.0,494.0,516.17,2363270,,,,,,,17.21766137088718
2020-01-17,511.0,523.0,511.0,520.09,777875,,,,,,,16.01140795100366
2020-01-19,521.0,524.0,513.83,518.34,278655,,,,,,,14.742802990866492
2020-01-21,520.0,535.0,500.94,506.36,2579555,,,,,,,18.736302853406038
2020-01-23,507.76,551.49,506.07,541.61,4853665,,,,,,,24.040193692766767
2020-01-27,541.6,561.02,534.22,553.07,3385725,,,,,,,24.571695116705662
2020-01-29,556.0,576.0,556.0,564.91,2258890,,,,,,,24.263514789332813
2020-01-31,568.43,587.0,528.2,535.22,1824660,,,,,,,30.61304762649498
2020-02-02,535.22,584.85,535.12,562.22,2464880,,,,,28.893630178846166,,34.0683261321812
2020-02-04,559.96,604.8,559.96,597.46,3668720,,,,,30.59120089470946,,35.98821649972068
2020-02-06,596.0,626.0,592.0,615.66,1749105,,,,,30.941804205632618,,35.637899156127965
2020-02-10,619.5,625.6,592.21,599.87,4412140,,,,,31.185935568363927,,35.24556554829475
2020-02-12,602.79,609.79,565.93,572.95,2808520,,,,,32.41500832494166,,36.73733711004532
2020-02-14,572.95,593.4,564.0,570.03,975335,,,2177436.25,,32.129909982914086,,35.47493326054158
2020-02-16,567.2,570.0,554.4,563.92,662700,,,2148409.75,,30.604957033003842,,32.07886105535842
2020-02-18,563.19,582.21,550.22,569.99,2389915,,,2236623.25,,30.730333265012945,,32.06372180188656
2020-02-20,571.01,578.0,565.0,568.09,679240,,,2249859.0,,29.15542574022641,,28.82781994849414
2020-02-24,567.91,567.91,526.21,529.92,2762625,,,2336805.25,,30.26636663557903,,31.036523534668618
2020-02-26,529.79,539.6,510.0,513.44,2703660,,,2417291.5,,30.20909767285481,,30.79405287924699
2020-02-28,499.0,530.0,464.66,518.67,2511040,,,2305508.75,,33.185129184351226,,36.61270531552018
2020-03-01,529.6,550.0,525.6,537.05,2311025,,,2302896.5,,33.03003655330831,,35.72449547549563
2020-03-03,543.04,561.0,528.0,530.87,3854025,,,2456704.0,,33.02755563684113,,35.267083126199246
2020-03-05,525.06,547.6,510.0,529.66,3014755,,,2593509.0,,33.40105266988392,,35.658275703400456
2020-03-09,515.0,519.64,504.0,506.14,1217480,539.836,,2525405.25,,32.77514911779566,,33.98342962997137
2020-03-11,501.0,521.5,470.0,472.83,3632945,535.5130322580645,,2464369.25,-6.747002208898712,34.275010245284584,,36.91520879036407
2020-03-13,426.4,470.0,426.31,458.49,2627740,530.5438043704476,,2426470.0,-10.711016767609882,35.24740224114725,,38.521646887198166
2020-03-15,446.2,454.42,434.53,436.59,1286070,524.4822686046123,,2377829.0,-13.369843443062102,34.35815237226659,,36.087584890566674
