datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,1481.9,1485.3,1468.72,1472.93,699750,,,,,,,,,
2020-01-03,1475.0,1479.5,1455.61,1459.36,400000,,,,,,,,,
2020-01-05,1454.2,1454.2,1427.5,1441.67,651360,,,,,,,,,
2020-01-07,1442.35,1454.68,1412.03,1439.12,1117250,,,,,,,,,
2020-01-09,1449.5,1471.89,1445.0,1468.58,949820,,,,,,,,,
2020-01-13,1474.79,1489.5,1460.1,1486.86,773680,,,,,,,,,
2020-01-15,1482.8,1539.8,1471.89,1535.49,2446760,,,,,,,,,41.30045470658377
2020-01-17,1539.9,1560.0,1535.86,1543.95,963990,,,,,,,,,37.418726481708156
2020-01-19,1523.02,1547.94,1523.02,1541.72,687700,,,,,,,,,34.70432157400637
2020-01-21,1536.1,1558.5,1520.0,1554.87,1188850,,1494.455,,,,,,,35.48901312450839
2020-01-23,1550.0,1585.0,1545.5,1575.55,934930,,1509.1995454545454,,,,,,,36.28627283064441
2020-01-27,1570.0,1584.5,1536.68,1541.67,844690,,1515.1032644628096,,,,,,,38.50751292193941
2020-01-29,1558.5,1589.99,1544.0,1552.08,1115030,,1521.8263072877533,,,,,,,40.34952088632117
2020-01-31,1556.0,1566.18,1518.44,1552.47,1018300,,1527.3978877808888,,,,,,,41.708260478043464
2020-02-02,1558.9,1650.0,1553.0,1630.1,2037520,,1546.0709990934542,,,,,46.203811407471676,,51.797716838647844
2020-02-04,1640.0,1650.79,1612.7,1638.48,1739270,,1562.8726356219172,,,,,45.340055656548984,,49.35452055899588
2020-02-06,1639.9,1654.94,1615.78,1632.78,1154910,,1575.5830655088412,,,,,44.70442184301254,,47.558278871065774
2020-02-10,1630.0,1637.31,1595.0,1599.72,1346200,,1579.9715990526884,,,,,44.46565275892491,,46.642278623106755
2020-02-12,1602.6,1647.26,1596.84,1641.22,2802390,,1591.1076719521996,,,,,45.043078099997174,,47.29647099636825
2020-02-14,1650.0,1678.24,1625.0,1635.65,1657080,,1599.2062770517996,,,1226474.0,,45.81817673706826,,48.3190673118012
2020-02-16,1641.3,1661.5,1637.3,1658.84,1397880,,1610.0487721332906,,,1261380.5,,43.97268000096161,,44.47392588591789
2020-02-18,1656.99,1683.15,1638.51,1678.51,1850130,,1622.496268109056,,,1333887.0,,44.03308683960663,,44.50221992426872
2020-02-20,1674.0,1674.0,1652.54,1653.95,657320,,1628.2151284528638,,,1334185.0,,42.42862227826054,,41.35653591651729
2020-02-24,1649.9,1657.68,1630.93,1638.05,1574320,,1630.0032869159793,,,1357038.5,,41.05977312730936,,38.884802601999
2020-02-26,1654.5,1654.5,1605.75,1626.38,2070380,,1629.3445074767103,,,1413066.5,,41.720687543785566,,40.54994822699487
2020-02-28,1604.2,1612.91,1568.0,1577.89,1406730,,1619.9891424809448,,,1444719.0,,43.131941896659114,,43.5531043953649
2020-03-01,1595.0,1631.5,1590.1,1610.99,1172320,,1618.3529347571366,,,1380997.0,,44.007929193487776,,45.24402469142858
2020-03-03,1613.03,1663.25,1602.0,1654.15,2050830,,1624.8614920740208,,,1435339.0,,45.43206521046119,,47.93124910949875
2020-03-05,1655.0,1683.52,1620.01,1642.93,1713020,,1628.1466753332897,,,1486605.0,,46.90874911761519,,50.54355466520507
2020-03-09,1624.93,1635.0,1570.11,1603.14,1236840,1576.3033333333333,1623.6000070908733,,,1489004.5,,49.00380577953786,,54.27515980450425
2020-03-11,1600.52,1620.0,1504.5,1556.55,3465980,1575.028924731183,1611.4090967107145,,,1615557.0,5.677119754502913,54.33015296727491,,64.52246888337814
2020-03-13,1534.1,1585.5,1405.0,1499.18,2616700,1570.1354457162681,1591.0038063996753,,,1704157.5,2.728593355991671,64.34947938823773,,83.92015492319429
2020-03-15,1480.0,1493.1,1349.27,1439.72,2212280,1561.721545992638,1563.4976597815523,,,1759020.0,-0.1352598028675156,71.09015187512853,,94.9507323921662
2020-03-17,1450.0,1477.7,1340.0,1353.68,3899220,1548.2995107673066,1525.3489943667246,,,1903066.0,-5.9369614764578245,76.29953336947547,,102.09302263619267
2020-03-19,1300.05,1443.31,1257.7,1414.55,4196350,1539.6705100726417,1505.2037226636837,,,2011007.5,-3.6790641299758953,84.79085719510144,,116.0408552430418
2020-03-23,1275.04,1399.98,1220.0,1347.83,4546130,1527.2937029711811,1476.5903185430138,,,2151350.5,-9.350577727560093,93.26405820467969,,129.1479029051141
2020-03-25,1280.0,1510.0,1280.0,1491.97,4041030,1525.0147543923954,1479.3866242624658,,,2295656.5,-2.834274401005543,103.7592650046186,,145.9803334772379
2020-03-27,1540.0,1553.4,1480.0,1510.86,1752470,1524.1015444315958,1485.1090562147447,,,2315970.0,-2.143204119304387,101.44137756261783,,133.86937246012758
2020-03-29,1499.0,1589.0,1468.77,1565.86,2014700,1526.7956383392348,1499.7910459938819,,,2276585.5,1.565783670186538,102.868839463683,,131.5939143501491
2020-03-31,1584.9,1645.6,1550.0,1565.45,3114310,1529.2894681238004,1511.7290376313576,,,2349447.0,0.6804427379781153,102.31909010074389,,125.59002673063912
2020-04-02,1593.97,1593.97,1500.5,1510.47,1907800,1528.075308890007,1511.5001216983833,,,2374943.0,-4.130621052965622,101.6526256008141,,120.23304416999291
2020-04-06,1557.5,1720.0,1542.6,1703.86,2469010,1539.416256703555,1546.47464502595,,,2405887.0,10.520409685600661,109.74590287463461,,135.12431321617808
2020-04-08,1665.0,1754.41,1655.54,1683.97,4559550,1548.7423046581646,1571.4738004757771,,,2600998.5,8.497628988196482,108.93288300674732,,129.0790713964316
2020-04-12,1684.5,1697.4,1633.02,1659.99,831320,1555.9195753253798,1587.5676549347265,,,2563848.5,6.925737695414402,105.61340552593974,66.45773865434684,118.2916454197401
2020-04-14,1665.71,1739.1,1665.71,1732.59,1555790,1567.3176672398715,1613.9353540375034,,,2538119.0,6.287344334703393,103.64478984519258,68.37243793560421,111.75922780340665
2020-04-16,1732.0,1836.99,1705.22,1732.43,4130110,1577.9700758050412,1635.4798351215936,,,2674288.0,5.733972950539523,105.72793423343703,70.38536722150047,115.09526867180006
2020-04-20,1748.98,1748.98,1670.0,1701.53,2689530,1585.9416838176194,1647.4889560085767,,,2750148.5,4.210610125062786,103.7520132053902,72.35362026691305,109.07468539348716
2020-04-22,1700.83,1780.0,1681.72,1743.61,3893410,1596.1138332487408,1664.9655094615625,,,2842277.5,8.994699072337653,103.34877038994921,74.31639085461389,107.27522947880936
2020-04-24,1730.0,1780.0,1730.0,1740.61,1451160,1605.4361665875317,1678.7190531958238,,,2829184.5,6.055860883976538,99.42627814405965,76.12916418941595,97.72784717718456
2020-04-26,1758.5,1801.5,1742.5,1795.08,1219860,1617.6712526141425,1699.875588978401,1580.7778000000003,,2828335.5,9.747195304618938,96.59880987940545,77.82185196082719,91.58739629018513
