datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,23.9,24.1,23.9,24.0,1307805,,,,,,,
2020-01-03,24.0,24.1,24.0,24.05,1034706,,,,,,,
2020-01-05,24.0,24.05,23.9,23.95,1170184,,,,,,,
2020-01-07,23.95,24.1,23.65,23.85,2354507,,,,,,,
2020-01-09,23.9,24.3,23.85,24.25,3020131,,,,,,,
2020-01-13,24.25,24.4,24.1,24.2,1453243,,,,,,,
2020-01-15,24.2,24.8,24.1,24.6,2653252,,,,,,,0.40982243562888715
2020-01-17,24.5,24.6,24.2,24.25,691602,,,,,,,0.4075516200801744
2020-01-19,26.95,29.1,26.15,27.05,64792445,,,,,,,1.3723382087229474
2020-01-21,26.8,27.2,25.15,26.15,52157757,,,,,,,1.512433185702975
2020-01-23,26.55,29.0,24.85,27.45,202927554,,,,,,,2.0366996090436964
2020-01-27,27.25,28.2,26.85,27.3,7499293,,,,,,,1.9044505381330226
2020-01-29,27.5,27.75,25.05,25.2,12512082,,,,,,,2.053791722805262
2020-01-31,25.2,25.55,23.8,23.9,22764564,,,,,,,1.9979396142932382
2020-02-02,23.85,24.2,23.65,24.0,2375863,,,,,1.602566466271976,,1.7362329086923534
2020-02-04,24.0,24.9,24.0,24.55,6413943,,,,,1.527774756781535,,1.5871868527015136
2020-02-06,24.6,24.7,24.05,24.55,11814726,,,,,1.4374934798665242,,1.4220575477518074
2020-02-10,24.9,25.4,23.45,23.95,38765140,,,,,1.4886000602538978,,1.5142011683649448
2020-02-12,24.15,24.15,23.6,23.7,17678463,,,,,1.3975789225910074,,1.3472293386020784
2020-02-14,23.9,24.1,23.3,23.45,15002516,,,23419488.8,,1.3410720271864605,,1.2530774121944912
2020-02-16,22.9,22.9,21.75,22.0,13667692,,,24037483.15,,1.3742448306450306,,1.3295594722945712
2020-02-18,22.0,22.15,21.1,21.45,29507520,,,25461123.85,,1.3448936869741093,,1.281930939249844
2020-02-20,21.35,21.75,20.85,21.45,19183993,,,26361814.3,,1.305375737431211,,1.217101466441225
2020-02-24,21.5,22.2,21.2,22.05,13020172,,,26895097.55,,1.2787143821485207,,1.180363328781444
2020-02-26,22.0,22.05,21.2,21.4,8322595,,,27160220.75,,1.241869758393811,,1.1246013374713704
2020-02-28,21.0,21.2,20.4,20.6,6961303,,,27435623.75,,1.2213803324190668,,1.1036144508387224
2020-03-01,21.0,21.5,20.8,21.1,5275905,,,27566756.4,,1.1945122729109874,,1.069379651052556
2020-03-03,21.1,23.4,21.1,22.0,15851972,,,28324774.9,,1.2858217743123452,,1.2759870578061248
2020-03-05,22.25,22.3,21.05,21.7,11203401,,,25645322.7,,1.2828956968445058,,1.2716294468551215
2020-03-09,21.5,21.65,19.95,20.1,24589283,23.608333333333334,,24266899.0,,1.3206634598359848,,1.351762968508891
2020-03-11,20.05,21.4,18.65,19.8,43960965,23.36263440860215,,16318569.55,-17.499999999999993,1.4351533603525726,,1.5857883572476048
2020-03-13,19.25,20.95,17.5,20.55,17653637,23.181174124176206,,16826286.75,-14.553014553014554,1.5951551884087765,,1.8975848906771582
2020-03-15,19.95,20.4,19.05,19.15,22293440,22.921098374229356,,17315354.65,-20.041753653444683,1.587658623919619,,1.8311263176648604
2020-03-17,19.25,21.8,15.1,19.35,53701203,22.69070493073069,,18862186.6,-18.867924528301884,1.9874814325140908,,2.644588417641679
2020-03-19,17.75,21.75,17.45,21.25,36889620,22.597756225522257,,20587874.45,-12.371134020618557,2.1671197106642293,,2.9210520107335807
2020-03-23,18.85,19.6,17.6,19.05,14171239,22.368868727101468,,20975739.25,-21.28099173553718,2.2815953018868926,,3.042749375646474
2020-03-25,18.8,19.35,18.05,18.2,23939476,22.099909454385248,,21581976.75,-26.016260162601633,2.2062526703016103,,2.7518807797998055
2020-03-27,18.8,19.5,18.7,19.4,25280045,21.925721747650716,,20907722.0,-20.000000000000007,2.1370615458309685,,2.509615820640288
2020-03-29,19.1,19.95,18.7,19.65,11417482,21.77890098973777,,20594672.95,-27.35674676524954,2.069667219035922,,2.2994739652937892
2020-03-31,19.5,20.15,19.3,19.45,22559453,21.628649312980496,,20972519.8,-25.621414913957928,1.9774226069471905,,2.057697571918742
2020-04-02,19.7,21.45,19.05,19.8,14065920,21.510671937949496,,20992431.2,-27.86885245901639,2.009248797859056,,2.1147868188572874
2020-04-06,20.55,21.55,20.0,21.2,10416934,21.490628587114045,,20037901.9,-22.344322344322354,1.989799192085245,,2.05395452492728
2020-04-08,21.25,22.45,20.85,21.7,13678442,21.504136420203462,,19762624.35,-13.888888888888884,1.9606600492200719,,1.9782596727867914
2020-04-12,22.1,22.35,21.2,21.65,3364676,21.513546973738727,,19279849.55,-9.414225941422593,1.9002606407784484,1.631666466155722,1.840162019809364
2020-04-14,22.0,23.55,21.7,22.2,11012665,21.557834265755584,,19414353.05,-7.500000000000007,1.9002412809447473,1.641588959978148,1.8501382898647865
2020-04-16,22.3,22.75,22.1,22.6,8398140,21.625070764739096,,19486194.9,-7.942973523421582,1.80763990680332,1.6509177983122074,1.650060534574848
2020-04-20,22.85,22.85,21.1,21.25,8032763,21.600872650884963,,19624037.8,-13.441955193482691,1.803381936714364,1.6631140802071351,1.6667209083311707
2020-04-22,21.0,21.45,20.7,20.8,11283612,21.549203447602064,,19395619.8,-13.152400835073063,1.725756265512223,1.6710192870490796,1.5139050734574104
2020-04-24,20.8,21.3,20.4,20.7,11682227,21.494416128401934,,19419561.1,-12.658227848101266,1.6650421661095376,1.679934728499697,1.4115713685287647
2020-04-26,21.2,21.3,20.65,20.7,3421211,21.44316347495665,22.334000000000007,18361157.5,-11.727078891257992,1.5905669014970159,1.6882512243100494,1.2846260678736239
2020-04-28,20.65,21.45,20.15,21.1,21195475,21.421023895927192,22.285607843137264,17222883.0,-4.09090909090909,1.5692888876602509,1.6947526928772232,1.287188671485921
2020-04-30,21.45,21.45,20.6,20.8,4724206,21.38095783812544,22.227348712033844,16576411.45,-3.0303030303030276,1.5167105382866906,1.7004799212543091,1.214317220016381
2020-05-04,20.7,20.7,20.15,20.3,8756773,21.311218622762507,22.151766409601144,15899578.1,-5.361305361305357,1.45346157760198,1.705416115926668,1.1202571723946797
2020-05-06,20.5,20.5,20.2,20.35,4461550,21.24920451806815,22.081108903342276,13437595.45,-7.709750566893425,1.3694167515927393,1.7084395282414753,0.9835389496476634
2020-05-08,20.45,20.5,19.9,19.95,3357621,21.165384871741175,21.99753600517199,11760995.5,-6.775700934579431,1.313434944804781,1.7108250344551743,0.919612403758792
2020-05-10,20.0,20.25,19.9,20.0,1578914,21.09019875098368,21.91920125987113,11131379.25,-2.912621359223311,1.243429735310203,1.7115600145515455,0.8246728105766975
2020-05-12,19.95,20.5,19.4,20.15,8807696,21.02954076704925,21.849820818307556,10374790.25,-4.502369668246454,1.2330206689801673,1.7128436277538517,0.8705623642254985
2020-05-14,20.1,20.45,19.8,20.0,5715864,20.963118782078332,21.777278825432752,9396581.2,-9.090909090909093,1.190757702564946,1.7096748253622716,0.8338008428283554
2020-05-18,20.2,20.3,19.55,19.65,5856518,20.878401441299083,21.693856126396174,9118533.0,-9.44700460829494,1.1588411953657,1.7055396753129781,0.8198336787496839
2020-05-20,19.6,20.05,19.55,19.95,4610763,20.8185045741185,21.625469611635538,8221098.5,-0.7462686567164312,1.1111795587340703,1.6985568786095808,0.7665269303821484
2020-05-22,19.85,20.05,19.7,19.75,1287557,20.749568795143112,21.55192178372826,7582180.35,-0.2525252525252597,1.0561648304258375,1.6859239276120233,0.6971045432785368
2020-05-26,19.8,19.95,19.6,19.9,5202474,20.69475790513388,21.487140537307546,7321457.35,-3.1630170316301776,1.00516952174355,1.6662577387231823,0.6392529304877365
2020-05-28,20.0,20.15,19.55,19.6,5932741,20.62412836286718,21.413135026040585,6934172.3,2.349869451697151,0.9759334015681819,1.6458668979781343,0.6327106947778813
2020-06-01,19.75,20.25,19.75,19.95,10150598,20.58063621042414,21.35575718188213,7273468.4,3.100775193798433,0.9524319180978389,1.6113652474975926,0.6355922752428189
2020-06-03,20.1,20.35,19.9,20.0,13479423,20.543175809751613,21.302590233573028,7396806.3,-5.882352941176472,0.9162284742258355,1.5696688729496462,0.6046599646332522
2020-06-05,20.1,20.25,20.0,20.15,8147224,20.517809628477316,21.257390616570163,7384260.5,5.774278215223094,0.8682525588527661,1.522557448181842,0.5455495489447778
2020-06-07,20.35,20.65,20.15,20.2,5088687,20.497305781478783,21.21592431788114,7237056.7,10.989010989010994,0.8417496897355555,1.4770740154963067,0.5379579123335575
2020-06-09,20.3,20.3,19.95,20.0,5136075,20.46522153751241,21.168241011297567,6929679.85,3.0927835051546504,0.806377947405624,1.4327178955487954,0.5066314384554934
2020-06-11,20.1,20.2,19.4,19.85,5622034,20.425529825414838,21.116545285364328,6626670.2,1.0178117048346147,0.8059194093200601,1.3905929685582665,0.5555264005213778
2020-06-15,19.9,20.85,19.7,20.1,8574332,20.404527901194527,21.07668076436965,6884326.25,3.3419023136247006,0.8306453280353028,1.3523670592612036,0.6546056745499651
2020-06-17,20.1,20.25,19.8,19.85,5856777,20.368751907569074,21.028575636355153,6117391.35,0.2525252525252597,0.8033036555668042,1.3121688878514621,0.6205046310498121
2020-06-19,19.95,20.45,19.8,19.9,7552921,20.338509849016233,20.984317768262795,6258827.1,-6.132075471698117,0.7922963030994581,1.272252124885269,0.625420537616656
2020-06-21,20.1,20.2,19.95,20.05,5072372,20.319896310370027,20.9476778557819,6074607.05,-7.603686635944696,0.7569621055597523,1.2321288600965916,0.5711836733916926
2020-06-23,20.15,21.25,20.0,20.55,21580810,20.334741709700992,20.932082645751237,6930570.05,-5.0808314087759765,0.7923373018420851,1.1951980821320463,0.6843199154860111
2020-06-25,20.6,20.9,20.0,20.85,34800469,20.367984180042864,20.928863718466875,8502712.45,-6.0810810810810745,0.800059563013734,1.1585253582010124,0.720266645925847
2020-06-29,20.45,20.7,19.9,20.0,14396914,20.34424326520139,20.892437690291704,9143612.45,-11.504424778761068,0.8108110530917687,1.1252977297439606,0.7585555823757295
2020-07-01,20.0,20.5,19.95,20.3,20654372,20.341388860994847,20.86920483969203,9735946.25,-4.470588235294115,0.7921147468899609,1.0915888234164806,0.7237962852810452
2020-07-03,20.45,20.75,20.35,20.7,6664116,20.36452506351131,20.86256935578254,9783358.85,-0.48076923076924016,0.7675964582483096,1.0596501631743502,0.6781635345651978
2020-07-05,20.9,20.9,20.6,20.65,3145871,20.38294280134929,20.854233302614595,9647826.5,-0.24154589371980784,0.7340932730685996,1.028618533406319,0.6151362367905763
2020-07-07,20.65,20.75,20.2,20.25,35879727,20.37436584642353,20.83053787898265,11211274.7,-2.1739130434782594,0.7209059470390347,0.9996298349243862,0.6042801912949818
2020-07-09,20.5,20.7,20.2,20.25,9559616,20.366342243428463,20.807771687649996,11624877.65,-4.028436018957349,0.7050848333416154,0.970823033113765,0.586900151367021
2020-07-13,20.35,20.5,20.0,20.05,6505762,20.34593306643308,20.778055150879407,11690042.05,-3.605769230769229,0.6903996154693886,0.9432793356865216,0.5724167872187241
2020-07-15,20.1,20.3,19.85,20.1,7251838,20.330066416985787,20.751464752805706,11755996.9,-0.9852216748768461,0.6731887086685303,0.9172702400554067,0.5520139827900867
2020-07-17,20.3,20.3,20.0,20.1,5077371,20.315223422341543,20.72591711544078,11502335.55,-1.2285012285012331,0.6464754348348133,0.8931721961634759,0.5100116410730631
2020-07-19,20.1,20.2,20.05,20.1,2520879,20.301338040254993,20.70137134620781,10954408.35,0.7518796992481258,0.6109425776438713,0.8697557839247788,0.45000968749928055
2020-07-21,20.35,20.5,20.1,20.15,7560548,20.291574295722416,20.67974894047417,10925074.55,0.749999999999984,0.5958475087174441,0.8481697097050201,0.44167473803214324
2020-07-23,20.3,20.35,20.0,20.25,8804049,20.288892083095163,20.66289604084773,11110842.65,0.496277915632759,0.5782569533417333,0.8263442525170724,0.42639561265807935
2020-07-27,20.2,20.35,20.15,20.25,4756815,20.286382916443863,20.646704039245858,11091879.65,1.2499999999999956,0.5511957170232885,0.8050255196656838,0.38866300567369416
2020-07-29,20.2,20.6,20.2,20.5,6543329,20.30016466377007,20.64095093966759,11137944.4,4.325699745547085,0.5403801082363853,0.7844101500947066,0.39055250493150045
2020-07-31,20.55,20.6,20.25,20.3,4455919,20.30015404030103,20.627580314582588,10932023.75,1.7543859649122862,0.5267629231836307,0.7649295955763586,0.38379375350321693
2020-08-02,20.2,20.4,20.0,20.15,3876070,20.290466682862256,20.608851674795034,10832988.4,2.025316455696191,0.5176969261220827,0.7469806654329002,0.3864947947879524
2020-08-04,20.2,20.3,20.0,20.05,7421862,20.274952703322757,20.586935922842287,10826435.45,0.7537688442211143,0.5021288043882712,0.7302126415210577,0.3720789947584844
2020-08-06,20.1,20.5,20.05,20.45,4645236,20.286246077301936,20.581565886652392,10805078.65,4.336734693877542,0.498401240482547,0.7142949028182031,0.38506582963966557
2020-08-10,20.6,20.7,20.25,20.3,4078250,20.287133427153424,20.57052408717583,9929950.65,1.7543859649122862,0.49494049346124186,0.6990451886636498,0.3958881918346253
