datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,119.05,122.15,118.25,121.4,18685045,,,,,,,
2020-01-03,121.0,121.35,119.1,119.35,7392962,,,,,,,
2020-01-05,119.0,119.15,116.5,118.9,6596841,,,,,,,
2020-01-07,119.25,121.55,117.55,119.95,15332625,,,,,,,
2020-01-09,120.5,121.8,118.9,120.3,13897971,,,,,,,
2020-01-13,120.4,124.0,120.1,123.5,12166005,,,,,,,
2020-01-15,123.0,125.0,120.95,121.45,15343923,,,,,,,3.4900518836002705
2020-01-17,121.45,121.7,120.6,121.2,6811534,,,,,,,2.9375039021658895
2020-01-19,121.0,121.75,117.8,118.25,10655638,,,,,,,3.157392254872224
2020-01-21,118.4,119.55,111.5,112.15,24539569,,,,,,,4.168855167860556
2020-01-23,112.6,116.3,112.3,114.75,32691222,,,,,,,4.165107345677564
2020-01-27,115.0,115.3,110.9,112.05,17725446,,,,,,,4.210344498704552
2020-01-29,112.1,114.9,111.75,113.65,37046746,,,,,,,4.011295776799054
2020-01-31,113.75,115.25,108.05,109.3,89801060,,,,,,,4.597539051113447
2020-02-02,109.45,111.65,107.2,110.25,14889516,,,,,4.275321749899568,,4.570872221479652
2020-02-04,110.35,112.6,110.25,111.2,20415396,,,,,4.0703616330892505,,4.1750348392977275
2020-02-06,110.5,116.25,110.5,115.6,30299420,,,,,4.243116540140976,,4.452538627957468
2020-02-10,115.8,117.55,112.05,116.85,52574544,,,,,4.368451561365909,,4.635355680955187
2020-02-12,117.0,118.9,114.7,115.15,34582988,,,,,4.3521158999847795,,4.559964634945552
2020-02-14,114.8,115.5,111.9,112.7,23827224,,,24263783.75,,4.280996031318286,,4.39480075704718
2020-02-16,113.1,113.75,109.2,110.3,22137354,,,24436399.2,,4.305857887898323,,4.42136007212966
2020-02-18,109.6,113.75,103.8,112.05,52393952,,,26686448.7,,4.8167743632723035,,5.363274174827309
2020-02-20,111.7,112.4,110.95,111.35,19663654,,,27339789.35,,4.517718603872731,,4.699029737841073
2020-02-24,110.75,112.45,108.85,110.1,22145482,,,27680432.2,,4.437595598838985,,4.513050773889997
2020-02-26,110.0,111.55,106.65,109.05,37608762,,,28865971.75,,4.477335614319494,,4.5783638928229395
2020-02-28,106.65,110.2,105.35,106.55,25696761,,,29542509.55,,4.50890499858039,,4.624116180096491
2020-03-01,109.35,110.0,102.7,103.9,15614944,,,29556060.6,,4.742246304896109,,5.074027011317401
2020-03-03,104.65,111.0,104.3,107.95,34290528,,,30930010.3,,4.936988687874922,,5.414165239734071
2020-03-05,108.1,109.65,102.9,105.15,25112700,,,31652863.4,,5.085083293772743,,5.638163209165371
2020-03-09,104.0,104.4,99.55,102.9,47383260,113.57500000000002,,32795047.95,,5.126716933175698,,5.631770356745995
2020-03-11,103.0,104.8,93.25,94.35,75659835,112.33467741935486,,34943478.6,-22.281713344316323,5.641222102984209,,6.622314850786815
2020-03-13,90.0,100.75,81.25,98.05,49533058,111.41308532778359,,36533859.2,-17.846669459572684,6.741767303057332,,8.776156987612914
2020-03-15,96.0,96.0,88.25,90.8,34649741,110.08320885502337,,36414008.95,-23.633305298570228,6.982702548090861,,8.947298163214352
2020-03-17,91.0,95.9,74.9,80.55,109905901,108.17784054179607,,37419251.0,-32.84701959149646,8.078958612356926,,10.960991018323268
2020-03-19,78.55,84.95,75.05,81.25,92349626,106.4405605068415,,41292256.5,-32.46051537822111,8.220418553010282,,10.78379919950924
2020-03-23,74.9,80.0,73.2,77.55,51396525,104.57665337736786,,42841312.95,-37.206477732793516,8.207262558725738,,10.327393305426092
2020-03-25,78.0,82.2,75.3,79.65,56432363,102.96848219173123,,44147960.1,-34.417455743104156,8.10692324255544,,9.755354036845807
2020-03-27,82.5,84.4,80.25,83.0,39363397,101.68019301807115,,43487402.75,-31.51815181518152,7.850626845837799,,8.920146416367093
2020-03-29,79.9,83.5,79.2,81.75,17044016,100.39437411367948,,42610454.15,-30.866807610993664,7.580868668290494,,8.149366846915244
2020-03-31,82.75,84.8,80.6,81.0,42648762,99.14312417086144,,43551531.05,-27.775300936246104,7.32517029912721,,7.490601187630974
2020-04-02,82.05,82.1,78.85,79.55,18319674,97.87905164370909,,43360647.05,-30.675381263616565,7.018251022160166,,6.783353127120323
2020-04-06,81.6,82.05,80.1,81.55,47686689,96.82556444088915,,43125283.9,-27.219991075412764,6.679278568309443,,6.069055945957812
2020-04-08,81.55,88.35,80.3,87.1,47395277,96.19810867050921,,44511865.05,-23.36119665640124,6.781745808974351,,6.399369356300672
2020-04-12,87.1,89.15,84.75,88.65,33267122,95.71113391757314,,45067947.05,-18.89295516925892,6.604290366265944,5.812169073401555,6.06600987423014
2020-04-14,88.95,94.2,88.7,89.9,24128026,95.33622205192326,,44393910.25,-18.458049886621307,6.525979956493869,5.887191013621365,5.979980000892438
2020-04-16,87.25,101.0,87.0,95.5,37846070,95.34678837115402,,45001375.7,-14.118705035971225,7.079556723584977,5.987497516637889,7.317015584502258
