datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,988.15,1009.0,975.0,977.05,213677,,,,,,,,,
2020-01-03,978.0,993.8,971.0,982.25,208019,,,,,,,,,
2020-01-05,972.0,974.0,955.0,960.6,176751,,,,,,,,,
2020-01-07,970.0,974.75,950.0,968.05,228947,,,,,,,,,
2020-01-09,978.0,1039.0,968.0,1029.25,670474,,,,,,,,,
2020-01-13,1033.0,1094.1,1023.0,1048.3,878082,,,,,,,,,
2020-01-15,1047.4,1120.0,1041.85,1112.6,862496,,,,,,,,,55.964516129032255
2020-01-17,1115.0,1124.45,1092.1,1108.55,211634,,,,,,,,,50.50515630961645
2020-01-19,1114.6,1140.0,1112.0,1129.15,280318,,,,,,,,,46.36686190981942
2020-01-21,1133.6,1147.0,986.0,994.3,2556845,,1031.0099999999998,,,,,,,70.06530123252048
2020-01-23,1003.0,1024.0,993.3,1019.85,1241077,,1028.9809090909089,,,,,,,62.240701086266334
2020-01-27,1017.9,1017.9,990.0,994.5,490871,,1022.7116528925617,,,,,,,56.00268948936228
2020-01-29,1004.0,1010.0,970.1,975.65,470913,,1014.1549887302776,,,,,,,52.97987967046421
2020-01-31,975.0,1006.95,956.0,964.25,386222,,1005.0813544156817,,,,,,,52.60668629121671
2020-02-02,959.0,993.0,950.0,986.8,176090,,1001.7574717946486,,,,,51.59513078647035,,50.87033334099875
2020-02-04,993.0,1025.0,990.0,1010.4,700030,,1003.328840559258,,,,,50.1691522086936,,48.61203521264818
2020-02-06,1013.95,1076.1,1011.95,1058.25,850130,,1013.31450591212,,,,,51.766537824239144,,51.62287957117349
2020-02-10,1064.95,1064.95,1033.05,1042.55,306033,,1018.6300502917345,,,,,49.78546875985173,,48.180577242830985
2020-02-12,1053.1,1091.7,1044.0,1081.8,683922,,1030.1154956932373,,,,,49.723843908202696,,48.34845330115684
2020-02-14,1087.0,1088.65,1065.0,1078.15,239879,,1038.8490419308305,,,591620.5,,47.25830853736487,,44.099033919637385
2020-02-16,1083.8,1083.8,1042.65,1051.95,144033,,1041.231034307043,,,588138.3,,46.69376708637135,,43.594364440776666
2020-02-18,1050.0,1088.0,1030.6,1077.75,301595,,1047.870846251217,,,592817.1,,47.66291185206317,,45.94642986728126
2020-02-20,1077.5,1157.7,1071.05,1138.1,876803,,1064.2761469328138,,,627819.7,,51.125963424526496,,52.85550876598396
2020-02-24,1132.0,1182.0,1068.0,1111.6,850393,,1072.8804838541203,,,658892.0,,56.61528959462916,,63.2024436481613
2020-02-26,1118.0,1172.0,1110.0,1163.45,833682,,1089.3476686079166,,,667052.4,,57.07806303348531,,62.99948331201581
2020-02-28,1120.0,1135.4,1047.0,1062.7,600707,,1084.5026379519318,,,653183.65,,62.10761660616421,,72.00227539235699
2020-03-01,1090.0,1120.0,1036.0,1057.5,322474,,1079.5930674152169,,,626182.55,,63.93786507025589,,74.01951777441934
2020-03-03,1077.0,1086.0,1000.0,1046.55,577504,,1073.5852369760864,,,644476.05,,65.76012188136404,,76.030906881061
2020-03-05,1059.0,1063.9,986.45,1030.75,366916,,1065.7970120713435,,,648805.95,,66.71500168900505,,76.26886593597659
2020-03-09,990.2,1016.0,982.0,1010.55,287344,1042.44,1055.7521007856446,,,535330.9,,65.26243976365281,,71.65908461714214
2020-03-11,1002.0,1035.0,850.1,875.25,613350,1031.6535483870969,1022.9335370064365,,,503944.55,-10.419118775907066,74.84541199210707,,90.61241559518069
2020-03-13,806.0,1032.8,710.0,929.3,410486,1025.0500936524454,1005.9092575507208,,,499925.3,-5.390684652583355,94.53583734533794,,129.446677898101
2020-03-15,876.1,900.0,809.2,821.6,235769,1011.9242811587393,972.3984834505897,,,488168.1,-14.47012283989173,96.54984622027916,,127.88432759234512
2020-03-17,812.6,874.95,777.2,782.9,520856,997.148521083982,937.9442137323006,,,494899.8,-19.126078198440165,96.64370709920998,,122.84966557316088
2020-03-19,722.0,797.0,692.2,771.95,714580,982.6195842398541,907.763447599155,,,521824.3,-24.998785523439395,97.27729440673978,,119.8352639272848
2020-03-23,693.0,750.0,575.0,579.65,693331,956.6215465469603,848.1064571265813,,,521489.35,-44.70571401316417,104.97184128527567,,132.70951601960076
2020-03-25,575.0,701.35,570.0,701.35,357129,940.1524145116726,821.4234649217483,,,496839.3,-36.96296962070824,106.99650449436119,,132.48260989002281
2020-03-27,771.45,771.45,717.05,741.15,359141,927.3135490593068,806.8282894814304,,,499494.7,-33.14239321636372,104.17950795613163,,122.07327005472698
2020-03-29,720.0,750.0,704.1,739.75,192651,915.2126749264484,794.632236848443,,,474931.15,-34.48611787627862,99.75173378069863,,109.36527446209189
2020-03-31,760.0,770.0,720.05,734.75,226710,903.5699217053872,783.7445574214534,,,474272.7,-26.103791612189475,95.98518046004936,,99.45463714483489
2020-04-02,741.0,758.0,725.0,736.45,103016,892.7879912727816,775.145546981189,,,472221.85,-27.78840025493945,91.24148519642384,,88.3713234463637
2020-04-06,752.0,773.25,745.25,769.0,183401,884.8016692551829,774.028174802791,,,466312.15,-22.674710910005025,87.15712517795663,,79.77122677599573
2020-04-08,752.0,793.0,752.0,759.7,298138,876.7305938193647,771.4230521113744,,,437378.9,-22.133961974068562,83.70668430451322,,73.30630106876886
2020-04-12,763.0,766.0,730.0,737.2,115347,867.7286200245669,765.2006790002154,,,400626.6,-23.546798029556648,80.15222826159348,73.2417290002339,67.08613511340853
2020-04-14,750.0,760.0,735.0,737.5,179031,859.3267735713691,760.1641919092671,,,367894.05,-25.26347790839075,76.05563994664448,74.05707930557305,60.06947699522471
2020-04-16,731.1,754.5,720.15,729.95,281738,850.9798849538615,754.6707024712185,,,351945.6,-27.75633412509897,72.96663654596605,74.81699545014881,55.78172510205286
2020-04-20,735.0,787.0,722.4,750.3,751228,844.4844085052254,753.8760292946332,,,373383.3,-29.099929128277825,72.34857711225722,75.50306342641606,57.25177254588103
2020-04-22,750.0,766.0,729.0,743.3,268253,837.9563821500496,751.9531148774271,,,357920.75,-28.703659296916218,69.74367481733239,76.16833696166542,53.875836095488324
2020-04-24,744.0,744.0,711.0,719.7,128005,830.3269381403691,746.0889121724404,,,345975.2,-33.47199112590127,67.04207966334873,76.74561148683696,50.39597944745122
2020-04-26,720.0,731.8,706.6,708.15,170494,822.4445550345388,739.1909281410875,926.842,,340132.7,-34.31804479896119,63.972059462306326,77.30273651766835,46.19609573538826
2020-04-28,714.9,719.0,685.15,690.0,423633,813.8997450323105,730.2471230245261,917.5540784313725,,330646.85,-34.407528874946536,61.76624181849118,77.80515234207232,44.138186979892204
2020-04-30,720.0,724.5,711.0,723.6,418977,808.073955030226,729.038555201885,909.9480361399462,,331071.4,-32.860125260960324,59.77314278271995,78.20882670642756,42.53167537387914
2020-05-04,705.0,712.9,673.0,676.3,320582,799.572409544405,719.4497269833604,900.7853680560268,,335312.05,-40.576399261927776,59.10372465337955,78.47475208072267,43.87649876689601
2020-05-06,676.3,702.9,653.0,675.15,525403,791.5451573157337,711.395231168204,891.9369222499081,,335539.4,-39.2632241813602,58.433112426539374,78.53534617511967,44.88047948296853
2020-05-08,689.0,693.0,671.4,674.1,78417,783.968050392138,704.6142800467123,883.3942978479508,,303731.25,-42.060251837208305,55.75318093428471,78.49118343847967,41.00019394391158
2020-05-10,687.95,697.8,671.2,674.15,150204,776.8830148829679,699.0753200382192,875.1886391088156,,276574.9,-36.562529406229416,53.63484948934061,78.20875786791886,38.60005562923195
2020-05-12,675.8,701.75,662.0,701.75,284661,772.0357236001959,699.5616254858156,868.3871238496463,,272951.5,-33.64066193853428,52.627190101246974,77.83173536895191,38.79172007765069
2020-05-14,699.95,731.0,686.9,691.8,465593,766.8592253034091,698.150420852031,861.4621386006405,,278274.1,-33.897090440017195,52.009057043467735,77.37336654102202,39.676460530232895
2020-05-18,696.9,696.9,655.5,658.1,208180,759.842501090286,690.8685261516616,853.4871527731644,,279050.55,-36.15328644191123,51.240825329002895,76.85756066235528,39.96372444975707
2020-05-20,664.9,676.2,635.0,638.6,363529,752.0204042457515,681.3651577604504,845.0602056055893,,285891.5,-36.8066894265499,50.51445580068741,76.36596119692311,40.169774762930366
2020-05-22,643.45,653.95,623.95,627.3,197875,743.9739265524772,671.5351290767321,836.5205896994878,,290634.45,-28.329048843187664,49.03176068714146,75.50550615342425,38.474782221389404
2020-05-26,629.9,654.0,629.9,642.2,280856,737.4078667748981,666.2014692445989,828.9001744171551,,295507.2,-30.89422145701064,47.419084750033385,73.93494773358078,36.51228949417325
2020-05-28,643.1,682.25,634.0,679.4,801042,733.6654237571629,668.6012021092172,823.0374224792274,,320652.4,-17.307692307692314,47.47904172310241,72.29925425034155,38.46859868864596
2020-06-01,694.0,749.0,693.95,749.0,823754,734.6547512567008,683.2191653620866,820.1339941467087,,356072.75,-4.330054924000503,49.07407718983074,70.7135999200289,43.65721886235732
2020-06-03,780.0,786.45,735.25,767.25,1067102,736.7576705304621,698.4974989326163,818.0601120233084,,400476.3,-0.6088477232981448,49.22726357063545,69.1119322254921,44.914359811269605
2020-06-05,774.7,781.9,755.0,773.2,515976,739.1087885607549,712.0797718539587,816.300891943963,,412188.2,33.39083929957734,47.61945041191128,67.2001858630466,41.91194509579129
2020-06-07,784.0,829.5,772.5,802.35,850557,743.1888667181256,728.4925406077843,815.753798142239,,417154.65,14.40079846011264,48.29456175059452,65.24345443825439,44.42663585906888
2020-06-09,809.8,809.8,760.0,763.35,653766,744.4895849943756,734.830260497278,813.6987472347002,,436430.3,2.9953450718478214,48.402848496805234,63.38423245627684,45.32220098483747
2020-06-11,751.35,766.0,705.1,746.25,482659,744.6031601560288,736.9065767705001,811.0536983235355,,454163.0,0.878675228117598,49.301322498052734,61.702552080188646,47.9185115366782
2020-06-15,745.1,763.75,726.0,749.4,351895,744.9126336943497,739.1781082667728,808.6359062324165,,463233.05,1.9938754678461956,48.471234812560226,60.11875389193901,46.22375378479654
2020-06-17,745.0,783.35,741.0,758.9,587955,745.8150444237465,742.7639067637232,806.6854785370276,,471449.15,3.0484079027768285,48.03154782569598,58.67842264624808,45.57812630347286
2020-06-19,764.3,820.0,759.8,801.2,661832,749.38826736415,753.3886509885008,806.470361731654,,483591.9,4.187256176853071,48.96987547844092,57.40551432293089,48.165111431997445
2020-06-21,811.0,824.0,803.05,805.75,441931,753.0245081793662,762.9088962633188,806.4421122519813,,489659.35,6.061603264446491,47.09155231427545,56.185009923256295,43.93758444533592
2020-06-23,808.0,839.85,795.0,799.9,790577,756.0487334581168,769.6345514881698,806.1855588303349,,502918.05,8.505154639175249,46.93072217527642,55.077626387045726,44.089653956685
2020-06-25,799.1,813.0,780.05,782.1,363041,757.7294603317868,771.900996672139,805.2410271114983,,517149.25,6.047457627118646,45.927934860329195,54.07336955083521,42.23304239759579
2020-06-29,772.8,804.8,762.35,789.3,1099566,759.7662693426392,775.0644518226591,804.6158887934004,,564617.35,8.13069388314267,45.67854928500034,53.16376664213636,42.26920203964798
2020-07-01,790.9,868.6,790.9,841.25,1949817,765.0232842237593,787.0981878549029,806.0525206054239,,647875.15,12.121817939490874,48.088711469712074,52.35510445405152,48.44100762401341
2020-07-03,849.8,861.0,842.45,845.0,661643,770.1830723383555,797.6257900631023,807.5798727385445,,657677.65,13.682227902596544,46.05776508735587,51.56557412971897,43.659169194945
2020-07-05,845.0,853.65,840.0,844.3,219885,774.9648096068488,806.1120100516291,809.0198777291898,,658262.9,17.312769209392798,43.735755722593645,50.78869666502713,38.65763766178578
2020-07-07,844.0,885.0,832.0,848.35,1287879,779.6993380193102,813.7916445876965,810.5622354653001,,704480.4,19.798065381628184,44.39939001877005,50.136274350242594,41.048032712678285
2020-07-09,853.1,859.0,834.1,837.6,381930,783.4348645987095,818.1204364808425,811.622539956857,,713683.15,21.3913043478261,43.00285873180217,49.510828247352954,38.35669268137292
2020-07-13,840.2,845.0,805.55,808.75,667327,785.0680991407282,816.4167207570529,811.5098913310981,,733006.7,11.767551133222764,42.74845423150034,48.943338628978964,38.53891063810348
2020-07-15,812.5,821.0,801.55,812.55,268516,786.8411250026168,815.7136806194069,811.5506799063492,,706380.4,20.14638474049979,41.080450214108424,48.3425628143366,35.35742450900675
2020-07-17,820.7,834.45,811.55,822.45,182216,789.1384717766416,816.9384659613329,811.9781042237472,,674303.5,21.817373916907368,39.779072831275805,47.72076149449448,33.28118653463548
2020-07-19,828.9,850.0,823.05,842.6,379313,792.5876026297616,821.6041994229088,813.1789628816394,,639914.05,24.99629135143153,38.90383537136819,47.159116642397265,32.32598856562287
2020-07-21,846.0,858.0,800.0,824.2,688667,794.6271121375189,822.0761631641981,813.6111604156929,,648548.6,22.25765779129274,40.27035854805115,46.713633611020946,36.604991267395604
2020-07-23,824.2,839.4,817.5,819.35,387015,796.2221371609048,821.5804971343439,813.8362129484109,,625371.5,16.75810473815462,38.95594698050278,46.25792550699614,34.15415900954635
