datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,965.0,980.0,961.6,969.35,685016,,,,,,,,,
2020-01-03,970.0,982.8,969.0,975.1,451217,,,,,,,,,
2020-01-05,966.1,1003.1,958.0,983.1,895840,,,,,,,,,
2020-01-07,990.0,1003.0,975.2,987.75,938851,,,,,,,,,
2020-01-09,996.8,998.0,979.75,989.0,965613,,,,,,,,,
2020-01-13,993.0,997.95,980.0,987.8,701768,,,,,,,,,
2020-01-15,988.0,1003.0,981.0,999.9,998695,,,,,,,,,23.308562405336602
2020-01-17,999.8,1009.8,985.25,996.35,372188,,,,,,,,,23.595566148525094
2020-01-19,1000.0,1001.0,975.5,981.5,341082,,,,,,,,,24.009160653565456
2020-01-21,980.0,992.6,970.2,981.7,1655537,,985.1550000000001,,,,,,,23.67649422966455
2020-01-23,985.4,1020.0,977.0,999.8,2539637,,987.8177272727272,,,,,,,27.517407453816425
2020-01-27,999.8,1014.7,975.75,987.85,1318693,,987.8235950413222,,,,,,,29.719170382498774
2020-01-29,992.0,1017.0,988.0,998.25,1099787,,989.719305033809,,,,,,,29.612325260633888
2020-01-31,1005.0,1012.9,885.0,893.1,4878476,,972.1521586640255,,,,,,,47.682514350204656
2020-02-02,895.0,921.85,856.65,912.65,4046967,,961.3335843614752,,,,,42.57537052271673,,50.84869850219808
2020-02-04,912.0,922.9,896.0,910.55,3342001,,952.1002053866614,,,,,40.9066490357504,,46.58019983303181
2020-02-06,916.1,955.45,912.05,947.3,2828009,,951.2274407709048,,,,,41.31737493261277,,46.28415403404801
2020-02-10,952.0,960.45,935.8,939.75,1318703,,949.1406333580129,,,,,39.65532283497658,,42.508270368867116
2020-02-12,944.75,948.8,916.0,927.55,1477161,,945.2150636565559,,,,,38.99052500477276,,40.82707797820532
2020-02-14,932.4,932.4,907.0,914.25,402685,,939.5850520826366,,,1562896.3,,37.70540877007053,,38.17281767447499
2020-02-16,915.5,919.45,904.0,914.4,355839,,935.0059517039754,,,1546437.45,,35.64852171489743,,34.28425183680772
2020-02-18,915.0,942.45,907.1,938.2,1688224,,935.586687757798,,,1608287.8,,35.62149906745718,,34.46582329704598
2020-02-20,939.7,945.0,921.7,928.75,784552,,934.3436536200165,,,1602723.4,,34.5270344960393,,32.57052138921034
2020-02-24,923.6,941.5,891.75,901.2,1253570,,928.3175347800135,,,1618459.35,,35.85610174667068,,35.477650762734505
2020-02-26,893.8,914.8,875.0,905.35,1628290,,924.1416193654655,,,1651593.2,,36.19504873170659,,36.207219633155205
2020-02-28,886.0,895.0,875.0,890.4,1002851,,918.0067794808353,,,1666647.35,,35.699899217760006,,35.22067481013683
2020-03-01,895.15,909.0,878.0,894.15,629219,,913.6691832115926,,,1648173.55,,35.306977936876855,,34.511029907761994
2020-03-03,903.05,914.0,877.0,885.1,1384886,,908.4747862640302,,,1698808.45,,35.44681576289447,,34.92890017675626
2020-03-05,891.35,901.45,848.3,853.95,2450981,,898.5611887614791,,,1804303.4,,36.89288842399533,,37.9842850810981
2020-03-09,836.2,861.9,803.0,825.3,1424660,940.6466666666668,885.2409726230283,,,1792759.55,,38.67227552986169,,41.48794951725392
2020-03-11,819.0,847.9,700.0,751.7,3417558,928.4565591397851,860.9607957824776,,,1836655.6,-22.45319028214783,47.42141959554437,,59.29832137827599
2020-03-13,665.0,795.0,625.1,761.95,2077233,917.7142004856055,842.9588329129363,,,1874582.6,-21.85929648241206,57.147617300532396,,77.7968755096233
2020-03-15,701.0,772.85,661.6,731.55,1588592,905.7036069058892,822.7026814742205,,,1899022.85,-25.587427525175478,61.40993875358118,,83.38875530326084
2020-03-17,732.0,768.5,588.15,596.25,3600652,885.7388580732512,781.5294666607258,,,1835131.65,-39.63553530751709,70.71192894626309,,99.58845627589874
