datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,827.9,835.8,821.0,828.25,558174,,,,,,,
2020-01-03,828.0,842.0,821.55,838.1,666116,,,,,,,
2020-01-05,835.0,835.0,816.55,823.4,301418,,,,,,,
2020-01-07,830.0,832.8,812.6,821.35,446831,,,,,,,
2020-01-09,826.9,859.0,825.0,848.55,989241,,,,,,,
2020-01-13,854.0,920.0,852.3,907.9,6080455,,,,,,,
2020-01-15,909.0,969.5,907.0,958.75,2494141,,,,,,,44.72703908994234
2020-01-17,963.0,964.0,940.25,947.15,407274,,,,,,,39.877428633721664
2020-01-19,950.0,957.25,930.2,936.75,266941,,,,,,,37.09163799436924
2020-01-21,935.0,979.0,925.0,960.85,1373004,,,,,,,40.58715244780309
2020-01-23,963.0,978.0,958.1,963.25,504173,,,,,,,36.47518858621477
2020-01-27,960.0,968.0,927.55,947.2,534445,,,,,,,37.2406835851857
2020-01-29,950.0,962.0,925.0,957.55,1001650,,,,,,,37.195502269044226
2020-01-31,957.95,966.5,941.05,949.75,475758,,,,,,,35.036091666276114
2020-02-02,950.0,979.9,926.4,957.1,565209,,,,,37.58429587786957,,38.37333624114344
2020-02-04,961.9,1058.0,960.0,1027.5,3019286,,,,,44.3245688288588,,49.51778240040298
2020-02-06,1030.0,1057.0,1013.35,1030.5,1158240,,,,,44.25518777777944,,48.48389804043611
2020-02-10,1036.9,1088.0,1021.1,1082.4,1214952,,,,,46.51330327627201,,51.698123956364476
2020-02-12,1086.0,1098.4,1054.5,1089.1,1018575,,,,,46.25987708620754,,50.347713825748485
2020-02-14,1088.0,1096.45,1025.1,1035.0,451945,,,1176391.4,,48.63239207557446,,53.96120009700835
2020-02-16,1041.0,1043.35,975.95,987.55,866201,,,1191792.75,,50.36692996679614,,56.26098786763863
2020-02-18,980.0,1014.0,934.8,1005.7,1540185,,,1235496.2,,52.976944070443544,,60.16910619534941
2020-02-20,1005.7,1021.0,986.0,996.4,633182,,,1252084.4,,51.38013119242077,,55.8968681595582
2020-02-24,991.5,1013.0,971.45,989.25,842216,,,1271853.65,,50.52189463963759,,53.4690760949879
2020-02-26,993.0,993.0,915.0,930.4,837200,,,1264251.6,,52.883421324189285,,57.60964814535707
2020-02-28,910.0,919.05,855.1,882.75,629146,,,991686.15,,54.782388902588295,,60.589274338778516
2020-03-01,887.0,965.0,887.0,941.25,865946,,,910276.4,,57.07873791671439,,64.23120939388104
2020-03-03,962.25,1071.25,940.45,983.95,2753406,,,1027583.0,,63.16786176545129,,75.40736555740875
2020-03-05,994.5,1025.0,925.25,985.75,1144299,,,1071450.9,,66.15604904730283,,79.48923320147527
2020-03-09,945.0,969.85,903.5,932.4,452272,951.5266666666669,,1025414.3,,67.4573269868803,,79.9516988874925
2020-03-11,924.0,988.95,868.0,878.25,1414643,946.7991397849464,,1070937.8,6.036824630244486,71.74209172880433,,86.81365658092415
2020-03-13,800.0,889.2,702.6,846.9,622543,940.3540339923693,,1075342.7,1.0499940341248015,80.86312105603834,,103.50330449865858
2020-03-15,801.0,824.8,761.0,770.7,434866,929.4086124444746,,1047003.5,-6.400291474374531,81.25993901687593,,100.5608121537174
2020-03-17,770.55,784.95,670.0,677.55,777531,913.1596697061215,,1062092.15,-17.50776161198029,83.89475031234525,,102.96487102360868
2020-03-19,650.0,650.0,567.2,598.6,1854904,892.8654974670169,,1126576.9,-29.4561310470803,85.94981510998225,,104.19823154495502
2020-03-23,540.0,581.0,530.0,550.2,554004,870.758046017532,,1003312.8,-39.398612181958356,84.61044175894206,,98.25513129861261
2020-03-25,550.0,640.0,499.95,620.55,728765,854.6155914357557,,981839.05,-35.27509778357236,88.86572110245315,,105.23078421959494
2020-03-27,640.0,674.0,622.8,639.1,490352,840.7113597302232,,945609.05,-32.52388745182917,86.16178030611671,,96.59049518984575
2020-03-29,607.35,621.3,595.0,603.15,322832,825.3848203927895,,910821.9,-35.6124899919936,82.96614480500118,,87.83349971034818
2020-03-31,615.05,653.1,601.0,607.2,568923,811.3083803674482,,916670.8,-36.805953062392675,80.63170840319108,,81.87304999583044
2020-04-02,617.0,617.0,590.05,593.6,214168,797.262678408258,,884069.15,-38.37529198027511,76.58869917410641,,72.71297601854116
2020-04-06,621.0,652.95,603.0,638.75,361001,787.036053994822,,825109.95,-32.56440033783784,75.2954013622802,,70.48454987231695
2020-04-08,636.0,712.0,625.7,699.6,906351,781.3950182532207,,838768.4,-26.93854106835152,76.11804178429594,,73.12170424178161
2020-04-12,702.0,705.0,660.0,673.7,311547,774.4469525594645,,812234.95,-29.065543564095808,73.79954672901171,65.43628377948103,68.43290738119232
2020-04-14,686.0,743.9,682.8,734.0,911879,771.8374717491765,,815968.9,-23.309998955177104,73.53218017766875,66.63454658947434,68.72751948410763
2020-04-16,730.0,748.0,696.55,713.2,852401,768.0544090556813,,827131.65,-30.588807785888072,71.8966236977663,67.55361508510458,65.84714532676958
2020-04-20,727.65,759.4,715.0,725.1,1355443,765.2831568585406,,851606.5,-29.63609898107714,69.99836498847313,68.41172099212771,62.57187481180051
2020-04-22,730.0,737.65,709.0,724.05,656517,762.6229531902477,,746762.05,-33.10698447893571,66.95132718245873,69.09298845566725,56.917155286219675
2020-04-24,735.0,771.2,721.0,751.25,781786,761.8892142747479,,728636.4,-31.02102653567165,65.71967834591999,69.74164849765768,55.79745222993343
2020-04-26,760.0,860.0,755.1,829.15,3146899,766.2286198054094,848.408,863367.75,-19.88888888888889,68.8768817592841,70.416464820448,64.62404074797712
2020-04-28,831.0,854.65,795.25,814.2,1410330,769.3235475598991,847.0665098039216,863152.1,-17.553541592830733,68.18289624281775,71.01033036298205,63.75327160567123
2020-04-30,834.0,838.0,798.0,802.85,505620,771.4865444915185,845.3325290272973,857305.95,-20.170030824301488,66.12279189471111,71.44852529045762,59.794030454311226
2020-05-04,780.0,795.2,762.2,771.05,600429,771.4583803307754,842.4194886732856,865584.1,-22.616419108791654,64.26389259453268,71.87798400386137,56.603115216687335
2020-05-06,779.0,797.9,755.0,789.55,751708,772.6255815997577,840.3461753919804,864292.95,-20.187010361384893,62.70725241608784,72.2841625964097,54.319117439437
2020-05-08,800.0,818.8,752.2,771.5,775128,772.5529634320313,837.6463253766086,810304.15,-17.0786758383491,62.99048389326291,72.6210646820455,56.36603967063379
2020-05-10,780.0,793.0,770.05,776.75,212322,772.8237399848035,835.2582341853691,793220.05,-12.007929764939107,60.08105811591568,72.7976869891564,50.79645377125416
2020-05-12,778.0,815.0,762.65,783.65,797049,773.5222083728808,833.2343818643743,796634.25,-16.74369189907039,59.5199952612999,72.87906223397593,51.05538767153204
2020-05-14,780.0,788.4,746.0,777.85,793798,773.8014207359208,831.0624453206734,811806.55,-20.94618628995376,58.27897273284873,72.7160992662225,49.61277881936048
2020-05-18,780.0,784.65,759.0,772.85,488375,773.7400387529583,828.7796043277058,820083.7,-21.597768196804456,55.916216876123755,72.3747715271832,45.618880282606455
2020-05-20,775.9,794.75,763.9,771.55,537060,773.5987459301869,826.5353061187761,818490.55,-17.251179751179755,54.102886245187264,71.9296235024601,43.15734781369057
2020-05-22,766.0,786.5,766.0,775.0,283314,773.6891494185619,824.5143137219613,821947.85,-11.756333617990322,51.67421664162361,71.26069433288743,39.381056160183086
2020-05-26,782.3,782.3,740.1,751.0,627968,772.2253333270419,821.6313994583551,835296.2,-11.32365096233321,50.99004124609858,70.26492500588942,39.8508870818983
2020-05-28,755.0,774.7,748.65,764.9,603446,771.7527311769102,819.4066386952824,820150.95,-0.7525626054236456,49.19042403917777,69.19594117329949,37.550710886822216
2020-06-01,775.0,854.8,767.35,819.6,2465987,774.8396517461418,819.4142214915458,927872.95,20.96524241753377,52.12579495214569,68.13697599462617,46.27568201341967
2020-06-03,827.95,844.95,810.0,823.05,1678446,777.9499967947779,819.556801040897,966201.3,37.495823588372865,50.888168706462075,66.96825444784216,44.388052189139906
2020-06-05,834.5,845.0,826.05,837.8,706471,781.8112873241471,820.2722206079206,958904.8,52.27190112686293,48.80429630138949,65.77471626592374,40.648350152257144
2020-06-07,844.7,845.35,826.1,829.1,400621,784.8621720129119,820.6184080350611,911163.7,33.60728386109098,46.6772950684119,64.36843539812237,37.08193726345922
2020-06-09,832.0,890.0,827.0,884.0,2483237,791.2581609153046,823.1039606611371,1002499.7,38.319511813487715,47.85139344614168,63.09142250278987,41.40163578110081
2020-06-11,906.0,943.0,847.0,888.9,4052266,797.5576344046399,825.6841974979553,1166023.7,47.37627455856752,51.31300397185848,62.036317808351775,50.50140070917545
2020-06-15,888.95,906.0,855.0,875.55,1010576,802.5893999269213,827.6397191647022,1059207.55,44.19466403162053,51.290511244935324,61.05827790307658,50.58450087680171
2020-06-17,869.95,886.9,862.95,874.8,546921,807.2481483187328,829.489141942557,1016037.1,47.371967654986506,49.32664817208816,60.149542869675976,46.14540467381308
2020-06-19,876.9,892.3,869.15,874.9,361337,811.6127839110727,831.269959905594,1008822.95,36.970645792563595,47.447139221185665,59.221267464972826,42.312828073935876
2020-06-21,877.95,887.9,872.8,877.95,237176,815.8926043039068,833.1005497132177,990660.3,25.493138936535175,45.12544758976419,58.18818099182177,37.77734770065353
2020-06-23,877.95,901.9,868.6,873.05,887647,819.5801782197839,834.6671948225033,997457.25,29.590322101825727,44.2769782645224,57.20409537633879,37.031121846109706
