datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,47.3,48.78,46.48,48.49,337754910,,,,,,,
2020-01-03,48.3,48.62,47.95,48.37,129568630,,,,,,,
2020-01-05,48.0,48.0,47.06,47.33,96016080,,,,,,,
2020-01-07,47.55,48.46,46.7,47.53,265006290,,,,,,,
2020-01-09,48.5,49.39,47.91,48.62,260587860,,,,,,,
2020-01-13,49.11,50.6,48.78,49.86,266035720,,,,,,,
2020-01-15,49.19,50.41,48.92,49.44,225563170,,,,,,,1.591533949921045
2020-01-17,49.33,49.89,49.19,49.53,56824600,,,,,,,1.3854232425388104
2020-01-19,49.7,49.98,48.92,49.07,72918780,,,,,,,1.3147496064751407
2020-01-21,48.78,48.78,47.32,47.51,189779740,,,,,,,1.404730175907133
2020-01-23,47.59,48.51,47.32,48.34,146811500,,,,,,,1.362048481287707
2020-01-27,47.78,47.78,44.2,44.63,309784020,,,,,,,1.8970444279086955
2020-01-29,45.28,45.97,44.14,44.86,257338500,,,,,,,1.8844587939921564
2020-01-31,45.3,45.43,42.01,42.38,236539390,,,,,,,2.166768046103051
2020-02-02,41.8,43.9,41.66,43.61,162371260,,,,,1.9688028327715812,,2.1800042979535412
2020-02-04,44.2,47.97,43.35,47.51,293930280,,,,,2.251036013335122,,2.614897175576966
2020-02-06,47.8,48.73,46.89,47.1,283159830,,,,,2.2087599557756468,,2.4783627890331665
2020-02-10,46.03,46.33,44.0,44.41,436204190,,,,,2.2976334221126917,,2.5868592796684924
2020-02-12,45.0,45.45,43.94,44.13,217510790,,,,,2.221252338008969,,2.4003783146762228
2020-02-14,44.1,44.56,43.34,43.46,94848170,,,216927685.5,,2.1265741976018084,,2.1972918125884386
2020-02-16,43.55,44.09,43.3,43.69,97247650,,,204902322.5,,2.0030454772925834,,1.9564613423335353
2020-02-18,43.4,43.85,42.13,43.32,199675320,,,208407657.0,,1.977423762821786,,1.9161754354934115
2020-02-20,42.9,44.77,42.8,44.36,129802370,,,210096971.5,,1.976764342620513,,1.9253116896758289
2020-02-24,43.49,43.49,41.34,42.13,320813180,,,212887316.0,,2.067845830426107,,2.110555992712954
2020-02-26,41.13,41.94,40.71,41.28,244970850,,,212106465.5,,2.0121685849987814,,1.9939971197689967
2020-02-28,39.87,39.9,37.5,38.17,245328330,,,211071096.0,,2.161926252737128,,2.2948176465278114
2020-03-01,39.37,39.4,35.8,36.41,202207720,,,209903323.5,,2.2821521879324496,,2.5142650205796158
2020-03-03,37.35,39.1,36.51,37.72,415860810,,,227855134.0,,2.3158390208614636,,2.543768960121159
2020-03-05,38.4,38.78,34.67,35.15,294766560,,,238947523.0,,2.462393850026501,,2.8064006740341068
2020-03-09,33.75,33.77,31.98,32.23,204238260,44.35466666666667,,239670449.0,,2.5196074127853425,,2.867308466683626
2020-03-11,32.4,32.6,26.72,28.75,724614720,43.347913978494624,,268560610.0,-40.70942462363374,2.788774961641778,,3.3715479420766648
2020-03-13,27.0,33.21,25.54,32.67,338423100,42.65901630246272,,269992564.0,-32.45813520777341,3.1763999619384236,,4.090480503185896
2020-03-15,30.4,31.77,28.71,28.96,236064520,41.77520879907803,,268928865.0,-38.812592436087044,3.238133939005437,,4.068669945865944
2020-03-17,30.0,30.77,27.57,28.09,394272780,40.89229210236332,,276815534.5,-40.900483904902174,3.235151583666793,,3.9235378014616638
2020-03-19,26.9,30.5,26.05,29.78,360311390,40.17537003124311,,286712541.0,-38.74948580830934,3.3295219730733416,,4.011460123974124
2020-03-23,26.8,28.57,25.36,27.19,250295610,39.33760422277582,,284530807.5,-45.46730846369835,3.4137048418763722,,4.079665574988844
2020-03-25,26.71,29.55,26.71,28.45,209366710,38.63517814388706,,280841151.5,-42.45550161812298,3.3696699606405973,,3.872762740791758
2020-03-27,29.1,29.53,27.42,27.73,111841390,37.93161826363628,,264623011.5,-44.01372905309914,3.273495920116551,,3.5786231328105025
2020-03-29,26.7,27.08,25.09,25.41,158537610,37.12377192404685,,261674352.5,-48.21683309557775,3.225366191954714,,3.4220325252872668
2020-03-31,26.23,27.25,25.81,26.64,277524420,36.44739954185028,,270808165.0,-43.927594190696695,3.120589606191657,,3.1581449858595088
2020-04-02,26.77,26.89,25.1,25.38,125280300,35.73337376495672,,272209797.5,-47.49689697972694,3.0203769598736194,,2.9299655733344956
2020-04-06,26.61,27.77,26.12,27.62,159568730,35.20993029624983,,270204468.0,-38.113376652475914,2.9730842300338423,,2.8399202570808413
2020-04-08,27.1,29.29,26.67,28.49,342909440,34.776386406169195,,280859821.5,-36.49130628622381,2.94668968630132,,2.8032495545581617
2020-04-12,28.5,29.2,27.39,28.26,155105980,34.35597437996473,,272574461.5,-33.317602642756015,2.8619989645859136,2.627539475433628,2.637642756579158
2020-04-14,28.74,29.57,28.19,28.52,209919430,33.97945990383798,,270821890.5,-34.60215546892914,2.751919284535761,2.6536433571591003,2.4279668328112187
2020-04-16,27.6,29.97,27.6,29.34,347416900,33.68013991004198,,275926319.0,-38.24458008840244,2.7236317442840123,2.6693965481907305,2.418303051655263
2020-04-20,29.48,29.5,26.33,26.6,288867720,33.223356690039274,,280259319.0,-43.524416135881104,2.75660582052573,2.6876580770157332,2.543614429474167
2020-04-22,26.61,27.9,25.92,27.03,302579790,32.823785290681904,,274595268.0,-39.1353298806575,2.699376295339609,2.701049506123297,2.4496608512321414
2020-04-24,26.63,27.39,26.45,26.76,123838460,32.432573336444364,,266048863.0,-39.360978925900746,2.5700173649345013,2.7126750070208145,2.1980108897449995
2020-04-26,27.4,27.69,27.05,27.17,124108120,32.093052476028596,37.7896,262042356.0,-37.482742751955826,2.449686671983321,2.723445422833532,1.986647870749634
