datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01 05:30:00,188.38,190.77,186.96,188.87,8593275,,,,,,,,,
2020-01-02 05:30:00,188.8,188.8,185.41,186.08,3287655,,,,,,,,,
2020-01-03 05:30:00,185.6,188.7,185.51,186.28,4342850,,,,,,,,,
2020-01-06 05:30:00,185.4,185.41,178.02,178.89,3923670,,,,,,,,,
2020-01-07 05:30:00,179.4,184.3,179.4,181.48,3486795,,,,,,,,,
2020-01-08 05:30:00,179.8,180.52,177.26,179.23,2770350,,,,,,,,,
2020-01-09 05:30:00,182.07,184.12,182.0,182.73,2997000,,,,,,,,,4.979834359189205
2020-01-10 05:30:00,182.4,185.48,181.73,183.45,2543885,,,,,,,,,4.695513128620348
2020-01-13 05:30:00,184.0,188.56,183.21,187.83,3914925,,,,,,,,,4.837650999890616
2020-01-14 05:30:00,189.0,196.74,188.41,194.83,14487235,,184.96699999999996,,,,,,,5.67953945629868
2020-01-15 05:30:00,195.6,199.2,194.77,197.08,8562850,,187.1693636363636,,,,,,,5.4311697930067835
2020-01-16 05:30:00,196.96,201.67,196.95,200.73,7607070,,189.63493388429748,,,,,,,5.294208095131551
2020-01-17 05:30:00,202.0,205.0,202.0,204.37,5496735,,192.3140368144252,,,,,,,5.101942927961571
2020-01-20 05:30:00,205.44,205.64,197.61,198.67,4438240,,193.4696664845297,,,,,,,5.640266223299406
2020-01-21 05:30:00,198.48,198.88,195.6,196.55,2882445,,194.02972712370612,,,,,5.203700433022825,,5.213661763042106
2020-01-22 05:30:00,198.0,201.2,197.4,199.37,2970515,,195.0006858284868,,,,,5.144756256322902,,5.113197452416441
2020-01-23 05:30:00,199.72,200.15,197.8,199.1,1633700,,195.74601567785282,,,,,4.857308751666712,,4.626330961021422
2020-01-24 05:30:00,200.0,202.52,198.42,200.54,2432850,,196.6176491909705,,,,,4.781790764919859,,4.534468599540962
2020-01-27 05:30:00,200.38,203.49,199.0,201.52,2760640,,197.50898570170312,,,,,4.7534942321289435,,4.52676792080715
2020-01-28 05:30:00,202.72,211.98,202.03,209.74,6514465,,199.73280648321162,,,4782357.5,,5.293099817868833,,5.5475926293403806
2020-01-29 05:30:00,214.5,225.98,212.7,223.28,14390900,,204.01411439535494,,,5072238.75,,6.304833078377544,,7.377389031336526
2020-01-30 05:30:00,226.56,232.8,223.21,227.43,19073065,,208.27154814165402,,,5861509.25,,6.602211470217068,,7.7543514492834
2020-01-31 05:30:00,230.42,247.0,229.21,242.06,16631450,,214.41490302498966,,,6475939.25,,7.754083092150776,,9.759955572215656
2020-02-01 05:30:00,248.2,266.6,233.64,238.07,58253395,,218.7158297477188,,,9192425.5,,9.954729127618847,,13.685891402463621
2020-02-03 05:30:00,238.87,252.6,237.21,250.17,14263290,,224.4347697935881,,,9731250.25,,10.421847840301641,,13.97352771233417
2020-02-04 05:30:00,258.0,287.6,257.2,282.53,32973625,,234.99753892202662,,,11241414.0,,12.709779734167233,,17.924354683322324
2020-02-05 05:30:00,291.4,309.56,288.2,301.71,54801510,,247.12707729983993,,,13831639.5,,13.906979722651576,,19.45533611934632
2020-02-06 05:30:00,306.4,312.6,294.4,300.86,27968115,,256.8966996089599,,,15102851.0,,14.261568499555334,,19.24457921089437
2020-02-07 05:30:00,300.0,305.6,296.4,302.7,11897055,,265.2245724073308,,,15501957.5,,13.848117691414567,,17.560265092144935
2020-02-10 05:30:00,304.78,307.6,293.2,296.04,14954080,217.40633333333332,270.82737742417976,,,15525299.75,,13.892740188122561,,17.030878052060242
2020-02-11 05:30:00,299.04,301.0,275.72,281.6,14445050,221.54786021505376,272.7860360743289,,,15819409.75,49.09726266744323,14.804860046801036,,18.41154808664009
2020-02-12 05:30:00,279.0,290.0,270.0,283.05,26712510,225.5157402011793,274.6522113335418,,,16774681.75,52.11199484092863,15.21741347551515,,18.677222749723903
2020-02-13 05:30:00,316.7,321.96,303.07,316.07,56906935,231.35795051078065,282.1827183638069,,,19345191.75,69.67468327249303,17.08397488709823,,22.059246402179273
2020-02-14 05:30:00,319.8,320.78,309.72,311.48,16647740,236.5271149939561,287.50949684311473,,,19955666.75,74.11817317904861,16.612855612956796,,20.221558538363507
2020-02-17 05:30:00,312.98,313.0,302.0,303.73,7844795,240.86278499434604,290.45867923527567,,,20203784.25,67.3627947983249,16.176844533092012,,18.681503343273395
2020-02-18 05:30:00,303.0,329.6,297.0,327.72,37932555,246.46647628503342,297.2334648288619,,,21951886.25,82.8488534285555,17.444681488870923,,21.005186776953153
2020-02-19 05:30:00,333.26,374.54,331.68,366.38,66560220,254.20283265374096,309.8055621327052,,,25198212.25,100.50347507251138,19.699392565859497,,25.313734281924308
2020-02-20 05:30:00,374.0,395.4,372.41,386.01,60260010,262.70652086962866,323.66091447221334,,,28089570.25,110.41700735895338,20.41100791360018,,25.93217232815819
2020-02-24 05:30:00,380.0,397.98,362.4,384.7,49287130,270.5770679102978,334.75893002272,,,30415894.75,104.81286269499014,21.563469109361574,,27.54172055215046
2020-02-25 05:30:00,384.66,398.8,383.4,390.39,28821120,278.3069344967302,344.8736700185891,,,31531227.5,100.37468562336396,21.097319976023925,,25.516446918572907
2020-02-26 05:30:00,391.8,396.74,388.0,390.33,18443625,285.5342290453283,353.1384572879365,,,31733863.75,98.05662675055812,20.166635014685266,,22.71846874981022
2020-02-27 05:30:00,393.4,394.0,377.76,381.88,17376895,291.75008523595227,358.3641923264935,,,31649055.25,90.24560354705326,19.872047330252528,,21.638111415520125
2020-02-28 05:30:00,368.4,373.18,346.26,348.76,25451290,295.42814425298764,356.6179755398583,,,32090047.25,70.651269755835,21.049273584167903,,23.969527737929354
2020-03-02 05:30:00,362.0,374.74,327.29,344.65,24522045,298.6037478495691,354.4419799871568,,,30403479.75,73.47863290884382,23.016298182801503,13.463570480719792,27.884481244338033
2020-03-03 05:30:00,354.0,361.8,337.31,347.86,21576015,301.7815705689518,353.2452563531283,,,30769116.0,76.98295599084202,23.125761568676317,14.060972518574907,27.318548679707767
2020-03-04 05:30:00,350.4,353.0,313.08,313.08,22030465,302.5105014999872,345.9424824707413,,,30221958.0,57.03465917640567,24.369657111162464,14.70180254706956,29.41936498967115
2020-03-05 05:30:00,301.4,304.99,282.22,286.17,38036670,301.4562755967622,335.074758385152,,,29383716.0,43.73179306880965,24.849111146055996,15.36819596021587,29.659525547028714
2020-03-06 05:30:00,271.87,271.87,271.87,271.87,1160040,299.5474836227776,323.5829841333062,,,28043312.25,35.5689637977461,24.07172755444745,16.011193853200123,27.099118449947312
2020-03-09 05:30:00,258.28,258.28,258.28,258.28,675425,296.8850653245339,311.70971429088684,,,27482230.75,28.165938864628792,23.30105383965846,16.629445840117775,24.84724238461791
2020-03-11 05:30:00,245.37,271.19,245.37,257.07,20419645,294.3163514326285,301.7752207834528,261.4654,,27755509.0,22.56603413750358,23.48587294185908,17.23587161091745,25.009390034926525
2020-03-12 05:30:00,244.22,244.22,244.22,244.22,678070,291.0843287595557,291.31063518646135,260.7891098039216,,27067160.0,9.378359011107129,22.707015300272957,17.78261101831396,22.982602315903545
2020-03-13 05:30:00,232.01,253.76,232.01,245.55,15920675,288.14663012990695,282.9905196980138,260.1914976547482,,26527568.25,7.967286637646742,22.63705970151865,18.317105959357345,22.777149783157626
2020-03-16 05:30:00,236.22,239.6,233.28,233.28,6728530,284.6068475408807,273.95224338928404,259.1361448055424,,24018648.0,-3.6271998678013673,21.880514439275046,18.787987004261492,21.025824510922497
2020-03-17 05:30:00,230.4,235.76,221.62,221.62,8990180,280.5431799575981,264.43729004577784,257.6649234406192,,23635770.0,-6.9097324316377495,21.316516294990635,19.166713243173884,19.87811410866808
2020-03-18 05:30:00,215.32,217.59,210.54,210.54,2059660,276.02684576678536,254.63778276472732,255.8168872272616,,23346513.25,-15.841227964983807,20.571720089005147,19.505042318130666,18.4116840477317
2020-03-19 05:30:00,200.02,206.6,200.02,200.02,3359220,271.12317829796046,244.70727680750417,253.6287740026631,,21617846.5,-29.203978338583504,19.84134096542639,19.742761025839304,17.096345287428743
2020-03-20 05:30:00,194.05,201.0,190.02,190.2,15341885,265.90232808518886,234.7968628425034,251.1413711005979,,19056929.75,-36.959331808690465,19.19825056521963,19.91913672059157,16.076916891018083
2020-03-23 05:30:00,180.69,180.69,180.69,180.69,831390,260.40475853130573,224.95925141659367,248.3785722339078,,16085498.75,-39.942165791398,18.49595263644062,20.06028285848775,14.982397177058145
