datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,510.8,526.0,435.0,450.35,48562896,,,,,,,
2020-02-01,448.75,481.2,370.0,383.5,81817905,,,,,,,
2020-03-01,395.8,424.9,152.2,203.75,241643382,,,,,,,
2020-04-01,205.9,266.45,164.3,262.35,349117947,,,,,,,
2020-05-01,245.0,263.9,195.4,218.15,261423855,,,,,,,
2020-06-01,225.0,367.8,223.0,319.3,417296219,,,,,,,
2020-07-01,321.25,402.0,315.0,345.1,313373803,,,,,,,123.93877090651287
2020-08-01,320.85,328.35,283.0,305.8,553638878,,,,,,,109.64247538538537
2020-09-01,308.7,322.35,251.4,273.0,224563257,,,,,,,101.23945566726226
2020-10-01,276.85,332.35,276.05,289.45,200105208,,,,,,,92.5795276575219
2020-11-01,294.0,374.95,294.0,367.0,241432392,,,,,,,91.17233727893809
2020-12-01,371.0,430.7,365.8,402.25,218335479,,,,,,,86.11263992359807
2021-01-01,402.0,424.9,297.0,309.45,317319324,,,,,,,93.95699675779171
2021-02-01,310.0,357.0,304.9,345.25,212531324,,,,,,,86.26158786608143
2021-03-01,349.0,371.0,330.0,338.9,167881950,,,,,88.0443368087926,,78.08081780235261
2021-04-01,341.95,364.8,301.7,329.75,142463069,,,,,85.38888756434672,,75.41071024529704
2021-05-01,324.9,330.0,278.7,307.4,230752779,,,,,81.88276224672448,,71.16248075597694
2021-06-01,308.25,354.35,300.0,330.25,133709528,,,,,79.13722580616913,,68.22814039037942
2021-07-01,332.4,332.4,290.55,291.25,100826930,,,,,75.52128131938471,,63.66020735811372
2021-08-01,294.9,310.95,259.25,285.0,144349015,,,230057257.0,,73.26874763549836,,61.60242923189479
2021-09-01,286.0,301.35,274.45,283.0,86550212,,,231956622.8,,68.98326010474102,,55.663787170492505
2021-10-01,281.8,348.3,279.2,291.45,192345409,,,237482998.0,,68.9938275806544,,57.95291406536614
2021-11-01,279.0,318.9,266.85,272.45,192612891,,,235031473.45,,67.48878189670691,,56.950945469567365
2021-12-01,277.25,289.0,229.55,252.7,134692490,,,224310200.6,,66.7869421828153,,57.373838096058165
2022-01-01,252.7,327.5,249.2,315.55,228523690,,,222665192.35,,67.77639880289537,,60.90596274967785
2022-02-01,318.85,331.75,287.5,306.3,114729919,,,207536877.35,,65.78341543066504,,58.10056106556341
