datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,429.63,483.25,401.88,466.79,36227464,,,,,,,
2020-02-01,466.79,497.5,452.67,472.13,30319703,,,,,,,
2020-03-01,479.17,480.83,324.46,414.96,43939100,,,,,,,
2020-04-01,417.0,455.46,368.63,423.67,31371170,,,,,,,
2020-05-01,416.67,418.33,359.54,409.79,39527816,,,,,,,
2020-06-01,413.33,460.0,391.67,411.58,44998842,,,,,,,
2020-07-01,412.5,447.5,406.71,438.75,41235478,,,,,,,71.65349779253006
2020-08-01,441.67,484.96,432.08,448.08,42970208,,,,,,,67.31331656847249
2020-09-01,450.83,499.88,448.21,486.42,39719961,,,,,,,63.944219509678504
2020-10-01,491.67,531.67,485.29,519.21,35131363,,,,,,,60.31311774246294
2020-11-01,521.17,558.33,515.0,539.79,30203608,,,,,,,56.9374010221309
2020-12-01,540.58,634.79,539.25,632.88,28360936,,,,,,,64.37174026206432
2021-01-01,632.92,685.79,583.33,589.04,27832047,,,,,,,71.52169900632448
2021-02-01,594.25,660.67,562.54,566.54,41362983,,,,,,,76.41363516803483
2021-03-01,567.5,644.17,567.5,637.5,30689605,,,,,74.17420156339668,,76.63348607192611
2021-04-01,640.0,641.67,575.92,586.67,16683643,,,,,73.27740323004927,,74.69366684502147
2021-05-01,586.67,702.29,580.92,671.29,37748474,,,,,78.22384423100696,,82.91788641155155
2021-06-01,671.67,695.83,653.42,670.92,17633090,,,,,74.65252750181462,,75.84790501215585
2021-07-01,675.0,727.46,666.79,702.96,23843627,,,,,73.29656598581649,,73.21952967410874
2021-08-01,704.17,715.71,646.08,684.0,24356041,,,33207757.95,,72.94985653402378,,72.60194375560175
2021-09-01,684.0,710.83,672.0,674.17,17489976,,,32270883.55,,69.79643473196832,,66.8225360852593
2021-10-01,676.08,714.13,596.67,617.92,22603780,,,31885087.4,,74.11101439471047,,75.44963823124954
2021-11-01,621.67,677.67,614.29,626.46,24604207,,,30918342.75,,73.15782558171892,,73.40092155734112
2021-12-01,631.58,650.83,600.83,643.13,16215299,,,30160549.2,,71.13599169078036,,69.44099308872305
2022-01-01,643.58,666.21,578.38,602.0,10257384,,,28697027.6,,72.57071019037599,,72.54487161958107
2022-02-01,607.25,624.0,534.17,575.38,14172236,,,27155697.3,,74.03279020930569,,75.45624510169934
2022-03-01,566.67,602.88,517.04,583.08,22676145,,,26227730.65,,75.01989733217434,,77.20212202009901
2022-04-01,587.67,619.17,580.04,598.29,9567061,,,24557573.3,,72.05551468870885,,70.81023811625658
2022-05-01,594.58,597.38,453.0,512.42,21263222,,,23634736.35,,78.03762421432069,,83.29929433932116
