datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,486.1,533.9,470.7,490.65,29108269,,,,,,,
2020-02-01,487.9,527.95,422.7,435.4,31275505,,,,,,,
2020-03-01,440.5,466.4,231.05,234.95,47602880,,,,,,,
2020-04-01,234.4,324.35,207.5,309.2,68017309,,,,,,,
2020-05-01,298.5,336.6,263.1,326.05,72885018,,,,,,,
2020-06-01,332.9,385.7,306.6,319.35,76193131,,,,,,,
2020-07-01,322.0,398.0,321.0,381.95,82811595,,,,,,,105.00287293351809
2020-08-01,380.2,522.1,376.0,491.2,107169754,,,,,,,114.50397822715313
2020-09-01,492.0,512.7,427.5,447.55,48413771,,,,,,,108.13990086044048
2020-10-01,448.0,498.75,439.5,451.3,48995762,,,,,,,98.03275062154053
2020-11-01,454.0,539.65,445.0,508.35,61588520,,,,,,,97.36036478479298
2020-12-01,513.5,567.25,492.1,525.3,67701569,,,,,,,93.08294847540185
2021-01-01,527.65,676.9,524.25,583.8,77652827,,,,,,,104.26492328466048
2021-02-01,587.0,668.0,576.5,610.05,62170625,,,,,,,101.91809212725093
2021-03-01,619.6,650.0,568.3,595.95,41806376,,,,,101.66782980298827,,98.26378898371775
2021-04-01,603.8,626.9,555.75,610.4,37182600,,,,,98.41905439101147,,93.43116009649735
2021-05-01,602.55,694.85,598.6,677.85,50158016,,,,,98.19596185091993,,93.92783060856026
2021-06-01,682.0,790.9,660.1,761.9,81007779,,,,,101.44720028625729,,100.36325775240915
2021-07-01,762.0,832.0,759.5,771.65,33866855,,,,,98.64003330024842,,95.53814523158175
2021-08-01,777.25,844.8,717.0,767.2,59764863,,,59268651.2,,101.39739157714111,,101.08886329740741
2021-09-01,770.7,811.45,727.2,737.45,43577715,,,59992123.5,,99.81259715123787,,98.20722117443242
2021-10-01,737.0,818.0,717.3,767.15,43056692,,,60581182.85,,99.89292622990409,,98.63191577587894
2021-11-01,767.05,847.95,678.85,693.65,53731566,,,60887617.15,,106.04028621574592,,110.59326344531883
2021-12-01,697.3,745.8,652.5,697.85,26699251,,,58821714.25,,104.92797356098671,,107.66687928285631
2022-01-01,697.5,787.5,697.5,735.0,25075303,,,56431228.5,,103.64503183526624,,104.68488859799282
2022-02-01,744.0,767.15,650.5,678.65,34301890,,,54336666.45,,104.7467170326416,,106.70019952191147
2022-03-01,667.0,725.3,595.0,700.6,37441181,,,52068145.75,,106.88302426160581,,110.66816172220135
2022-04-01,700.0,753.85,694.2,701.75,21480325,,,47783674.3,,102.98173816921101,,102.10278239967204
2022-05-01,687.6,723.7,597.0,704.9,34013058,,,47063638.65,,104.91914838552947,,106.22733953803879
2022-06-01,707.0,712.45,615.0,651.8,28864651,578.9616666666666,,46057083.1,,104.31522968029125,,104.75701674473571
2022-07-01,645.15,742.5,630.0,733.0,29874518,588.899623655914,,44471383.0,49.39366146947928,104.97083003284857,,106.05297345700941
2022-08-01,733.0,799.2,700.1,740.85,39233852,598.7028737426292,,43047997.15,70.15388148828666,104.50461909699916,,104.8900620304278
2022-09-01,737.0,801.15,677.35,695.5,35467394,604.9478496302015,,40938725.5,196.0204298786976,106.0247576170429,,108.05096558254318
2022-10-01,697.4,847.0,683.0,834.2,35877887,619.7383109443822,,39624088.6,169.79301423027172,110.5588492461647,,117.39859339100825
2022-11-01,834.2,896.7,816.0,859.55,30134140,635.2100328189382,,39040476.8,163.62521085723048,108.23939013282364,,111.26970973547472
2022-12-01,860.45,919.45,827.4,879.85,31220982,650.9932565080389,,38742395.9,175.5127602943479,106.98959942462056,,108.06099242828823
2023-01-01,883.0,891.85,839.6,874.1,16426939,665.3872399591332,,37055842.05,128.85194397172407,102.78804562271542,,98.74601849842907
2023-02-01,884.85,910.0,811.65,816.0,32180775,675.1041922198343,,34614491.85,66.12377850162868,102.44920704364068,,98.67993772466089
2023-03-01,817.0,845.0,745.4,770.45,18976170,681.2555346572644,,33869957.6,72.14836331136188,102.23273909786137,,98.83343182215151
2023-04-01,780.75,803.8,743.55,801.35,18059851,689.0035646793765,,31784707.0,77.56481276312874,99.05754391177956,,92.3976052993198
2023-05-01,803.3,808.45,748.4,791.3,28382784,695.6033347000619,,31024960.45,55.660470148519714,96.11971155266865,,87.00266715308761
2023-06-01,791.45,845.7,785.6,836.8,20777309,704.7127969774773,,29910991.3,59.29944793451363,93.41740706535269,,82.51634563279706
2023-07-01,843.95,935.95,832.05,931.45,22121222,719.3410036240917,,28330474.1,59.549503254539246,94.201025347079,,86.08197273125595
2023-08-01,935.0,1080.95,887.2,1070.35,39937176,741.9867453257632,,28992370.35,75.45283173510369,101.61806678854559,102.37013119037097,104.03371220988528
2023-09-01,1072.95,1148.05,1055.95,1091.6,21886955,764.542439175714,,28832952.95,83.16972900411106,100.91108535885759,102.34490637556661,102.0441073570775
2023-10-01,1090.95,1128.8,1002.3,1019.35,16765429,780.9816366482486,,27956129.9,66.9970511140236,102.80637444798997,102.4911503774659,106.12120425910113
2023-11-01,1024.0,1128.35,1015.0,1120.25,26705843,802.8699181548133,,27419363.0,65.26517666150326,103.58525222069007,102.67079338979156,107.32627813396275
2023-12-01,1130.0,1249.9,1124.6,1238.35,19249324,830.9654073061157,,27307812.95,62.534453340333364,105.50601189062932,102.8060871099373,111.0476050541247
2024-01-01,1242.0,1299.0,1180.0,1235.25,16766453,857.0482842541082,,26445482.7,60.07905138339922,106.49816341236532,103.06802478034119,112.37321396835648
2024-02-01,1242.0,1330.0,1063.0,1151.0,35295847,876.0129110764238,717.1879999999999,26767042.5,50.02606882168925,118.27443946252684,103.63059304318739,138.14774364906856
2024-03-01,1150.05,1211.0,1088.0,1129.6,22928553,892.373368426332,733.361019607843,26419744.25,53.17648654146041,118.62048900218461,104.25752277155227,135.62284225922463
2024-04-01,1132.2,1326.0,1105.3,1271.2,29125430,916.8137962697946,754.4527443291041,25914323.15,65.70422994199309,126.08226449350911,105.13050071367245,149.80366709716407
2024-05-01,1271.5,1600.0,1209.15,1554.55,45334774,957.958067478195,785.8291072965903,26407692.15,124.11158365169754,145.4039219026066,106.44262190323447,189.9811218117644
2024-06-01,1649.95,1804.5,1406.25,1670.35,34612173,1003.9188373183115,820.5162011280967,26344406.45,139.35659525686032,163.8270796856282,108.40592544072251,224.69480897926854
2024-07-01,1673.1,1753.0,1500.0,1733.5,26544374,1050.9885897493882,856.3194873583674,26164918.15,135.85034013605443,170.31519056367097,110.62826406500267,229.41259082213566
2024-08-01,1740.0,1771.2,1510.4,1587.0,27015771,1085.5699710558795,884.9736251090197,25954657.6,133.84660723495173,176.8900071351736,113.03304040175375,234.64405670792462
2024-09-01,1597.0,1629.9,1502.6,1516.6,24232580,1113.3783600200163,909.7432868694503,26344939.65,116.47159577504995,173.2911322403647,115.24664400104571,216.75272218518427
2024-10-01,1519.0,1555.0,1340.8,1410.15,20497679,1132.52491743808,929.3670795412365,25760784.85,100.94763092269328,176.25660189898673,117.6891394587049,216.32725543993453
2024-11-01,1428.0,1482.9,1286.6,1332.25,17070813,1145.4104066356233,945.1664097553057,25665517.0,88.99843949496382,177.7080008332892,120.11543454029689,212.9892942293537
2024-12-01,1329.5,1394.95,1272.2,1299.5,23917850,1155.3516707236477,959.0618446668624,25958416.95,99.37097269100951,173.7322502515984,122.42933522600713,197.94909155541023
2025-01-01,1303.3,1322.0,1167.55,1224.05,22081053,1159.7838209995414,969.4535370328678,25643330.4,66.99181446111868,172.33861356418225,124.67492801038492,190.69911429741018
2025-02-01,1238.0,1240.95,1002.15,1016.5,24547734,1150.5397035157,971.2984963649122,25831851.65,37.2072619288655,177.13808639363984,127.09604358693962,198.71604714500978
2025-03-01,1018.0,1210.0,1002.4,1169.15,26567674,1151.7403678050098,979.057378860406,26054174.25,68.1020848310568,179.3361494738409,129.53975664883285,200.1967242025034
2025-04-01,1160.0,1179.0,919.1,1104.2,35046619,1148.6732473014608,983.9649326305861,25809646.4,32.366339007432266,185.14521964688245,132.02596899552344,210.1473723645109
2025-05-01,1104.0,1279.0,1080.0,1240.9,34888130,1154.623360378786,994.040817625465,26459705.15,44.36623814786809,186.14354547930967,134.62277417373966,208.2894610693968
2025-06-01,1238.0,1362.1,1230.0,1308.1,27312972,1164.5250790640257,1006.3568639930938,26987082.3,48.67306927317154,182.2518046356166,137.13151434743952,195.59112699171206
2025-07-01,1314.9,1336.1,1144.6,1169.1,21440481,1164.8202352534436,1012.7389477580706,26723814.2,33.74899897036951,182.91739053697796,139.80249251124826,194.90926844050915
2025-08-01,1168.0,1168.0,1141.9,1146.1,580962,1163.6124781403182,1017.9687929440286,25790396.1,40.453431372549,171.71657937362917,142.11140492224789,166.95758525950325
