datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,43.5,47.75,42.05,42.75,338697686,,,,,,,
2020-02-01,42.7,43.55,30.3,30.6,412664545,,,,,,,
2020-03-01,31.1,31.7,18.4,20.8,496721782,,,,,,,
2020-04-01,20.65,23.35,20.4,22.45,488533672,,,,,,,
2020-05-01,21.7,29.25,20.9,28.0,1670209668,,,,,,,
2020-06-01,28.4,39.8,26.4,35.7,2090409246,,,,,,,
2020-07-01,36.3,44.4,35.4,35.95,1513517339,,,,,,,9.876003029228837
2020-08-01,36.15,42.45,34.75,38.55,1207312165,,,,,,,9.372940275802609
2020-09-01,39.0,40.4,28.85,29.25,818034546,,,,,,,9.84574217352953
2020-10-01,29.7,30.4,26.75,28.0,411446904,,,,,,,8.564878520970524
2020-11-01,28.25,33.45,26.95,32.85,848054016,,,,,,,8.154444756428784
2020-12-01,33.3,37.6,30.6,35.9,1062807598,,,,,,,7.932114286970646
2021-01-01,36.15,42.3,35.1,36.05,1245362305,,,,,,,7.794681204337312
2021-02-01,36.5,48.8,35.4,47.6,1831418303,,,,,,,8.82521906998062
2021-03-01,48.7,56.5,46.9,48.75,1880762131,,,,,8.944798979814427,,8.965256239180341
2021-04-01,49.0,53.05,43.0,48.3,872806575,,,,,9.062453148634747,,9.158595651717524
2021-05-01,47.85,77.7,47.4,71.05,3018538878,,,,,11.246786696017466,,12.883643005539566
2021-06-01,71.65,79.55,60.6,65.55,1789941335,,,,,12.014942562324375,,13.942425255425078
2021-07-01,65.85,69.0,58.8,59.4,849279174,,,,,11.83893774002458,,13.29434515227738
2021-08-01,58.1,61.35,49.95,52.55,739938333,,,1179322810.05,,11.797431910372598,,12.968419196217697
2021-09-01,54.5,65.25,52.6,64.65,969065309,,,1210841191.2,,11.880848963689703,,12.922484500462128
2021-10-01,64.3,80.35,62.7,68.25,1554210982,,,1267918513.05,,12.403081440269608,,13.727911075140815
2021-11-01,68.8,74.5,56.8,58.9,778083163,,,1281986582.1,,12.873583419742399,,14.40213880713171
2021-12-01,59.25,66.05,56.05,58.95,676689775,,,1291394387.25,,12.622700264673613,,13.657204265026012
2022-01-01,59.0,64.6,56.3,58.0,619452284,,,1238856518.05,,12.251198230946393,,12.75296232396512
2022-02-01,58.3,61.65,44.0,49.85,665602379,,,1167616174.7,,12.708544986216365,,13.577781516346285
2022-03-01,49.7,53.1,47.5,49.35,503068373,,,1117093726.4,,12.114255944731168,,12.23643392620779
2022-04-01,49.5,58.65,49.45,52.65,530994744,,,1083277855.35,,11.881808038859013,,11.7434394790447
2022-05-01,52.2,55.8,44.5,51.2,612595257,,,1073005890.9,,11.834283441716806,,11.669081822075276
2022-06-01,51.5,52.7,41.4,44.95,340759517,45.559999999999995,,1069471521.55,,11.791083903068339,,11.607255637359586
2022-07-01,44.8,54.75,44.4,53.85,342721221,46.09483870967742,,1044204881.8,25.964912280701768,11.67565303842437,,11.396826552268596
2022-08-01,54.45,60.7,51.35,58.8,559770382,46.914526534859526,,1019053021.0,92.15686274509802,11.490969633618196,,11.054486976174834
2022-09-01,58.6,65.1,54.75,59.9,570228830,47.752299016481494,,985296347.25,187.9807692307692,11.401081183165608,,10.936727976172126
2022-10-01,60.3,74.75,59.9,74.05,773510202,49.44892488638591,,932400942.2,229.84409799554567,11.670812076805245,,11.590533904601312
2022-11-01,74.0,84.85,69.05,83.7,760776733,51.6586716679094,,876401672.3,198.92857142857144,11.991570672697286,,12.293539812095652
2022-12-01,84.0,91.55,73.1,79.2,722165681,53.435531560302344,,868869627.6,121.84873949579833,12.49014936507706,,13.321356601621451
2023-01-01,79.55,83.5,71.65,78.4,348249690,55.04614242737962,,735355168.2,118.0806675938804,12.441014515226168,,13.075784039849852
2023-02-01,79.15,79.7,66.3,69.8,304986618,55.99800420625836,,661107432.35,81.06355382619974,12.514231716363287,,13.129883637721429
2023-03-01,69.75,79.95,69.5,70.05,291459674,56.904584580048144,,633216457.35,139.48717948717947,12.357402116966137,,12.68279833558761
2023-04-01,71.0,78.65,67.6,78.4,316134384,58.29138557488375,,612026259.9,180.00000000000003,12.25852202964293,,12.410442914145367
2023-05-01,78.4,87.95,77.25,81.9,578373074,59.814521989407375,,592491648.15,149.3150684931507,12.141142774455075,,12.125175005158315
2023-06-01,82.0,90.15,81.8,87.65,414651008,61.610359280413356,,535513649.45,144.1504178272981,11.85672011558716,,11.495622226166997
2023-07-01,87.65,105.45,86.65,104.05,605852646,64.34840061716089,,526902123.6,188.62690707350902,12.375759735506488,,12.71359399472053
2023-08-01,104.7,122.0,94.8,121.25,785496036,68.019471545086,,532342436.65,154.7268907563025,13.480261361599126,11.913734333541191,15.12894600947712
2023-09-01,122.0,148.9,121.4,131.0,1039843758,72.08273144540304,,553362010.35,168.7179487179487,14.532758922651926,12.099999664969108,17.216473288807403
2023-10-01,131.0,133.75,113.5,120.85,364266214,75.22900683602221,,538295202.1,150.2070393374741,14.956216688868208,12.296458449643556,17.722199353972666
2023-11-01,121.3,176.5,120.7,170.45,749027488,81.37229671756917,,550593157.85,139.9014778325123,17.973425031206915,12.520679727483206,24.0699458411367
2023-12-01,171.35,199.7,165.8,193.55,646660057,88.60956789708084,,556376423.5,195.2707856598017,19.147083918656605,12.758417772694278,25.70859935006081
2024-01-01,199.0,234.45,191.85,228.25,925988535,97.61862803275304,,572046087.4,284.25925925925924,20.871470081639277,13.059502184081435,28.52427832825764
2024-02-01,230.5,243.25,201.35,227.55,715990683,106.00129719193028,70.789,590807645.7,333.01617507136064,22.414366901467787,13.413400017117942,30.75385927006623
2024-03-01,230.0,275.85,207.1,247.3,831115455,115.1173425343864,77.71100000000001,615227357.4,282.5212683681361,25.807493362624495,13.877621497082435,37.08724533470397
2024-04-01,249.0,284.8,246.25,281.7,383483393,125.86461075797438,85.710568627451,606413007.95,312.7472527472527,26.738941042921898,14.355483483837512,37.33106010520494
2024-05-01,283.1,322.5,267.05,298.9,751487272,137.02818425745988,94.07093848519801,615475930.05,407.4702886247877,28.834155718380202,14.887502560458772,40.35111387799199
2024-06-01,320.0,321.0,224.05,300.85,669264739,147.5973336602044,102.17992128970005,610263656.9,410.3477523324852,33.79728963830058,15.593322206246338,49.784861464094654
2024-07-01,301.95,335.35,283.0,315.25,553602840,158.41363471438478,110.53561065088829,599904962.25,443.53448275862075,35.14716179108594,16.356520991584322,50.21240721004173
2024-08-01,314.7,319.95,285.0,290.55,263007780,166.93856150700515,117.5949984685005,576947067.2,482.8485456369107,35.13283560065272,17.103997345398867,47.66856033813543
2024-09-01,291.0,292.0,249.45,279.7,315118242,174.21349302268223,123.95205735208873,575290494.8,466.76798378926037,35.67111837755815,17.889226093159767,46.81543555328042
2024-10-01,280.4,285.5,210.7,239.0,430207301,178.39326766638015,128.463741377497,581551528.95,353.94112060778735,38.50755745744037,18.77675107377915,51.47967266512978
2024-11-01,240.9,253.8,218.12,251.09,231696964,183.0833794298395,133.27261426465398,578563393.45,390.41015625,38.3028060545233,19.659035160872698,48.84632659061394
2024-12-01,249.75,256.55,223.6,229.4,216668974,186.07154849888215,137.0423156660401,573590122.95,410.34482758620686,37.91557541544849,20.529851544618698,46.196882401851
2025-01-01,230.01,236.77,184.14,208.09,324230456,187.4920937570188,139.8284993654111,560882992.05,286.4252553389043,38.979069648106794,21.439965431608115,47.269087696649144
2025-02-01,209.56,214.4,177.6,179.17,312934835,186.95518448237246,141.37130331186557,555797183.4,204.71088435374148,38.821709320096126,22.350990087824048,45.52421394196175
2025-03-01,180.1,221.9,176.0,216.43,244938577,188.85678548350973,144.31478161336105,537751479.95,261.3188647746244,39.33246283399157,23.282036142851577,45.58684572352852
2025-04-01,215.15,235.2,193.5,226.84,266491797,191.30731545231555,147.5510646873469,511801268.0,206.33355840648213,39.503174504856425,24.209781557119946,44.939031449718485
2025-05-01,226.84,269.12,212.1,259.83,335112598,195.72813381023067,151.95416018980387,476564710.0,210.4301075268817,40.76537418960181,25.16890834101677,46.9525434408442
2025-06-01,261.05,272.1,243.5,266.3,174183933,200.2811574353771,156.43831077059588,467060595.95,236.23737373737376,39.889330932399,26.08221439326083,43.89376438510589
2025-07-01,267.75,267.75,234.25,238.45,95521063,202.74366340728827,159.6544554462588,434385274.7,204.14540816326524,39.42949542718091,26.98183042365932,42.16146002507744
2025-08-01,238.45,238.45,231.1,231.6,21644305,204.60536254230195,162.47584935032708,403134487.1,231.80515759312323,37.12200511247493,27.802089536863043,36.359521284676944
