datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,317.97,411.9,314.61,388.49,90007110,,,,,,,,,
2020-02-01,385.8,394.14,333.51,337.95,43235470,,,,,,,,,
2020-03-01,339.4,397.15,147.07,229.55,70288175,,,,,,,,,
2020-04-01,227.0,249.4,202.21,240.69,55183855,,,,,,,,,
2020-05-01,233.2,314.6,230.42,290.34,96352315,,,,,,,,,
2020-06-01,292.22,303.58,260.4,281.84,64382775,,,,,,,,,
2020-07-01,281.72,393.8,275.0,385.24,114597685,,,,,,,,,96.60632754342434
2020-08-01,384.4,415.8,379.4,384.8,49275675,,,,,,,,,82.68743106173602
2020-09-01,386.7,484.0,376.1,464.44,50307340,,,,,,,,,88.16295858543623
2020-10-01,467.6,562.8,433.11,441.13,117628125,,344.447,,,,,,,96.74796365125002
2020-11-01,441.0,499.0,415.5,480.13,52583625,,369.11663636363636,,,,,,,94.11467964026663
2020-12-01,480.8,545.98,461.0,541.03,47097145,,400.37361157024793,,,,,,,92.35546370424149
2021-01-01,540.65,581.91,470.6,478.56,41770715,,414.58931855747556,,,,,,,95.91362449876773
2021-02-01,476.2,539.98,460.0,508.41,29335105,,431.64762427429815,,,,,,,92.98422762028373
2021-03-01,511.1,606.4,495.21,585.39,46440525,,459.60078349715303,,,,,95.87686865737042,,96.27481561537826
2021-04-01,587.2,644.58,557.0,573.81,63537135,,480.3660955885797,,,,,94.99362554786771,,94.72509428586712
2021-05-01,575.19,717.0,564.37,705.88,142959080,,521.3686236633833,,,,,100.92166738558173,,104.92775217227516
2021-06-01,708.0,834.8,701.18,831.46,49797570,,577.7488739064045,,,,,104.18230876016685,,109.93550933807533
2021-07-01,831.98,1046.0,818.01,1016.78,55257680,,657.5727150143309,,,,,116.18861196135893,,130.37914181258395
2021-08-01,1022.92,1067.32,928.45,1041.75,86977030,,727.4231304662707,,,68350706.75,,118.33335765615749,,131.84001132159278
