datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,88.25,96.95,85.6,91.35,264236433,,,,,,,
2020-02-01,91.2,93.7,81.0,85.9,178513363,,,,,,,
2020-03-01,87.95,88.2,35.7,41.05,425581367,,,,,,,
2020-04-01,41.05,50.75,39.35,48.8,463758781,,,,,,,
2020-05-01,46.3,46.4,36.8,44.9,648656667,,,,,,,
2020-06-01,45.85,58.1,44.05,51.0,941207362,,,,,,,
2020-07-01,51.05,58.6,49.2,53.9,781560747,,,,,,,16.654342431761787
2020-08-01,53.6,62.75,51.65,55.3,856906336,,,,,,,15.370252860349535
2020-09-01,55.3,56.8,45.35,48.6,719808996,,,,,,,14.518873832323111
2020-10-01,49.3,58.8,49.05,50.45,777908061,,,,,,,13.626020586194644
2020-11-01,51.05,63.5,50.05,62.8,870709100,,,,,,,13.59103315662191
2020-12-01,63.2,69.1,57.65,66.7,778069007,,,,,,,13.178699085037811
2021-01-01,67.0,78.85,66.8,72.3,751131109,,,,,,,12.98559086563148
2021-02-01,73.35,88.2,71.75,83.55,538923875,,,,,,,13.62252248811295
2021-03-01,84.65,92.5,72.6,75.8,477232138,,,,,14.979000211388682,,14.757140218646903
2021-04-01,76.45,82.9,70.2,80.1,484213469,,,,,14.736389255811348,,14.390485626340906
2021-05-01,79.5,89.4,77.2,87.25,619385866,,,,,14.475515427988164,,14.004529114107163
2021-06-01,87.3,89.25,81.25,87.1,361812856,,,,,13.829784228931484,,12.956537897839663
2021-07-01,86.8,90.9,82.95,87.45,404592924,,,,,13.259589667485482,,12.08954994863712
2021-08-01,87.9,90.0,77.5,81.25,289948015,,,581707823.6,,13.187763081459197,,12.160168719057266
2021-09-01,81.5,86.7,78.15,84.3,262874747,,,581639739.3,,12.759132228358812,,11.542358949588808
2021-10-01,83.95,107.65,82.7,97.45,626246323,,,604026387.3,,13.862668438101393,,13.826618071914197
2021-11-01,98.0,103.35,84.7,86.8,329844532,,,599239545.55,,14.287906045753132,,14.645345426567879
2021-12-01,87.5,93.4,78.6,83.0,283110301,,,590207121.55,,14.33261529137671,,14.67151623555227
2022-01-01,83.2,102.75,82.95,100.6,396050735,,,577576824.95,,14.802493935293283,,15.537152467520919
2022-02-01,101.1,106.0,92.6,97.0,411477322,,,551090322.95,,14.683684970261654,,15.17718701720743
2022-03-01,96.0,100.3,86.0,97.4,332900337,,,528657302.45,,14.651608114357778,,15.029700815784
2022-04-01,97.4,104.0,93.7,96.0,269544404,,,499289205.85,,14.292180182704113,,14.235636894197485
2022-05-01,94.0,97.75,82.5,88.85,313997173,,,478998614.7,,14.370419048294696,,14.405729245979495
2022-06-01,88.4,93.4,84.0,90.2,198073881,75.90499999999999,,450006905.7,,13.968535341987165,,13.567202061794475
2022-07-01,90.55,109.45,89.3,106.65,304918917,77.88854838709676,,421717396.55,16.748768472906427,14.463670849865164,,14.668976519043749
2022-08-01,106.75,117.85,105.2,117.0,273184797,80.41186784599375,,396473186.05,36.20488940628637,14.319644676477864,,14.331294967616424
2022-09-01,115.05,129.75,109.45,118.75,384920129,82.88529572689738,,378162637.05,189.28136419001217,14.790792073698757,,15.328997919828543
2022-10-01,119.35,136.0,115.9,131.5,340394389,86.02172826064594,,368236162.75,169.4672131147541,15.206011298775877,,16.126108221788293
2022-11-01,132.2,139.95,130.2,131.45,205899323,88.9525845018946,,354669522.0,192.76169265033408,14.782184009749898,,15.061260175704701
2022-12-01,132.15,142.2,120.9,139.05,314458221,92.18467582435302,,346181759.6,172.64705882352942,15.285347241691314,,16.102813493874805
2023-01-01,139.75,143.4,129.4,134.45,350521818,94.91147093245928,,332738557.2,149.44341372912803,15.186690042024862,,15.751849427074378
2023-02-01,135.45,136.45,124.1,129.15,172984951,97.12040829165545,,323297161.95,133.54430379746836,14.970112722901431,,15.184207149565445
2023-03-01,129.85,136.45,123.65,132.3,180350322,99.39005936961317,,312085031.85,172.22222222222223,14.805238834819288,,14.786449590688967
2023-04-01,133.0,136.4,126.0,134.95,155399867,101.68424908770264,,305357624.45,167.49256689791872,14.472066358643923,,14.054777282560774
2023-05-01,135.55,140.3,122.3,125.25,301244359,103.20462011430247,,307276105.05,99.44267515923568,14.737770798682815,,14.712762080407384
2023-06-01,125.25,128.1,121.0,126.15,210747676,104.68496720370231,,286501172.7,89.13043478260869,14.164762814646302,,13.443248609648636
2023-07-01,127.2,139.25,126.45,135.65,499307433,106.68271125507636,,294974317.75,87.62102351313972,14.085167278268901,,13.386013465315745
2023-08-01,136.4,146.45,130.5,143.95,324579475,109.08705246442626,,297047776.45,72.29204069419508,14.224109358051303,14.399095127595025,13.813512876839997
2023-09-01,145.1,151.5,140.8,147.2,301288667,111.54595230543103,,292309673.05,94.19525065963059,13.962346131580745,14.365206658268097,13.294423743459605
2023-10-01,147.5,152.6,137.25,140.65,283542748,113.42363280185485,,285912944.35,75.59300873907617,14.065125216711568,14.342831190298103,13.637113487390891
2023-11-01,140.6,155.2,139.65,147.35,223113184,115.61243068560616,,280423586.7,68.88252148997134,14.174815755155032,14.332807867870333,13.956000566863656
2023-12-01,148.75,159.3,148.0,156.15,240104078,118.2277577381477,,278951570.4,79.27669345579795,14.01086495034658,14.3388438919175,13.621603643441723
2024-01-01,156.2,157.2,139.4,147.3,342403874,120.10338627117044,,280371905.45,68.43910806174958,14.289462802597997,14.373172996421253,14.318113247799353
2024-02-01,148.15,166.35,143.35,150.4,361380342,122.05800651174009,99.449,288537228.5,85.1076923076923,14.928568826321273,14.43119985458332,15.765285199839946
2024-03-01,151.4,158.55,139.65,150.2,243274056,123.87361899485363,101.43923529411765,285454985.45,78.17319098457887,15.219393992676856,14.51320858006059,16.287795082437224
2024-04-01,152.0,164.65,148.5,162.6,316749270,126.37209518873404,103.83769665513265,287633209.1,66.85479733196512,15.287419133370094,14.560700269902878,16.264827132173473
2024-05-01,169.5,170.3,156.35,162.05,305507138,128.6738954991383,106.12053208042157,283662559.55,86.6935483870968,15.189819800664711,14.590764061733266,15.878993167578308
2024-06-01,165.25,179.73,148.0,177.25,300115126,131.80783772500035,108.90992297922857,281648596.4,113.55421686746988,16.39498917432052,14.659509857831392,18.520995646572494
2024-07-01,177.3,205.15,173.91,201.39,420914008,136.29700948467774,112.53659266631765,292399330.65,100.18886679920476,17.475093715959385,14.748596517186929,20.6409420462982
2024-08-01,202.0,206.59,190.26,194.7,186416142,140.06494435663402,115.7586870715601,285997226.7,100.72164948453607,17.391888798067495,14.83886997811379,19.922419975138297
2024-09-01,197.5,197.7,181.73,196.73,188611253,143.7207543981415,118.93403267659697,277901698.45,101.98151950718683,17.288698655653793,14.92677299615699,19.263659070079825
2024-10-01,198.5,205.66,182.0,203.91,323005629,147.60393153374528,122.26642355202455,285402732.35,112.40625,17.75055208395226,15.04205205953193,19.996405029400258
2024-11-01,204.25,214.44,195.04,210.78,228043917,151.67980691866495,125.73754419704319,287787412.1,137.23128868880136,17.86999325532819,15.158704533099712,19.897001650844267
2024-12-01,210.78,217.0,190.55,200.02,189060593,154.79852905294464,128.6505816795121,289470448.4,121.7516629711752,18.49068480685525,15.309442848595316,20.989191302093325
2025-01-01,200.4,207.23,178.09,187.21,205672085,156.88959169469018,130.94702945678614,284691834.7,75.53680262541023,19.260370717751176,15.469332844191515,22.347683527588604
2025-02-01,188.24,189.52,175.01,177.62,114854814,158.22703739180696,132.77734202710826,279897191.6,51.81196581196581,18.917325283215813,15.622588864416114,21.041383620557326
2025-03-01,177.81,200.0,172.66,192.73,145460962,160.45303497943232,135.12842665349618,262204868.05,62.298947368421054,19.52508652142118,15.780398679340193,22.09116595497794
2025-04-01,191.72,205.5,186.51,196.68,185389895,162.79025852914637,137.54221384355515,255245389.05,49.566539923954366,19.48650401659695,15.92308176993423,21.57429965412958
2025-05-01,195.93,204.59,183.15,202.06,179952210,165.32379023694338,140.07232310459221,249178566.2,53.716241917078754,19.627265938047064,16.08458450087747,21.551916186871267
2025-06-01,202.2,214.45,201.71,213.12,226251485,168.40741667326964,142.93693788480428,246314003.05,53.26860841423948,19.131305617258423,16.212783113396373,20.08325301436859
2025-07-01,214.35,220.0,201.14,202.43,152979275,170.60242204918774,145.26999914422373,242807307.6,50.561547043510615,19.111779949093716,16.343619443632,19.879376300245152
2025-08-01,202.68,202.92,194.41,196.06,10948324,172.24484643311112,147.26176388366594,231349519.9,51.80797522260936,18.349189882591304,16.456255348954997,17.98447086499296
