datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,649.75,665.65,588.3,602.8,49452434,,,,,,,
2020-02-01,603.0,652.7,585.5,613.05,36108631,,,,,,,
2020-03-01,620.05,647.8,458.05,480.45,41168184,,,,,,,
2020-04-01,480.0,579.85,466.5,563.5,37090505,,,,,,,
2020-05-01,547.0,552.75,447.05,496.25,60678562,,,,,,,
2020-06-01,505.0,593.4,502.05,579.5,62634145,,,,,,,
2020-07-01,582.45,612.65,562.2,583.15,51395601,,,,,,,99.32966066191871
2020-08-01,584.0,667.9,576.7,615.55,37806503,,,,,,,97.45019201133731
2020-09-01,627.4,693.0,608.45,677.85,35972422,,,,,,,94.64859902047412
2020-10-01,681.2,741.0,663.85,727.9,37105083,,,,,,,91.031063166289
2020-11-01,730.0,855.0,730.0,801.4,64623451,,,,,,,98.20044837579772
2020-12-01,798.1,928.5,798.1,916.15,56715994,,,,,,,104.40164716775747
2021-01-01,919.8,1194.85,904.75,1044.75,93135948,,,,,,,139.2610912789618
2021-02-01,1050.0,1231.9,1033.05,1105.55,49093553,,,,,,,150.21651220112412
2021-03-01,1124.0,1185.8,986.5,1050.4,43004579,,,,,141.79920241524988,,159.08806855916677
2021-04-01,1062.75,1099.95,971.1,990.25,23873070,,,,,140.42069513989784,,153.69858338981132
2021-05-01,984.9,1088.0,970.0,1030.8,33979222,,,,,138.1146719022577,,147.40860797471004
2021-06-01,1032.0,1084.8,958.0,980.2,28624539,,,,,136.98638539971938,,143.81171640726728
2021-07-01,984.8,1195.0,980.2,1173.65,47307249,,,,,144.53239357349182,,156.10483945264144
2021-08-01,1180.0,1289.5,1175.65,1268.45,45701725,,,46773570.0,,141.82019447754308,,149.1789120318342
2021-09-01,1270.0,1482.7,1266.15,1373.1,33759533,,,45988924.95,,148.72686472578664,,160.70815611029943
2021-10-01,1373.1,1504.45,1210.3,1262.95,29493031,,,45658144.95,,161.89079189778838,,183.44263625180207
2021-11-01,1275.55,1424.35,1260.6,1360.35,24500840,,,44824777.75,,162.0559371765912,,180.09998161134862
2021-12-01,1360.3,1429.4,1253.4,1397.0,23523283,,,44146416.65,,163.2733476236238,,179.40617842655496
2022-01-01,1400.0,1419.0,1117.0,1184.4,20736723,,,42149324.7,,175.1958105135841,,200.09877659858049
2022-02-01,1195.0,1229.55,1118.85,1185.7,18992221,,,39967228.5,,169.7322000813631,,185.04113734970076
2022-03-01,1175.0,1184.2,1037.4,1152.55,25561673,,,38675532.1,,167.94042389256927,,178.86365104702506
2022-04-01,1154.2,1344.7,1153.0,1311.8,18878802,,,37729147.05,,169.94005199276413,,181.09428058662678
2022-05-01,1295.0,1310.9,1150.0,1201.8,18549177,,,36857984.8,,169.27513733735407,,177.8589405568601
2022-06-01,1197.25,1210.9,1057.45,1098.2,22294358,960.9816666666667,,36117448.55,,167.99559434828888,,173.7701136970129
2022-07-01,1099.85,1276.7,1092.25,1249.35,20528638,979.5860752688172,,33912707.9,107.25779694757796,169.31359274347986,,175.55762503268141
2022-08-01,1258.8,1396.45,1248.95,1391.5,16041491,1006.1611671869581,,31878982.75,126.97985482423948,167.58134441909073,,170.86487984172228
2022-09-01,1385.6,1405.55,1270.25,1348.55,11316173,1028.2507693039286,,27787994.0,180.68477469039442,165.03813911120136,,164.92000814499082
2022-10-01,1349.05,1368.4,1159.2,1216.3,17388108,1040.3829777359333,,26202721.75,115.84738243123334,168.49192240821102,,172.3180425799398
2022-11-01,1220.0,1261.35,1183.1,1253.55,13784928,1054.1356888497442,,24741739.2,152.6045340050378,161.48185823562653,,156.6081192449085
2022-12-01,1259.15,1270.6,1024.5,1099.95,14921299,1057.091450859438,,24294150.65,89.81018119068163,168.01422087899192,,171.5487271200378
2023-01-01,1103.95,1223.9,1099.0,1181.75,22002346,1065.1339379007647,,23695306.85,102.64940409843094,164.7049763731063,,163.7629548540707
2023-02-01,1186.1,1243.3,1152.65,1197.05,13173692,1073.6446515845864,,22922764.5,94.46836162781254,159.05098245306988,,151.5631191181121
2023-03-01,1197.05,1228.6,1131.8,1188.5,9699545,1081.0546740630002,,21042379.3,75.33377590912443,154.32147628241876,,142.42698152165698
2023-04-01,1190.0,1237.75,1158.15,1230.2,10518679,1090.67695315571,,19283227.0,69.006731693914,148.6702187206903,,131.94726173181712
2023-05-01,1233.0,1322.9,1211.85,1307.95,16135970,1104.694569081148,,18402048.85,63.20813576241577,145.83687201820544,,128.4620134908554
2023-06-01,1310.9,1373.7,1276.0,1282.8,18061748,1116.1852420436546,,17830484.7,40.02073896196037,142.2255025859449,,123.3321026776945
2023-07-01,1289.9,1408.3,1258.6,1334.05,27435491,1130.241032879548,,17977217.25,27.690835128021064,142.78425296925994,,127.72882961722048
2023-08-01,1336.0,1399.0,1262.95,1384.55,14877782,1146.6480630163512,,17544942.2,25.236307720139294,142.28250763713103,156.64991897781005,129.11623762179073
2023-09-01,1389.65,1465.85,1348.2,1388.95,17806161,1162.2804460475543,,17398414.1,32.23057882711346,140.45285820799936,156.60504083756834,127.20457077290655
2023-10-01,1385.0,1425.0,1240.25,1246.15,18331039,1167.6913850122285,,17365355.0,25.841959101237077,143.73380586426075,156.7154778617138,136.79809878895713
2023-11-01,1250.15,1315.0,1232.85,1302.65,12549965,1176.3983924307945,,16714769.6,26.372720217306966,139.18449241327167,156.75113854541425,127.68800652437183
