datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,270.7,284.0,249.1,250.7,158207190,,,,,,,
2020-02-01,249.0,296.75,232.65,235.7,151794062,,,,,,,
2020-03-01,242.2,252.75,136.1,146.25,214666077,,,,,,,
2020-04-01,145.95,188.7,132.5,180.65,213642772,,,,,,,
2020-05-01,170.95,189.0,162.1,184.2,231209585,,,,,,,
2020-06-01,188.0,207.75,175.45,189.35,283841683,,,,,,,
2020-07-01,190.3,221.95,188.55,220.25,235228252,,,,,,,48.49770874287004
2020-08-01,221.0,290.75,218.65,269.8,219882457,,,,,,,53.95424233565068
2020-09-01,269.8,295.85,257.55,277.75,188746236,,,,,,,50.55453979120104
2020-10-01,281.45,327.3,278.25,309.0,209298223,,,,,,,50.34686838234291
2020-11-01,311.45,362.2,306.55,350.2,134065850,,,,,,,51.40096636030643
2020-12-01,354.5,393.9,344.0,387.2,149686597,,,,,,,51.11190050967177
2021-01-01,387.25,413.1,363.2,366.85,155179764,,,,,,,50.88440157152336
2021-02-01,366.5,426.6,363.65,395.45,147923157,,,,,,,53.10266185349214
2021-03-01,402.6,473.8,393.35,468.45,177276175,,,,,56.42723320644855,,58.04553495581375
2021-04-01,470.55,740.0,470.0,717.85,539200161,,,,,79.32812621971495,,96.0995246045005
2021-05-01,714.0,773.0,671.9,710.9,308869446,,,,,81.56741659635286,,96.9805922636303
2021-06-01,716.5,737.2,646.15,683.9,179347808,,,,,82.51300927070997,,95.94550550138172
2021-07-01,687.8,758.1,664.45,736.95,163801625,,,,,83.59302365516125,,95.54799016291102
2021-08-01,741.4,776.5,664.0,687.6,152850779,,,210735894.95,,86.32645923501262,,98.46461811038094
2021-09-01,688.0,702.0,628.1,668.3,114601636,,,208555617.25,,85.17798232289645,,94.2608641495915
2021-10-01,660.0,727.3,653.05,669.15,94539882,,,205692908.25,,84.18876445763537,,90.85161424444756
2021-11-01,680.0,696.0,604.3,608.4,80548852,,,198987047.0,,84.85595447596724,,90.99562038696861
2021-12-01,614.95,692.95,614.0,655.95,109890657,,,193799441.25,,84.8292425929188,,89.90488575048357
2022-01-01,655.95,704.85,612.05,628.95,86294190,,,186553671.5,,85.51426639882004,,90.3935517783344
2022-02-01,633.95,678.0,566.0,627.45,69993456,,,175861260.15,,87.75794283696565,,94.03277498865073
2022-03-01,625.0,764.75,613.1,732.65,139695687,,,171084631.9,,93.09945076630456,,103.72027091230899
2022-04-01,735.0,790.0,695.25,727.15,95321761,,,164856597.1,,93.23578048202559,,102.21426265179689
2022-05-01,720.0,736.0,520.05,551.25,137830183,,,162310794.45,,103.25960871521612,,121.28591355920206
2022-06-01,554.05,588.5,536.1,564.5,117436186,473.425,,157717692.6,,99.1473502007485,,109.74659365427425
2022-07-01,556.55,637.95,541.0,629.6,89894633,483.50080645161296,,155509131.75,151.13681691264463,98.9713423825653,,107.6048052900516
2022-08-01,634.6,685.0,626.3,666.9,54720593,495.3330124869928,,150760831.55,182.94442087399236,95.7733379922087,,99.42528939829798
2022-09-01,655.0,701.8,614.2,631.65,55686592,504.1276568426707,,145786172.95,331.89743589743586,95.1294219181103,,97.4486251001909
2022-10-01,631.0,683.0,615.0,673.95,43880090,515.0839370463694,,140584019.6,273.0694713534459,93.00770099438755,,92.5285261248685
2022-11-01,670.0,745.65,670.0,743.4,45480693,529.814005624023,,133994245.5,303.58306188925087,91.65934100147012,,89.70971174160256
2022-12-01,747.15,777.5,722.4,768.05,37098785,545.1840697773118,,108889176.7,305.6245048851333,88.83702809735234,,83.93164419581437
2023-01-01,771.9,783.5,692.8,716.45,50298401,556.2334846303885,,95960624.45,225.28944381384792,88.98002104510292,,85.06129724660019
2023-02-01,722.0,738.7,664.9,667.2,31335228,563.3926146542344,,88559995.45,147.29429206819867,87.8210476594034,,83.1822051369113
2023-03-01,668.0,692.5,649.05,688.1,38821266,571.4382524184774,,82310977.5,147.74077407740776,84.44996602448128,,76.55367668588403
2023-04-01,690.4,736.0,675.05,725.3,23309314,581.3648167785757,,75833904.25,134.72491909385113,82.67264085234119,,73.95093889077042
2023-05-01,731.95,746.5,681.05,696.3,49258488,588.7799898896353,,72566746.85,98.82924043403769,81.37552684486137,,72.533151110926
2023-06-01,698.9,791.45,691.15,784.8,65768260,601.4264421548202,,71128165.75,102.68595041322315,82.79529636890224,,77.16358462938895
2023-07-01,788.0,823.35,773.2,816.75,89437935,615.3182845964448,,71572619.9,122.63868065967016,80.35492200670673,,72.65919226842784
