datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,1308.4,1377.0,1283.35,1369.3,71005907,,,,,,,
2020-02-01,1372.6,1383.7,1162.0,1187.55,70352323,,,,,,,
2020-03-01,1205.0,1212.35,661.0,808.5,136044276,,,,,,,
2020-04-01,806.85,943.0,762.8,897.55,109036642,,,,,,,
2020-05-01,880.0,937.5,791.7,932.25,107094906,,,,,,,
2020-06-01,944.65,995.0,874.0,943.65,141498450,,,,,,,
2020-07-01,941.0,964.4,896.3,913.45,103137562,,,,,,,182.79206599851764
2020-08-01,913.0,1024.95,903.55,944.95,110136500,,,,,,,168.59904266863555
2020-09-01,964.95,971.0,843.0,901.6,97934003,,,,,,,159.78196511845317
2020-10-01,909.95,994.65,876.05,929.5,128048598,,,,,,,151.26829867078524
2020-11-01,930.0,1177.0,920.65,1122.4,135062979,,,,,,,172.1552795866065
2020-12-01,1140.0,1338.5,1104.1,1287.6,133493313,,,,,,,184.14277213116992
2021-01-01,1283.0,1396.4,1283.0,1334.7,80148708,,,,,,,170.86288206339975
2021-02-01,1345.75,1593.0,1337.2,1442.5,89923800,,,,,,,186.93819627498567
2021-03-01,1456.0,1565.0,1360.05,1418.9,75485037,,,,,189.96949893040465,,190.1937255583005
2021-04-01,1432.0,1447.85,1306.0,1340.45,48204801,,,,,184.8469379235786,,181.5771768055904
2021-05-01,1325.5,1499.65,1319.15,1467.7,64894556,,,,,184.39984474462923,,181.38738172182204
2021-06-01,1465.95,1583.0,1447.25,1500.55,56513132,,,,,179.54853631517332,,173.42213177981589
2021-07-01,1497.1,1647.15,1475.5,1601.45,54346879,,,,,178.7825724166794,,173.11524967308858
2021-08-01,1606.3,1684.95,1562.75,1672.2,45594762,,,92897856.7,,173.432140230406,,164.35517688077366
2021-09-01,1672.25,1810.0,1655.2,1702.95,45305971,,,91612859.9,,171.71012252019295,,162.71999523544528
2021-10-01,1697.5,1885.0,1684.05,1766.65,51924175,,,90691452.5,,174.3569614632307,,169.23323919846882
2021-11-01,1776.0,1981.75,1735.15,1764.75,59348794,,,86856678.4,,180.77399284692808,,182.36557753566944
2021-12-01,1764.0,1909.0,1762.05,1895.9,47423210,,,83776006.8,,177.82093083238524,,176.37251639179956
2022-01-01,1895.0,2078.55,1850.1,1909.2,43324725,,,80587497.75,,182.1721004740086,,185.16266933983496
2022-02-01,1928.65,2008.0,1751.0,1816.75,45726560,,,75798903.25,,188.51096945194453,,197.26239431191502
2022-03-01,1800.0,1826.95,1595.0,1767.65,54738103,,,73378930.3,,192.14256211647808,,203.09460922053995
2022-04-01,1759.0,1858.0,1652.0,1694.35,42953801,,,70019795.35,,193.2871390419737,,203.58239187021206
2022-05-01,1668.6,1685.95,1502.0,1654.5,48045645,,,67525377.45,,193.21058947156317,,201.69890070377224
2022-06-01,1653.55,1673.7,1456.35,1558.25,45520427,1384.9233333333334,,63398968.9,,195.16238381264102,,204.32067099484559
2022-07-01,1560.95,1832.5,1534.6,1808.05,44010200,1412.2218279569895,,58846329.95,32.04191922880304,203.3916700066765,,219.9832077143778
2022-08-01,1808.0,1944.0,1773.0,1922.5,37820256,1445.1430003468613,,54062677.1,61.887920508610165,200.81940157051974,,211.7905787170321
2022-09-01,1905.0,1995.0,1797.4,1847.7,41447320,1471.114419679322,,52127607.7,128.53432282003712,200.56576903724982,,209.4185428729476
2022-10-01,1852.0,2034.65,1814.0,2023.1,34531607,1506.7263926032367,,49357998.05,125.40248454125118,202.1365040569334,,211.29502710656402
2022-11-01,2032.0,2095.8,1970.2,2074.85,35723843,1543.3795285643182,,47369938.35,122.56368999731832,196.19108766212977,,196.98344722125404
2022-12-01,2085.25,2211.6,2050.1,2085.8,41471157,1578.374397689201,,47033256.15,121.03534149313835,193.51300042957345,,191.0595101387222
2023-01-01,2092.9,2297.65,2058.0,2124.4,44603125,1613.601855902801,,46018684.6,132.56883244840986,197.0542591890673,,199.16936675663604
