datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,761.0,796.4,740.0,762.65,18112898,,,,,,,
2020-02-01,760.0,954.5,732.75,880.25,78729974,,,,,,,
2020-03-01,882.1,901.8,476.8,613.15,54726139,,,,,,,
2020-04-01,603.35,875.0,593.7,862.7,50620904,,,,,,,
2020-05-01,822.0,879.0,763.4,862.65,34391915,,,,,,,
2020-06-01,865.05,1284.0,865.0,1086.05,85073071,,,,,,,
2020-07-01,1099.9,1405.75,1064.4,1273.8,77235893,,,,,,,308.12717443846475
2020-08-01,1278.35,1324.65,1091.0,1146.75,78392321,,,,,,,290.90904930851144
2020-09-01,1152.5,1173.0,1000.0,1132.1,44197263,,,,,,,265.30220827763736
2020-10-01,1138.0,1274.0,1116.45,1230.8,37544237,,,,,,,243.02628342468793
2020-11-01,1239.0,1298.0,1108.65,1152.0,70880866,,,,,,,232.357104173286
2020-12-01,1171.95,1249.7,1118.4,1210.55,37302303,,,,,,,212.89487067288832
2021-01-01,1215.0,1311.05,1100.1,1105.85,34816676,,,,,,,212.52977798632952
2021-02-01,1110.55,1361.6,1090.0,1299.7,50925800,,,,,,,223.38983835687395
2021-03-01,1297.3,1334.8,1165.9,1205.9,23864390,,,,,226.9465477436869,,213.54111542372664
2021-04-01,1222.0,1265.0,1121.0,1157.4,20384596,,,,,218.1164734376934,,201.14644777148365
2021-05-01,1155.0,1319.0,1135.0,1311.6,20570325,,,,,214.60751084564365,,198.1252988995166
2021-06-01,1318.2,1550.0,1285.8,1481.65,50993540,,,,,219.55281872761364,,209.6575448183714
2021-07-01,1484.95,1616.05,1456.4,1554.75,21322179,,,,,213.74371755588948,,200.99768053462307
2021-08-01,1565.9,1638.85,1402.4,1514.0,21392384,,,45573883.7,,215.8908172586907,,207.09732457382836
2021-09-01,1527.0,1564.95,1432.0,1450.3,13149625,,,45325720.05,,208.22526974494184,,194.4084601282847
2021-10-01,1455.0,1612.0,1450.9,1467.75,18927743,,,42335608.5,,204.01373035387257,,188.83592144349052
2021-11-01,1483.0,1721.95,1390.0,1426.2,27636711,,,40981137.1,,215.37774651460654,,213.12829818189465
2021-12-01,1449.25,1516.0,1381.0,1495.65,13144258,,,39107304.8,,208.36022876851956,,199.9073456900425
2022-01-01,1499.0,1559.95,1405.0,1457.6,11996119,,,37987515.0,,203.77004036903793,,192.31900006784844
2022-02-01,1463.1,1501.6,1291.15,1358.75,21039631,,,34785843.0,,204.335917390133,,195.3728456190652
2022-03-01,1355.0,1448.0,1277.0,1330.95,19881478,,,31918122.25,,201.54896585065114,,191.27490715472337
2022-04-01,1335.0,1384.0,1247.0,1262.95,9799923,,,28488502.35,,196.21744226755695,,182.1627566619908
2022-05-01,1252.0,1291.95,1026.7,1143.1,15311426,,,27044210.5,,201.85632017368633,,196.0951488611976
2022-06-01,1145.0,1151.0,960.4,976.3,15807396,1207.1283333333333,,25957368.45,,200.94618933223597,,195.1746372883916
2022-07-01,980.0,1091.6,977.1,1065.65,16679271,1198.0006989247313,,23247288.7,39.72988920212419,194.0859269512383,,181.80587890137812
2022-08-01,1080.0,1213.95,1009.3,1055.1,31816644,1188.7812989941035,,22973005.75,19.86367509230331,194.9248349684842,,185.62664560213693
2022-09-01,1037.0,1067.1,950.2,1040.05,21046410,1179.1857313170644,,22284492.45,69.62407241294952,188.77784270376029,,174.13859637858437
2022-10-01,1031.0,1074.4,1007.45,1043.45,10965421,1170.4285873611248,,20286473.5,20.951663382404085,179.2500066983783,,156.23017106452446
2022-11-01,1047.65,1141.0,1036.55,1080.75,18994543,1164.642872047504,,20042981.15,25.28255955486003,173.43948279693188,,147.58257411886464
2022-12-01,1093.0,1158.75,1023.35,1063.05,13003939,1158.0884932057295,,19673948.3,-2.1177662170249967,170.50290570820837,,145.54870175766388
2023-01-01,1065.3,1102.65,1001.0,1044.1,9622060,1150.734396869876,,19126535.05,-18.032658188098605,165.2180809964582,,138.22191460273703
2023-02-01,1044.5,1057.95,947.4,972.6,8654650,1139.2418551363357,,17009590.55,-15.186396337475472,161.04424943628393,,133.60450017424512
2023-03-01,973.2,989.35,911.25,979.95,10703032,1128.9649612565722,,16478633.2,-13.43962547478137,154.7425763691212,,124.34467788909237
2023-04-01,980.95,1078.3,976.15,1020.7,12624206,1121.9801250464707,,16040224.3,-17.070198245043866,150.76494892271717,,120.64254228636148
2023-05-01,1023.05,1143.7,1012.0,1115.5,17369361,1121.5620524628275,,16251211.1,-3.168402777777779,149.3290824657921,,122.48670663385067
2023-06-01,1120.0,1254.45,1109.0,1239.65,9295113,1129.1806297232904,,15769579.6,2.4038660113171906,149.03806231315565,,126.31609338643806
2023-07-01,1242.75,1358.0,1237.35,1350.4,8625184,1143.4528471604976,,14819003.25,22.11421078808158,146.91593425285026,,125.37129808746107
2023-08-01,1359.2,1379.95,1225.0,1260.35,12432301,1150.9945989565945,,14783405.4,-3.027621758867438,147.51452403037268,189.30193983160706,130.30302354319514
2023-09-01,1260.95,1339.0,1206.35,1252.0,6951776,1157.511076443266,,14531188.25,3.8228708848163206,146.4104193120415,186.6174022172189,130.6943146742161
2023-10-01,1252.0,1339.35,1182.35,1298.7,11486738,1166.6200392533779,,14053543.6,12.208398133748055,147.19475569433203,184.25334495910684,135.07979467747413
2023-11-01,1305.5,1506.5,1216.0,1481.9,12081171,1186.9606818821921,,13663528.25,12.98414150655689,157.78098800602152,182.35912753111944,160.98906584419802
2023-12-01,1488.0,1507.95,1420.0,1476.3,8242139,1205.6277346639863,,13585639.05,-0.3610839267033428,152.63501281341107,180.12853400064603,148.81357630976657
2024-01-01,1484.9,1537.35,1350.35,1394.95,7909734,1217.842074363084,,13215554.45,-10.278179771667473,155.16171389357103,178.1758005452354,155.17898748349864
2024-02-01,1407.0,1445.45,1261.9,1303.75,11544939,1223.384521178369,1195.055,13002431.6,-13.887054161162482,157.2446077774534,176.22092689586083,159.90811316052572
2024-03-01,1299.85,1527.0,1294.35,1480.45,22546364,1239.9693907797646,1206.2469607843138,13295786.25,2.0788802316762167,162.76649265426386,174.70563432617155,172.0330933183562
2024-04-01,1505.0,1753.9,1505.0,1720.65,14169693,1270.9810429875217,1226.4196289888507,12413438.7,17.230454777721004,170.85720032256296,173.60041665846126,188.93745904293846
2024-05-01,1722.0,1763.0,1509.7,1683.45,13908464,1297.5919434399398,1244.3423886363469,12056541.4,18.037442153975604,176.87353584081282,172.3169429693348,199.66536783739136
2024-06-01,1702.0,1856.85,1579.1,1795.85,12434252,1329.7376245083308,1265.9701381015882,12129982.95,20.071540801658138,184.22371121146725,171.5123923840997,212.68030082719963
2024-07-01,1808.9,1885.95,1664.6,1838.1,13141415,1362.5351971206965,1288.406603274075,11837326.55,26.10455543358947,186.924973851527,170.95089016684932,214.12532726459764
2024-08-01,1850.0,2001.6,1670.0,1965.85,12796011,1401.458732790329,1314.9730109888171,11826930.15,44.68077276908924,197.43736554831105,170.72093843878864,233.70530404372278
2024-09-01,1972.0,2078.75,1927.15,2031.85,12906559,1442.1291371264367,1343.0858340872949,11991155.1,52.661632668394745,194.11082954547612,170.47300056194945,220.0205831025856
2024-10-01,1999.0,2009.45,1868.05,1930.45,10818780,1473.633708924731,1366.1197229466168,12099361.6,52.85244863217071,191.91360800727793,170.32953941994012,210.65019855877222
2024-11-01,1962.0,1975.0,1756.05,1917.05,11642386,1502.2412115747486,1387.724831850671,12146329.3,67.70623742454728,193.87138933397,170.06337505861626,212.033534151082
2024-12-01,1917.05,2161.75,1910.1,2136.15,10820942,1543.1385527634745,1417.0748384447625,12056166.1,118.80057359418213,198.05118738851667,169.96687499382563,218.63641907700674
2025-01-01,2131.0,2275.0,2087.3,2258.8,10792525,1589.310259036799,1450.0836683096736,11727324.3,111.964528691409,197.3030488510158,170.07411239048488,213.48025772438274
2025-02-01,2260.0,2334.8,2120.25,2132.8,15654158,1624.3741132924893,1476.8568577877259,12045276.55,102.14197706378548,198.54852803629387,170.19490215941187,213.6585507404592
2025-03-01,2132.35,2435.4,2107.1,2382.9,13551690,1673.311267273619,1512.3879614038935,12291601.85,129.11398490457194,207.91110202986005,170.83267747028188,232.76569443281593
2025-04-01,2382.9,2393.7,1965.0,2169.9,24634158,1705.3492500301597,1538.1727472311918,12901694.7,107.9543820978485,223.831123148024,172.31871468527007,265.42174741354813
2025-05-01,2169.1,2340.6,2027.0,2215.4,23946614,1738.2557500282142,1564.7306787123216,13751436.6,104.98727735368956,230.2995467841403,174.21405015151035,273.4515249012185
2025-06-01,2208.0,2669.9,2189.4,2623.9,17385068,1795.3940887360714,1606.2667305275247,14046353.1,146.82752457551388,248.3167829638698,176.80784606003238,307.95985020207274
2025-07-01,2625.0,2718.0,2582.4,2612.3,8338002,1848.0976959143893,1645.7190156048769,13859194.65,150.19634134661436,240.20463798513293,179.30739795965485,279.2330377656891
2025-08-01,2612.3,2630.9,2582.4,2592.7,842040,1896.1365542424933,1682.8555247968425,13489189.7,166.57413119473574,226.41525041701982,181.4864313256794,240.77734100552246
