datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,94.12,100.4,83.08,93.32,352417873,,,,,,,
2020-02-01,93.24,106.72,86.68,87.56,220821854,,,,,,,
2020-03-01,88.16,92.4,62.8,73.56,192256681,,,,,,,
2020-04-01,73.28,78.24,68.24,76.32,131363773,,,,,,,
2020-05-01,74.56,75.08,59.32,60.16,196615255,,,,,,,
2020-06-01,60.96,73.56,60.68,67.2,304186276,,,,,,,
2020-07-01,67.72,70.8,63.08,64.68,196283763,,,,,,,14.736480293899648
2020-08-01,64.8,83.16,64.44,75.24,287209645,,,,,,,15.65741669185525
2020-09-01,76.0,78.4,65.64,68.96,173652727,,,,,,,15.02817161640384
2020-10-01,69.44,72.72,66.8,69.68,111631487,,,,,,,13.145213023555339
2020-11-01,70.28,88.4,69.56,86.56,177894567,,,,,,,14.277159931457158
2020-12-01,87.04,98.72,84.48,91.44,210075411,,,,,,,14.27000343049867
2021-01-01,91.84,99.52,87.12,87.84,145755112,,,,,,,13.918964882880974
2021-02-01,88.96,108.72,86.76,99.2,191359197,,,,,,,15.397309196423096
2021-03-01,100.32,112.4,88.16,91.0,291826651,,,,,16.331476879280928,,16.995574383732688
2021-04-01,91.68,95.16,83.28,86.72,140314343,,,,,15.85759493139173,,16.083799472583344
2021-05-01,86.4,97.48,84.88,96.24,159988939,,,,,15.522543338935069,,15.469965226153663
2021-06-01,96.32,106.4,94.56,103.04,245775413,,,,,15.155324211396444,,14.836414851082967
2021-07-01,103.6,105.52,96.4,103.96,150458889,,,,,14.570046094391968,,13.846496690137865
2021-08-01,104.8,108.56,97.84,103.24,137408611,,,200864823.35,,14.205986814966229,,13.30857654310153
2021-09-01,103.28,118.52,100.64,113.68,187627267,,,192625293.05,,14.545546076218445,,14.090886260966084
2021-10-01,113.52,123.0,104.8,106.48,195724252,,,191370412.95,,14.876352898773773,,14.79095575922976
2021-11-01,107.4,113.84,92.24,93.04,109900613,,,187252609.55,,15.473584899743873,,15.946732113265673
2021-12-01,93.88,100.64,90.44,95.8,82504660,,,184809653.9,,15.013165477401351,,14.974264082847297
2022-01-01,96.0,102.56,93.0,97.36,99237136,,,179940747.95,,14.544508864389893,,14.06039102117371
2022-02-01,97.76,99.48,85.52,87.88,184635242,,,173963196.25,,14.494993574888513,,14.043481933173013
2022-03-01,87.0,93.68,83.52,90.08,121295938,,,170213805.0,,14.13257915935617,,13.390531094429852
2022-04-01,90.0,99.84,90.0,94.2,109212145,,,161313930.0,,13.778026817288321,,12.794436594086601
2022-05-01,93.4,94.2,83.4,89.08,79659226,,,156614254.95,,13.534768705819335,,12.46000170698579
2022-06-01,89.44,91.04,77.68,83.56,85146638,87.90266666666666,,155290012.5,,13.52063776543809,,12.610763563516217
2022-07-01,83.44,93.12,82.56,92.76,65698163,88.21604301075268,,149680192.3,-0.6000857265323511,13.283490590013777,,12.267523662588074
2022-08-01,93.24,97.96,92.72,95.68,112448919,88.69758862296219,,144798867.7,9.273640931932391,12.644745599188925,,11.092143428746164
2022-09-01,94.32,95.16,82.92,83.68,201548582,88.37387322793238,,147588541.2,13.75747688961393,12.65382563006047,,11.370935129119706
2022-10-01,83.88,92.4,80.68,92.2,131604413,88.62072011645287,,144600802.0,20.807127882599595,12.580793577096408,,11.429254786071299
2022-11-01,92.0,111.32,91.6,108.72,217838115,89.91744785087528,,140901375.2,80.71808510638299,13.135372799594531,,12.81385861250271
2022-12-01,109.32,118.24,104.4,112.92,165866306,91.40148347339945,,142178973.35,68.03571428571429,13.189768704603235,,12.9851722106267
2023-01-01,113.96,129.44,106.44,113.16,293539408,92.80525873318014,,148856496.8,74.95361781076065,13.942755847914412,,14.656668374933533
2023-02-01,113.6,121.52,107.36,116.32,128461436,94.32233881491045,,142990797.95,54.59861775651249,13.959342135227056,,14.57379287630913
2023-03-01,116.52,136.48,115.52,121.4,209271080,96.06928469781946,,145931407.5,76.04408352668214,14.491215742121883,,15.63920456105381
2023-04-01,121.96,136.24,121.32,135.92,184815276,98.64029858828272,,148301740.75,95.06314580941444,14.523645110494172,,15.519239188074362
2023-05-01,136.88,146.76,126.92,145.92,296089745,101.6906019051677,,153724864.65,68.5767097966728,14.924043542711052,,16.239856281961465
2023-06-01,145.6,176.2,145.44,172.72,287670026,106.27314371773753,,158322153.35,88.88888888888889,16.112103478529765,,18.66125312225474
2023-07-01,173.56,209.6,172.4,209.12,282408075,112.90842476820609,,166947526.45,138.06921675774134,17.688513183685654,,21.752504837403215
2023-08-01,209.72,221.76,199.64,208.16,563168987,119.05368768638635,,190980742.8,109.83870967741933,18.018687567485316,14.55684800061356,21.813778156752953
2023-09-01,205.44,254.25,200.44,251.9,498351360,127.62441751307111,,210936454.0,176.8131868131868,20.677188899331455,14.701705067948579,27.14823210798077
2023-10-01,251.0,258.2,225.5,246.6,244912889,135.3002615444859,,213950336.35,184.36346863468634,21.56768007566137,14.892041239424232,28.07377982786154
2023-11-01,246.95,338.25,237.85,334.9,423779031,148.1776640254868,,229074491.0,247.98420615128842,27.3911742292209,15.287662269100426,40.13089715707481
2023-12-01,340.0,428.75,337.0,382.6,390226977,163.30168570126185,,243125232.6,271.3121118012422,32.28864852411359,15.85877307952433,49.08578132629833
2024-01-01,383.9,453.7,379.2,443.25,328065590,181.36286726892237,,255545550.8,326.3659099653713,35.392257054215285,16.552846778185106,53.322154777489715
2024-02-01,447.0,477.8,387.4,400.7,305481219,195.51365002576608,130.1142,266562279.85,288.1247578457962,39.428262994073755,17.393589317488694,59.502610613834065
2024-03-01,401.5,435.05,351.7,390.25,286974510,208.07728550797475,140.31560392156865,277626097.2,243.28817733990147,42.64462150886644,18.330225165243625,63.47761230387009
2024-04-01,395.0,447.45,385.0,441.55,218910460,223.14004128165382,152.12871749327184,282949174.25,314.6788129226146,44.09234874009023,19.304091693287507,63.3063279019288
2024-05-01,448.15,524.35,402.95,492.45,530278600,240.51487732799876,165.47465014059452,299385675.15,429.2884780739467,49.733942304685804,20.446103606785574,72.9893454853821
2024-06-01,535.9,559.0,395.2,485.1,511866223,256.29456266167625,178.0089775860614,318398765.65,406.3674321503132,58.04515280247554,21.880503184288045,88.12541708532414
2024-07-01,493.05,580.0,486.55,556.8,311247046,275.68201023189073,192.86352748464725,323069212.2,471.89811010682,60.72666568966001,23.41990841179705,89.25457407438833
2024-08-01,552.05,560.0,471.35,549.55,256561644,293.3509127975752,206.85123228917087,327603979.1,525.3413746017296,62.75563389215611,25.028596422372637,89.15380727877063
2024-09-01,552.6,566.4,462.7,488.05,222141894,305.91214422998974,217.8786349444975,324034103.4,441.7961811722913,65.72707228835807,26.748412860006034,91.57826195273447
2024-10-01,490.0,505.05,426.55,454.95,215159471,315.5274897635388,227.17555122118387,328369005.15,382.96178343949043,66.65297739536815,28.51091121260869,89.39848478040895
2024-11-01,460.0,505.35,432.8,495.3,227360171,327.1257162304073,237.69023548701978,329273459.7,456.01706331387516,67.07999741865888,30.295752169703345,86.59033221937831
2024-12-01,494.0,523.9,436.0,448.5,165394937,334.9563151832843,245.9572850757641,328302442.75,436.7400670177118,68.58615004645665,32.1312692457373,86.80861483145216
2025-01-01,450.0,474.85,379.65,422.5,190911715,340.60429484887885,252.88052879828317,323043541.25,355.4764984907288,70.50968268422916,34.038808982211144,88.20720384698585
2025-02-01,425.0,431.55,357.25,364.3,223492259,342.1330500199189,257.2499198258015,319834652.9,280.7483277591973,70.7833983851442,35.97676407507632,85.88930225929927
2025-03-01,367.6,432.85,363.5,414.25,147733248,346.7857564702468,263.40678571498574,313100911.55,395.04063097514336,70.67996758593966,37.91096880693896,83.13271790973907
2025-04-01,410.0,444.1,371.9,407.4,137749972,350.69635282700506,269.05357843204513,291829960.8,341.86550976138824,70.78956978222132,39.85126134710979,81.31057954427851
2025-05-01,407.0,424.5,381.1,405.95,162200946,354.26110425752086,274.4220655523571,275022440.1,273.3903605592347,68.81597551686679,41.70728143768554,74.99209554316327
2025-06-01,406.0,436.2,388.6,427.4,157455376,358.9797426925195,280.4212002365784,270649564.45,278.4980517180304,67.28818755022806,43.51056206587303,70.42671372509103
2025-07-01,429.65,438.35,401.35,409.95,127924105,362.2681463897763,285.50076101161454,255856818.15,262.2746553552492,65.10836869725937,45.216082494184526,64.85556165911046
2025-08-01,408.1,409.2,403.0,403.85,9698580,364.950846622694,290.14190763861006,236830398.3,247.18878954607982,60.92501510328987,46.781604926453284,55.2045869159477
