datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,1450.9,1595.0,1374.0,1556.85,3485268,,,,,,,
2020-02-01,1556.8,1629.0,1438.0,1531.25,3901042,,,,,,,
2020-03-01,1545.0,1589.85,970.1,1170.05,4527450,,,,,,,
2020-04-01,1177.3,1604.7,1153.0,1589.55,3445543,,,,,,,
2020-05-01,1550.0,1650.0,1425.55,1539.2,3283725,,,,,,,
2020-06-01,1572.0,1689.0,1500.0,1503.95,5596083,,,,,,,
2020-07-01,1515.0,1838.0,1500.0,1760.55,5210999,,,,,,,322.85860913280266
2020-08-01,1769.95,2160.0,1769.95,1838.5,7064261,,,,,,,340.56551278176113
2020-09-01,1835.0,2070.0,1810.0,1971.5,7581130,,,,,,,323.0687363216656
2020-10-01,1972.0,2239.0,1933.0,2197.2,6127982,,,,,,,319.54006722324175
2020-11-01,2199.0,2517.0,2142.0,2208.4,18686667,,,,,,,330.5637806086171
2020-12-01,2282.9,2650.0,2168.0,2195.05,8263935,,,,,,,359.7283513364576
2021-01-01,2204.0,2400.0,1987.5,2018.7,7224241,,,,,,,369.63468765654727
2021-02-01,2046.05,2339.9,1981.0,2177.1,8631039,,,,,,,367.6611153211993
2021-03-01,2150.85,2357.95,2123.0,2258.15,5919374,,,,,345.44495082315103,,343.674349267918
2021-04-01,2254.2,2669.0,2201.85,2511.65,8952265,,,,,358.4010611963879,,365.68204420699607
2021-05-01,2519.0,2795.0,2470.0,2614.95,10426227,,,,,354.96568050011115,,358.5139990466634
2021-06-01,2628.0,2960.6,2586.55,2910.4,6200058,,,,,356.8687476228579,,361.22555098114697
2021-07-01,2926.0,3309.75,2893.35,2950.2,8704665,,,,,362.6418159906549,,370.78017403191365
2021-08-01,2960.0,3426.4,2956.0,3394.0,10341309,,,7178663.15,,373.3798460375047,,388.91787059950457
2021-09-01,3424.4,3534.9,3100.1,3178.35,6976867,,,7353243.1,,379.05641306520596,,396.7696996949171
2021-10-01,3170.0,3406.9,2865.0,2999.95,6923994,,,7504390.7,,393.79726647064956,,421.49554156010805
2021-11-01,2997.0,3031.9,2700.9,2869.5,9037609,,,7729898.65,,388.21926147647326,,406.1347062677506
2021-12-01,2870.0,3106.5,2762.45,3034.2,5275659,,,7821404.45,,384.36298794700355,,395.62866721227886
2022-01-01,3035.0,3108.0,2333.55,2433.5,7945184,,,8054477.4,,417.88789354653727,,459.56987989134774
2022-02-01,2452.45,2684.4,2371.0,2468.35,6898917,,,8119619.1,,409.03644814759275,,434.95015460876556
2022-03-01,2468.45,2885.4,2351.3,2819.65,5167829,,,8117460.6,,419.49201936493984,,451.6207548133004
2022-04-01,2840.0,3035.9,2800.0,2847.95,3571557,,,7942825.4,,404.32794712903757,,415.4036503480451
