datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,43.15,51.9,42.55,46.5,643686712,,,,,,,,,
2020-02-01,46.0,49.75,34.9,35.55,468668209,,,,,,,,,
2020-03-01,36.65,37.2,20.15,23.05,751546742,,,,,,,,,
2020-04-01,23.05,32.25,21.5,31.85,445242010,,,,,,,,,
2020-05-01,29.55,30.8,26.55,30.15,415057382,,,,,,,,,
2020-06-01,30.7,35.1,28.35,30.4,703211120,,,,,,,,,
2020-07-01,30.6,38.7,30.0,34.0,1054373301,,,,,,,,,9.626823176823178
2020-08-01,33.8,44.75,33.6,38.5,839880252,,,,,,,,,9.978961255828475
2020-09-01,38.9,42.25,32.65,33.75,653331252,,,,,,,,,9.896660527497867
2020-10-01,34.25,37.0,32.65,34.35,424862168,,33.81,,,,,,,8.74998339604639
2020-11-01,34.5,49.7,34.0,48.45,644192961,,36.471818181818186,,,,,,,10.131430996676942
2020-12-01,48.6,74.7,47.9,74.1,1281770309,,43.31330578512397,,,,,,,13.341572279806249
2021-01-01,73.95,80.3,55.3,57.65,1847461745,,45.91997746055598,,,,,,,15.530101705825187
2021-02-01,58.55,77.5,57.6,76.55,1370574825,,51.48907246772761,,,,,,,16.333507511154558
2021-03-01,77.5,81.5,67.1,78.8,1131090638,,56.454695655413495,,,,,14.557431872657569,,15.984037218330352
2021-04-01,79.65,121.35,79.55,119.5,1815590300,,67.91747826352014,,,,,17.537380566168217,,20.719024247720267
2021-05-01,119.2,151.3,116.45,126.6,1977184480,,78.58702767015284,,,,,19.31802574553166,,23.208856662151593
2021-06-01,127.5,139.75,119.55,130.6,1379545851,,88.04393173012505,,,,,19.40597523761586,,22.683710511134606
2021-07-01,131.7,145.9,120.8,142.05,1104852857,,97.8632168701023,,,,,19.958155696258356,,23.102142152196393
2021-08-01,143.5,144.3,112.55,121.6,1145989374,,102.1789956209928,,,1004905624.4,,21.073189188084296,,24.59002377372938
2021-09-01,121.4,125.0,105.0,113.65,834673959,,104.26463278081229,,,1014454986.75,,20.974003009500557,,23.80453097541967
2021-10-01,112.95,131.8,110.8,115.1,921584451,,106.23469954793732,,,1037100798.85,,20.976356297297443,,23.326723176093928
2021-11-01,123.0,130.3,99.25,100.05,900382440,,105.11020872103963,,,1044542583.75,,21.871153762876453,,24.637682601984586
2021-12-01,101.8,123.45,100.25,107.2,794269809,,105.4901707717597,,,1061993973.7,,22.004632319632247,,24.428240655063718
2022-01-01,107.7,113.65,94.15,98.45,767459780,,104.21013972234884,,,1079614093.6,,21.789378903130892,,23.596403436340758
2022-02-01,99.45,106.75,84.35,96.35,804203790,,102.7810234091945,,,1084663727.1,,21.841106228804016,,23.394890484754967
2022-03-01,96.0,105.15,93.5,98.55,901760114,,102.01174642570459,,,1077033067.75,,20.989108701302484,,21.420158472366925
2022-04-01,99.0,112.35,95.5,96.75,646792493,,101.05506525739466,,,1067378679.8,,20.64723249363336,,20.652879927658812
2022-05-01,95.95,98.4,69.5,75.95,855852991,,96.49050793786836,,,1077504766.75,,21.321354239729445,,22.035789105357395
2022-06-01,75.95,77.4,63.6,68.55,714704688,76.15333333333334,91.41041558552865,,,1091996892.75,,20.71321442516966,,20.65618331593047
2022-07-01,68.2,77.45,67.5,77.15,669118576,76.21763440860217,88.81761275179618,,,1093243173.5,65.91397849462366,19.851080621023737,,18.864270603000374
2022-08-01,77.85,84.05,75.45,81.3,464793683,76.54552896288591,87.45077406965142,,,1052394342.2,128.69198312236287,18.957616358509675,,17.14753205314707
2022-09-01,80.5,85.0,73.2,76.75,383890364,76.55872064269973,85.50517878426024,,,979215773.15,232.97180043383946,18.39372138318045,,16.253661693072807
2022-10-01,76.5,82.9,75.55,78.7,276459663,76.69686769800943,84.26787355075838,,,924510015.05,147.09576138147565,17.53002090311912,,14.766091505206182
2022-11-01,78.7,88.0,78.4,84.85,428177044,77.22287623362172,84.37371472334776,,,889364335.35,181.4262023217247,16.914010583997822,,13.90332345707149
2022-12-01,85.7,88.65,73.75,82.65,350191297,77.57301325080742,84.06031204637544,,,816094385.2,171.87500000000006,16.75853272513767,,14.069717919681857
2023-01-01,83.3,93.9,83.05,90.6,568571850,78.41346400881984,85.24934621976172,,,745663753.7,166.47058823529412,16.335723701003463,,13.599100971862086
2023-02-01,91.3,92.4,81.1,82.75,339676057,78.69324052437986,84.79491963435049,,,693670264.0,114.93506493506493,15.951253236182728,,13.215466440155856
2023-03-01,83.0,89.35,77.6,82.7,314451304,78.9517411357102,84.41402515537767,,,654150186.35,145.03703703703704,15.632063846361067,,12.970982501770706
2023-04-01,83.85,84.35,80.75,82.8,171375057,79.20001590114825,84.1205660362181,,,605419470.5,141.0480349344978,14.72206721382737,,11.407875881087406
2023-05-01,83.0,86.6,80.45,82.5,282934044,79.41291810107418,83.82591766599661,,,577832474.75,70.27863777089782,14.076466544833417,,10.530966604602902
2023-06-01,82.5,87.05,81.8,85.5,288667340,79.80563306229521,84.13029627217904,,,546186619.2,15.384615384615397,13.414279116808878,,9.650306185643416
2023-07-01,85.9,95.1,85.6,94.6,300889705,80.76010834859876,86.03387876814648,,,516211982.45,64.09366869037294,13.12914557531084,,9.641917858013812
2023-08-01,95.3,96.15,83.9,90.7,299944832,81.40139168094723,86.88226444666529,,,491495733.6,18.484650555192683,13.063643552935451,18.323577468320806,10.076769432241488
2023-09-01,91.25,103.65,90.85,93.85,450638411,82.20452770153128,88.1491254563625,,,475654665.15,19.09898477157359,13.055202355440827,18.27350315108025,10.555798369784712
2023-10-01,94.0,94.0,81.8,83.85,246807825,82.3106872046583,87.3674662824784,,,447784866.9,-29.8326359832636,12.991860251408744,18.121985807254934,10.829906923936914
2023-11-01,84.0,92.5,82.6,92.3,323926001,82.95515899790615,88.26429059475505,,,418893161.25,-27.09320695102686,12.76345862482991,17.903500236564874,10.674887114240372
2023-12-01,93.0,125.75,92.2,123.65,1143778989,85.58063261094448,94.69805594116322,,,443742486.05,-5.321592649310869,14.29525746244012,17.733142977392347,14.488129990780102
2024-01-01,123.65,126.9,107.5,122.5,712261321,87.96252728120614,99.75295486095172,,,436562902.55,-13.762759591693074,14.670585944699077,17.55689065234037,15.306904550404662
2024-02-01,123.5,150.0,116.0,121.2,1176463389,90.106880359838,103.65241761350595,81.91,,459650837.6,-0.3289473684210509,16.088815920396645,17.390744876750784,18.422831330331263
2024-03-01,123.0,145.0,117.35,134.25,951799598,92.9548235624291,109.21561441105031,83.96254901960785,,473784888.7,18.125824901011867,16.935433458553224,17.256125891719208,19.960861781473973
2024-04-01,135.6,170.5,135.6,164.2,1183167037,97.55128655840142,119.21277542722297,87.10911572472126,,509703556.4,42.658557775847086,18.34728347464125,17.168490130964003,22.675966775245914
2024-05-01,165.4,175.35,151.0,158.5,695367031,101.48346161914971,126.35590716772788,89.90875824532044,,525277389.75,58.42078960519741,18.785336970868954,17.065629571230417,22.954993604935975
2024-06-01,168.0,168.0,124.8,148.65,780798651,104.52646409533361,130.40937859177734,92.2123363533471,,550494339.15,38.66604477611941,20.564265845659445,17.017617355431323,26.329375916954742
2024-07-01,149.9,158.75,135.3,153.04,639600187,107.65636963757015,134.524037029636,94.59773492772564,,561065496.3,55.44946673438291,20.774228276988485,16.983779001226576,25.849454498659117
2024-08-01,154.05,156.35,125.0,133.69,511491674,109.3359586932108,134.37239393333851,96.13076493055993,,569130515.15,38.75454073689673,21.54268609453866,16.97383166341773,26.766252568242663
2024-09-01,133.86,144.2,123.8,141.36,443851829,111.40202587429398,135.6428677636406,97.90446042347916,,562894514.1,43.43987823439881,21.459758413421923,16.989519987155045,25.70517142553347
2024-10-01,141.39,142.12,110.4,115.75,482226284,111.68254033401696,132.02598271570594,98.60428550491136,,570022025.45,19.638242894056845,22.20351977327923,17.04139622980991,26.70767359818127
2024-11-01,116.52,126.85,108.65,117.11,356671442,112.03269902214491,129.31398585830485,99.32999979883641,,572133032.35,54.193548387096754,21.91361362547376,17.06113820933472,25.289691760970296
2024-12-01,116.5,130.09,111.0,113.13,370523403,112.10349263361944,126.37144297497667,99.87117627731342,,582090449.65,65.0328227571116,21.709348853398073,17.094342690275667,24.256387795139418
2025-01-01,112.52,115.9,99.66,107.43,292384983,111.80197697983755,122.92754425225364,100.16760073702663,,582562996.6,39.248217757615045,21.314048246937933,17.143108277806142,22.920299451040623
2025-02-01,107.69,115.16,99.15,105.02,424791750,111.36443007791256,119.67162711548025,100.35789090420207,,589369217.1,29.175891758917594,20.931019291141254,17.208888375560527,21.768565842675606
2025-03-01,105.3,118.63,102.73,115.18,480405560,111.61059587933757,118.8549676399384,100.93915008442944,,598345009.85,50.071661237785015,20.56799226984053,17.28136407178253,20.79045948107335
2025-04-01,114.35,120.35,101.13,113.71,366442187,111.74604130647708,117.9195189781314,101.43996772817731,,601669877.6,44.48538754764928,20.4707950574794,17.37938987692787,20.52871354602861
2025-05-01,113.7,131.8,106.25,129.18,388223691,112.87081283509147,119.96687916392568,102.52781213099388,,598549141.6,52.245138479670025,20.83678436752785,17.510149003045537,21.365601784241345
2025-06-01,127.0,136.34,123.85,131.99,267636910,114.10430878121461,122.15290113412101,103.68319204742549,,599590595.85,59.69751966122203,20.23572236560862,17.626055324394574,19.886324269807506
2025-07-01,132.01,139.98,122.52,124.2,282780230,114.75564369855562,122.52510092791718,104.48777275144803,,597533307.3,37.0860927152318,20.035955643577903,17.749396389147048,19.481934488040526
