datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,234.94,242.68,203.33,204.11,109344105,,,,,,,
2020-02-01,205.38,273.4,193.11,239.26,287229660,,,,,,,
2020-03-01,245.0,271.63,88.0,132.13,349751305,,,,,,,
2020-04-01,129.02,164.6,100.02,156.2,514632960,,,,,,,
2020-05-01,148.0,161.4,105.55,114.46,598285550,,,,,,,
2020-06-01,117.0,146.8,112.61,137.92,844112250,,,,,,,
2020-07-01,138.53,156.87,128.9,138.26,515341150,,,,,,,63.5095443266411
2020-08-01,138.48,158.58,127.22,140.49,541383680,,,,,,,56.077000312173276
2020-09-01,141.8,144.0,111.11,123.87,452491980,,,,,,,51.04137467988529
2020-10-01,125.4,149.76,125.03,138.69,429306390,,,,,,,45.84175843746089
2020-11-01,138.78,218.38,138.78,214.04,646034040,,,,,,,52.56973834840573
2020-12-01,215.98,221.6,183.62,209.3,428171520,,,,,,,49.75995177506911
2021-01-01,209.58,263.8,209.3,258.27,526080635,,,,,,,50.64975743926185
2021-02-01,256.52,306.99,253.25,256.59,324920600,,,,,,,51.21789853684356
2021-03-01,261.0,294.3,247.63,284.46,259623140,,,,,53.6712968866321,,50.39589219643042
2021-04-01,289.0,302.0,257.46,269.01,281224260,,,,,52.69922472434991,,49.35216666600336
2021-05-01,266.8,302.88,254.42,285.96,193910520,,,,,52.2632101109344,,49.19496977294862
2021-06-01,287.0,305.92,267.39,268.53,212141885,,,,,50.89374966713679,,47.333575743306966
2021-07-01,269.94,294.1,265.15,278.02,130877000,,,,,48.76574526582431,,44.15007070291234
2021-08-01,279.2,286.0,243.2,270.54,141310690,,,389308666.0,,48.20162606582898,,43.91778827852633
2021-09-01,270.48,285.18,257.15,259.77,118621325,,,389772527.0,,46.33732615719763,,41.19890404413987
2021-10-01,258.77,317.6,254.66,287.24,144996245,,,382660856.25,,47.840225877486525,,44.902933453922
2021-11-01,291.0,339.28,277.71,281.34,133333915,,,371839986.75,,49.059781328360906,,47.73202381138469
2021-12-01,286.0,306.35,231.44,243.4,121705450,,,352193611.25,,51.31667924021628,,52.3311094228212
2022-01-01,244.36,259.97,220.64,245.68,120149600,,,328286813.75,,50.286518589993086,,50.136653538959216
2022-02-01,249.72,260.87,212.0,224.84,104507190,,,291306560.75,,50.16652155942486,,49.92330820283
2022-03-01,220.6,229.46,200.4,226.97,130914520,,,272085229.25,,48.401972767659586,,46.41544726143391
2022-04-01,227.0,247.8,215.27,240.41,142385520,,,252135321.25,,47.091002157893385,,44.084235809622605
2022-05-01,237.94,251.49,209.42,235.24,142970285,,,236659236.5,,46.68086498400353,,43.74648091303536
2022-06-01,235.04,259.44,222.51,256.27,98238770,220.709,,220105855.5,,45.89245786552925,,42.604628394613734
2022-07-01,253.24,301.8,246.74,275.95,99677765,224.27293548387098,,192788041.75,35.196707657635585,46.62677827046113,,44.68930582496842
2022-08-01,276.0,285.06,259.64,270.93,85452675,227.28306867845995,,175652099.5,13.236646326172362,44.94271794364136,,41.46644066307701
2022-09-01,268.4,278.31,229.2,239.51,92957895,228.071902957269,,153995962.5,81.26844774086128,45.27102687983721,,42.74410502653294
2022-10-01,240.0,256.77,231.53,245.83,60160225,229.21758663744524,,140757943.75,57.38156209987197,43.704452811916056,,39.81962454868468
2022-11-01,246.3,275.0,239.17,270.0,127384565,231.8487100801907,,134146015.0,135.890267342303,43.092759066232986,,39.15333348876248
2022-12-01,269.29,283.9,250.27,275.38,112719795,234.65718039759776,,125720791.75,99.66647331786544,42.36225172420751,,38.23121676573813
2023-01-01,276.2,278.0,245.48,257.32,56381390,236.11929779130114,,118844335.25,86.1131202083032,41.60680684361249,,37.278002480058085
2023-02-01,265.6,273.38,238.0,240.67,59618100,236.41289148218496,,111218146.0,71.30756637483093,41.13139884594264,,36.961296384272906
2023-03-01,241.4,262.94,238.6,251.88,116192495,237.41076945107628,,110483920.75,103.34221361104383,39.8556756151387,,34.85568402564044
2023-04-01,253.2,293.86,253.2,266.52,63885800,239.2887843252004,,106612676.25,92.16958684836685,40.016340324146014,,36.044040258859
2023-05-01,269.78,284.68,261.2,279.95,75572540,241.91208856228425,,104460237.0,30.79330966174547,38.77091467480447,,33.94860786328872
2023-06-01,279.95,358.71,277.15,347.04,225918555,248.69453446149174,,108506352.5,65.80984233158146,41.98107745229775,,41.888341568443145
2023-07-01,350.54,379.6,340.77,378.63,173940120,257.0774677220407,,110536662.75,46.60239284469743,41.74552104806167,,41.378377023303976
2023-08-01,378.63,387.8,352.02,385.66,129635840,265.37311496578,,110933182.25,50.302038271171924,41.30105120808913,46.065899198562015,40.44494665985315
2023-09-01,386.0,394.36,371.27,383.87,131233130,273.01807529056845,,111487358.75,34.94691696547847,39.948373683834916,45.60846842513545,37.551506170642995
2023-10-01,387.6,405.94,352.17,375.97,135420865,279.66013494924147,,113033042.5,39.76060369502994,40.972097351620896,45.21756417937782,40.25532777767384
2023-11-01,376.8,410.2,375.23,401.44,93193440,287.5169004363872,,111146988.5,40.38327038746679,40.528710947798125,44.826414207273274,39.37423905235272
2023-12-01,402.8,426.0,394.4,410.66,133844505,295.46161653726546,,110719937.75,52.92890924663914,39.87073765612142,44.45898047357276,38.07828646689659
2024-01-01,411.11,499.31,403.2,493.36,159742720,308.2292541800225,,111558559.5,77.4548593626358,44.00575461801137,44.300314118645666,47.751769397661626
2024-02-01,482.2,507.0,447.05,487.72,140573270,319.8093022974404,263.1912,113675284.5,80.27648406889925,45.17560936249146,44.19944689520107,49.785075946811524
2024-03-01,493.9,499.98,450.2,471.96,202895570,329.62547634276683,271.3782117647059,118836174.75,81.68379720522,45.51278571392729,44.17196221375873,49.78422986270448
2024-04-01,474.2,521.13,465.02,510.34,142561145,341.28447786903996,280.74926228373704,121691598.25,77.67024091352177,46.28741749912289,44.120201934479944,50.83862143694325
2024-05-01,509.31,531.6,453.0,470.81,143425590,349.6409631678116,288.2026245471199,124214983.0,67.34556053174097,48.64545650977054,44.10639110719361,55.465870964450865
2024-06-01,490.0,611.89,438.6,582.3,179392580,364.65122360859795,299.73585495703674,130176600.75,139.23582580115036,57.727448640289836,44.320083420529386,75.10447463728097
2024-07-01,580.41,608.8,527.1,586.39,180543540,378.9569511177207,310.9771939783294,132834549.5,138.6803972647346,59.47166168953216,44.62625485718069,76.20378711949013
2024-08-01,586.58,653.78,561.62,640.9,134897145,395.8565026585129,323.9153432340812,133943417.0,185.0471446361857,61.84686510497151,45.01559964203225,78.86327337647128
2024-09-01,643.99,730.45,638.01,715.39,115747225,416.47156700312496,339.2672905582349,136911708.75,215.19143499140853,64.06708791774717,45.53777014703517,81.12614442117456
2024-10-01,715.4,725.56,605.6,627.78,180518660,430.10436913195565,350.58151445791196,142956736.75,161.12890478765442,68.11874576087848,46.238694933801334,87.59865217564803
2024-11-01,631.8,640.0,549.11,603.93,119565825,441.31892596215204,360.5167491850527,143125403.25,156.7292977384798,69.76767644462915,47.00825531582219,88.14722416551288
2024-12-01,603.93,653.52,568.73,577.83,120301995,450.12609202910994,369.03883745230553,145946213.0,125.47703593865846,70.85441560376967,47.840320573763535,87.58767488820092
2025-01-01,579.8,619.6,493.35,543.75,149218976,456.16634415626413,375.8902555914308,149628534.8,97.0465664069578,74.8581660855914,48.78136683426787,94.03151009898671
2025-02-01,547.9,620.0,516.0,617.3,151267702,466.5620638881181,385.35730439176683,145895992.15,127.84483076809505,76.96262775233437,49.84869716122431,95.69294965381171
2025-03-01,625.3,695.0,613.4,656.0,124251921,478.7838662179169,395.970743435227,143411582.2,173.89253058327418,77.29725008954088,50.916237934881096,93.34409576349752
