datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,827.9,979.0,812.6,949.2,15942176,,,,,,,
2020-02-01,944.0,1098.4,855.1,882.75,12933782,,,,,,,
2020-03-01,887.0,1071.25,499.95,629.1,12715330,,,,,,,
2020-04-01,636.0,860.0,590.05,802.85,11683898,,,,,,,
2020-05-01,780.0,818.8,740.1,764.9,6470597,,,,,,,
2020-06-01,775.0,943.0,767.35,897.3,17991121,,,,,,,
2020-07-01,904.0,977.95,876.0,940.0,12106761,,,,,,,209.12293190680288
2020-08-01,940.0,1208.6,932.55,1074.8,12388217,,,,,,,224.59557358122203
2020-09-01,1074.8,1331.0,1060.45,1287.0,11628449,,,,,,,234.57570401965572
2020-10-01,1295.0,1710.0,1270.15,1534.1,17352371,,,,,,,277.0126513879933
2020-11-01,1526.85,1609.0,1455.0,1588.25,7937972,,,,,,,252.56155410421474
2020-12-01,1612.0,1888.0,1468.0,1835.3,10726564,,,,,,,284.8079375487634
2021-01-01,1843.0,2849.0,1837.0,2690.6,36479698,,,,,,,421.6361416043659
2021-02-01,2711.75,3050.0,2607.0,2657.85,11293387,,,,,,,425.56388698969147
2021-03-01,2681.8,2837.5,2541.1,2692.9,9738283,,,,,365.77497674419504,,402.2182619284026
2021-04-01,2707.0,3519.6,2705.0,3480.1,9197122,,,,,414.8427476828632,,477.87580690428916
2021-05-01,3475.0,4090.0,3390.15,3643.55,4642408,,,,,444.15643945907095,,516.9869447921152
2021-06-01,3669.0,4350.0,3555.0,4304.3,4681055,,,,,479.1421692513625,,565.5095240533329
2021-07-01,4375.3,4575.0,4107.05,4225.9,4438143,,,,,478.0568039064049,,548.6150286135454
2021-08-01,4264.0,4949.0,4110.0,4770.95,4073110,,,11721022.2,,512.1874913480082,,598.5763565746684
2021-09-01,4800.0,5971.9,4800.0,5594.05,5644673,,,11206147.05,,575.8442276843924,,701.6608245702967
2021-10-01,5594.0,6610.0,5594.0,5872.3,5128360,,,10815875.95,,615.6878091074802,,755.2147738653159
2021-11-01,5900.0,6730.0,5263.4,5781.65,3566532,,,10358436.05,,691.270596657991,,875.966261725226
2021-12-01,5781.65,6099.0,5340.0,5868.0,3570848,,,9952783.55,,697.1838289952283,,856.1731083428434
2022-01-01,5888.0,7800.0,5782.0,7607.35,12860530,,,10272280.2,,810.6975735678284,,1052.2777464555568
2022-02-01,7779.0,7964.4,5990.0,6431.85,6613504,,,9703399.35,,909.2778792718182,,1207.592894665948
2022-03-01,6374.0,9420.0,6340.05,8840.15,15440712,,,9870096.9,,1090.7505514582563,,1522.4024298697582
2022-04-01,8884.0,9164.4,7461.0,7746.0,14350522,,,9968212.15,,1141.3532983810715,,1552.789899592074
