datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,56.8,62.1,55.7,58.1,173372170,,,,,,,
2020-02-01,57.8,58.4,46.05,46.7,176876778,,,,,,,
2020-03-01,47.1,47.8,31.2,32.85,280510315,,,,,,,
2020-04-01,32.3,37.5,29.95,31.7,220897513,,,,,,,
2020-05-01,31.5,37.5,27.0,36.55,843443518,,,,,,,
2020-06-01,37.6,47.4,37.2,44.85,902199083,,,,,,,
2020-07-01,45.0,53.2,44.05,48.7,705905429,,,,,,,10.730467919177599
2020-08-01,48.8,63.4,48.35,58.75,839643695,,,,,,,11.729085877380323
2020-09-01,59.6,61.6,50.1,53.3,532463877,,,,,,,11.679334262225263
2020-10-01,53.5,56.9,51.65,52.15,343693775,,,,,,,10.350179443320764
2020-11-01,52.4,65.25,52.0,64.9,548180944,,,,,,,10.92657377135803
2020-12-01,65.6,78.8,65.0,75.65,883534028,,,,,,,11.499215507250302
2021-01-01,76.0,88.0,74.45,75.4,681515058,,,,,,,11.884190421237369
2021-02-01,76.4,97.65,74.5,95.15,1020963949,,,,,,,13.955409522464135
2021-03-01,96.6,114.5,95.55,103.25,1597082988,,,,,13.714708715669195,,14.930450531084468
2021-04-01,103.9,107.35,89.9,98.85,857428757,,,,,14.112349129795787,,15.379522682290403
2021-05-01,97.95,111.15,96.35,106.45,779164292,,,,,14.183075700768716,,15.277412652200514
2021-06-01,106.4,132.7,103.7,122.1,1490440703,,,,,15.660602918559196,,17.672463243456704
2021-07-01,122.8,128.45,118.4,125.0,567863571,,,,,15.116512328490568,,16.352472481343842
2021-08-01,126.55,137.0,121.7,129.05,688128549,,,706665449.6,,15.133862871272518,,16.17139243935883
2021-09-01,129.7,161.2,128.7,158.75,705913470,,,733292514.6,,16.73887417560217,,18.96571427244338
2021-10-01,158.75,267.85,156.6,214.3,2596675894,,,854282470.4,,25.294167492241844,,34.6881833278026
2021-11-01,219.95,252.5,213.1,216.8,1364614418,,,908487675.55,,26.547126555548573,,35.487973445433255
2021-12-01,220.0,236.5,202.8,220.95,724231023,,,933654351.05,,27.171620504540172,,35.18541070531402
2022-01-01,221.2,252.15,216.0,246.05,640453708,,,923504860.55,,27.943241490939965,,35.3482236303032
2022-02-01,249.5,257.9,203.25,223.05,785239707,,,917656891.75,,30.205641532725238,,38.599265719418995
2022-03-01,220.0,244.9,212.25,238.65,448244719,,,904773856.25,,30.40999494870272,,37.59898347059013
