datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,561.16,589.84,503.6,505.09,70189614,,,,,,,
2020-02-01,506.48,576.89,478.37,498.52,71145660,,,,,,,
2020-03-01,505.52,519.53,230.36,313.19,100900229,,,,,,,
2020-04-01,315.11,411.85,282.98,402.93,110271761,,,,,,,
2020-05-01,378.76,402.64,322.31,389.31,182534643,,,,,,,
2020-06-01,394.25,450.84,381.83,407.87,119786086,,,,,,,
2020-07-01,413.34,466.19,406.29,458.66,122542632,,,,,,,107.00566207985564
2020-08-01,464.27,513.1,427.05,485.33,114394745,,,,,,,102.16099370202815
2020-09-01,484.42,524.23,448.01,482.4,99285984,,,,,,,96.5272708808673
2020-10-01,487.3,503.51,411.85,434.78,115553283,,,,,,,95.52104593091748
2020-11-01,446.05,446.05,382.74,400.68,143064937,,,,,,,89.11848969964845
2020-12-01,402.88,474.83,399.14,447.34,320269810,,,,,,,86.53234393354674
2021-01-01,450.75,576.65,447.34,537.8,215807478,,,,,,,94.56259992727645
2021-02-01,526.53,572.67,489.21,538.66,173212163,,,,,,,92.52138692062277
2021-03-01,546.77,627.34,546.77,615.69,176175942,,,,,96.14897056252285,,91.82707846603628
2021-04-01,614.83,646.48,557.61,582.16,95551650,,,,,95.37408778938045,,91.30002329033489
2021-05-01,580.82,791.86,571.85,781.88,238447817,,,,,108.19319567202193,,113.97830663681395
2021-06-01,784.66,829.46,736.99,760.54,98880912,,,,,106.62529608052147,,110.22438755276592
2021-07-01,763.56,817.66,754.11,775.6,63427853,,,,,102.44805103181105,,102.14172996175506
2021-08-01,775.6,777.61,685.38,711.04,53964060,,,134270362.95,,101.48183499060698,,100.4363965592826
2021-09-01,714.78,741.02,671.47,678.86,46074718,,,133064618.15,,98.53063428615484,,95.15079385676276
2021-10-01,678.18,730.94,658.28,710.03,55721599,,,132293415.1,,96.18878444916524,,91.31903845381854
2021-11-01,714.64,761.64,650.89,653.92,56854560,,,130091131.65,,97.48219318538459,,94.61727607677122
