datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-01,254.95,279.0,253.05,265.55,34179461,,,,,,,,,
2020-02-01,265.9,288.6,254.25,260.05,34508415,,,,,,,,,
2020-03-01,260.05,305.9,202.0,267.25,60937566,,,,,,,,,
2020-04-01,270.0,374.0,258.3,323.95,189682610,,,,,,,,,
2020-05-01,323.95,353.0,318.0,344.6,98348614,,,,,,,,,
2020-06-01,345.9,383.6,342.65,353.1,99848595,,,,,,,,,
2020-07-01,351.5,396.45,347.05,388.4,99875905,,,,,,,,,59.81467403564177
2020-08-01,396.0,411.5,368.25,371.25,116586065,,,,,,,,,55.985143277621134
2020-09-01,373.1,423.0,358.0,395.05,109300605,,,,,,,,,57.94294044721802
2020-10-01,398.65,447.9,390.75,417.7,100874641,,338.69,,,,,,,57.77901358114786
2020-11-01,418.0,464.0,404.0,450.1,126074798,,358.94636363636357,,,,,,,58.22047675083453
2020-12-01,459.1,499.25,428.95,476.75,88179479,,380.36520661157016,,,,,,,60.54682979619407
2021-01-01,477.75,509.2,450.0,451.5,62507182,,393.29880540946647,,,,,,,60.29400182388488
2021-02-01,454.0,488.95,421.0,435.2,69638195,,400.9172044259271,,,,,,,61.7015570954758
2021-03-01,437.0,453.5,408.35,440.9,37862163,,408.186803621213,,,,,59.635767690310615,,58.70995893954284
2021-04-01,445.0,605.0,434.45,571.15,267698033,,437.8164756900834,,,,,71.44314171042252,,78.64377982681346
2021-05-01,574.95,673.7,565.5,618.3,207066824,,470.63166192824997,,,,,75.22367433126783,,83.85149062650093
2021-06-01,618.8,668.9,603.6,645.2,106575251,,502.37135975947723,,,,,74.23409656000948,,80.61363485866646
2021-07-01,649.1,651.9,570.45,586.1,63996057,,517.5947488941177,,,,,74.93386184683017,,80.7584691760062
2021-08-01,590.0,596.8,521.55,554.15,84525053,,524.2411581860963,,,102913275.6,,74.96375578197282,,79.81072579330916
2021-09-01,555.0,570.9,533.55,551.85,37495459,,529.260947606806,,,103079075.5,,71.48742119006782,,72.54440301029037
2021-10-01,552.0,573.2,489.45,502.8,33003015,,524.4498662237503,,,103003805.5,,72.59744879393219,,74.45349999823974
2021-11-01,506.0,509.95,451.0,465.25,43839444,,513.6862541830684,,,102148899.4,,71.38520593992361,,71.82191499612286
2021-12-01,467.95,486.55,436.3,483.15,49895181,,508.13420796796504,,,95159527.95,,69.53996034419563,,68.17149293447726
2022-01-01,485.3,486.85,380.25,406.5,49373796,,489.6552610646986,,,92710787.05,,72.72497879543037,,74.6578365760393
2022-02-01,409.0,420.55,342.85,360.4,38102582,,466.1543045074807,,,89623486.4,,73.14642597994296,,75.17023507987815
2022-03-01,357.1,378.6,331.55,348.5,28633898,,444.7626127788478,,,86061386.05,,70.96471087342233,,70.44222774084069
2022-04-01,350.5,376.7,337.55,352.1,18704958,,427.91486500087547,,,81167330.7,,68.33692467924176,,65.18861233410138
2022-05-01,349.0,381.8,319.0,378.35,42549865,,418.9030713643526,,,77829793.7,,67.88464472225841,,64.78808052544359
2022-06-01,371.0,378.95,329.8,357.0,18236046,427.405,407.6479674799249,,,73697863.95,,66.36985323603167,,62.16849105412112
2022-07-01,356.9,380.3,340.0,346.8,25108757,422.2046774193548,396.5847006653931,,,68649561.9,30.596874411598574,64.28165719569759,,58.50832328227197
2022-08-01,347.3,401.75,342.75,378.2,34320490,419.36566597294484,393.2420278171398,,,65956612.45,45.433570467217834,63.86223331010316,,58.5905580954444
2022-09-01,381.1,388.2,350.25,386.9,26469648,417.27110687791617,392.0889318503871,,,64154735.75,44.77081384471469,61.82080255560988,,55.14037155826401
2022-10-01,388.8,443.0,388.0,433.35,33498289,418.3084548212764,399.5909442412258,,,62347740.45,33.770643617842275,61.37339359424822,,55.300700500508746
2022-11-01,435.55,454.05,390.0,409.9,26523985,417.76597386506506,401.4653180155484,,,61780831.55,18.949506674405093,61.58131450471149,,56.761885623558676
2022-12-01,413.0,430.0,403.2,419.95,19478448,417.90687877699634,404.8261692854487,,,49369852.3,18.932313792126877,58.89626192827477,,51.759769448057526
2023-01-01,419.85,459.0,414.15,431.55,24336869,418.78708014622237,409.6850475971853,,,40233354.55,11.109680741503624,57.81813702733232,,50.606514157843954
2023-02-01,434.1,482.25,426.6,465.8,25934387,421.82017174969195,419.88776621587886,,,36201311.35,25.46801346801346,57.65260279626889,,51.44808455988482
2023-03-01,468.95,494.9,461.45,491.55,19978369,426.318870346486,432.91726326753724,,,34000426.95,24.42728768510316,55.81381480031933,,48.445461998209765
2023-04-01,498.0,524.3,486.0,519.9,16190382,432.3563625821966,448.7323063098032,,,30583693.4,24.467321043811353,54.489228038262745,,46.753169987601915
2023-05-01,519.9,530.85,484.95,502.3,22389098,436.8688553188291,458.471886980748,,,29828375.35,11.597422794934452,53.84233491093179,,46.610878177474305
2023-06-01,502.3,589.1,500.8,583.05,26433871,446.29989691116276,481.12245298424835,,,29499918.15,22.296801258521228,56.42745008756125,,53.56300687646638
2023-07-01,586.95,656.7,571.1,632.25,17699119,458.2966777556039,508.60018880529407,,,28192901.9,40.033222591362126,58.60822192316332,,58.905029753978596
2023-08-01,635.0,668.75,622.0,625.85,27438057,469.1065695133069,529.9183362952406,,,27070045.7,43.80744485294119,57.7247078163344,65.30213443213599,56.87839349961717
2023-09-01,625.85,653.9,589.15,615.0,26157938,478.5190488995452,545.3877296961059,,,25909252.8,39.48741211158995,58.246531335997126,65.25582655365886,58.190758522093724
2023-10-01,616.4,618.0,567.75,573.55,20399941,484.6500780028004,550.5081424786321,,,25024120.75,0.42020484986431406,57.65425382815579,64.7961969575833,56.866936797699815
2023-11-01,575.4,649.05,570.25,637.55,22435394,494.51458909939396,566.3339347552444,,,24714195.55,3.1133753841177336,59.216330516024136,64.26261883040851,60.52328045550173
2023-12-01,641.7,696.5,630.0,689.2,35752841,507.0749381897557,588.6732193452,,,25566589.7,6.8195908245505255,59.753077647147094,63.77991819997977,61.51958955972135
2024-01-01,688.1,766.0,685.0,760.8,26159651,523.4442970162231,619.9689976460727,,,24747079.0,29.80720013649547,61.315267132844866,63.32596504284693,64.7668384587365
2024-02-01,763.0,953.65,749.2,941.9,30558950,550.4414391442087,678.5019071649685,473.3500000000001,,25363224.2,69.97202923396193,71.8172910501189,63.22108288511846,88.05043559891257
2024-03-01,948.35,1027.8,919.2,1007.35,23635261,579.9194108123244,738.2924694986106,494.2911764705883,,25289549.4,82.54054543807194,74.51086346307079,63.321864294218564,91.4757393879811
2024-04-01,1024.95,1031.7,913.2,953.55,26842034,604.0246101147551,777.430202317045,512.3013264129182,,24915626.6,89.64797136038185,77.72636731577644,63.4928282449467,95.98019529942012
2024-05-01,959.9,1172.5,951.05,1000.15,40713824,629.581086881545,817.9247109866732,531.432646945745,,25627835.4,114.97044599677592,88.21472529868278,64.05381222357201,116.89342528180411
2024-06-01,1045.0,1111.8,933.8,1073.95,28586284,658.2500490182196,864.4747635345507,552.7078372615981,,25382235.15,122.28086515574876,94.75676184068188,64.89437227345488,127.07850207819409
2024-07-01,1093.35,1251.7,1059.0,1247.2,36764937,696.2468200493022,934.0611701646324,579.9428240356531,,25894282.75,206.81426814268144,101.88299014734626,65.8663059851854,138.0159980014856
2024-08-01,1260.05,1324.3,1105.1,1127.9,89378603,724.095412304186,969.3045937710629,601.4313407401373,,29389290.5,212.95782463928973,110.40749083760994,67.10834148044097,151.54726254518604
2024-09-01,1127.0,1139.95,1038.55,1068.55,34275592,746.3182889297225,987.3492130854149,619.7497195346417,,29886226.65,206.61406025824962,109.75379396371491,68.40131091678406,143.18907787142408
2024-10-01,1071.05,1087.25,977.0,1001.25,25764169,762.765496095547,989.8766288880668,634.7105148470087,,29877715.75,184.36523714853732,109.78976376746687,69.7830722197249,137.69906319813865
2024-11-01,1009.25,1013.9,933.0,965.95,20829675,775.8741737668021,985.5263327266,647.7002985784985,,29920281.05,155.30593365931017,107.69777456817884,71.11017654792225,128.23231073565861
2024-12-01,965.95,1000.0,952.5,971.7,23055276,788.5080980399117,983.0124540490363,660.406169222479,,30263525.75,172.18487394957984,103.34297028805372,72.34261378298964,114.77663905549255
2025-01-01,971.0,1027.95,891.15,970.25,27327009,800.2333820373368,980.6920078583023,672.5569076843425,,30510421.3,179.77220299884658,105.76109801952406,73.72526181045053,118.44726435554085
2025-02-01,970.25,1026.55,855.1,876.6,28418380,805.1602606155732,961.7661882477018,680.5585975790742,,30609646.75,131.7821258593337,110.50478630470084,75.28001357693712,127.28118427601797
2025-03-01,879.0,939.5,859.5,886.4,22960306,810.4015341242459,948.0632449299378,688.6308094387184,,30872706.1,129.10312742310674,108.30362962714443,76.82944114598827,119.40088977746001
2025-04-01,888.0,949.65,795.0,888.25,42905606,815.4240157936495,937.1881094881309,696.4590129901413,,31646083.55,104.97288565824392,111.64544256189578,78.50517611157653,125.27580181809924
2025-05-01,887.0,934.0,859.0,930.0,22159046,822.8160147747044,935.8811804902889,705.6174830689594,,31446138.95,126.88460600146377,109.00490326658776,80.08596240363906,116.89642979979828
2025-06-01,933.95,995.7,917.05,989.95,21495693,833.5988525311751,945.7118749466,716.7677778505689,,31500926.55,135.73044410048817,106.81901009838032,81.68338734264259,110.52197936978162
2025-07-01,994.95,1015.0,951.55,969.8,20267544,842.3860233356154,950.0915340472181,726.6906100917231,,31392534.05,124.7248291043911,103.6977739501207,83.2127085734022,102.67660284630648
2025-08-01,970.0,970.75,946.35,949.05,1284762,849.2675702171887,949.9021642204511,735.4105861665576,,29669130.1,103.74624302275652,97.99385489120029,84.55741697656659,89.630437756024
