datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,33.43,34.63,33.13,33.65,63651267,,,,,,,
2020-01-10,33.17,33.63,31.48,32.4,154895016,,,,,,,
2020-01-17,32.73,36.32,32.52,36.2,176728038,,,,,,,
2020-01-24,36.33,36.33,33.33,33.95,177647070,,,,,,,
2020-01-31,33.9,34.5,29.97,30.22,288044139,,,,,,,
2020-02-07,29.77,30.57,26.92,29.18,308573934,,,,,,,
2020-02-14,29.28,29.28,27.55,27.68,155675658,,,,,,,3.1113315716541523
2020-02-21,27.7,29.03,26.52,28.85,149797956,,,,,,,2.9723117669502654
2020-02-28,28.57,28.57,24.28,24.65,157371732,,,,,,,3.3192889399538092
2020-03-06,25.33,25.63,23.05,23.83,222961983,,,,,,,3.166453604750331
2020-03-13,23.3,23.52,20.0,23.3,225428589,,,,,,,3.2983460343458595
2020-03-20,22.83,26.72,20.97,23.77,293210256,,,,,,,3.770501478854925
2020-03-27,21.68,25.58,18.67,24.38,154424004,,,,,,,4.3598506656726075
2020-04-03,24.22,25.42,22.47,23.32,124961034,,,,,,,4.100649619515826
2020-04-10,24.27,24.33,21.7,23.38,117153072,,,,,3.7324490082160158,,3.834838211900911
2020-04-17,24.33,24.5,22.97,23.77,194197302,,,,,3.4979873105718338,,3.4240351430310256
2020-04-24,24.1,26.37,23.82,24.85,310319283,,,,,3.4056271231484,,3.2788428048856435
2020-05-01,25.07,25.28,23.78,24.03,116543283,,,,,3.21560010508787,,2.9683752229630276
2020-05-08,23.52,23.57,19.83,19.9,158758176,,,,,3.3110627010799205,,3.1816571078541993
2020-05-15,20.17,22.93,19.25,22.58,302412921,,,192637735.65,,3.345949308643858,,3.2673980212104072
2020-05-22,23.67,23.93,20.5,21.02,337785978,,,206344471.2,,3.3537174328250368,,3.295224169750453
2020-05-29,21.18,23.48,21.12,23.07,190944888,,,208146964.8,,3.272816748240888,,3.1529270705242913
2020-06-05,23.33,24.93,22.88,24.65,201521967,,,209386661.25,,3.164199314521253,,2.965714741853348
2020-06-12,25.07,25.8,22.47,23.97,183610410,,,209684828.25,,3.1786748292391116,,3.027359474984821
2020-06-19,23.98,27.17,23.07,26.68,281467401,,,209355991.35,,3.257855469511331,,3.2084103557086294
2020-06-26,27.3,28.82,26.73,28.43,311274069,,,209490998.1,,3.1631589806029377,,3.028455569769386
2020-07-03,28.32,32.65,28.1,32.4,524742639,,,227944347.15,,3.2791017539423404,,3.284281070956237
2020-07-10,32.73,35.13,32.33,33.23,384055890,,,239657243.85,,3.239529589366452,,3.202975690059775
2020-07-17,33.57,33.78,31.35,32.67,195279240,,,241552619.25,,3.1734037110015083,,3.0733601192247426
2020-07-24,32.67,34.88,32.1,34.05,235523292,27.135333333333328,,242180684.7,,3.1415950164193753,,3.024218341346269
2020-07-31,34.25,34.25,31.25,31.95,232692339,27.44595698924731,,242543872.2,-5.052005943536397,3.130253251280118,,3.020164875002209
2020-08-07,32.0,34.08,31.68,33.07,160470465,27.808798473812,,235906882.65,2.0679012345679038,3.0722628053327026,,2.9164399256745837
2020-08-14,35.15,39.48,34.8,37.72,541167993,28.44823083034026,,255244082.1,4.198895027624294,3.3352181159794787,,3.500408337746193
2020-08-21,38.3,38.37,36.55,37.37,204254985,29.02382884128605,,259208779.65,10.073637702503667,3.2167168817703073,,3.2196558301999354
2020-08-28,37.0,38.65,36.6,37.35,210225537,29.56100117410631,,263862402.9,23.593646591661166,3.126085388178551,,3.024316340646955
2020-09-04,37.5,37.7,34.8,35.47,151022835,29.94222690480913,,261703679.55,21.555860178204256,3.1086320180955633,,3.0035618131702106
2020-09-11,35.63,36.05,33.0,34.08,121825086,30.209180007724672,,252278969.7,23.121387283236984,3.1041317005716467,,3.0113124458117144
2020-09-18,35.33,36.55,34.07,34.63,144835758,30.494394200774696,,253693593.45,20.034662045060657,3.0564801177454637,,2.9226561389190318
2020-09-25,34.57,34.6,29.88,31.1,188413932,30.533465542660203,,255176381.25,26.166328600405684,3.185144958324991,,3.2275121299531824
2020-10-02,31.33,33.1,31.28,32.03,76033848,30.63001615281116,,243857427.6,34.41040704993708,3.0955112982221817,,3.0227596040642135
2020-10-09,32.13,32.33,30.6,30.93,70327086,30.64936994940399,,230484483.0,32.74678111587983,2.992668543299659,,2.807152976082365
2020-10-16,31.02,31.67,29.23,30.33,101358888,30.62876543653922,,226005183.0,27.59781236853176,2.951205726964407,,2.745926098893425
2020-10-23,30.47,31.72,29.48,30.87,112598919,30.644328956762497,,221559030.6,26.620180475799838,2.8980400824342536,,2.661565223195828
2020-10-30,30.87,30.92,28.78,29.0,88646487,30.538243217616532,,216810834.45,24.356775300171527,2.8415612013075493,3.1948880163975,2.5746034459120835
2020-11-06,29.28,31.17,29.08,30.82,76831566,30.5564210745445,,206579042.7,31.822070145423442,2.791679086717351,3.163529019014211,2.5071474049676237
2020-11-13,31.5,32.47,30.58,32.23,136567608,30.664393908444854,,197843719.65,35.591081194783335,2.724894599804937,3.137759261988648,2.4042613721564847
2020-11-20,32.4,36.63,31.9,36.12,287267952,31.016368494996797,,185969985.3,45.35211267605632,2.873015568292401,3.1200055434934484,2.791972819626748
