datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,44.42,45.96,43.96,44.33,89481375,,,,,,,
2020-01-10,44.11,44.15,40.09,42.83,305021775,,,,,,,
2020-01-17,43.0,44.74,41.81,44.32,200629365,,,,,,,
2020-01-24,44.45,45.35,43.2,43.76,187146245,,,,,,,
2020-01-31,43.18,43.43,40.03,40.53,186042715,,,,,,,
2020-02-07,40.2,41.11,36.58,38.0,332585830,,,,,,,
2020-02-14,37.99,38.36,35.91,36.06,189959150,,,,,,,3.301862653475556
2020-02-21,36.16,36.26,33.51,34.53,149963400,,,,,,,3.1742794000327033
2020-02-28,34.2,34.34,28.03,28.74,190913750,,,,,,,3.8965411705745034
2020-03-06,29.26,29.58,25.48,26.1,280179205,,,,,,,3.9386028013048313
2020-03-13,25.0,25.57,16.4,21.48,265479810,,,,,,,5.083789754079794
2020-03-20,19.94,20.99,17.94,19.25,368746505,,,,,,,4.786476696128892
2020-03-27,18.3,19.1,14.73,18.01,240699695,,,,,,,4.736453476461266
2020-04-03,17.8,18.43,16.7,16.83,120630120,,,,,,,4.183717002099508
2020-04-10,17.43,18.6,16.64,18.36,135210945,,,,,3.9134102998826426,,3.7817930233207364
2020-04-17,18.19,18.4,16.7,17.37,228975490,,,,,3.67778171799145,,3.410744435911755
2020-04-24,17.6,18.83,15.91,16.27,368521620,,,,,3.5998420180917114,,3.324276846896341
2020-05-01,16.5,18.24,16.1,17.58,245234240,,,,,3.4542681950873932,,3.117580916276162
2020-05-08,17.1,17.12,15.41,15.97,228929935,,,,,3.329725743908027,,2.9534872347601917
2020-05-15,16.02,18.05,15.2,16.79,311036655,,,231269391.25,,3.2843630120426797,,2.9356820444607163
2020-05-22,16.92,16.94,15.15,15.45,276842090,,,240637427.0,,3.1462511504742827,,2.7396209695209124
2020-05-29,15.66,17.12,15.45,16.76,221953020,,,236483989.25,,3.0126186125993195,,2.557389699465862
2020-06-05,17.03,21.23,17.0,20.86,651650460,,,259035044.0,,3.142071391585169,,2.882038751767043
2020-06-12,21.58,21.86,18.9,20.75,608831945,,,280119329.0,,3.126175334816876,,2.8952314358914784
2020-06-19,20.7,21.7,19.74,21.47,517026630,,,296668524.75,,3.0259517518616734,,2.7373738207819365
2020-06-26,21.59,23.66,20.4,20.9,677939785,,,313936222.5,,3.0457785970472577,,2.825400936678855
2020-07-03,20.79,21.35,19.9,20.6,316343570,,,320255443.5,,2.912368210716344,,2.594147332138762
2020-07-10,20.82,22.7,20.36,20.92,621631535,,,343838850.25,,2.8650925561271103,,2.5514788346842554
2020-07-17,21.0,21.23,19.77,20.45,253586170,,,346972471.25,,2.750318518613962,,2.368455417478191
2020-07-24,20.6,21.06,19.88,20.25,217845080,25.184,,343855765.0,,2.623350264989461,,2.169373100841143
2020-07-31,20.28,20.53,19.67,20.37,237634585,24.87341935483871,,342463503.75,-54.04917662982178,2.482105854914157,,1.9502210243140436
2020-08-07,20.36,21.17,20.16,20.38,296259825,24.583521331945892,,338839169.75,-52.416530469297214,2.3652038420047665,,1.7929654588430153
2020-08-14,20.38,20.88,20.11,20.26,129572295,24.304584471820352,,333282799.75,-54.2870036101083,2.2395296809325655,,1.6219709713015318
2020-08-21,20.38,21.84,19.78,20.86,324097900,24.08235321557388,,343456188.75,-52.3308957952468,2.225489135519778,,1.6951542240995314
2020-08-28,21.1,23.18,20.62,22.96,434534485,24.00994333069815,,358422365.75,-43.350604490500864,2.2514742050291097,,1.8395886192818907
2020-09-04,23.52,23.89,20.44,20.65,400930555,23.793172793233754,,367020119.0,-45.65789473684211,2.3439981599036885,,2.108445690492632
