datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,623.0,638.8,616.35,630.7,6125186,,,,,,,
2020-01-10,627.4,643.7,611.5,623.1,12772063,,,,,,,
2020-01-17,627.9,633.05,601.7,607.65,10401514,,,,,,,
2020-01-24,611.0,621.9,594.15,607.25,9408274,,,,,,,
2020-01-31,604.8,611.9,597.15,599.2,6828605,,,,,,,
2020-02-07,598.2,609.0,527.5,595.7,26854185,,,,,,,
2020-02-14,596.0,598.9,563.6,573.95,10654328,,,,,,,39.48713544519994
2020-02-21,574.9,583.7,556.0,573.5,7610015,,,,,,,36.76210761554127
2020-02-28,572.25,582.5,541.25,544.1,14838545,,,,,,,37.7367634839964
2020-03-06,555.0,573.0,535.0,548.15,14196085,,,,,,,37.79118312831533
2020-03-13,538.0,540.3,429.1,507.15,20321205,,,,,,,53.94291397937666
2020-03-20,494.0,500.4,385.35,418.1,25315508,,,,,,,67.0112723456067
2020-03-27,377.5,487.0,340.0,441.0,36782327,,,,,,,82.02682061874425
2020-04-03,432.0,448.2,407.0,422.3,26934448,,,,,,,74.52080961112793
2020-04-10,436.9,500.55,433.25,472.25,17196301,,,,,66.84984228411275,,75.19483919191717
2020-04-17,473.0,518.95,453.3,495.5,19686343,,,,,66.72211308003634,,73.49361382535434
2020-04-24,503.7,515.3,451.15,453.35,16569529,,,,,66.45756496966811,,71.84729916328702
2020-05-01,459.0,510.7,459.0,501.05,19385351,,,,,65.54936871660512,,69.31703544168523
2020-05-08,489.0,527.35,469.45,520.05,22049645,,,,,64.80756795132498,,67.33993423012133
2020-05-15,529.75,539.0,485.0,487.3,20457449,,,17219345.3,,63.78560735546737,,65.04477127499743
2020-05-22,487.3,504.7,464.0,494.75,21169666,,,17971569.3,,61.65199177370695,,60.878639800373165
2020-05-29,502.0,540.8,495.25,523.2,36669197,,,19166426.0,,60.23967534234978,,58.352285193449895
2020-06-05,521.0,528.65,494.45,516.25,38095322,,,20551116.4,,57.9266855058536,,54.252643726094206
2020-06-12,520.0,531.0,486.25,502.3,31561204,,,21658762.9,,56.776272258635586,,52.64459639659532
2020-06-19,507.9,524.0,495.3,521.1,17711414,,,22202903.35,,54.363337841506905,,48.60299050433392
2020-06-26,524.95,547.45,514.55,541.9,17587129,,,21739550.55,,52.54512181154568,,45.95810010270625
2020-07-03,543.5,589.6,532.65,572.15,25773156,,,22495491.95,,52.913378725098525,,47.806227731680366
2020-07-10,581.0,600.0,572.1,592.5,18642101,,,23047096.25,,50.84735928066178,,44.464194509650405
2020-07-17,593.95,616.0,584.0,614.5,13369312,,,22973634.6,,49.30782545303628,,42.374149884518296
2020-07-24,619.7,632.5,601.35,622.4,22239455,537.4133333333333,,23375803.1,,47.83967274384869,,40.49395334670213
2020-07-31,624.6,647.6,613.5,627.1,41732615,543.1995698924732,,24446373.6,-0.5707943554780437,46.73912453748072,,39.42378614054294
2020-08-07,624.0,624.0,600.5,606.95,12255608,547.3125008671524,,23793378.6,-2.5918793131118556,45.139848107185095,,37.27895881924168
2020-08-14,616.0,617.95,585.65,587.75,12304198,549.921371778949,,22569472.15,-3.2749115444746124,44.128292657859554,,36.44669756894562
2020-08-21,591.4,608.9,585.95,598.1,9405658,553.0296703738557,,21693032.65,-1.50679291889666,42.471993942887366,,34.191750601021624
2020-08-28,599.8,605.45,588.15,589.35,13234039,555.3729174465101,,21494919.55,-1.6438584779706278,40.51661347023586,,31.37072765147948
2020-09-04,594.75,594.75,567.05,574.65,14179425,556.6166001918966,,21219573.65,-3.533657881483976,39.52719482664811,,30.757902197433715
2020-09-11,576.6,612.7,571.15,604.8,17020543,559.7252066311291,,21242124.35,5.3750326683508876,39.682455823366105,,32.55912638832344
2020-09-18,610.0,610.0,583.5,585.1,10926648,561.3622900742821,,20819189.2,2.02266782911944,38.67599374982573,,31.548083314103575
2020-09-25,587.0,589.8,566.3,577.5,11240114,562.4034326501348,,20278712.65,6.138577467377315,37.52300060406014,,30.205420629262708
2020-10-02,579.2,586.8,555.95,569.2,12137010,562.8419208662552,,19862690.7,3.840189729088772,37.01831511068764,,30.312938307560028
2020-10-09,572.0,589.0,565.35,573.8,24588613,563.5488937135937,,20033638.05,13.14206842157153,36.011487590149756,,29.20169252263005
