datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,216.15,221.2,213.2,216.45,28982292,,,,,,,
2020-01-10,215.0,215.65,204.5,211.5,49512759,,,,,,,
2020-01-17,212.8,215.0,208.15,210.05,39824780,,,,,,,
2020-01-24,210.1,210.8,202.25,205.4,26036779,,,,,,,
2020-01-31,203.55,203.55,188.25,189.35,37826853,,,,,,,
2020-02-07,187.65,198.4,180.3,197.4,42537647,,,,,,,
2020-02-14,195.9,197.0,189.6,194.0,34006993,,,,,,,11.98985047210854
2020-02-21,194.0,194.7,181.75,189.95,22161976,,,,,,,12.211824182031702
2020-02-28,186.9,186.9,154.1,155.9,63931139,,,,,,,17.34543363762819
2020-03-06,160.55,167.9,140.0,150.1,68864477,,,,,,,19.527409588764748
2020-03-13,143.9,145.8,103.1,127.45,51525584,,,,,,,24.988107925099275
2020-03-20,120.8,129.05,97.55,105.5,69798778,,,,,,,26.24221039644843
2020-03-27,94.95,99.95,84.9,91.55,59487115,,,,,,,25.18305012400201
2020-04-03,88.1,97.25,86.55,88.8,43016963,,,,,,,22.52034134562832
2020-04-10,92.15,111.8,90.0,107.55,62812471,,,,,21.43381683786747,,22.607036871470285
2020-04-17,109.0,125.7,105.1,124.15,102370832,,,,,21.345052870755673,,22.249312454251864
2020-04-24,125.0,125.15,102.75,103.65,89145798,,,,,21.453556758763593,,22.275863114477456
2020-05-01,106.4,132.2,105.3,130.2,113842976,,,,,22.16120618901519,,23.370909906779545
2020-05-08,121.4,123.0,114.6,117.1,96233113,,,,,21.524930444899628,,22.025212464556308
2020-05-15,118.95,126.95,116.4,119.25,66801160,,,58436024.25,,20.487144098565306,,20.05087870124914
2020-05-22,120.55,130.75,114.3,124.85,90520238,,,61512921.55,,20.114023590108292,,19.434658736636646
2020-05-29,125.55,141.15,125.5,138.85,92552623,,,63664914.75,,19.768772274505658,,18.900607087460102
2020-06-05,141.9,151.0,138.35,149.25,72995196,,,65323435.55,,19.136443042179042,,17.83962060909373
2020-06-12,155.0,155.85,136.2,146.05,81051974,,,68074195.3,,19.181280017852156,,18.145974906785916
2020-06-19,149.05,154.6,143.75,151.05,101451820,,,71255443.65,,18.465272133734675,,16.914488074239006
2020-06-26,150.9,160.1,144.6,151.05,77134937,,,72985308.15,,18.214076100453802,,16.676242631134457
2020-07-03,149.45,151.6,143.3,146.4,56321796,,,74101048.3,,17.38523886380771,,15.267899616893418
2020-07-10,147.8,166.45,147.1,163.7,117158961,,,78850897.55,,17.60533901031964,,16.07076084036819
2020-07-17,165.3,170.5,161.05,162.15,76665150,,,79487598.1,,16.93917564519382,,14.960565905751048
2020-07-24,162.2,163.9,154.3,156.2,68674257,150.82833333333335,,79478087.1,,16.345765898274312,,14.062598793726774
2020-07-31,157.0,168.5,154.6,163.1,62984695,151.6200537634409,,80051042.65,-24.647724647724644,16.149859975133108,,14.035384347925856
2020-08-07,163.1,179.0,160.75,177.6,111389570,153.29617932708987,,82130582.25,-16.02836879432624,16.316635071828063,,14.74029494923208
2020-08-14,176.9,189.45,172.7,184.95,112269498,155.33836130598732,,84769701.4,-11.949535824803625,16.35077664819092,,15.07622856487367
2020-08-21,185.15,203.15,184.25,196.25,109524659,157.97782186689136,,88095086.2,-4.454722492697183,16.55014471954541,,15.715081273814237
2020-08-28,197.45,197.8,190.05,193.8,48309777,160.28893013354354,,87369951.5,2.350145233694234,15.86654249160317,,14.384865264880299
2020-09-04,195.0,197.0,184.25,188.3,81297820,162.09609593137947,,86316300.9,-4.6099290780141855,15.625951226844613,,14.111925634545665
2020-09-11,188.3,191.5,171.75,178.65,73588414,163.16408974225823,,85538431.7,-7.912371134020613,15.942493784412177,,15.052932297279636
2020-09-18,179.0,184.6,174.5,179.5,83959794,164.2180194363061,,84044272.6,-5.5014477494077285,15.496427551557186,,14.22647191746404
2020-09-25,179.4,180.7,154.4,162.05,101416730,164.07814721460895,,84303453.45,3.9448364336112984,16.317226847351545,,16.240700025961814
2020-10-02,163.95,179.25,162.1,174.1,77329816,164.72471836205352,,84829886.25,15.989340439706856,16.383991835175657,,16.400713998921113
2020-10-09,175.0,182.4,169.25,170.0,80380347,165.06505911288878,,84322891.7,33.38564142801099,16.140425465450686,,15.858559462503564
2020-10-16,174.0,180.55,169.7,179.8,72569190,166.01570046044435,,83323720.05,70.4265402843602,15.743522218344069,,15.023325990133682
2020-10-23,181.0,187.7,177.7,182.25,78999408,167.06307462428666,,83623930.65,99.07154560349537,15.314169572500148,,14.185709230751113
2020-10-30,182.3,182.9,165.3,170.65,70705016,167.29448916465526,,83106582.75,92.17342342342343,15.484478699922528,17.84145799613851,14.754981836079493
2020-11-06,171.5,190.35,167.65,188.15,82979672,168.640005992742,,82182975.35,74.94188749418875,16.02043202721079,17.661011835783288,16.079586151699573
2020-11-13,189.85,211.4,189.3,210.55,137116527,171.34387657385545,,85182054.85,69.59323399113974,16.555903011038207,17.50137350712604,17.274981981816342
2020-11-20,212.0,227.25,207.05,215.55,87034676,174.19588453683252,,86717698.85,107.95947901591893,16.825099420969956,17.347091595866246,17.762596091213542
2020-11-27,217.0,231.25,215.55,226.35,118643458,177.56066617961753,,86791923.7,73.84792626728111,16.74218875516307,17.166457681404513,17.418764788990984
2020-12-04,230.8,255.95,222.5,252.7,107020456,182.40836513577125,,88309689.0,115.79846285226303,17.97063806289081,17.047981268670885,20.09106017251973
2020-12-11,252.3,253.95,238.0,243.65,78462688,186.35943835281827,167.25599999999997,88799110.55,104.31865828092243,17.822380621530794,16.9591558194364,19.40079245716812
2020-12-18,245.95,254.9,242.6,249.9,77695177,190.45882942683002,170.49694117647059,89534634.65,100.16019223067683,17.417980496563285,16.869287716318233,18.217196988466114
2020-12-25,246.0,249.75,227.0,236.95,62253493,193.4582597863894,173.10294348327565,87077830.8,70.65178249909975,17.818703407300802,16.804285420744737,18.997735631511436
2021-01-01,239.15,242.0,232.65,238.35,41571581,196.3545010904933,175.66165158197072,83542934.95,59.698492462311556,17.200692358401263,16.739760397952146,17.38965698220987
2021-01-08,240.9,275.4,239.55,268.2,108574857,200.989694568526,179.29060642189344,83495444.85,83.63574118452584,18.64697512978778,16.721950235016667,20.666589201091632
2021-01-15,267.6,270.5,251.1,253.35,64939246,204.36777878991143,182.19489636613292,84326918.3,67.72591857000991,18.701764283654633,16.729833306680668,20.45547981373915
2021-01-22,252.3,254.55,235.55,239.2,64121798,206.61501886798166,184.43039062628458,83468117.2,58.35815954981791,18.72343471808729,16.746811927268446,20.21288913191885
2021-01-29,240.7,243.9,224.55,226.3,51186013,207.88501765069253,186.07233609192048,82347997.15,54.57650273224044,18.768906178837195,16.792934171102765,20.069068983988316
2021-02-05,227.35,267.4,226.55,262.05,80469801,211.37953264097044,189.0518523236099,82173497.5,60.07941356139281,20.387679437476258,16.885678852007985,23.574331648640005
2021-02-12,264.0,297.35,263.55,290.8,129223763,216.50343376090782,193.04197576189972,83563849.15,79.34011717545482,21.467522588989016,17.036623750134492,25.52865965141416
2021-02-19,292.5,313.35,289.0,308.0,87394802,222.40643803439767,197.55013357515855,84067098.45,97.1830985915493,21.67604566242287,17.214299742272775,25.33221219255203
2021-02-26,310.0,354.6,310.0,340.25,167776881,230.00924848379137,203.1462067682896,88436925.15,108.61434702636421,23.477440038447686,17.45855241104993,28.876906401523183
2021-03-05,342.0,361.3,333.15,337.85,76290167,236.9667163235468,208.4287084636508,88622974.0,90.23085585585588,23.814866411596533,17.70849345570888,28.75575354285165
2021-03-12,340.05,345.0,327.45,330.2,50360530,242.981766883318,213.20405322978212,87191030.1,78.53473911868072,23.362807760926376,17.94222782613339,26.888104934889007
2021-03-19,331.9,340.5,320.6,335.1,78870367,248.9248786972975,217.98428643645735,87599297.65,70.75159235668791,23.113121417143155,18.16099371605332,25.723408817340548
2021-03-26,335.1,342.65,305.4,327.15,77453340,253.97166071682668,222.26529481149822,87322981.05,68.80804953560369,24.131774237285292,18.43650144090939,27.644523789744635
2021-04-02,330.55,352.0,320.9,350.25,45178859,260.1831664770314,227.28430285810612,82726097.65,86.00637280934677,24.633564572621697,18.73675521910196,28.220440598965116
2021-04-09,349.9,374.0,338.0,361.05,83639724,266.69070412367455,232.53001647151373,82556350.05,102.0990764063812,25.451598672369734,19.053725382033875,29.517041538738656
2021-04-16,352.1,376.5,331.6,370.0,79302950,273.3558199866633,237.92099621772888,80589324.65,106.12813370473538,26.850529581426287,19.432195449696177,32.08088064729857
2021-04-23,358.7,371.5,345.3,349.5,56525159,278.2683477294592,242.29664342487678,78064559.8,115.67417463745757,26.803760210357648,19.781746561796385,31.100729827286337
2021-04-30,353.0,377.3,345.5,364.4,127259778,283.825228521107,247.0850103493914,80504414.3,109.30499712808728,27.16279417584938,20.14103997315218,31.217275256928765
2021-05-07,364.4,404.95,357.65,401.1,139105687,291.3913428100679,253.12481386510154,83574939.8,135.94117647058823,28.60924536156735,20.55666730302273,33.89773706362479
2021-05-14,407.8,427.5,368.15,382.8,126640054,297.288675531999,258.2101152821564,86794267.85,112.9032258064516,30.81646162243451,21.059098616492413,38.1397910186465
2021-05-21,384.5,412.8,377.25,389.8,120571932,303.2571480783216,263.37050291815024,90744285.4,113.8820301783265,31.156207785551416,21.587166556927453,37.708158323064076
2021-05-28,392.9,399.5,379.45,387.75,89427257,308.7082998152041,268.24813025469336,89786905.4,127.21945502490475,30.359343518531333,22.082995384214414,34.765127054267346
2021-06-04,391.55,405.5,386.5,395.05,57171932,314.27873208519094,273.2207525976466,89398539.7,109.96545309593411,29.544578340903016,22.53380026133749,32.13760224664997
2021-06-11,396.15,401.4,381.1,393.15,50745434,319.36720098292056,277.9238603389154,88729721.5,86.72524341011633,28.88169517005474,22.94465999997137,30.16466626629309
2021-06-18,392.95,397.5,359.8,371.35,74553618,322.7209299517644,281.58763052170303,89898101.75,72.28021340756206,29.513837578618716,23.367617938559665,31.42055642743795
2021-06-25,366.9,380.35,360.4,375.9,59137970,326.15183769681187,285.2861548149696,88831510.2,66.0702451954937,28.828427398537045,23.77049256000546,29.508795493617967
2021-07-02,378.9,384.95,370.95,376.05,47037943,329.3710739744369,288.84552129281394,84722219.2,48.81282152750297,27.765973780051226,24.09700375057748,26.923994521663232
2021-07-09,379.0,395.0,377.5,390.05,49276514,333.285843395441,292.8143243793703,82816304.8,60.08618920582802,27.134450864695648,24.407406092016306,25.59499469646421
2021-07-16,393.0,406.0,386.6,405.5,34123832,337.9448212408965,297.23337048214006,76133652.35,62.264905962384944,26.580515453912753,24.712823923927957,24.562495102428322
2021-07-23,398.0,404.95,381.2,391.75,27521313,341.4161230963225,300.93990497303656,73695209.65,65.33023844692974,26.417217828456927,24.999441071299824,24.518745901813507
2021-07-30,393.0,474.0,390.2,444.8,122500919,348.08605063849524,306.58147732703515,77302229.1,86.61632053702539,30.525417893586116,25.443598589139317,34.39895809435053
2021-08-06,448.0,455.85,432.9,442.15,55035056,354.1546925327859,311.89788998087687,76110463.55,64.85831469052945,29.98316083195581,25.821471445878256,32.49079790078166
2021-08-13,441.95,449.6,423.25,442.05,65129094,359.82535753067066,317.00189429535226,75494251.25,74.48194197750149,29.723134703902645,26.188850459886524,31.467331355504303
2021-08-20,442.6,447.0,401.1,403.65,52181420,362.65275381901455,320.3998592249463,75844379.3,68.75,30.88075257026994,26.59409438829261,33.87277657708333
2021-08-27,411.0,439.0,399.5,437.9,72222023,367.50741486294913,325.0077078827915,75273494.25,93.50419796730003,31.49746554816664,27.01837970060359,34.810647292966564
2021-09-03,440.95,474.0,440.65,461.3,56499402,373.55854938792015,330.3525036520938,74133316.85,76.03510780385423,31.826739792472004,27.399681712436784,35.02553943856756
2021-09-10,466.95,475.0,455.2,463.55,31483912,379.3644494274092,335.57593488142345,72881254.5,59.4050894085282,30.96642102724385,27.71631166037861,32.487949258945214
2021-09-17,476.0,488.0,468.55,473.05,64426695,385.4086784966086,340.9670746899951,69739600.35,53.587662337662344,30.500325531072253,28.010454322666924,31.148290928932443
2021-09-24,462.0,485.65,438.8,478.75,72380108,391.4306992387629,346.37032666293646,66403321.4,40.70536370315945,31.669643001590348,28.28352775477168,33.7652426364287
2021-10-01,474.9,504.0,472.3,484.35,44887606,397.4254928362621,351.7812942447821,62315699.0,43.362438952197714,31.671813916242808,28.545426004926558,33.421035508912226
2021-10-08,486.0,509.45,472.65,473.65,46558493,402.3432029758581,356.56045917635925,58615027.05,43.44336765596608,32.038514084642436,28.834616215717094,33.98419628666554
2021-10-15,478.5,523.35,476.25,516.1,32029213,409.68235117096407,362.8169117576785,55745124.85,54.01372724559832,33.3013316108882,29.174223222175257,36.6034970188806
2021-10-22,535.45,551.85,464.5,470.45,77506603,413.60284464380516,367.037817178946,56761858.4,43.80253706250956,37.165595857472034,29.608683942848153,45.06124782067619
2021-10-29,473.55,488.0,453.45,459.8,47255258,416.5833062796887,370.6755498385952,56587349.6,31.27765881513205,36.97860379538244,30.02018525027351,43.30937313126061
2021-11-05,463.8,482.0,463.35,472.6,21964327,420.1972865197088,374.6725870998268,53957885.05,30.895997784240414,35.9221299695808,30.369202960180544,39.79114418796094
2021-11-12,480.0,481.45,446.6,468.55,61119770,423.31681642166313,378.3540542723826,54056975.05,26.635135135135137,35.845491376839895,30.669035020027664,38.96762013945125
2021-11-19,473.6,473.6,436.3,440.3,34982810,424.41250568478165,380.78330704601467,53454218.4,25.97997138769672,35.94945776107639,30.973891605051623,38.68968344471008
2021-11-26,442.6,458.8,414.7,417.0,50249044,423.9342795115699,382.20356951479846,53502844.9,14.43468715697036,36.53201871497127,31.286199089689017,39.591402883657295
2021-12-03,414.0,433.9,407.1,424.65,55817268,423.9804550269525,383.8681354161789,54587516.7,5.87135377711292,35.83645392105779,31.52710604167203,37.45950237730574
2021-12-10,424.95,460.95,418.2,455.1,51060014,425.9881676058588,386.66154187044646,55764451.75,18.887147335423204,36.33055607756648,31.71090919017643,38.34125198996048
2021-12-17,460.0,469.5,444.75,450.15,44297304,427.546995502255,389.1512853265074,51854271.0,15.482298614674184,35.50294199128767,31.85580033036764,36.07604330597287
2021-12-24,444.8,468.45,426.7,458.9,28856121,429.56976998598054,391.88652903919336,50545324.25,18.34945196647324,35.949376560621815,32.042134765103995,37.02170276158533
2021-12-31,456.9,477.35,448.4,475.55,34188094,432.53623643849795,395.1674494690289,48998274.25,20.377167447158584,35.449196228208756,32.238955361347514,35.67641896015413
2022-01-07,475.55,495.25,472.0,493.5,36534984,436.4693824747239,399.02362792122386,48215952.45,25.524608927890124,34.57746116007891,32.428814227681656,33.60534912341183
2022-01-14,497.0,509.5,485.7,506.35,34217237,440.9778094118385,403.2325052576465,46315713.15,36.353844082402055,33.80734398101649,32.57193110776158,31.971124262901405
2022-01-21,509.0,515.8,490.3,506.7,37132730,445.217950740107,407.2900540710721,45347379.55,34.79648842777334,33.21374860505402,32.71810848131214,30.89260354878341
2022-01-28,498.95,506.6,474.65,490.35,29881768,448.1296958536485,410.54730685259875,45267272.35,30.394894295971287,33.13059591200739,32.89692921904402,31.085502957861205
