datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,482.5,488.25,479.55,483.2,2355573,,,,,,,,,
2020-01-10,479.1,494.5,471.0,488.5,6741325,,,,,,,,,
2020-01-17,490.9,498.7,480.6,481.5,6166964,,,,,,,,,
2020-01-24,481.95,521.8,478.2,519.95,19860826,,,,,,,,,
2020-01-31,521.0,533.9,508.85,510.95,10010568,,,,,,,,,
2020-02-07,510.95,514.9,437.0,495.5,37784610,,,,,,,,,
2020-02-14,495.2,495.5,471.6,481.3,5402727,,,,,,,,,37.4922142373755
2020-02-21,479.25,504.0,466.0,495.0,4224599,,,,,,,,,37.60960750405079
2020-02-28,489.0,501.0,453.7,471.4,7486880,,,,,,,,,39.71411383011982
2020-03-06,476.0,484.55,405.15,413.75,13796807,,484.105,,,,,,,47.9184915609698
2020-03-13,401.0,408.7,320.3,382.9,12990095,,465.7040909090909,,,,,,,56.96874232589701
2020-03-20,372.0,391.5,260.0,304.2,15859882,,436.3397107438016,,,,,,,71.32245601874537
2020-03-27,280.0,368.0,226.1,318.4,21421383,,414.8961269722013,,,,,,,84.57132932535573
2020-04-03,305.0,367.95,300.4,338.9,11280452,,401.07864934089196,,,,,,,81.4419579135215
2020-04-10,346.85,368.55,334.05,342.55,10987206,,390.43707673345705,,,,,66.70095444325685,,72.95747068854864
2020-04-17,339.7,372.65,317.0,369.95,15222713,,386.71215369101026,,,,,65.52452514582977,,69.87267192197167
2020-04-24,380.0,389.9,329.4,336.55,21884570,,377.59176211082655,,,,,65.00774046667091,,68.22123731687084
2020-05-01,346.2,416.1,346.2,411.95,27880872,,383.8387144543126,,,,,66.45787841937553,,70.19848541700996
2020-05-08,391.25,413.0,370.95,400.1,15730223,,386.7953118262557,,,,,64.09091409053445,,65.32397969212936
2020-05-15,401.0,411.0,376.6,384.85,11043900,,386.44161876693653,,,13906608.75,,61.28334957720657,,60.003445768197615
2020-05-22,383.1,384.0,336.7,345.05,15737892,,378.9158699002208,,,14575724.7,,60.06954052002368,,57.97496035176829
2020-05-29,350.0,397.0,337.5,393.1,16766155,,381.4948026456352,,,15076966.2,,60.017984831082174,,58.23478127890106
2020-06-05,396.0,401.35,379.05,387.55,22072803,,382.5957476191561,,,15872258.15,,56.667662124657156,,52.135163032786096
2020-06-12,390.6,409.7,380.0,400.95,15892311,,385.93288441567313,,,15673832.4,,54.31320388544949,,48.33866123374704
2020-06-19,399.8,406.4,386.25,391.6,11074435,,386.9632690673689,,,15727025.75,,51.3771456475461,,43.580700086677055
2020-06-26,419.0,441.45,399.35,423.35,17203858,,393.5790383278473,,,14697988.15,,51.24777710678333,,44.636652528417166
2020-07-03,423.35,443.55,408.5,433.5,11324698,,400.8373949955114,,,14994086.7,,49.89360948884654,,43.024796746187526
2020-07-10,437.5,442.6,415.8,417.45,11633056,,403.85786863269107,,,15364509.55,,47.986156410613994,,40.30083465365373
2020-07-17,420.0,443.8,418.75,440.35,11484730,,410.4928016085654,,,15564402.05,,46.21882157086731,,37.961504425663456
2020-07-24,444.4,452.65,423.6,440.0,18502475,416.81000000000006,415.8577467706444,,,15799685.45,,44.83063486491942,,36.46870720357923
2020-07-31,440.1,463.9,434.45,452.25,12234599,419.0964516129033,422.4745200850727,,,15761910.65,-6.405215231788075,43.59864554254155,,35.293973846668216
2020-08-07,450.0,476.6,436.85,470.4,11953582,422.40635796045797,431.1882437059686,,,15566595.65,-3.7052200614124953,43.29301914387194,,36.0392612784262
2020-08-14,473.0,487.0,455.5,458.95,9765112,424.76401228558973,436.2358357594288,,,14983782.1,-4.683281412253382,42.36393550679148,,35.28049796983975
2020-08-21,460.0,462.7,438.05,447.5,8451427,426.23085020264847,438.28386562135086,,,14842330.85,-13.934032118472938,40.978575077082304,,33.504418373911975
2020-08-28,448.8,460.5,440.15,451.3,6698124,427.8482147057034,440.65043550837794,,,14627876.75,-11.674332126431153,39.3761309887883,,31.307552164056837
2020-09-04,450.0,454.9,416.2,420.9,12989420,427.3999427892064,437.05944723412733,,,14516212.1,-15.055499495459134,39.32393493814137,,32.541716240420726
2020-09-11,421.0,452.7,420.05,439.15,14616595,428.1580109963544,437.4395477370133,,,14152813.35,-8.757531685019748,38.811675129743804,,32.55978903134635
2020-09-18,443.85,445.0,417.65,421.75,6273629,427.7445909320735,434.58690269391997,,,13072451.2,-14.7979797979798,37.9365922565753,,31.690468805836613
2020-09-25,421.55,423.3,397.55,414.85,9750701,426.9126818396817,430.99837493138904,,,12773475.1,-11.996181586762821,37.010718302374926,,30.699419697028222
2020-10-02,417.3,432.45,411.6,423.4,5240120,426.6860572048635,429.61685221659104,,,12483286.1,2.3323262839879177,35.78846753789493,,29.05650838699171
2020-10-09,425.0,442.55,416.4,429.55,9493874,426.87082770777556,429.60469726811993,,,12171085.2,12.18333768607993,35.0625514974206,,28.57176051078169
2020-10-16,430.4,432.45,404.45,414.75,9279391,426.08883882340297,426.90384321937086,,,11796747.0,36.34122287968442,34.532698153773666,,28.47641303205864
2020-10-23,416.0,426.1,405.0,408.7,9211890,424.9669782541512,423.59405354312156,,,11153701.35,28.3605527638191,33.528546994625145,,27.24642971186089
2020-10-30,410.8,422.15,398.2,403.35,10297118,423.57233449581884,419.9133165352813,,,10873941.7,19.017409265270004,32.814883390797306,48.20360910180286,26.696808353523632
2020-11-06,406.9,421.75,399.35,417.7,11858288,423.193474205766,419.5108953470483,,,10913134.35,21.938403152824403,32.0412883621807,47.04828689910032,25.98043857676011
2020-11-13,420.25,440.45,413.65,432.65,12687724,423.8035726441037,421.89982346576676,,,10687327.65,16.948236248141633,31.653082891759308,45.91923882396464,26.11706950610288
2020-11-20,436.3,460.45,431.75,453.6,7870026,425.72592279609705,427.66349192653644,,,10514594.05,34.779378992720254,31.434933013997973,44.80014524220888,26.547656033976168
2020-11-27,455.8,459.7,440.0,441.7,10228188,426.7565084221553,430.2155843035298,,,10444350.65,7.22175021240441,30.570164006694625,43.603888095119515,25.406163280565135
2020-12-04,449.0,480.85,442.75,476.2,11244126,429.94641110459696,438.57638715743343,,,10432320.45,19.02024493876531,31.20100029230628,42.50755763517858,27.697165248529345
2020-12-11,479.05,503.1,472.55,498.65,13499818,434.378900710752,449.49886221971826,425.63200000000006,,10182187.6,29.569962322982967,31.153235361300343,41.50322049464837,28.172700412022294
2020-12-18,500.0,500.4,475.65,482.55,10479705,437.48671356812287,455.5081599979513,427.86407843137266,,10094442.9,39.849297203303855,30.684330851131243,40.523713505685286,27.602187652660547
2020-12-25,482.0,508.0,458.4,496.15,9605842,441.2714417250182,462.8975854528692,430.5419577085737,,9977055.9,26.214703637751203,32.06702239302208,39.59201475774994,31.268825467077964
2021-01-01,499.8,506.0,491.25,498.7,4189881,444.9765100008235,469.4071153705293,433.2148221121591,,9698294.35,28.680170300606367,30.80329751588183,38.72986927079077,28.51547778429269
2021-01-08,500.2,534.5,494.5,525.9,12031547,450.19738032335107,479.678548939524,436.8495349705058,,9877300.35,31.163486719042275,31.473398085458996,37.96854241079109,30.429686546218186
2021-01-15,529.45,537.9,497.8,499.7,10397983,453.3910977218446,483.31881276870143,439.31425908930953,,10062293.3,27.60469867211439,32.10105892156214,37.32600618659163,32.04149086838899
2021-01-22,499.7,526.0,497.95,501.9,9906408,456.52070432043524,486.69721044711935,441.76860187012096,,9908142.7,18.55438762253454,31.80670045967731,36.67797029835476,31.376213011491465
2021-01-29,503.85,512.25,477.7,481.0,11132305,458.1000137191169,485.6613540021885,443.3070880712927,,9733928.2,10.957324106113031,32.00578879248793,36.08170960847613,31.905196976293823
2021-02-05,482.35,510.45,470.05,472.35,26113074,459.0193676727223,483.24110781997234,444.4460257939871,,10725900.45,13.151275601868505,32.61428225630614,35.56931380333254,33.32104089969871
2021-02-12,474.0,497.95,471.6,487.25,19270668,460.8406987906112,483.9699973072501,446.1246130177523,,11201898.8,10.6506188259339,32.16066792678221,35.10070868186303,32.159171057355344
2021-02-19,492.2,503.5,479.3,485.45,11095973,462.42839564282986,484.23908870593186,447.66678505627186,,11494691.45,10.329545454545453,31.58478034607202,34.65918019790146,30.832614296894
2021-02-26,482.0,494.0,457.85,461.55,11865205,462.3717249561957,480.1137998503079,448.21122485798674,,11613258.0,2.056384742951911,31.91473444960306,34.26971649480351,31.718860975641892
