datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-31,16.2,20.55,16.2,20.55,13668,,,,,,,
2020-02-07,21.55,28.65,21.55,28.65,2970,,,,,,,
2020-02-14,31.5,40.05,31.5,40.05,5017,,,,,,,
2020-02-21,42.05,48.65,42.05,48.65,3205,,,,,,,
2020-02-28,51.05,62.0,51.05,62.0,2150,,,,,,,
2020-03-06,65.1,79.05,65.1,79.05,4417,,,,,,,
2020-03-13,83.0,96.05,83.0,96.05,9732,,,,,,,13.584109438948147
2020-03-20,100.85,122.45,100.85,122.45,10982,,,,,,,16.546971671514438
2020-03-27,128.55,156.1,128.55,156.1,13480,,,,,,,20.26131361661951
2020-04-03,163.9,189.65,163.9,189.65,2085,,,,,,,23.00852208688927
2020-04-10,199.1,219.5,199.1,219.5,1060,,,,,,,24.36839556437957
2020-04-17,230.45,266.7,230.45,266.7,2553,,,,,,,28.765454240757343
2020-04-24,280.0,340.3,280.0,340.3,4051,,,,,,,37.18183122153468
2020-05-01,357.3,413.55,357.3,413.55,15008,,,,,,,43.81296408401941
2020-05-08,434.2,527.65,434.2,527.65,20727,,,,,44.48376099470248,,56.51693905261715
2020-05-15,554.0,673.3,554.0,673.3,54192,,,,,55.253412438606766,,72.40357907181065
2020-05-22,706.95,742.25,575.9,575.9,164491,,,,,66.67996772338029,,88.95663585623538
2020-05-29,547.15,573.0,493.85,573.0,212544,,,,,68.21265025373525,,87.75119683283427
2020-06-05,601.0,731.2,573.0,731.2,343529,,,,,76.93921154008096,,99.95089742993353
2020-06-12,767.7,933.1,759.85,933.1,328226,,,60704.35,,88.75546866735438,,117.4914489416942
2020-06-19,979.75,1190.8,979.75,1190.8,610577,,,90549.8,,104.36964242307208,,141.48540029072086
2020-06-26,1250.3,1519.65,1250.3,1519.65,305031,,,105652.85,,124.68995165801937,,173.40669759257847
2020-07-03,1519.0,1519.0,1176.0,1176.0,155326,,,113168.3,,144.13920975188054,,202.30402538159944
2020-07-10,1117.2,1117.2,910.05,1005.75,732472,,,149631.65,,154.77411081962472,,213.07426390347862
2020-07-17,1056.0,1075.0,860.15,863.55,1066021,,,202825.2,,159.9371602197583,,213.37399021132416
2020-07-24,825.0,898.0,668.7,739.0,714703,,,238339.5,,165.8130695542411,,216.05644425819324
2020-07-31,739.0,775.0,643.95,643.95,277569,,,251731.35,,162.90680514647102,,201.7638506445001
2020-08-07,615.0,743.55,581.25,743.25,170002,,,259682.35,,162.8566851188901,,195.13831105453306
2020-08-14,743.25,766.0,690.0,698.25,141616,,,266089.15,,155.7618553920992,,175.1607355702888
2020-08-21,698.25,725.9,660.4,677.1,135584,511.8233333333333,,272764.1,,148.4637244637589,,156.79108285939404
2020-08-28,677.0,684.0,620.0,658.15,160604,521.2637634408602,,280741.3,3102.676399026764,141.69817755483666,,141.2604762822688
2020-09-04,676.0,676.0,581.0,603.3,106507,526.5564238640305,,285939.0,2005.759162303665,137.98980907227337,,133.5232345395257
2020-09-11,603.3,630.0,525.0,537.85,89801,527.2850416792544,,290226.5,1242.9463171036207,135.39078914145398,,128.75541385609029
2020-09-18,537.85,548.0,515.0,521.65,69700,526.9214906031735,,292961.1,972.2507708119218,127.38307410890901,,112.75717584015425
2020-09-25,520.0,521.6,403.75,446.25,104548,521.7168783061946,,297152.15,619.758064516129,126.64642138384717,,113.61605810304458
2020-10-02,462.8,542.3,458.0,542.3,80686,523.0448216412789,,298476.85,586.0215053763441,124.28443474716286,,110.68341679732038
2020-10-09,564.4,659.05,555.0,566.55,132592,525.8516073418415,,296881.9,489.8490369599167,123.70612702679416,,111.69594250090631
2020-10-16,538.25,594.0,506.0,529.35,90434,526.0773100939808,,290776.4,332.29889750918744,120.98001414411074,,107.74197009346118
2020-10-23,539.0,539.35,506.0,539.35,47967,526.9336126685628,,275998.3,245.5156950672646,114.32234102318832,,95.33114898264449
2020-10-30,547.0,557.0,501.0,511.65,38780,525.9475731415588,,261526.0,169.78644872132875,109.91136593111095,,88.77060110388835
2020-11-06,502.0,540.0,501.5,521.1,36156,525.6348264872647,,232804.95,137.40318906605924,104.53305700411968,,80.38646320496656
2020-11-13,535.0,559.0,512.6,532.6,80233,526.0841925203445,,221565.05,99.70003749531311,100.1717444329759,,74.71883923269044
