datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,1450.9,1459.2,1422.1,1444.3,132866,,,,,,,
2020-01-10,1444.0,1464.0,1374.0,1430.9,785677,,,,,,,
2020-01-17,1439.75,1484.2,1425.05,1437.95,807721,,,,,,,
2020-01-24,1446.55,1503.6,1417.9,1498.9,843198,,,,,,,
2020-01-31,1498.0,1595.0,1485.0,1556.85,915806,,,,,,,
2020-02-07,1556.8,1615.0,1471.6,1598.5,821126,,,,,,,
2020-02-14,1608.45,1629.0,1530.0,1549.65,1006269,,,,,,,102.53515838999711
2020-02-21,1559.05,1584.75,1501.0,1555.6,1045712,,,,,,,98.19228139199548
2020-02-28,1546.0,1558.0,1438.0,1531.25,1027935,,,,,,,102.92836218406491
2020-03-06,1545.0,1589.85,1435.6,1574.3,584050,,,,,,,113.53823241867171
2020-03-13,1549.0,1565.0,1199.95,1350.0,986312,,,,,,,165.37951727782996
2020-03-20,1300.0,1360.0,1132.35,1200.95,1041920,,,,,,,177.37197129514703
2020-03-27,1036.05,1199.0,970.1,1081.9,1206008,,,,,,,187.41090984458216
2020-04-03,1050.0,1275.0,1010.9,1177.8,1075983,,,,,,,201.51019913889394
2020-04-10,1202.0,1475.0,1202.0,1406.7,546947,,,,,189.4686331636543,,218.80557685752106
2020-04-17,1397.0,1498.55,1315.15,1418.05,636807,,,,,188.8225968519747,,212.4950603305573
2020-04-24,1370.0,1550.0,1370.0,1481.05,996037,,,,,187.91517122444452,,206.7695353605728
2020-05-01,1487.0,1604.7,1481.05,1589.55,898929,,,,,181.50671979940697,,192.26239561609867
2020-05-08,1550.0,1574.9,1491.2,1532.1,822285,,,,,173.44256174000012,,175.9994776194062
2020-05-15,1540.0,1558.0,1476.0,1486.0,600664,,,839112.6,,164.79577873540194,,159.8266753318273
2020-05-22,1492.0,1530.0,1425.55,1512.3,796917,,,872315.15,,159.21850750225732,,150.3500403922781
2020-05-29,1514.0,1650.0,1512.5,1539.2,1063859,,,886224.25,,157.27061891440815,,148.19485365546134
2020-06-05,1572.0,1639.0,1522.0,1617.9,1159553,,,903815.85,,153.69355694900995,,142.8997971177593
2020-06-12,1644.0,1647.9,1550.0,1599.45,1194451,,,921378.5,,148.82240426079863,,135.28488429255262
2020-06-19,1600.0,1689.0,1501.35,1553.2,1888584,,,970017.4,,152.15933023268087,,144.1235866321862
2020-06-26,1565.0,1573.0,1507.1,1550.85,1121882,,,985055.2,,144.85207457091337,,130.9482100434237
2020-07-03,1555.0,1608.9,1500.0,1576.3,1135277,,,991505.6,,141.84640688820454,,127.24112514168547
2020-07-10,1583.2,1789.8,1581.05,1758.15,1470223,,,1012731.15,,147.76474835897062,,141.7230264520287
2020-07-17,1780.6,1784.95,1661.95,1678.85,1000074,,,1011338.1,,145.74185659660117,,138.58347653791506
2020-07-24,1680.3,1838.0,1677.0,1798.2,1203652,1502.8899999999996,,1042318.2,,146.9755552370475,,142.33854665341858
2020-07-31,1798.2,1827.0,1752.5,1760.55,633386,1519.5132258064514,,1024671.9,21.89642041127189,141.1702610492827,,130.98428990404238
2020-08-07,1769.95,2160.0,1769.95,1946.4,2972635,1547.054308012487,,1121207.65,36.026277168215806,161.68062127661258,,175.88620760102404
2020-08-14,1974.5,1988.7,1868.0,1939.6,1519936,1572.3798365278103,,1136904.05,34.88647032233387,158.4520651112241,,166.66151950767647
2020-08-21,1945.5,2024.9,1889.0,1988.7,1041811,1599.239201913113,,1135195.45,32.67729668423509,156.68832725628295,,161.52207003952125
2020-08-28,2008.0,2097.5,1959.0,1967.05,1173359,1622.9689308219447,,1166516.05,26.34807463789062,155.27544355593628,,157.6772472345049
2020-09-04,1975.0,1990.0,1806.1,1883.45,1369701,1639.7741610914968,,1203160.75,17.82608695652175,157.48520589884833,,162.05511775381942
2020-09-11,1899.0,1922.4,1825.0,1868.1,1192825,1654.5048603759165,,1213000.15,20.549801568096004,152.87334852436754,,151.26404040319446
2020-09-18,1885.0,2070.0,1879.0,2036.5,2638233,1679.1497080935992,,1299965.35,30.914116739521734,156.61646482713144,,159.7133007380648
2020-09-25,2018.95,2052.0,1860.95,1914.35,1553044,1694.3239204746574,,1336503.3,25.018775510204083,159.2325459018388,,164.94120595760305
2020-10-02,1911.0,2010.0,1897.95,1945.3,1279675,1710.5159256053248,,1370453.85,23.566029346376173,155.664084295144,,156.1188018828295
2020-10-09,1966.3,2080.0,1966.3,2020.9,995601,1730.5407045985298,,1380388.05,49.6962962962963,154.08518547083725,,152.54657110237366
2020-10-16,2030.0,2109.9,2008.55,2081.45,1208812,1753.18001397927,,1387635.7,73.31695740871808,150.12883706618925,,144.00896858903687
2020-10-23,2101.15,2225.0,2081.45,2157.85,1856692,1779.2877550128655,,1422492.65,99.45004159349291,149.63704109264486,,143.93243766451346
2020-10-30,2159.2,2239.0,2060.0,2197.2,1971049,1806.2498353346164,,1461322.55,86.55119714722363,151.82477114028472,158.17035744974663,149.77933352734868
2020-11-06,2199.0,2343.95,2191.55,2315.85,1843148,1839.1272653130284,,1459050.75,64.6299850714438,151.8674978967442,156.916986274183,150.21625463285832
2020-11-13,2335.0,2360.05,2218.6,2339.55,2422968,1871.4126030347686,,1524105.05,64.9836042452664,151.09590713657914,155.65942995033646,148.75481259400806
2020-11-20,2337.25,2474.85,2337.25,2432.05,2565387,1907.582757677687,,1595610.55,64.21120151244051,150.09893868021146,154.39888886552868,146.89525344780574
2020-11-27,2432.0,2517.0,2142.0,2208.4,11855164,1926.9903216984815,,2114857.6,38.932402252209755,166.67231556331672,153.90440872432566,184.91993136913487
2020-12-04,2282.9,2378.7,2252.6,2369.75,2236460,1955.5554622340633,,2176676.9,54.6733241955486,166.9390426869114,153.6876247558894,182.4828905178836
2020-12-11,2345.0,2650.0,2281.0,2305.0,1742806,1978.1002711221884,1735.2939999999999,2203634.6,55.114401076716014,181.7645777889948,154.25325139100914,213.57317505192043
2020-12-18,2316.4,2378.2,2227.0,2292.15,2660688,1998.361543953015,1757.1314901960784,2304999.7,51.56714937512399,179.52635483325395,154.9301796353757,203.17650344022084
2020-12-25,2287.8,2313.65,2168.0,2227.0,926797,2013.1124120850786,1775.5577062668203,2202707.8,44.685550935550935,177.05007186756072,155.58949473381412,193.58787482958365
2021-01-01,2250.0,2279.9,2190.15,2264.5,907987,2029.3309661441058,1794.7319138642,2172110.35,39.965387230360335,170.67927265674356,156.15568525740525,176.28024163149794
2021-01-08,2275.0,2359.0,2180.0,2339.65,2851440,2049.351548973518,1816.101250575408,2262591.8,46.27840820281972,171.28554693185916,156.90445667977392,176.73356351999465
2021-01-15,2363.9,2400.0,2218.2,2238.65,1627472,2061.5643522655496,1832.6717897685292,2285297.45,44.13147051249033,172.05056547210182,157.56749785442128,177.5780143493815
2021-01-22,2238.65,2249.45,2150.0,2154.8,1391904,2067.5795553451917,1845.3042686011358,2286407.6,38.94316020246964,166.77525568319942,158.29827055816415,164.55610357372333
2021-01-29,2154.0,2163.5,1987.5,2018.7,1142622,2064.426035645502,1852.104101205013,2283897.45,28.065723529784936,167.4447192031838,159.15154763533013,166.46348983697226
2021-02-05,2046.05,2339.9,1981.0,2246.5,4636970,2076.1727430232118,1867.5706070401104,2383834.3,27.776355828569788,181.32324621404663,160.27016423049932,198.53722513080083
2021-02-12,2254.0,2290.0,2200.0,2225.0,1217084,2085.7745015378437,1881.587445979714,2367036.3,32.531196950293364,174.71027262722737,161.23577809818687,180.4472253064476
2021-02-19,2235.0,2294.35,2200.0,2260.6,1607486,2097.0535659547572,1896.4506833922744,2383426.85,25.71460349238126,168.8968806588462,161.96648894558018,166.09738215517075
2021-02-26,2269.35,2280.0,2137.1,2177.1,1169499,2102.2178520221923,1907.4565389455188,2392121.75,23.660219817670615,167.01793986242413,162.82807823935156,162.23108318072227
2021-03-05,2150.85,2357.95,2150.85,2263.3,2375567,2112.610248665922,1921.411184477067,2450459.5,16.28133990957665,169.9124440082977,163.10247233040772,169.70934658129232
2021-03-12,2264.3,2314.5,2233.35,2248.45,595094,2121.3741035907015,1934.2362360662019,2387379.6,15.923386265209327,163.50754595743075,163.2709883586146,154.94927357664
2021-03-19,2250.0,2305.5,2123.0,2278.9,1160110,2131.537064649366,1947.7524621028215,2346832.65,14.592447327399816,164.87700009313804,163.54394411984313,159.54110847321152
2021-03-26,2289.0,2327.95,2245.0,2272.75,1351238,2140.647576607472,1960.4974635889853,2322237.15,15.541038611118175,158.97363399987168,163.66721713464096,146.775814475254
2021-04-02,2275.0,2304.0,2228.0,2249.8,616920,2147.6896684392477,1971.8426610952997,2231934.75,19.451007459714887,152.998602615031,163.51766369184708,134.97976126510724
2021-04-09,2247.0,2669.0,2201.85,2558.65,3872620,2174.203238217361,1994.8547136013665,2297296.4,36.96536587977091,175.60785044706435,164.2754804226036,190.34179676176657
2021-04-16,2500.1,2549.35,2355.5,2495.35,1663078,2194.9223841388216,2014.4819797346463,1787692.1,22.53130370734102,177.588967746239,164.97456385324054,192.4765078744087
2021-04-23,2431.35,2637.0,2404.0,2522.55,1829091,2216.0596496782528,2034.4062158234838,1767323.65,31.77057486875443,181.57270530831974,165.71923583345654,199.2304511048163
2021-04-30,2561.0,2629.35,2487.15,2511.65,1407921,2235.129994860301,2053.12165834021,1750579.4,29.113761373567073,178.7433498101531,166.48854468395686,189.7253432279589
2021-05-07,2519.0,2709.2,2470.0,2558.7,1651368,2256.0054790628624,2072.9482599739276,1700113.4,26.611905586619812,183.08593805776212,167.45523643685436,197.97114299108569
2021-05-14,2581.7,2795.0,2561.0,2697.45,2009093,2284.485770736226,2097.4385242886756,1754228.2,29.594753657306217,186.90675977171105,168.6811671937051,204.3593010842412
2021-05-21,2719.0,2770.0,2543.75,2565.45,4445887,2302.6124952048567,2115.7919154930414,1931123.2,18.889172092592155,189.73059130025618,170.01761886729213,208.0077581655892
2021-05-28,2567.8,2638.9,2521.0,2606.3,2076537,2322.205237449705,2135.027526650177,1892378.05,18.61915164755146,184.57678609587643,171.1093526991452,192.98977356092482
2021-06-04,2618.0,2717.0,2580.0,2710.1,1329268,2347.230706001337,2157.5793883501706,1877467.85,17.023986873070363,181.16427299499583,172.08591186908689,183.65813173540664
2021-06-11,2730.0,2889.2,2680.05,2835.35,2128732,2378.7222733560893,2184.158628022713,1914309.25,21.192109593725284,183.17099161119165,173.155081351574,187.9067813400989
2021-06-18,2827.0,2928.65,2758.95,2853.2,1331647,2409.3337395911803,2210.395544570842,1923760.5,17.316667009313115,182.2053201758012,174.22529406809366,184.87231487063605
2021-06-25,2794.95,2914.95,2763.0,2899.55,1019756,2440.960595101427,2237.4212094896325,1742899.8,31.29641369317153,180.03701647138806,174.6707840983627,179.38525800301542
2021-07-02,2910.0,3036.65,2878.5,3027.15,1507094,2478.779266385206,2268.390965980235,1757400.3,27.741322924359114,178.46881647128694,175.0551098911752,175.84604597662104
2021-07-09,3049.0,3049.0,2939.05,2992.15,813364,2511.899958876483,2296.7736731966966,1717694.2,29.811279826464208,173.5605438499941,174.78164209320852,164.86336554634033
2021-07-16,3014.0,3019.0,2939.7,2973.0,861105,2541.648348626388,2323.292352679179,1702274.5,29.70355343236699,166.80967633637394,174.3577528099792,150.60279802053395
2021-07-23,2965.0,3309.75,2954.0,3026.0,3679091,2572.896842263395,2350.849515319211,1767450.7,35.87786259541985,180.33885727403813,174.4673789901951,184.7940115401045
2021-07-30,3015.0,3169.95,2893.35,2950.2,2478008,2597.2389814722083,2374.353455894928,1861596.4,30.280415102671654,187.2304721078048,175.0190856385638,200.09501453553742
2021-08-06,2960.0,3379.0,2956.0,3144.1,5728716,2632.5203375062597,2404.539594879441,2090026.7,34.38334793665718,204.52229471275314,176.12697723126027,238.21252232424882
