datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,23.05,25.3,22.9,25.05,28849273,,,,,,,
2020-01-10,24.65,26.1,23.65,25.15,44136573,,,,,,,
2020-01-17,25.2,26.0,24.75,25.25,19181920,,,,,,,
2020-01-24,25.3,27.0,24.4,26.35,26692187,,,,,,,
2020-01-31,26.2,29.3,25.9,27.35,75345905,,,,,,,
2020-02-07,27.2,28.2,23.85,25.1,37613789,,,,,,,
2020-02-14,25.1,25.3,22.8,22.95,30404244,,,,,,,2.9013486513486515
2020-02-21,23.05,24.4,21.9,23.6,30447718,,,,,,,2.8085622191059954
2020-02-28,23.55,23.8,20.7,21.0,22372384,,,,,,,2.8718550788950434
2020-03-06,21.75,21.85,18.7,18.95,25917518,,,,,,,2.9293567808072587
2020-03-13,18.8,18.8,12.75,17.0,22852242,,,,,,,3.5794591453256603
2020-03-20,16.7,16.9,13.5,13.85,21751167,,,,,,,3.56415638702162
2020-03-27,12.75,13.85,10.0,12.75,28286524,,,,,,,3.6178151798929075
2020-04-03,12.5,15.2,11.75,15.2,24341517,,,,,,,3.5869623589180857
2020-04-10,16.6,18.35,15.75,18.35,9359597,,,,,3.381813898178266,,3.507983941382447
2020-04-17,19.25,19.25,16.55,18.45,36915331,,,,,3.3092314032156427,,3.36397284290116
2020-04-24,18.9,18.9,17.0,17.3,17178203,,,,,3.164288512607198,,3.1060255431533386
2020-05-01,17.5,17.7,16.55,17.05,10998541,,,,,2.963425901598634,,2.7646336456266045
2020-05-08,16.65,17.45,16.3,16.35,12480232,,,,,2.787568158113927,,2.4850256726720232
2020-05-15,17.0,19.1,17.0,17.6,35071067,,,28009796.6,,2.784015723613927,,2.530615047375898
2020-05-22,17.6,17.9,16.2,17.15,23485178,,,27741591.85,,2.683828936098969,,2.3884715269837713
2020-05-29,17.3,17.4,16.4,17.0,10883086,,,26078917.5,,2.5314061359501507,,2.1519177037066726
2020-06-05,17.25,19.5,17.15,19.05,30805850,,,26660114.0,,2.5286164670199023,,2.2110016622019755
2020-06-12,20.1,20.55,17.3,18.3,33994882,,,27025248.75,,2.5915981001701027,,2.38682204972866
2020-06-19,18.6,19.3,17.7,18.9,20785803,,,24297243.65,,2.5063780552218664,,2.254014439206701
2020-06-26,19.15,21.3,19.0,19.45,46773385,,,24755223.45,,2.497366489235776,,2.27860311920443
2020-07-03,19.4,21.4,18.7,19.9,38766339,,,25173328.2,,2.514307069216398,,2.3494548577972774
2020-07-10,20.0,20.7,19.5,19.65,29798684,,,25140876.5,,2.4057498050896955,,2.1564742301382993
2020-07-17,20.1,20.5,18.3,19.7,28424337,,,25443474.15,,2.388943271068351,,2.163772800558052
2020-07-24,20.4,20.4,18.85,19.25,31360646,19.766666666666666,,25715630.55,,2.32111043285436,,2.0609575756645624
2020-07-31,19.45,20.2,18.95,19.2,23621462,19.73010752688172,,25754091.55,-23.35329341317366,2.2353144544728774,,1.9252261813292872
2020-08-07,19.3,19.45,19.0,19.15,12899901,19.692681234824835,,25311528.25,-23.856858846918495,2.093540102643891,,1.6784889553543054
2020-08-14,19.25,23.15,19.05,22.1,85908333,19.847992122900653,,28192618.7,-12.475247524752465,2.2516140476065254,,2.083258282193106
2020-08-21,22.9,23.5,22.35,22.75,72986320,20.035218437552224,,30624858.85,-13.66223908918407,2.1850115468530245,,1.9691036022152941
2020-08-28,22.9,22.9,21.7,22.0,27609284,20.161978538355307,,31537343.2,-19.561243144424132,2.1084950679271706,,1.8406587202328628
2020-09-04,22.1,22.2,20.5,20.95,19486944,20.212818632654965,,30665923.85,-16.533864541832678,2.076960010951363,,1.8171758437363024
2020-09-11,21.1,22.15,20.3,21.35,21238485,20.28618517248368,,30868937.95,-6.971677559912848,2.059539629601911,,1.8226542655769247
2020-09-18,21.45,21.8,20.8,21.35,11546406,20.354818387162155,,30896331.2,-9.533898305084742,1.9786452600780506,,1.68538383344139
2020-09-25,21.45,21.55,18.8,19.35,17191162,20.28999139444202,,31131877.7,-7.857142857142851,2.03724878500992,,1.8629938735874256
2020-10-02,19.6,19.8,19.3,19.35,6136732,20.229346788348987,,29685160.95,2.110817941952514,1.9209851717521977,,1.6356426062733838
2020-10-09,19.4,19.7,18.55,18.7,9440105,20.130679253616798,,28982907.3,9.999999999999986,1.862918834863853,,1.5546470643228638
2020-10-16,18.9,19.15,18.4,18.55,7062458,20.02869994693184,,28791875.9,33.93501805054153,1.779424397184265,,1.4204631404625123
2020-10-23,18.65,19.5,18.5,18.8,9633109,19.94942898261366,,27733238.85,47.45098039215687,1.721159117719071,,1.350352824340135
2020-10-30,19.0,19.0,18.05,18.2,6575918,19.83656259663859,,26362290.65,19.736842105263165,1.6637027837484895,2.3778069189888593,1.2836010709700427
2020-11-06,18.3,18.65,18.05,18.45,4680515,19.747106945242553,,25557026.25,0.5449591280653809,1.5846932399488372,2.3179028970478783,1.1696301636558917
2020-11-13,18.4,19.25,18.35,18.6,10546476,19.673100045549486,,23745680.8,0.8130081300813163,1.533980200913126,2.2587278569711278,1.124679512253204
2020-11-20,18.8,19.9,18.65,19.25,11318576,19.64580326841726,,22373292.65,11.271676300578036,1.516695636239981,2.2038080944255536,1.153906253066521
2020-11-27,19.6,22.1,19.45,21.85,36101056,19.788009509164535,,22688411.25,28.152492668621697,1.61494931094836,2.1588588747372115,1.4366422304030062
2020-12-04,22.45,24.5,22.0,24.05,42553602,20.062976637605534,,23394874.5,47.09480122324159,1.6910518766163511,2.1223083320206255,1.6389005295037589
2020-12-11,24.55,24.95,21.8,23.4,51104937,20.278268467437435,20.008,24382089.05,32.95454545454544,1.7980972301718545,2.0894443822392232,1.8907836550111543
2020-12-18,23.65,24.5,22.85,23.7,50586584,20.499025340505987,20.15278431372549,25730345.15,38.19241982507289,1.7872521721265366,2.0595584901068085,1.8506486356132816
2020-12-25,23.55,24.05,20.6,22.85,25988380,20.65070112498947,20.258557477893117,26384769.1,34.41176470588236,1.9087951817765807,2.0388047916343566,2.1172316075291087
2021-01-01,23.1,24.4,22.55,23.9,44913267,20.860333310474022,20.40135914542672,24335015.8,25.45931758530182,1.9045045518876345,2.0180010611299473,2.072689607323121
2021-01-08,24.25,33.9,23.6,33.25,328102141,21.65966664528215,20.90522741423352,37090806.85,81.69398907103825,2.5162266654797465,2.0154886799736023,3.4439952084567294
2021-01-15,34.85,35.55,30.3,31.55,166073508,22.297752668167174,21.32266947642044,44014018.05,66.93121693121695,2.715132616381361,2.0224471653455853,3.745011958615147
2021-01-22,32.0,32.2,28.75,28.95,40982760,22.726929915382197,21.62178047734513,45088808.85,48.84318766066838,2.7685296261310746,2.0314859365754283,3.695841127450039
2021-01-29,29.3,32.0,26.55,31.3,58398610,23.28003121116399,22.0013184978414,46946815.1,57.286432160804026,2.963130856644831,2.0464467294897095,3.98821169883825
2021-02-05,31.9,32.0,29.2,30.9,54420931,23.771642100766314,22.350286399886834,49090541.35,57.25190839694656,2.951305557333013,2.0646319212311535,3.7901703423966784
2021-02-12,31.2,32.95,30.15,32.55,58693986,24.337987771684617,22.750275168518723,51165682.55,65.22842639593908,2.9403490955813476,2.0830121153815866,3.6251377344739195
2021-02-19,32.7,32.7,30.25,30.65,29858826,24.745214367059802,23.06006829916505,52351787.25,59.22077922077922,2.9048764496984893,2.1024709826097245,3.4292772742694644
2021-02-26,30.7,33.15,28.8,31.75,45580767,25.197136020797878,23.400849934491912,54158820.35,65.36458333333334,3.009323657429461,2.1282712893749443,3.582733785285726
2021-03-05,32.0,33.45,31.35,31.5,44454539,25.603772406552853,23.718463662551052,56028424.4,64.49086161879897,2.9436573446866428,2.156608530776369,3.3356078329487864
2021-03-12,31.8,32.35,30.55,31.3,16871738,25.9712709609688,24.015778813039248,56390355.85,41.62895927601809,2.861133606413298,2.1769258494032617,3.079670039866333
2021-03-19,31.55,32.4,28.0,29.15,31467983,26.17635025380952,24.217120820371044,57634959.1,28.13186813186812,2.9720938299986632,2.2031619255081165,3.2997272932674675
2021-03-26,29.15,31.4,27.25,29.2,104831588,26.3714244309831,24.41252784702316,62642512.75,32.72727272727272,3.0569695283292497,2.234777740854852,3.441440623917018
2021-04-02,29.95,30.4,29.05,29.65,34758641,26.582945435435807,24.617918911845784,63853121.0,41.52744630071599,2.934048595340467,2.2633473603344885,3.0928647005101095
2021-04-09,29.7,30.6,28.8,29.1,35383167,26.745336052504467,24.793686797655752,65056350.55,36.29976580796252,2.852431941844566,2.289777104075911,2.8773859697405433
2021-04-16,28.4,28.5,26.85,27.7,19666021,26.806927274923538,24.907659864414352,64234598.8,29.74238875878219,2.8090987829976215,2.3174588881732294,2.7728211235548565
2021-04-23,26.7,27.35,26.35,26.5,18590092,26.787125515251056,24.97010457561379,63036423.3,36.95090439276485,2.7041978924674805,2.3396905250884816,2.535683290869266
2021-04-30,26.75,27.95,26.55,27.2,17899587,26.813762578783248,25.057551455001484,61376155.8,40.568475452196374,2.61407018407016,2.362793358832414,2.3547354533561515
2021-05-07,27.05,29.2,26.9,28.15,23106482,26.8999714446682,25.17882394696221,60002150.7,50.534759358288774,2.591510589948015,2.3870797506685526,2.345612851649214
2021-05-14,28.25,30.4,28.15,29.2,26486555,27.048360383721864,25.336517125512714,60027059.45,57.412398921832875,2.566989795443862,2.413331930610539,2.3296773383118206
