datetime,open,high,low,close,volume,ema_30,ema_50,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,334.7,339.85,332.0,333.7,59556764,,,,,,,
2020-01-10,331.7,337.95,311.0,332.25,213865881,,,,,,,
2020-01-17,334.0,335.45,310.1,318.0,167586935,,,,,,,
2020-01-24,321.0,327.3,312.0,324.05,142270074,,,,,,,
2020-01-31,320.9,322.0,305.65,318.45,202170863,,,,,,,
2020-02-07,317.95,325.0,295.35,320.55,298942761,,,,,,,
2020-02-14,319.8,331.9,316.5,319.4,204658006,,,,,,,21.248868873062417
2020-02-21,320.95,329.2,309.4,327.65,155536411,,,,,,,20.913909796790065
2020-02-28,325.75,331.3,301.1,303.0,234955312,,,,,,,22.93061196703468
2020-03-06,311.0,312.0,253.95,270.5,457625676,,,,,,,30.19094436493939
2020-03-13,260.05,262.75,184.65,242.0,447615326,,,,,,,41.25423719458197
2020-03-20,227.9,231.4,198.15,209.85,413333747,,,,,,,41.75414605545795
2020-03-27,190.0,211.9,173.55,195.95,422819674,,,,,,,41.11511702069955
2020-04-03,190.0,198.5,175.0,175.5,237037562,,,,,,,37.876577740540256
2020-04-10,184.4,194.4,177.6,187.75,214987691,,,,,33.62177675247479,,34.4466711373702
2020-04-17,186.8,198.0,180.15,193.25,275061918,,,,,31.942792340824056,,31.488561799781237
2020-04-24,194.0,197.35,179.0,179.75,312613314,,,,,30.544740460328253,,29.173589527408115
2020-05-01,183.5,195.9,180.5,190.5,213133349,,,,,29.109312945572825,,26.90053744128686
2020-05-08,182.45,183.5,166.1,166.65,321209784,,,,,28.652625331680422,,26.467516485016674
2020-05-15,167.95,178.55,160.85,166.4,290704879,,,264284296.35,,27.61694815059946,,24.959047350332998
2020-05-22,166.4,166.4,149.45,150.85,363272084,,,279470062.35,,26.631088587387257,,23.58845553531576
2020-05-29,152.4,162.4,150.2,161.3,271826311,,,282368083.85,,25.324764123821957,,21.648204946272415
2020-06-05,164.0,189.8,163.35,187.8,561158147,,,302046644.45,,25.606806361811515,,22.811237880965574
2020-06-12,197.0,197.5,169.8,179.15,500234048,,,319944843.15,,25.78955624146029,,23.638519329861882
2020-06-19,177.85,184.95,169.25,184.5,336574613,,,326665030.65,,24.922438367537872,,22.298577492130057
2020-06-26,185.0,194.9,180.4,184.6,342988257,,,328867305.45,,24.03952608935095,,20.985045349982244
2020-07-03,183.0,188.0,177.25,184.7,238777515,,,330573280.9,,22.928494262620315,,19.264171772907336
2020-07-10,186.6,202.5,184.05,195.6,442948792,,,344943899.95,,22.558585969540026,,19.127481429052533
2020-07-17,198.8,199.8,181.65,188.2,276309010,,,347011584.85,,22.19847359883428,,18.963573540309632
2020-07-24,190.0,199.1,188.75,191.95,303311965,229.46,,339295899.3,,21.28493443817233,,17.612816181498147
2020-07-31,193.0,195.25,185.75,191.45,370353470,227.0077419354839,,335432806.5,-42.62810908001199,20.340960829783338,,16.254959882544227
2020-08-07,192.0,196.85,189.55,190.65,289776790,224.6620811654527,,329254958.65,-42.61851015801354,19.305359642419614,,14.757208562712531
2020-08-14,191.85,207.3,191.7,196.5,377117630,222.84517270316545,,326969856.45,-38.20754716981132,19.096163747438144,,15.073599403717015
2020-08-21,198.45,201.5,191.5,198.4,265939231,221.2680647868322,,328414939.9,-38.774880419688316,18.38477664133603,,14.225932962839181
2020-08-28,200.0,225.9,198.6,224.85,402997907,221.49915738123013,,337815450.7,-29.392369288742348,19.09285442809494,,16.442781212026976
2020-09-04,231.55,231.55,205.9,206.6,335679019,220.53792142115077,,340846305.75,-35.548276399937606,19.599053830349547,,17.97992004932649
2020-09-11,207.5,209.65,192.5,202.7,258830109,219.38708778107653,,338157145.5,-36.53725735754539,19.411075994557287,,17.84140461917576
2020-09-18,205.9,206.2,189.7,192.6,264289169,217.6588885693942,,340714936.5,-41.217762856706855,19.18881941194675,,17.617574026607535
2020-09-25,193.05,193.5,175.5,182.2,245819030,215.37121833911073,,336945398.8,-39.867986798679866,19.098499090515183,,17.68137419667886
2020-10-02,184.0,191.2,182.4,190.3,158841941,213.75372038174876,,330352251.9,-29.648798521256925,18.334739831641844,,16.233296209029884
2020-10-09,192.0,198.8,187.05,198.3,215632768,212.75670616357144,,322970286.1,-18.05785123966942,17.83881366419396,,15.4855714388299
2020-10-16,199.7,205.95,191.6,195.95,230705428,211.67240254011523,,320914241.95,-6.623778889683107,17.577072622587476,,15.29620216347665
2020-10-23,196.2,207.3,196.05,202.8,220487195,211.09998947301105,,303880694.35,3.4957897422811968,17.111572533142187,,14.638190902704022
2020-10-30,202.7,204.0,185.9,189.25,216079615,209.6903127328168,,289672972.7,7.834757834757844,17.185216762117207,22.811261435071337,15.215386348890553
2020-11-06,192.2,221.85,190.05,219.2,451238907,210.30384094360284,,295406187.4,16.750998668442072,18.33019354510889,22.301541994825804,18.11377295953666
2020-11-13,222.5,239.35,217.05,229.45,432285299,211.5390770117575,,299871039.5,18.732212160413965,18.624224416110557,21.85758973066869,18.811668290819114
2020-11-20,232.0,253.0,227.75,242.75,359464269,213.55268494648286,,305905377.2,35.04867872044506,19.11368312305475,21.476554486092905,19.884968134737846
2020-11-27,243.5,249.9,238.1,244.25,298546188,215.53315688541946,,298685247.0,28.21522309711286,18.574724231128314,21.125401528944757,18.537217533426837
2020-12-04,245.0,264.35,244.1,263.5,252244821,218.62779192506983,,297482037.55,58.115811581158106,18.697899632643548,20.793577338976863,18.822726455114253
2020-12-11,263.8,276.25,263.0,272.45,279098107,222.10019244603308,222.359,296271344.65,63.731971153846146,18.29817853703755,20.482951685191463,17.893816224836055
2020-12-18,274.0,276.15,265.0,271.45,147402530,225.28405099790191,224.284137254902,285123797.65,79.94696718594629,17.774722351783378,20.187739477338003,16.769723333285985
2020-12-25,268.45,269.0,248.25,266.85,163992242,227.96572512706956,225.9533867743176,278834570.25,65.43707377557347,18.17129756451103,19.949290592027637,17.8415342575296
2021-01-01,268.75,280.0,268.0,279.4,166874419,231.28406544145219,228.04933239101106,268322409.7,48.77529286474971,17.80486397657773,19.689225845853176,17.059552209083034
2021-01-08,281.85,291.8,277.0,286.0,162699345,234.81412573555204,230.32190759136358,263160415.4,59.64275746581076,17.58592016865485,19.415771310092996,16.68293622494229
2021-01-15,288.0,310.9,277.9,303.85,227483550,239.26805310745192,233.20536219562382,254384697.55,64.68834688346885,18.707429464035098,19.208604346642904,19.402590974860402
2021-01-22,303.5,308.65,282.4,283.7,198968968,242.134630326326,235.18554407030524,247549195.0,53.683640303358615,19.255488503563548,19.049136427116654,20.54387621181856
2021-01-29,284.5,290.65,269.5,282.1,164264018,244.71304127301465,237.02532665578346,242820890.45,52.734163508392015,19.392978095849084,18.931285888224284,20.644900560898744
2021-02-05,285.1,408.35,282.75,393.1,651427529,254.2863934489492,243.14590208104684,262177808.45,100.9713701431493,27.139006612926067,19.08396657633715,38.246290246352196
2021-02-12,398.0,407.8,385.55,393.15,287405165,263.2453358070815,249.02841572492736,264257115.2,108.90010626992562,26.784979867958125,19.23685011864128,35.58017373749467
2021-02-19,397.5,427.7,395.0,399.55,344445795,272.03918510985045,254.9312229514008,273537307.9,108.15316488668927,27.346713971068123,19.43890943640447,35.40847445799993
