datetime,open,high,low,close,volume,ema_30,ema_10,ema_50,ema_200,volume_20_sma,return_30,atr_14,atr_30_ma,atr_6
2020-01-03,1060.0,1125.05,1060.0,1118.35,36713,,,,,,,,,
2020-01-10,1120.0,1134.95,1094.0,1102.1,63357,,,,,,,,,
2020-01-17,1102.0,1140.0,1082.95,1134.9,80030,,,,,,,,,
2020-01-24,1134.9,1190.65,1118.05,1179.95,92139,,,,,,,,,
2020-01-31,1183.5,1317.05,1180.0,1267.2,519654,,,,,,,,,
2020-02-07,1248.05,1349.0,1245.15,1280.55,181906,,,,,,,,,
2020-02-14,1287.0,1295.0,1163.5,1179.75,97885,,,,,,,,,100.04312622861009
2020-02-21,1171.0,1279.0,1135.0,1226.95,864045,,,,,,,,,110.20536665493952
2020-02-28,1245.0,1259.0,1133.05,1158.0,307016,,,,,,,,,113.62469982335023
2020-03-06,1160.0,1215.0,1112.55,1132.5,615046,,1178.025,,,,,,,111.31452189290981
2020-03-13,1125.0,1138.1,950.0,1071.7,169253,,1158.693181818182,,,,,,,126.57709183180278
2020-03-20,1064.95,1065.0,922.35,966.3,179202,,1123.7126033057853,,,,,,,130.96284639976048
2020-03-27,930.0,959.95,773.05,911.65,135176,,1085.155766341097,,,,,,,142.65544095785583
2020-04-03,911.65,932.45,856.85,888.45,21241,,1049.3910815518066,,,,,,,130.32729807721353
2020-04-10,928.0,931.95,895.45,915.1,57095,,1024.9745212696598,,,,,114.99420126921981,,114.63376644667989
2020-04-17,925.5,925.55,875.0,894.75,83419,,1001.2973355842671,,,,,108.13379416034262,,103.21178993435672
2020-04-24,895.0,930.0,849.0,850.8,84853,,973.9341836598549,,,,,105.34301718091935,,99.29814408777186
2020-05-01,855.0,898.95,850.0,885.5,37162,,957.8552411762448,,,,,99.71956820490905,,90.5107085109521
2020-05-08,870.0,894.95,851.75,859.75,83270,,940.0179245987456,,,,,94.23855918298919,,82.3178584848035
2020-05-15,859.75,925.0,851.05,884.65,50789,,929.9510292171555,,,187962.55,,92.32007871401393,,80.87815132607747
2020-05-22,894.95,920.0,855.0,889.15,77438,,922.5326602685816,,,189998.8,,89.79510526447044,,78.16091626762547
2020-05-29,893.55,901.9,870.0,892.3,63690,,917.0358129470212,,,190015.45,,84.55435077324194,,70.2794463211867
2020-06-05,896.8,947.95,885.05,924.65,121667,,918.4202105930173,,,192097.3,,82.63089003128049,,69.02684914861494
2020-06-12,939.0,1019.4,920.0,960.2,250592,,926.0165359397414,,,200019.95,,84.09494609025681,,74.16662556482618
2020-06-19,965.0,980.95,939.0,958.3,38198,,931.8862566779702,,,175947.15,,80.47291998962534,,68.72878474450253
2020-06-26,958.3,1125.0,909.95,1040.05,263842,,951.5523918274301,,,180043.95,,91.87329983488151,,93.37399978662803
2020-07-03,1038.9,1080.0,969.0,1003.85,207726,,961.0610478588064,,,185536.0,,93.47233146933603,,96.33755461218249
2020-07-10,1004.0,1015.0,975.0,1003.6,59958,,968.7954027935689,,,145331.65,,89.05569996308677,,86.87910865749292
2020-07-17,1005.0,1035.85,972.25,1029.15,108071,,979.7689659220108,,,135384.4,,86.97636828507987,,82.97557715453148
2020-07-24,1034.3,1110.0,1010.0,1017.35,72983,1020.9166666666665,986.6018812089179,,,108281.25,,88.02939526979098,,85.82739766848589
2020-07-31,1028.0,1034.25,983.85,1016.0,95644,1020.5994623655913,991.9469937163874,,,104600.8,-9.151875530916076,85.01527955954448,,79.89785187285865
2020-08-07,996.0,1015.0,940.0,966.55,255351,1017.1124002774887,987.329358495226,,,108408.25,-12.299246892296523,84.2993634289663,,79.24592122619407
2020-08-14,994.95,1045.55,984.05,1030.7,125813,1017.989019614425,995.2149296779121,,,107940.1,-9.181425676271038,83.88186628182112,,79.20481409624641
2020-08-21,1044.0,1124.0,1011.05,1091.2,87892,1022.712308671559,1012.6667606455644,,,111272.65,-7.521505148523245,86.15520876989899,,84.84275658158322
2020-08-28,1091.3,1189.95,1063.95,1149.95,308914,1030.9211919830714,1037.6273496190981,,,123863.6,-9.252683080808078,89.25038378404325,,91.71626134527682
2020-09-04,1158.0,1158.0,1060.0,1075.05,509094,1033.7682118551313,1044.4314678701712,,,145147.35,-16.0477919643903,89.92583782878054,,92.76532718720428
2020-09-11,1080.0,1080.45,966.3,1008.55,163338,1032.1412304451228,1037.907564621049,,,149071.6,-14.511549057003602,91.78517040954979,,96.33447478847138
2020-09-18,1013.6,1122.6,1010.05,1088.6,141471,1035.7837317067278,1047.1243710535855,,,154287.05,-11.275928114430101,93.48505902339274,,99.29053774596308
2020-09-25,1079.0,1089.4,1002.55,1025.4,92720,1035.1138135321003,1043.1744854074789,,,154759.55,-11.450777202072526,92.98096171669678,,97.21508137219675
2020-10-02,1030.0,1107.4,1025.0,1068.1,66689,1037.2419545945454,1047.7063971515736,,,155554.55,-5.686534216335549,92.18071334251,,94.74388352560311
2020-10-09,1115.0,1160.0,1060.0,1090.5,429937,1040.6779575239295,1055.4870522149238,,,173179.5,1.7542222636931948,92.76961874551337,,95.62049936799313
