datetime,open,high,low,close,volume
2020-01-01 09:15:00,423.78,424.8,422.71,424.61,401480
2020-01-01 09:30:00,424.61,425.2,423.67,424.4,336980
2020-01-01 09:45:00,424.4,424.45,423.55,424.18,156820
2020-01-01 10:00:00,424.18,424.34,423.2,423.7,192920
2020-01-01 10:15:00,423.7,424.34,423.7,424.2,105680
2020-01-01 10:30:00,424.2,424.47,423.93,424.38,98500
2020-01-01 10:45:00,424.38,424.43,423.5,423.9,97550
2020-01-01 11:00:00,423.9,424.27,423.37,423.5,102770
2020-01-01 11:15:00,423.47,424.0,423.3,423.84,82310
2020-01-01 11:30:00,423.84,423.97,423.35,423.5,79520
2020-01-01 11:45:00,423.5,423.5,422.4,423.26,228360
2020-01-01 12:00:00,423.25,423.91,423.0,423.8,140790
2020-01-01 12:15:00,423.8,424.0,422.55,422.55,140950
2020-01-01 12:30:00,422.67,423.0,422.1,422.79,191280
2020-01-01 12:45:00,422.79,423.41,422.64,423.38,84550
2020-01-01 13:00:00,423.38,423.6,423.0,423.17,77050
2020-01-01 13:15:00,423.17,423.49,422.41,423.22,152150
2020-01-01 13:30:00,423.22,423.33,422.81,423.0,45440
2020-01-01 13:45:00,423.09,423.8,422.82,423.5,121260
2020-01-01 14:00:00,423.5,423.5,422.76,422.9,72190
2020-01-01 14:15:00,422.9,423.21,422.7,423.15,88870
2020-01-01 14:30:00,423.15,423.7,423.0,423.7,84370
2020-01-01 14:45:00,423.7,423.75,422.71,422.74,140960
2020-01-01 15:00:00,422.92,423.36,422.57,422.81,266220
2020-01-01 15:15:00,422.87,423.8,422.55,423.1,578280
2020-01-02 09:15:00,424.0,425.4,423.5,424.81,412660
2020-01-02 09:30:00,424.81,425.2,424.6,424.97,181110
2020-01-02 09:45:00,424.97,426.0,424.54,425.9,264600
2020-01-02 10:00:00,425.87,426.49,425.66,426.11,299090
2020-01-02 10:15:00,426.11,426.4,425.6,425.94,202160
2020-01-02 10:30:00,425.94,426.37,425.8,426.35,212600
2020-01-02 10:45:00,426.35,427.6,426.2,427.47,502990
2020-01-02 11:00:00,427.47,429.58,427.4,428.4,1369080
2020-01-02 11:15:00,428.4,429.3,428.37,428.84,321890
2020-01-02 11:30:00,428.84,429.1,428.54,428.95,165220
2020-01-02 11:45:00,428.95,429.47,428.51,428.63,183510
2020-01-02 12:00:00,428.63,428.9,428.6,428.69,126650
2020-01-02 12:15:00,428.69,429.3,428.6,428.95,235730
2020-01-02 12:30:00,429.08,429.3,428.87,429.0,158220
2020-01-02 12:45:00,429.06,429.16,427.67,428.34,371230
2020-01-02 13:00:00,428.34,428.5,428.0,428.03,124030
2020-01-02 13:15:00,428.17,428.7,428.03,428.53,92580
2020-01-02 13:30:00,428.53,428.8,428.22,428.5,97250
2020-01-02 13:45:00,428.5,428.56,428.0,428.27,129840
2020-01-02 14:00:00,428.29,428.4,426.8,426.97,410930
2020-01-02 14:15:00,426.97,427.1,425.51,426.21,771760
2020-01-02 14:30:00,426.2,426.31,425.61,425.94,306960
2020-01-02 14:45:00,425.96,426.15,424.77,425.1,401650
2020-01-02 15:00:00,425.1,425.63,424.01,424.7,552810
2020-01-02 15:15:00,424.6,425.48,423.72,424.38,740630
2020-01-03 09:15:00,422.0,423.48,420.25,423.0,1240380
2020-01-03 09:30:00,423.03,423.36,422.0,422.1,507580
2020-01-03 09:45:00,422.04,422.2,420.65,421.5,609680
2020-01-03 10:00:00,421.46,422.5,421.2,421.97,298530
2020-01-03 10:15:00,421.97,422.94,421.74,422.09,323660
2020-01-03 10:30:00,422.09,422.6,421.62,421.73,270030
2020-01-03 10:45:00,421.91,422.0,421.06,421.8,210140
