datetime,open,high,low,close,volume
2020-01-01 09:15:00,118.4,119.5,118.4,118.8,458377
2020-01-01 09:30:00,118.85,119.0,118.3,118.45,206588
2020-01-01 09:45:00,118.45,118.8,118.15,118.8,172632
2020-01-01 10:00:00,118.75,118.85,118.55,118.7,70003
2020-01-01 10:15:00,118.7,119.1,118.65,118.95,69119
2020-01-01 10:30:00,119.0,119.0,118.35,118.45,75043
2020-01-01 10:45:00,118.45,118.45,117.85,117.95,243251
2020-01-01 11:00:00,117.95,118.4,117.95,118.3,67666
2020-01-01 11:15:00,118.3,118.3,117.9,117.95,53637
2020-01-01 11:30:00,117.9,118.05,117.7,117.7,79373
2020-01-01 11:45:00,117.7,117.85,117.4,117.75,146174
2020-01-01 12:00:00,117.75,118.2,117.75,118.15,70714
2020-01-01 12:15:00,118.15,118.2,117.95,117.95,48592
2020-01-01 12:30:00,117.95,117.95,117.7,117.8,48863
2020-01-01 12:45:00,117.8,118.2,117.8,118.1,59165
2020-01-01 13:00:00,118.1,118.2,117.9,117.95,15581
2020-01-01 13:15:00,117.9,118.25,117.9,118.25,34018
2020-01-01 13:30:00,118.25,118.45,118.2,118.25,71889
2020-01-01 13:45:00,118.25,118.45,118.15,118.3,43272
2020-01-01 14:00:00,118.3,119.25,118.2,118.95,257087
2020-01-01 14:15:00,118.9,118.95,118.25,118.5,165815
2020-01-01 14:30:00,118.5,118.6,118.35,118.35,48677
2020-01-01 14:45:00,118.35,118.6,118.0,118.0,132848
2020-01-01 15:00:00,118.05,118.4,118.0,118.2,144576
2020-01-01 15:15:00,118.2,118.3,117.85,117.9,317826
2020-01-02 09:15:00,118.6,118.7,118.15,118.55,277102
2020-01-02 09:30:00,118.55,118.7,118.25,118.3,168488
2020-01-02 09:45:00,118.3,118.5,118.05,118.3,133245
2020-01-02 10:00:00,118.3,118.95,118.25,118.85,160890
2020-01-02 10:15:00,118.85,119.9,118.75,119.85,439817
2020-01-02 10:30:00,119.9,120.95,119.85,120.4,1448131
2020-01-02 10:45:00,120.4,121.2,120.1,120.2,1055442
2020-01-02 11:00:00,120.2,120.8,120.1,120.5,214713
2020-01-02 11:15:00,120.45,121.4,120.3,121.15,471898
2020-01-02 11:30:00,121.15,121.15,120.75,120.9,324266
2020-01-02 11:45:00,121.0,121.4,120.9,121.4,269154
2020-01-02 12:00:00,121.35,121.9,121.35,121.7,638209
2020-01-02 12:15:00,121.75,122.15,121.5,122.05,597641
2020-01-02 12:30:00,122.1,122.2,121.15,121.35,654953
2020-01-02 12:45:00,121.35,121.4,121.1,121.3,270125
2020-01-02 13:00:00,121.3,121.3,120.9,121.3,224288
2020-01-02 13:15:00,121.3,121.4,120.85,121.0,223757
2020-01-02 13:30:00,121.0,121.1,120.9,120.95,155773
2020-01-02 13:45:00,121.0,121.35,120.85,121.2,287138
2020-01-02 14:00:00,121.25,121.5,120.95,121.0,181427
