datetime,open,high,low,close,volume
2020-01-01 09:15:00,191.91,192.65,191.47,191.79,60805
2020-01-01 09:30:00,191.79,192.09,191.29,191.44,29514
2020-01-01 09:45:00,191.44,191.97,191.02,191.94,25749
2020-01-01 10:00:00,191.94,191.94,191.41,191.56,19593
2020-01-01 10:15:00,191.56,192.33,191.44,192.21,12555
2020-01-01 10:30:00,192.21,192.21,191.82,191.97,14323
2020-01-01 10:45:00,191.97,191.97,191.32,191.65,32988
2020-01-01 11:00:00,191.65,191.97,191.62,191.73,8330
2020-01-01 11:15:00,191.73,191.79,191.44,191.5,4513
2020-01-01 11:30:00,191.5,191.67,191.44,191.67,10577
2020-01-01 11:45:00,191.67,191.85,191.53,191.62,10640
2020-01-01 12:00:00,191.62,192.51,191.62,192.18,69124
2020-01-01 12:15:00,192.18,192.21,191.82,192.18,13495
2020-01-01 12:30:00,192.12,193.54,191.79,193.51,41795
2020-01-01 12:45:00,193.48,194.29,192.86,194.25,175232
2020-01-01 13:00:00,194.17,195.12,193.78,194.52,217911
2020-01-01 13:15:00,194.55,194.82,194.43,194.52,80185
2020-01-01 13:30:00,194.52,195.35,194.08,195.23,273450
2020-01-01 13:45:00,195.2,195.2,194.7,195.18,53293
2020-01-01 14:00:00,195.03,196.12,194.52,195.86,252240
2020-01-01 14:15:00,195.86,197.19,195.77,196.75,427400
2020-01-01 14:30:00,196.78,197.16,195.83,196.12,164256
2020-01-01 14:45:00,196.12,196.84,195.92,196.42,198719
2020-01-01 15:00:00,196.42,197.49,196.42,197.25,240293
2020-01-01 15:15:00,197.34,197.67,196.95,197.67,260400
2020-01-02 09:15:00,197.7,198.35,196.06,196.06,287177
2020-01-02 09:30:00,195.95,196.57,195.53,196.54,149549
2020-01-02 09:45:00,196.66,198.08,196.36,197.96,212481
2020-01-02 10:00:00,197.96,198.73,197.93,198.14,259316
2020-01-02 10:15:00,198.14,198.2,197.04,198.05,121569
2020-01-02 10:30:00,198.05,199.33,198.05,198.94,298197
2020-01-02 10:45:00,198.94,200.22,198.85,199.83,206801
2020-01-02 11:00:00,199.83,199.92,198.94,199.3,185378
2020-01-02 11:15:00,199.24,201.05,199.15,200.84,249461
2020-01-02 11:30:00,200.9,200.99,199.68,199.74,152654
2020-01-02 11:45:00,199.83,199.83,198.91,199.36,79651
2020-01-02 12:00:00,199.36,199.74,199.24,199.59,34211
2020-01-02 12:15:00,199.59,200.51,199.18,199.89,146861
2020-01-02 12:30:00,200.01,200.87,199.98,200.19,223198
2020-01-02 12:45:00,200.22,200.25,199.65,199.65,61827
2020-01-02 13:00:00,199.65,200.01,199.59,199.8,25540
2020-01-02 13:15:00,199.8,200.01,199.51,199.86,32013
2020-01-02 13:30:00,199.86,200.13,199.21,199.24,70078
2020-01-02 13:45:00,199.24,199.59,199.21,199.59,24835
2020-01-02 14:00:00,199.59,199.65,198.73,199.03,95569
2020-01-02 14:15:00,199.03,199.74,198.59,199.68,67302
2020-01-02 14:30:00,199.68,200.42,199.56,200.4,135437
2020-01-02 14:45:00,200.4,202.0,200.16,201.4,303072
2020-01-02 15:00:00,201.52,201.94,200.57,201.79,205926
2020-01-02 15:15:00,201.79,202.0,200.22,200.87,239210
2020-01-03 09:15:00,199.51,200.51,198.5,200.48,119021
2020-01-03 09:30:00,200.51,200.75,198.35,198.53,120183
2020-01-03 09:45:00,198.56,200.13,198.32,200.13,73078
2020-01-03 10:00:00,200.37,201.08,199.95,200.6,169278
2020-01-03 10:15:00,200.6,200.84,200.01,200.54,93464
2020-01-03 10:30:00,200.54,200.69,199.42,199.8,63861
2020-01-03 10:45:00,199.8,200.69,199.62,200.01,71628
2020-01-03 11:00:00,200.01,200.57,200.01,200.31,99911
2020-01-03 11:15:00,200.28,200.28,198.56,198.62,191403
2020-01-03 11:30:00,198.62,199.06,198.56,198.79,59357
2020-01-03 11:45:00,198.79,199.12,197.9,198.97,94472
2020-01-03 12:00:00,198.97,199.0,198.23,198.47,56190
2020-01-03 12:15:00,198.47,199.21,198.29,198.76,59539
2020-01-03 12:30:00,198.76,200.22,198.76,199.74,90810
2020-01-03 12:45:00,199.8,200.45,199.54,200.22,157662
2020-01-03 13:00:00,200.22,201.08,200.04,200.37,127071
2020-01-03 13:15:00,200.37,200.99,199.59,199.74,86523
2020-01-03 13:30:00,199.74,199.83,199.03,199.06,65882
2020-01-03 13:45:00,199.06,199.36,198.91,199.15,20770
2020-01-03 14:00:00,199.09,199.45,198.44,198.68,80776
2020-01-03 14:15:00,198.7,199.0,198.2,198.82,64541
2020-01-03 14:30:00,198.82,198.88,198.2,198.73,88167
2020-01-03 14:45:00,198.73,199.03,198.14,198.2,209049
2020-01-03 15:00:00,198.14,199.3,198.14,198.76,247223
2020-01-03 15:15:00,198.76,200.19,198.5,198.5,159388
2020-01-06 09:15:00,197.55,197.55,190.61,192.18,280232
2020-01-06 09:30:00,192.18,192.3,188.32,189.36,498181
2020-01-06 09:45:00,189.36,192.18,188.89,192.09,465487
2020-01-06 10:00:00,192.09,193.04,192.09,192.51,322109
2020-01-06 10:15:00,192.51,192.86,192.36,192.62,75983
2020-01-06 10:30:00,192.62,193.54,192.56,193.54,99851
2020-01-06 10:45:00,193.39,193.6,192.62,192.8,83519
2020-01-06 11:00:00,192.8,192.8,191.85,191.85,72789
2020-01-06 11:15:00,191.85,192.27,191.56,192.03,141659
2020-01-06 11:30:00,192.03,192.27,191.5,191.91,151305
2020-01-06 11:45:00,191.91,192.0,191.02,191.47,152065
2020-01-06 12:00:00,191.47,191.62,190.76,191.11,104279
2020-01-06 12:15:00,191.11,192.0,191.05,191.82,67450
2020-01-06 12:30:00,191.82,191.94,191.26,191.32,41149
2020-01-06 12:45:00,191.32,191.38,190.99,191.38,56398
2020-01-06 13:00:00,191.38,191.76,190.99,191.44,40472
2020-01-06 13:15:00,191.44,191.62,190.79,191.23,109304
2020-01-06 13:30:00,191.23,192.27,191.08,192.15,78680
2020-01-06 13:45:00,192.12,192.24,191.62,191.62,85538
2020-01-06 14:00:00,191.62,191.91,191.02,191.85,190151
2020-01-06 14:15:00,191.85,191.85,190.76,190.96,130115
2020-01-06 14:30:00,190.96,191.17,190.07,190.99,168206
