datetime,open,high,low,close,volume
2020-01-01 09:15:00,119.05,119.1,118.25,118.5,286340
2020-01-01 09:30:00,118.5,118.9,118.35,118.85,127156
2020-01-01 09:45:00,118.8,119.0,118.7,118.85,87401
2020-01-01 10:00:00,118.85,118.95,118.65,118.9,66204
2020-01-01 10:15:00,118.9,119.75,118.85,119.65,366944
2020-01-01 10:30:00,119.65,119.85,119.6,119.85,218663
2020-01-01 10:45:00,119.85,119.85,119.5,119.75,353616
2020-01-01 11:00:00,119.7,120.1,119.7,119.95,272936
2020-01-01 11:15:00,120.0,120.0,119.85,119.9,151553
2020-01-01 11:30:00,120.0,120.0,119.8,119.9,133844
2020-01-01 11:45:00,119.9,120.2,119.85,120.05,366192
2020-01-01 12:00:00,120.0,120.2,120.0,120.2,175604
2020-01-01 12:15:00,120.2,120.35,120.1,120.35,221762
2020-01-01 12:30:00,120.35,120.4,120.25,120.3,387649
2020-01-01 12:45:00,120.3,120.45,120.25,120.4,187511
2020-01-01 13:00:00,120.45,120.65,120.3,120.4,331020
2020-01-01 13:15:00,120.4,120.85,120.35,120.65,768493
2020-01-01 13:30:00,120.6,120.85,120.6,120.75,369057
2020-01-01 13:45:00,120.75,120.95,120.6,120.95,624775
2020-01-01 14:00:00,120.95,121.25,120.8,121.0,442933
2020-01-01 14:15:00,121.0,121.75,121.0,121.5,1147171
2020-01-01 14:30:00,121.5,121.55,121.1,121.4,528078
2020-01-01 14:45:00,121.4,121.4,121.0,121.2,510315
2020-01-01 15:00:00,121.2,121.65,121.05,121.6,635024
2020-01-01 15:15:00,121.65,122.0,121.25,121.5,1187006
2020-01-02 09:15:00,121.5,121.5,120.6,120.8,488902
2020-01-02 09:30:00,120.8,121.1,120.65,120.75,246102
2020-01-02 09:45:00,120.75,121.05,120.75,120.8,123579
2020-01-02 10:00:00,120.8,121.2,120.8,121.1,138795
2020-01-02 10:15:00,121.1,121.35,121.0,121.35,98073
2020-01-02 10:30:00,121.3,122.0,121.25,121.7,342884
2020-01-02 10:45:00,121.75,121.9,121.7,121.8,162861
2020-01-02 11:00:00,121.8,121.9,121.35,121.55,248934
2020-01-02 11:15:00,121.6,121.8,121.5,121.7,193408
2020-01-02 11:30:00,121.7,121.75,121.45,121.6,149477
2020-01-02 11:45:00,121.65,122.15,121.6,121.8,488365
2020-01-02 12:00:00,121.8,121.8,121.3,121.45,433020
2020-01-02 12:15:00,121.5,121.7,121.5,121.6,228139
2020-01-02 12:30:00,121.6,121.65,121.45,121.65,332490
2020-01-02 12:45:00,121.65,121.75,121.5,121.7,315828
2020-01-02 13:00:00,121.7,121.75,121.6,121.6,171724
2020-01-02 13:15:00,121.6,121.75,121.6,121.7,273890
2020-01-02 13:30:00,121.7,121.7,121.35,121.4,292835
2020-01-02 13:45:00,121.35,121.55,121.35,121.5,354680
2020-01-02 14:00:00,121.5,121.7,121.35,121.65,255867
2020-01-02 14:15:00,121.65,121.65,121.45,121.55,353679
2020-01-02 14:30:00,121.6,121.8,121.4,121.7,832753
2020-01-02 14:45:00,121.7,122.05,121.6,121.7,902046
2020-01-02 15:00:00,121.7,121.7,121.3,121.6,584214
2020-01-02 15:15:00,121.6,121.65,121.0,121.0,718346
2020-01-03 09:15:00,121.0,121.35,120.6,121.05,469118
2020-01-03 09:30:00,121.0,121.15,120.45,120.55,371414
2020-01-03 09:45:00,120.55,120.65,120.15,120.45,171928
2020-01-03 10:00:00,120.45,120.8,120.35,120.5,147654
2020-01-03 10:15:00,120.5,120.9,120.4,120.7,171774
2020-01-03 10:30:00,120.7,120.7,120.15,120.25,738775
2020-01-03 10:45:00,120.25,120.4,120.0,120.4,214833
