datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,1296.95,1300.0,1275.0,1295.0,13865,,,,,
2020-01-03,1295.0,1329.7,1285.0,1322.0,32666,,,,,
2020-01-05,1321.95,1340.0,1275.0,1285.0,31205,,,,,
2020-01-07,1298.0,1318.0,1285.05,1307.4,43333,,,,,
2020-01-09,1319.0,1405.8,1285.0,1378.0,196204,,,,,
2020-01-13,1379.4,1411.0,1362.0,1369.0,133890,,,,,
2020-01-15,1373.8,1373.8,1295.1,1300.05,158243,,,,,
2020-01-17,1307.15,1314.75,1292.05,1309.0,34992,,,,,
2020-01-19,1303.0,1316.0,1280.0,1287.85,37916,,,,,
2020-01-21,1290.0,1319.45,1286.0,1304.55,52131,,,,,
2020-01-23,1309.0,1364.85,1301.45,1321.0,211859,,,,,
2020-01-27,1312.0,1360.0,1312.0,1336.0,64217,,,,,
2020-01-29,1331.0,1355.15,1323.0,1332.0,39722,,,,,
2020-01-31,1349.0,1349.0,1266.0,1270.0,36674,,,,,
2020-02-02,1282.0,1315.0,1282.0,1298.0,20238,,,,53.06152429884374,
2020-02-04,1301.0,1348.0,1293.8,1335.0,60727,,,,53.18272072365267,
2020-02-06,1339.7,1360.95,1316.0,1332.0,61291,,,,52.33596529616547,
2020-02-10,1332.0,1379.0,1317.0,1328.0,231666,,,,53.29965209244128,
2020-02-12,1339.8,1344.0,1226.15,1272.0,498898,,,,59.55944937126524,
2020-02-14,1268.85,1280.0,1229.35,1230.0,56073,,100790.5,,58.71697433625007,
2020-02-16,1254.0,1254.0,1213.0,1221.05,85113,,104352.9,,57.07953799232299,
2020-02-18,1220.5,1229.0,1200.7,1215.0,81414,,106790.3,,54.474369691829224,
2020-02-20,1213.9,1246.9,1213.35,1228.65,48570,,107658.55,,52.61574995882598,
2020-02-24,1225.0,1225.0,1190.0,1202.0,69249,,108954.35,,51.39644607904298,
2020-02-26,1195.0,1212.35,1189.0,1199.0,65410,,102414.65,,48.98607498708109,
2020-02-28,1188.0,1195.0,1175.0,1185.1,39134,,97676.85,,46.86943859050584,
2020-03-01,1185.0,1198.9,1182.05,1190.0,99510,,94740.2,,44.35975152789767,
2020-03-03,1199.0,1204.85,1150.0,1155.0,86841,,97332.65,,45.226210136249904,
2020-03-05,1167.8,1221.0,1155.0,1220.0,64024,,98638.05,,46.923103146404486,
2020-03-09,1180.0,1192.75,1096.7,1130.0,81696,1271.9216666666666,100116.3,,53.09856442754577,
2020-03-11,1130.0,1143.0,1000.0,1040.0,112975,1256.9589784946236,95172.1,-19.691119691119695,60.29967216233272,
2020-03-13,1008.7,1029.95,830.9,1020.0,112924,1241.6713024627124,97607.45,-22.844175491679273,72.11611714672883,
