datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,368.0,384.7,366.0,382.5,17287241,,,,,
2020-01-03,382.7,384.35,379.2,382.0,3684387,,,,,
2020-01-05,388.0,388.0,374.75,380.0,12479744,,,,,
2020-01-07,384.05,389.75,378.25,385.4,12709270,,,,,
2020-01-09,389.15,394.3,386.05,391.3,6585947,,,,,
2020-01-13,391.9,393.9,386.0,389.25,3478247,,,,,
2020-01-15,389.3,394.6,386.0,391.0,2876255,,,,,
2020-01-17,390.9,392.4,386.0,386.2,1644202,,,,,
2020-01-19,387.65,389.2,378.8,379.85,1759686,,,,,
2020-01-21,378.8,385.0,375.3,384.0,3820607,,,,,
2020-01-23,384.45,387.4,380.3,384.95,2774298,,,,,
2020-01-27,383.7,386.25,370.2,373.75,3296392,,,,,
2020-01-29,377.5,387.75,373.75,378.0,5113506,,,,,
2020-01-31,380.05,381.55,360.65,362.35,4748434,,,,,
2020-02-02,364.0,370.0,355.5,369.0,2857910,,,,11.818440341436528,
2020-02-04,370.1,376.0,361.1,368.0,6500017,,,,12.146487758763046,
2020-02-06,370.0,373.7,367.2,368.8,6369209,,,,11.56573270627641,
2020-02-10,370.05,378.4,366.15,374.05,4372418,,,,11.633967080044041,
2020-02-12,376.95,378.9,367.0,369.6,3473479,,,,11.659765734929723,
2020-02-14,370.3,372.0,366.0,366.2,1008404,,5341982.65,,11.124579873602414,
2020-02-16,366.85,366.85,359.4,362.25,1977905,,4576515.85,,10.784968237918745,
2020-02-18,362.5,374.45,358.35,371.3,3750732,,4579833.1,,11.26609313528107,
2020-02-20,371.0,374.5,370.0,370.5,1798947,,4045793.25,,10.665090839786265,
2020-02-24,367.65,371.4,355.6,358.75,4599126,,3640286.05,,11.113402937585573,
2020-02-26,356.9,362.5,351.5,354.0,6140691,,3618023.25,,11.103656848482895,
2020-02-28,347.0,348.65,339.2,344.85,4298175,,3659019.65,,11.416783838327362,
2020-03-01,346.1,351.05,338.3,340.5,2509569,,3640685.35,,11.528243462814418,
2020-03-03,344.0,349.8,339.9,348.2,7160870,,3916518.75,,11.393756127399946,
2020-03-05,347.3,351.9,331.25,341.2,6675558,,4162312.35,,12.14984616348476,
2020-03-09,334.7,334.7,316.85,322.2,3230206,369.33166666666676,4132792.3,,13.136290765781013,
2020-03-11,322.8,326.35,284.0,289.4,15527660,364.1747849462367,4770460.4,-24.339869281045758,15.476309767577789,
2020-03-13,260.0,300.7,232.0,295.0,21048108,359.71189559486663,5658046.2,-22.774869109947648,19.702878462937573,
2020-03-15,273.0,276.85,252.0,261.4,7726090,353.36919265326236,5788675.4,-31.210526315789476,21.538284150581777,
2020-03-17,265.0,283.35,256.0,259.3,15267903,347.3002124820842,6314648.85,-32.71925272444213,21.992803202173153,
2020-03-19,248.0,264.5,241.0,255.2,15756084,341.35826328969165,6959557.55,-34.78149757219525,22.109883445939314,
2020-03-23,235.0,238.75,203.0,236.5,15399606,334.59321404519545,7404537.0,-39.24213230571611,24.43278429454921,
2020-03-25,222.3,266.5,222.3,252.0,20446611,329.2646195906667,8108407.1,-35.54987212276215,25.95002265897467,
2020-03-27,259.0,259.6,244.0,251.35,4870604,324.2378699396559,8133316.4,-34.917141377524594,25.159812897901368,
2020-03-29,248.0,254.85,237.0,251.7,8945104,319.55800736290394,8406897.65,-33.73700144793999,24.60445129805846,
2020-03-31,255.0,259.6,235.05,246.1,10435066,314.81878108142627,8878230.75,-35.911458333333336,24.600333093691944,
2020-04-02,246.0,252.8,238.9,244.2,7209712,310.2627306890762,9139821.1,-36.563190024678526,23.794443215390213,
2020-04-06,254.2,255.85,245.6,248.8,7360066,306.29739322526484,9320287.8,-33.431438127090296,22.883331438470073,
2020-04-08,248.0,255.85,242.75,251.2,12186595,302.7427226946026,9839670.2,-33.544973544973544,22.15198591936347,
2020-04-12,252.0,265.5,247.5,263.0,6977222,300.17867606914444,9958575.0,-27.418242031185326,21.842636157242126,16.691568861825512
2020-04-14,265.0,279.4,265.0,267.1,7605601,298.0445679356513,10031820.5,-27.61517615176151,21.438368906633077,17.01223314733206
2020-04-16,267.0,275.9,260.3,268.55,6734630,296.1416925849641,10153643.25,-27.024456521739125,21.00593958939739,17.307548208353207
2020-04-20,273.5,273.5,260.9,265.65,4795329,294.17448661174063,10267931.25,-27.96908893709329,20.384976764746114,17.6015230103022
2020-04-22,260.0,279.7,258.5,278.0,6822442,293.13097134646705,10251009.85,-25.67838524261462,20.44503734057036,17.895225352319745
2020-04-24,273.95,276.95,269.55,270.55,2515748,291.67413448540464,10043019.35,-26.79924242424243,19.563096845716757,18.15866972267931
2020-04-26,273.3,277.1,269.5,271.0,1845319,290.34031935731406,9973775.0,-25.99672310212998,18.685345326698744,18.410695237782523
2020-04-28,271.15,293.2,270.0,291.5,5863267,290.41513746329383,9490555.35,-19.530710835058663,19.01595037535294,18.685061309030328
2020-04-30,295.05,296.0,285.1,290.65,4674968,290.4302898850168,8671898.35,-21.720980339348237,18.422693227002075,18.92361464542103
2020-05-04,275.0,280.0,261.1,262.55,11223696,288.6315615053383,8846778.65,-29.136302294197026,19.234718185188584,19.209268890267772
2020-05-06,261.1,284.5,261.1,281.85,17049456,288.19404140821973,8935856.3,-21.43554006968641,19.538213674074363,19.4900959148174
2020-05-08,285.1,286.85,280.55,284.05,2593482,287.926683898012,8277726.2,-19.759887005649713,18.57501769662051,19.739141276421986
2020-05-10,285.2,293.25,285.2,290.95,3203959,288.12173654975317,7667943.85,-15.629984051036693,17.89380919218923,19.955042121550715
2020-05-12,289.0,311.9,262.35,308.9,14160241,289.46226967557556,7353625.35,-9.280469897209997,20.191180718129257,20.243806696727873
2020-05-14,301.1,312.0,301.1,309.0,9395702,290.7227684061836,7579880.25,-11.257897759908097,19.51766624507478,20.51460370065037
2020-05-18,306.0,320.9,291.35,319.7,14163695,292.5922672186879,7840809.8,-6.301289566236812,20.244135801139148,20.784413355238847
2020-05-20,318.0,324.8,311.55,317.15,11581173,294.1766370755467,7898115.15,-1.5673494723774106,19.738168716125383,21.00447595358366
2020-05-22,315.0,315.0,306.55,311.9,3426536,295.32007984486626,7708956.35,7.774706288873534,19.077701861250123,21.124522356706073
2020-05-26,312.4,328.5,309.6,326.9,10381723,297.3574940484233,7860039.2,10.813559322033894,19.06486921810871,21.103255381878444
2020-05-28,329.5,334.15,322.05,327.0,17949904,299.2699137872347,8148204.65,25.095638867635817,18.562299941451148,21.004055908240755
2020-06-01,326.0,341.65,325.8,340.0,7531713,301.8976612848325,8175929.2,31.12225221750866,18.366729091903554,20.88318677123177
2020-06-03,344.0,344.95,336.85,340.1,9801479,304.3623282987143,8285723.1,33.268025078369924,17.62694537785333,20.733755502295573
2020-06-05,340.1,347.15,337.2,342.0,2348586,306.7905651826683,8066420.9,44.608879492600416,17.074119288876048,20.488466668773132
2020-06-07,343.1,347.65,340.95,342.25,2771158,309.0782706547542,7965212.35,35.81349206349207,16.327501460676952,20.167715962163204
2020-06-09,344.5,351.35,340.4,348.9,5710024,311.64741448347974,7909591.45,38.810423711955444,15.940695734072056,19.860412056702227
2020-06-11,348.0,348.0,327.7,346.85,7283547,313.9185490329327,8147981.4,37.80294000794597,16.318809750404363,19.58422400511376
2020-06-15,346.5,347.0,335.9,340.7,5160062,315.6463845791951,8313718.55,38.43965867533523,15.943781721581765,19.29567229271009
2020-06-17,341.0,346.45,335.15,344.4,4960016,317.5014565418277,8268556.0,41.03194103194103,15.610219874121197,19.02286484800112
2020-06-19,344.4,354.9,341.5,350.0,6915387,319.5981367649356,8380576.95,40.67524115755627,15.451523924602997,18.77513793087222
2020-06-21,350.0,353.9,346.7,349.5,2514631,321.52728923171395,7945123.7,39.13216560509554,14.859276990145258,18.532047633231613
2020-06-23,350.0,360.0,346.75,352.0,5555274,323.4932705716034,7370414.6,33.8403041825095,14.743812256012273,18.29542016985728
2020-06-25,349.8,351.5,339.6,343.8,9034947,324.803382147629,7692487.85,28.71583676525644,14.575698966192142,18.06666450517592
2020-06-29,341.35,349.8,339.1,346.15,6092433,326.18058329939487,7836911.55,28.895922547011722,14.29779168635488,17.843059575074502
2020-07-01,345.9,349.6,341.3,347.05,2405778,327.52699728007906,7249188.4,30.641821946169777,13.86783847473508,17.625821632074132
2020-07-03,350.2,366.8,348.65,361.0,9299696,329.68654584265465,7244388.1,29.85611510791366,14.289394503594744,17.420633537508277
2020-07-05,365.1,366.0,356.1,361.75,3358922,331.7551557882898,6704149.45,33.70911107004251,13.97489533601841,17.23436015385167
2020-07-07,361.0,361.0,339.3,340.3,8328739,332.306436060013,6541527.75,25.571955719557195,14.582000454394814,17.097581991441537
2020-07-09,341.0,346.5,332.25,335.5,7002467,332.512472443238,6720324.3,15.094339622641506,14.558222837689696,16.948991073519426
2020-07-13,336.25,339.65,319.7,320.0,5333275,331.7052161565775,6467901.9,10.098056081197315,14.9443041536841,16.833044771075496
2020-07-15,320.55,324.5,309.6,311.95,7026355,330.4306860819596,5921724.45,18.815463721195957,14.94113229062409,16.68992524125668
2020-07-17,312.0,318.9,310.6,314.1,3263538,329.3770934315106,5708315.7,11.442256519425232,14.465752459121852,16.52084320075826
2020-07-19,316.0,318.7,310.35,317.85,4326349,328.6334099843164,5434559.2,11.89931350114417,14.028046696665681,16.369277500759768
2020-07-21,320.9,325.35,309.1,312.4,7331969,327.5860932111347,5683728.35,7.372400756143671,14.187049865394185,16.245718856533266
2020-07-23,313.4,315.95,305.35,309.2,5287454,326.399893649126,5809543.15,0.09711880867595557,13.930394023641593,16.03702596671701
2020-07-27,309.0,320.0,298.0,318.5,10435928,325.8902230911179,6045838.35,3.07443365695792,14.50770929146083,15.870027401596548
2020-07-29,317.05,323.0,310.1,312.25,6494253,325.01020869814255,6006373.65,-2.3303096653112254,14.392703687586271,15.674979664478117
2020-07-31,315.0,318.15,312.75,315.15,1943658,324.3740662014882,5845553.45,-0.6306164275579396,13.785252001675467,15.476549107329788
2020-08-02,311.0,319.55,308.65,311.7,2407512,323.5563845110696,5717928.25,-0.06412311638345214,13.57890076337906,15.293255737400752
2020-08-04,313.0,328.8,311.35,327.15,11565990,323.7882306716458,5950458.4,0.07647598654023646,13.85573399769668,15.11961789672035
2020-08-06,330.1,330.9,321.4,326.45,5912292,323.95995772508803,6120341.45,-0.16819571865444027,13.54426940488122,14.95235021216802
2020-08-10,329.0,336.75,325.7,334.95,6689924,324.6689927105663,6177073.95,-1.4852941176470624,13.365926136667097,14.785656780326804
2020-08-12,336.0,348.95,331.75,348.5,13380332,326.2064770518201,6394343.2,2.469861805351359,13.640047127811137,14.652760171992066
2020-08-14,353.75,353.75,343.65,348.55,3376486,327.64799466138015,6258545.85,1.9152046783625698,13.386964943714265,14.529855027153337
2020-08-16,350.85,358.0,346.8,357.7,4507450,329.58683371548466,6363629.45,4.514243973703436,13.230626005816642,14.426625845324661
2020-08-18,356.9,366.2,354.5,356.3,5418401,331.31026379835663,6169564.7,2.1209515620521646,13.121212943569821,14.332643085641253
2020-08-20,354.95,359.35,347.95,353.15,4875289,332.7192790371723,6245383.05,1.816347124117046,12.998182881461828,14.221955523343171
2020-08-24,358.4,363.3,341.0,345.4,7004336,333.5373900670322,6179162.9,1.379512767830926,13.66303134119412,14.14593051066358
2020-08-26,346.35,366.9,346.35,350.85,14554523,334.65433264335275,6556765.7,1.8728222996515775,14.223153516224771,14.099694965400367
2020-08-28,355.0,363.0,348.5,359.6,5394973,336.26373053733,6559850.6,2.742857142857158,14.242939374754279,14.059408813738742
2020-08-30,365.0,378.35,352.0,353.55,19355697,337.37897372847,7176317.7,1.1587982832617971,15.108180547092738,14.067705598970326
2020-09-01,357.0,365.35,341.4,360.6,12401870,338.87710445566546,7633234.3,2.4431818181818166,15.740044994979074,14.100913356935886
2020-09-03,363.5,368.0,351.1,354.2,11870596,339.8656783617516,8010446.65,3.025014543339144,15.822936188926212,14.142487931027022
2020-09-07,355.0,357.95,343.55,345.1,5670171,340.20337653196117,7927356.75,-0.30333670374114163,15.721255442720185,14.189936722905864
2020-09-09,344.4,348.95,335.35,340.85,7292063,340.2450941750605,8027587.2,-1.7864860971041563,15.56967844018181,14.246664721754088
2020-09-11,341.0,343.9,333.45,340.55,4649372,340.26476551860503,7738259.4,-5.664819944598332,15.203855446039366,14.27714675316891
