datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,661.22,663.16,648.31,650.81,83069,,,,,
2020-01-03,652.5,658.29,644.06,645.19,67995,,,,,
2020-01-05,646.37,646.88,635.63,645.75,89036,,,,,
2020-01-07,649.69,652.5,638.44,639.28,170999,,,,,
2020-01-09,643.39,647.49,627.84,633.38,389903,,,,,
2020-01-13,638.33,640.07,622.74,637.88,234163,,,,,
2020-01-15,638.44,641.36,624.94,626.85,347541,,,,,
2020-01-17,630.0,633.57,624.49,625.5,387634,,,,,
2020-01-19,634.44,634.44,618.75,620.44,157034,,,,,
2020-01-21,623.79,623.98,605.28,618.53,331759,,,,,
2020-01-23,619.31,626.68,613.74,624.01,395424,,,,,
2020-01-27,627.13,703.13,622.91,688.5,1190152,,,,,
2020-01-29,687.38,700.31,661.53,673.43,390169,,,,,
2020-01-31,676.74,700.31,641.81,644.06,380325,,,,,
2020-02-02,644.43,670.98,631.13,654.75,80375,,,,30.25040868055845,
2020-02-04,663.27,682.68,657.48,675.0,195747,,,,30.003389586612336,
2020-02-06,680.43,680.74,666.56,673.88,182297,,,,28.37591533314781,
2020-02-10,677.25,691.88,665.44,689.06,306093,,,,28.1828680084603,
2020-02-12,699.19,711.56,664.31,672.19,387480,,,,30.03191119451013,
2020-02-14,671.2,681.13,666.56,675.0,118307,,294275.1,,28.569837206300623,
2020-02-16,675.0,682.96,666.56,667.13,181169,,299180.1,,27.44507778840725,
2020-02-18,671.63,674.44,654.3,674.3,258817,,308721.2,,26.78381084617642,
2020-02-20,673.96,679.5,666.87,671.71,135790,,311058.9,,25.526590078079803,
2020-02-24,672.1,676.1,663.75,664.93,250864,,315052.15,,24.37618516234812,
2020-02-26,663.75,671.04,654.24,657.09,254535,,308283.75,,23.725071732460833,
2020-02-28,651.83,651.83,632.81,647.44,300152,,311583.2,,23.77208117148514,
2020-03-01,644.06,664.88,638.47,642.97,130315,,300721.9,,23.992616633405074,
2020-03-03,647.16,658.13,624.94,627.19,112363,,286958.35,,24.752289010422153,
2020-03-05,638.1,638.1,596.31,635.06,150607,,286637.0,,26.14400293825475,
2020-03-09,621.56,632.81,613.13,630.76,73760,651.069,273737.05,,25.8032793286835,
2020-03-11,630.28,649.69,556.88,575.44,439447,646.1897096774194,275938.2,-11.580952966303515,31.170519700724583,
2020-03-13,520.37,635.09,479.42,611.72,265901,643.9658574401666,229725.65,-5.1876191509477865,41.05719993134361,
2020-03-15,610.31,615.94,567.62,584.44,193933,640.125479540801,219913.85,-9.494386372435148,41.629381543266284,
2020-03-17,579.91,596.22,523.69,565.31,357536,635.2986744091365,218774.4,-11.570829683393825,44.04603785586757,
2020-03-19,534.38,568.07,503.41,511.88,517867,627.3361792859664,240649.0,-19.182797057058952,45.64734679992933,
2020-03-23,502.37,502.45,419.43,452.87,478003,616.080296751388,254761.8,-29.003887878597855,49.26042429134794,
2020-03-25,437.34,548.44,428.79,548.44,315432,611.7164066383953,261418.55,-12.508574619127376,54.66319655387492,
2020-03-27,561.94,568.55,504.56,515.76,121698,605.5256707262407,252198.8,-17.544364508393283,55.37528495846883,
2020-03-29,492.19,528.75,483.84,489.32,100674,598.0285306793866,237858.5,-21.133389207659093,54.58018698831206,
2020-03-31,510.69,543.26,496.15,534.94,169326,593.9583028936197,240409.45,-13.514300033951454,54.531769026855514,
2020-04-02,537.53,573.75,514.1,555.75,171245,591.4932510940314,239913.25,-10.938927260781073,54.91724586201116,
2020-04-06,567.56,567.56,540.28,546.47,105155,588.5885252169971,232230.15,-20.628903413217138,52.84381855538871,
2020-04-08,541.13,554.63,535.5,544.5,155842,585.7441042352555,233232.75,-19.145271223438208,50.32356762782611,
2020-04-12,545.63,545.82,503.94,522.56,341948,581.6677104136262,237786.95,-18.8647020463932,49.6944673158665,36.915859390346526
2020-04-14,517.84,535.5,507.97,511.88,154643,577.1652774837148,232792.35,-21.820542191676218,48.04813858763127,37.509117053915624
2020-04-16,523.13,523.13,495.03,506.81,661341,572.6262273234752,250851.8,-24.917037037037037,46.570643744889864,38.061358859191536
2020-04-20,517.39,517.5,480.94,483.81,583542,566.8961481413155,273513.15,-28.205318454324214,45.831138357027555,38.643199626654194
2020-04-22,494.44,511.82,478.13,510.75,424836,563.2738160031662,289136.8,-25.87728209444751,44.93643532361311,39.201651870492626
2020-04-24,507.26,510.75,493.9,506.25,92126,559.5948601319942,286212.75,-24.686472574718465,42.87136758228975,39.629633750085276
2020-04-26,516.94,533.81,503.44,532.69,201667,557.8590627041236,292608.1,-21.08296296296296,41.954122279783796,40.075776585868056
2020-04-28,533.81,548.41,523.13,534.38,341307,556.344284465148,287701.1,-19.898670424055286,40.73308780284494,40.518710253015975
2020-04-30,542.76,549.0,500.85,533.25,472553,554.8543306286869,298033.7,-20.917989025656237,41.275246881714565,41.00175812086725
