datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,163.4,185.6,160.4,179.3,15783413,,,,,
2020-01-03,177.0,182.0,172.3,173.65,3419163,,,,,
2020-01-05,173.0,173.35,157.0,162.8,3233885,,,,,
2020-01-07,165.8,173.0,165.8,168.0,5797675,,,,,
2020-01-09,172.5,174.9,163.0,163.9,3168686,,,,,
2020-01-13,165.0,171.5,165.0,168.8,2550091,,,,,
2020-01-15,171.0,178.4,170.65,174.0,5350567,,,,,
2020-01-17,172.5,178.45,171.65,174.2,2356801,,,,,
2020-01-19,175.9,176.95,171.35,171.95,976919,,,,,
2020-01-21,171.35,172.55,165.25,167.1,1354158,,,,,
2020-01-23,167.3,177.5,148.75,176.7,16745327,,,,,
2020-01-27,173.65,179.45,168.25,170.2,3601573,,,,,
2020-01-29,171.9,174.45,165.55,165.95,1639537,,,,,
2020-01-31,168.8,171.8,164.2,165.05,2148175,,,,,
2020-02-02,165.2,168.9,164.25,165.45,782557,,,,10.215032348980262,
2020-02-04,166.8,176.6,166.2,171.5,3347164,,,,10.314564325376868,
2020-02-06,174.35,174.95,169.05,171.75,2104158,,,,9.860515605885528,
2020-02-10,172.8,173.65,169.0,169.25,1147640,,,,9.340928782673013,
2020-02-12,169.85,170.95,166.45,166.75,1053068,,,,8.8714776673335,
2020-02-14,167.75,168.5,164.0,165.45,537660,,3854910.85,,8.458111964540146,
2020-02-16,165.8,169.5,163.25,165.9,1183085,,3124894.45,,8.254034072142888,
2020-02-18,165.5,167.4,163.15,164.05,884555,,2998164.05,,7.891582713763676,
2020-02-20,164.8,194.5,163.0,189.6,6377534,,3155346.5,,9.988614589964396,
2020-02-24,189.95,193.0,153.5,154.65,12284005,,3479663.0,,12.565156976468144,
2020-02-26,152.9,159.7,143.6,147.7,6637359,,3653096.65,,12.86894888702008,
2020-02-28,137.5,139.95,125.3,134.75,31889650,,5120074.6,,13.676349396855384,
2020-03-01,140.3,146.4,130.55,134.0,5572377,,5131165.1,,13.858071076323027,
2020-03-03,136.1,139.0,126.35,130.0,5952617,,5310955.9,,13.758288541489355,
2020-03-05,131.0,135.6,121.0,127.0,4396236,,5481921.75,,13.827043174124109,
2020-03-09,120.85,123.85,115.5,119.4,2394058,161.96,5533916.75,,13.638889876289896,
2020-03-11,120.0,126.0,95.85,99.3,6935541,157.91741935483873,5043427.45,-44.61795872838819,14.961430301419641,
2020-03-13,86.5,108.7,84.55,106.8,4090735,154.6195213319459,5067885.55,-38.4969766772243,15.691107647608115,
2020-03-15,99.3,117.0,97.8,102.9,3572649,151.28277802020745,5164541.15,-36.79361179361179,15.967546991012224,
2020-03-17,103.85,112.7,99.4,103.75,4082209,148.21614718019407,5261242.85,-38.24404761904761,15.758925138216089,
2020-03-19,99.7,103.4,95.65,100.0,3276659,145.1054280072783,5385947.95,-38.987187309334956,15.16397375332593,
2020-03-23,89.2,94.9,80.3,82.3,1862492,141.05346491003456,5311714.35,-51.24407582938388,15.514146515162375,
2020-03-25,80.0,92.25,76.6,91.0,3462591,137.8242091093872,5379636.0,-47.70114942528736,15.52457398872304,
2020-03-27,95.25,95.75,87.3,88.0,1292268,134.6097440055558,5386867.4,-49.483352468427086,14.984440154670343,
2020-03-29,86.75,86.75,82.8,83.3,743501,131.29943794068123,5371389.05,-51.555684792090716,14.241069234817527,
2020-03-31,84.65,91.2,84.65,88.85,1761006,128.56076452515342,5432556.35,-46.82824655894674,13.76148803212202,
2020-04-02,89.9,92.0,88.95,90.8,892002,126.12458616869192,5418002.2,-48.613469156762875,12.962289472233403,
2020-04-06,93.85,95.65,91.6,93.75,1150911,124.03590319006663,5431320.0,-44.9177438307873,12.353681704479133,
2020-04-08,93.9,96.7,90.5,92.8,4331019,122.02068362941718,5328994.25,-44.07954203073214,11.893667897435623,
2020-04-12,93.5,93.9,90.4,92.5,1255533,120.11612339526124,4777570.65,-43.956376855498334,11.268285437613763,12.58114120893565
2020-04-14,94.4,103.4,92.55,96.1,5068754,118.56669607943795,4699140.4,-41.9159867029314,11.240929991281869,12.61533779701237
2020-04-16,96.05,106.75,95.3,103.5,4915829,117.59465117108711,3350449.35,-39.65014577259475,11.256415138344385,12.646732824111288
2020-04-20,104.7,109.9,98.0,99.0,7275098,116.39499625682343,3435585.4,-42.35807860262008,11.303957982228315,12.694847569989381
2020-04-22,98.5,101.7,96.2,99.2,2451442,115.28564165960903,3260526.65,-41.388478581979314,10.876253539711692,12.74602506189067
2020-04-24,98.0,101.2,97.0,97.2,898150,114.11882606866651,3085622.35,-41.70914542728635,10.385379006902486,12.7964884398763
2020-04-26,97.5,99.8,97.5,98.5,602940,113.11115987068803,2996066.45,-40.465397401027495,9.814153316968671,12.841689818290586
2020-04-28,98.95,107.9,98.6,106.0,8831043,112.65237536290171,3090841.55,-36.106088004822176,9.783825155145697,12.89268285439068
2020-04-30,107.1,108.9,104.55,104.7,1988560,112.13931888787579,2985732.8,-36.17799451386773,9.386625139486567,12.942517601914776
2020-05-04,100.25,102.7,96.9,97.5,5414411,111.19484670156123,3077820.9,-48.57594936708861,9.270839780204867,12.918591774922792
2020-05-06,97.9,105.35,96.6,104.8,5237592,110.78227594662181,3135590.05,-32.234076947946974,9.232889761274011,12.807516201082988
2020-05-08,106.7,114.0,104.5,107.25,11360310,110.55438717587202,3539772.6,-27.386594448205813,9.25232437033924,12.686962050526962
2020-05-10,108.7,111.35,105.55,106.45,2701279,110.28958800323512,3581711.95,-21.00185528756957,9.001471220272313,12.531132777974191
2020-05-12,104.45,109.0,102.5,105.9,2422201,110.00638877721995,3529692.45,-20.97014925373134,8.819932993222137,12.363194841870827
2020-05-14,105.3,109.8,104.5,106.8,3046364,109.79952498514125,3617397.25,-17.846153846153847,8.564774269370039,12.190077699466851
2020-05-18,108.5,108.5,101.1,106.5,3779744,109.58665240545473,3769209.4,-16.14173228346457,8.480429682451863,12.011857249744443
2020-05-20,107.0,114.75,105.5,111.9,5539274,109.73590063736088,3958122.8,-6.281407035175879,8.536101642698837,11.84176430862474
2020-05-22,112.0,118.65,111.4,115.15,4403697,110.08519737043437,4133707.55,15.961732124874128,8.443147842720917,11.624488226668117
2020-05-26,117.25,119.2,113.0,114.05,3759734,110.34099108847087,4264148.7,6.788389513108606,8.28116014278041,11.377489976507194
2020-05-28,115.2,121.4,114.0,117.65,4422173,110.81254005050502,4268706.4,14.334305150631677,8.21757761140635,11.119157663853663
2020-06-01,119.6,126.9,116.7,126.5,7317098,111.82463424079502,4571784.65,21.927710843373504,8.360520515608899,10.872544176433424
2020-06-03,128.8,143.9,128.5,134.45,21531038,113.28433525751792,5394898.85,34.44999999999998,9.011873020012397,10.667474151989639
2020-06-05,135.4,136.8,133.0,134.9,1939464,114.67889427316193,5246080.6,63.91251518833536,8.636559762448838,10.438221260232522
2020-06-07,137.0,141.75,133.1,134.05,2759501,115.92864302973214,5020300.75,47.30769230769232,8.637527046580773,10.20865302882778
