datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,423.78,429.58,422.1,424.38,12702430,,,,,
2020-01-03,422.0,423.48,417.3,418.11,11763920,,,,,
2020-01-05,416.4,420.4,398.38,400.01,28658970,,,,,
2020-01-07,405.5,409.2,395.0,405.1,37788650,,,,,
2020-01-09,410.59,418.59,408.0,414.61,25257650,,,,,
2020-01-13,416.8,420.24,414.6,419.0,13481210,,,,,
2020-01-15,419.0,423.0,417.01,421.8,11948560,,,,,
2020-01-17,421.7,424.2,420.2,422.6,6709000,,,,,
2020-01-19,422.9,425.3,412.52,416.16,8483620,,,,,
2020-01-21,415.0,418.65,411.71,414.3,16953490,,,,,
2020-01-23,412.3,420.57,408.5,419.5,20191200,,,,,
2020-01-27,417.4,424.9,415.02,421.6,18345460,,,,,
2020-01-29,424.49,448.5,421.51,435.42,81565960,,,,,
2020-01-31,437.0,444.75,420.33,427.43,38890610,,,,,
2020-02-02,425.02,437.69,425.02,437.6,10940900,,,,13.445347906541425,
2020-02-04,438.8,455.0,437.72,452.5,32433470,,,,13.866340374455792,
2020-02-06,452.82,468.69,452.5,465.08,27964790,,,,14.105334440404079,
2020-02-10,466.0,478.5,464.0,475.62,23274940,,,,14.144690051221213,
2020-02-12,477.0,480.06,472.2,479.54,15637420,,,,13.535229576473258,
2020-02-14,480.0,481.5,476.8,478.5,7306190,,22514922.0,,12.699772744448024,
2020-02-16,478.18,479.8,475.01,477.9,7160680,,22237834.5,,11.968736557447242,
2020-02-18,476.94,488.7,470.16,487.99,19005520,,22599914.5,,12.563577489893706,
2020-02-20,486.79,492.34,485.38,488.8,16346000,,21984266.0,,12.06583634636018,
2020-02-24,484.0,487.6,475.12,483.01,22222250,,21205946.0,,12.206763687268497,
2020-02-26,481.5,483.78,471.21,476.35,20259970,,20956062.0,,12.237980986789845,
2020-02-28,464.0,464.0,431.18,450.0,49410320,,22752517.5,,15.027739285846797,
2020-03-01,460.0,461.8,430.57,436.08,22375230,,23273851.0,,16.382281742619302,
2020-03-03,440.0,449.68,422.5,427.77,44952030,,25186002.5,,17.274136302551824,
2020-03-05,431.0,436.76,403.65,423.8,51443910,,27334017.0,,18.56767814514316,
2020-03-09,407.0,412.75,394.52,402.68,35447980,440.108,28258741.5,,19.433823950629336,
2020-03-11,401.4,411.89,362.81,372.9,80653700,435.77200000000005,31281866.5,-12.130637636080877,21.808483557526543,
2020-03-13,344.0,404.35,328.11,396.5,48239760,433.2383225806452,32776581.5,-5.168496328717332,26.130967444533972,
2020-03-15,383.35,383.35,360.0,366.0,31396760,428.90036628511973,30268121.5,-8.502287442813927,26.947865845368344,
2020-03-17,370.21,373.47,301.89,307.73,79963590,421.082923298983,32321770.5,-24.036040483831155,30.438427980902368,
2020-03-19,280.0,305.31,248.47,295.0,144299050,412.9485411506615,38989678.0,-28.848797665275804,32.677310575786635,
2020-03-23,265.68,270.0,210.47,251.1,110913910,402.50669978610273,42913700.0,-40.07159904534606,36.680241440139035,
2020-03-25,245.0,293.65,240.0,282.5,113201370,394.7643320579671,47175529.0,-33.02513039355145,37.98276017144213,
2020-03-27,295.5,304.0,250.0,257.0,71702390,385.8763106348725,49596901.5,-39.1859914813062,39.2056540408583,
2020-03-29,239.01,241.44,222.6,224.0,76964300,375.43267769068717,52663245.5,-46.17454825067282,38.84054541855843,
2020-03-31,230.51,234.0,210.0,222.6,174484780,365.5725049364493,61022175.0,-46.27081824764664,37.71814060685724,
2020-04-02,226.88,234.37,218.31,220.78,61717170,356.2310530050655,63749999.5,-47.37067938021454,36.08696930171427,
2020-04-06,224.5,228.6,208.15,224.8,111596290,347.7516302305452,68379538.0,-46.67931688804554,34.91383796638258,
2020-04-08,218.4,256.62,214.42,254.2,162972870,341.7160411834132,75710881.5,-41.6195856873823,35.45850948122232,
