datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,429.63,434.71,424.33,427.33,1551722,,,,,
2020-01-03,424.21,427.88,421.38,425.42,1066634,,,,,
2020-01-05,419.17,420.75,406.13,407.79,1738937,,,,,
2020-01-07,409.96,418.75,401.88,413.75,2323562,,,,,
2020-01-09,418.75,428.75,416.71,427.04,2367344,,,,,
2020-01-13,428.5,445.0,422.54,445.0,3245234,,,,,
2020-01-15,441.67,458.33,441.67,455.83,4890892,,,,,
2020-01-17,456.67,471.67,455.04,469.17,2597890,,,,,
2020-01-19,469.33,474.04,466.33,471.67,1614542,,,,,
2020-01-21,470.5,470.83,447.92,449.17,4701180,,,,,
2020-01-23,450.46,472.92,448.75,468.33,3092156,,,,,
2020-01-27,468.33,474.58,463.38,465.38,2085005,,,,,
2020-01-29,468.21,483.25,467.29,473.33,3487142,,,,,
2020-01-31,473.33,478.75,452.67,458.33,2103322,,,,,
2020-02-02,457.08,477.92,457.08,475.58,2162883,,,,18.187133082318645,
2020-02-04,480.08,497.5,470.96,488.33,5836047,,,,19.07633748632972,
2020-02-06,489.96,489.96,472.63,475.42,3492775,,,,18.896722411992787,
2020-02-10,478.08,491.67,470.08,485.38,2664772,,,,19.165293058706037,
2020-02-12,485.5,493.42,480.0,484.17,2532606,,,,18.6081408353526,
2020-02-14,481.67,489.79,480.54,482.13,820129,,2718738.7,,17.723237661272265,
2020-02-16,482.08,489.71,480.83,483.33,984430,,2690374.1,,16.905928877631688,
2020-02-18,482.13,486.58,475.17,481.79,2227707,,2748427.75,,16.408428893525144,
2020-02-20,482.0,485.25,475.92,476.67,912698,,2707115.8,,15.779683186298245,
2020-02-24,475.0,480.88,470.46,475.0,2092269,,2695551.15,,15.311746804598155,
2020-02-26,475.0,483.33,470.88,480.83,2582788,,2706323.35,,15.065802211444446,
2020-02-28,474.17,489.92,458.79,474.25,3327844,,2710453.85,,16.42664282921338,
2020-03-01,479.17,480.83,458.83,461.54,1543426,,2543080.55,,16.892586998843573,
2020-03-03,464.08,469.17,442.67,450.42,4250866,,2625729.35,,17.686126419857775,
2020-03-05,455.83,458.33,435.0,445.21,2994051,,2694704.8,,18.14714242565897,
2020-03-09,448.33,458.0,429.5,435.38,2495379,460.4323333333333,2584414.75,,18.984223712452618,
2020-03-11,439.29,441.42,383.33,394.96,5399867,456.208311827957,2699800.3,-7.574942082231528,22.11659758730751,
2020-03-13,367.5,409.71,333.33,382.5,2439997,451.45293687131465,2717549.9,-10.088853368435903,26.42573130087863,
2020-03-15,381.83,381.83,355.29,357.5,1686630,445.3914570731653,2627524.3,-12.33232791387725,26.487517956741616,
2020-03-17,357.08,387.96,351.92,364.17,4729481,440.151363068445,2758832.25,-11.983081570996978,27.23459251976934,
2020-03-19,337.5,380.0,324.46,375.33,5960296,435.96933964467433,2948702.9,-12.108935931060326,29.433379043509397,
