datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,43.5,45.85,43.25,45.35,36926078,,,,,
2020-01-03,45.4,45.65,44.3,44.6,10836248,,,,,
2020-01-05,44.25,44.4,42.4,42.6,12607067,,,,,
2020-01-07,43.1,44.0,42.5,43.15,24502034,,,,,
2020-01-09,44.0,45.5,43.6,44.6,26621854,,,,,
2020-01-13,45.0,46.65,44.75,46.1,29178094,,,,,
2020-01-15,45.85,47.75,45.45,46.65,24865026,,,,,
2020-01-17,46.6,47.1,46.05,46.05,8408127,,,,,
2020-01-19,46.3,46.55,44.7,45.0,12204947,,,,,
2020-01-21,45.0,45.45,43.05,43.4,40859467,,,,,
2020-01-23,43.45,45.2,43.3,45.0,42203418,,,,,
2020-01-27,44.7,44.95,43.05,43.45,24441490,,,,,
2020-01-29,43.7,45.1,43.2,44.15,30539617,,,,,
2020-01-31,44.45,44.6,39.2,39.5,31284924,,,,,
2020-02-02,39.9,40.55,38.8,39.45,20405520,,,,2.2535814099815195,
2020-02-04,39.8,40.5,39.25,39.75,37163474,,,,2.1467451562336954,
2020-02-06,39.95,40.3,39.2,39.7,32796654,,,,2.0390848611759043,
2020-02-10,39.75,39.8,37.9,38.6,41703665,,,,2.025215473452794,
2020-02-12,37.8,38.2,35.8,37.15,71353174,,,,2.10035053047682,
2020-02-14,37.2,37.4,36.0,36.2,20450582,,28967573.0,,2.034125580639929,
2020-02-16,36.2,36.4,34.75,34.8,21566907,,28199614.45,,1.9986239665135836,
2020-02-18,34.3,35.6,33.4,35.4,53298963,,30322750.2,,2.0168528365898832,
2020-02-20,35.4,35.9,34.9,35.1,15545700,,30469681.85,,1.9265302712996941,
2020-02-24,34.3,34.75,33.65,33.85,26901397,,30589650.0,,1.8849259743344198,
2020-02-26,33.6,33.95,32.05,32.6,32094719,,30863293.25,,1.886221468087939,
2020-02-28,31.7,31.7,30.3,30.4,21830650,,30495921.05,,1.92127374025231,
2020-03-01,31.1,31.7,29.05,29.65,23004393,,30402889.4,,1.9821967605399056,
2020-03-03,30.0,31.35,29.85,30.6,38668495,,31915907.8,,1.9588882742758134,
2020-03-05,30.9,31.4,28.95,29.4,36633916,,33137356.25,,1.9990044042671218,
2020-03-09,28.8,28.85,27.05,27.1,21876410,38.97833333333333,32188203.4,,2.027384186643649,
2020-03-11,27.45,28.7,24.0,24.2,66011359,38.02489247311828,33378600.45,-46.63726571113561,2.241460794910528,
2020-03-13,22.2,26.4,18.4,26.2,39021123,37.261996184530005,34107582.1,-41.25560538116593,2.698754556935445,
2020-03-15,24.35,25.75,23.3,23.8,26299419,36.39348030165711,33895572.2,-44.13145539906104,2.7146091778690034,
2020-03-17,24.05,25.35,22.4,23.4,50716106,35.555191249937295,34867131.3,-45.770567786790274,2.7330184766028713,
2020-03-19,22.45,23.95,21.8,23.2,69480876,34.758082137038116,37320899.1,-47.98206278026906,2.687729138502327,
2020-03-23,21.5,21.75,19.5,20.1,36102242,33.81239941851953,37267837.5,-56.399132321041215,2.765874560071945,
2020-03-25,20.0,21.1,19.15,20.65,32771334,32.96321235926021,37266571.5,-55.7341907824223,2.703251872003713,
2020-03-27,21.4,21.9,20.15,20.25,22348169,32.14300511027568,36298796.7,-56.02605863192183,2.6304724241862187,
2020-03-29,20.25,20.6,19.65,20.1,13032851,31.366037038644993,33382780.55,-55.33333333333332,2.5027988616719323,
2020-03-31,20.7,21.2,20.2,20.8,36129714,30.684357229700158,34166737.15,-52.07373271889401,2.3967038262279807,
2020-04-02,21.15,21.2,20.4,20.75,14718884,30.04343095681628,33824336.0,-53.888888888888886,2.2764489294003902,
2020-04-06,21.05,21.45,20.85,21.2,18370596,29.472887024118457,32077917.65,-51.208285385500574,2.158179103454838,
2020-04-08,21.2,22.65,20.95,22.45,56884296,29.019797538691464,34144847.45,-49.15062287655719,2.1239282721948087,
2020-04-12,23.15,23.35,21.85,22.0,36281196,28.56690737490492,34613837.4,-44.30379746835443,2.0774415869476117,2.2303892158581533
2020-04-14,22.35,23.15,21.3,21.55,40166028,28.11420367329815,35017402.85,-45.37389100126743,2.0605477174378666,2.2239547594400313
2020-04-16,21.45,22.6,21.15,21.8,56959260,27.70683569437569,36773833.35,-45.15723270440252,2.0153264001806606,2.2195741342382638
2020-04-20,22.0,23.15,21.55,21.65,76756960,27.316072101190166,39461461.7,-45.46599496221663,1.984645445140997,2.2177594870371
2020-04-22,21.6,21.85,20.9,21.4,43606511,26.93439003014564,39708362.5,-44.55958549222798,1.9084005007993263,2.2138656546153177
2020-04-24,21.1,21.4,20.6,20.7,19966729,26.532171318523343,38875003.15,-44.27994616419919,1.8269048573581317,2.2047507988446946
2020-04-26,20.95,20.95,20.4,20.6,16340347,26.14945058829603,38598200.0,-43.0939226519337,1.733216308929397,2.194720489787677
2020-04-28,20.75,21.35,20.65,20.95,35286114,25.814002163244677,37061937.75,-39.79885057471264,1.661216056601457,2.183473559457273
2020-04-30,21.3,22.9,21.15,22.55,56125155,25.603421378519215,37917139.35,-36.29943502824858,1.6823254930601153,2.1723226480062805
2020-05-04,21.7,24.85,20.9,22.9,238592866,25.429007096034105,48531811.7,-34.75783475783476,1.8478110264640237,2.169698673178425
2020-05-06,23.05,23.4,22.75,23.0,100541312,25.272296960806102,51023072.0,-32.05317577548006,1.76053476059966,2.165552299387266
2020-05-08,23.35,23.5,21.8,22.25,43580452,25.077310060108935,49728050.8,-31.748466257668717,1.7561303266374018,2.1612159280055816
2020-05-10,22.55,23.0,22.1,22.45,28628260,24.9078061852632,49354351.7,-26.151315789473685,1.6939220963940436,2.1536375398769727
2020-05-12,22.4,27.15,21.4,27.0,351658739,25.042786431375255,65298721.95,-8.93760539629005,1.9882821455645736,2.153840386044462
2020-05-14,26.9,29.25,25.0,27.2,335989780,25.18196150031879,80980802.5,-11.111111111111116,2.152233289680807,2.160285219891295
2020-05-18,27.7,28.45,25.3,25.35,140860044,25.192802693846613,87372162.15,-13.77551020408162,2.224484388658205,2.1678012193709977
2020-05-20,25.1,26.6,25.0,25.55,101611843,25.21584768134038,90646268.6,-5.719557195571956,2.1793081789376947,2.172865352447466
2020-05-22,25.4,25.55,24.15,24.65,43947199,25.179341379318423,92107684.35,1.8595041322313932,2.122983193274727,2.168916099059606
2020-05-26,25.0,25.45,24.35,25.2,79560120,25.180674193555944,95167160.55,-3.8167938931297662,2.049109019044925,2.147261247796588
