datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,55.61,59.17,55.19,57.97,2773323,,,,,
2020-01-03,58.1,58.22,56.68,57.11,858132,,,,,
2020-01-05,57.11,57.22,55.01,55.22,794745,,,,,
2020-01-07,56.0,56.61,54.04,54.61,1345230,,,,,
2020-01-09,55.11,58.0,54.69,56.89,3355866,,,,,
2020-01-13,57.33,60.54,57.0,58.89,5299272,,,,,
2020-01-15,58.99,61.16,58.56,60.42,3130677,,,,,
2020-01-17,60.78,61.53,60.56,60.87,770148,,,,,
2020-01-19,61.11,61.56,60.67,61.0,1085571,,,,,
2020-01-21,60.78,61.0,58.73,59.19,1889901,,,,,
2020-01-23,59.44,61.44,58.78,60.44,2520963,,,,,
2020-01-27,60.72,61.73,59.67,60.06,2323377,,,,,
2020-01-29,60.23,60.66,59.02,59.61,1137834,,,,,
2020-01-31,60.0,60.86,57.92,58.56,1577421,,,,,
2020-02-02,58.67,59.09,57.57,57.98,514926,,,,2.1737132537572155,
2020-02-04,58.22,59.44,58.22,58.81,713664,,,,2.097734913063365,
2020-02-06,58.86,65.56,58.86,63.73,11442285,,,,2.5762317362527067,
2020-02-10,64.17,64.72,62.78,63.11,3923397,,,,2.512787414870553,
2020-02-12,62.78,62.78,57.46,57.89,4010499,,,,2.8170199316589866,
2020-02-14,57.99,59.33,57.8,58.0,1054062,,2526064.65,,2.6953196877037695,
2020-02-16,58.11,58.53,55.83,56.22,951282,,2434962.6,,2.6957522510359353,
2020-02-18,56.11,57.66,54.73,57.11,2175822,,2500847.1,,2.7169567196492252,
2020-02-20,57.28,57.78,56.67,57.78,784926,,2500356.15,,2.5742178217416565,
2020-02-24,57.22,58.29,55.79,56.18,1520451,,2509117.2,,2.567738106848762,
2020-02-26,56.11,56.11,51.82,51.83,3759273,,2529287.55,,2.7217688972134866,
2020-02-28,51.11,51.67,50.01,50.22,2448558,,2386751.85,,2.6453776724961795,
2020-03-01,50.78,51.66,50.44,50.56,1412181,,2300827.05,,2.5446056097175913,
2020-03-03,50.99,51.24,47.37,48.7,3540339,,2439336.6,,2.654078648604707,
2020-03-05,48.45,49.33,45.57,46.21,3202326,,2545174.35,,2.7444150880927207,
2020-03-09,45.54,45.54,43.67,44.44,2447406,56.65366666666667,2573049.6,,2.72788708664462,
2020-03-11,44.33,45.24,39.56,40.0,3581487,55.579236559139794,2626075.8,-30.998792478868374,2.964351421156776,
2020-03-13,39.0,43.8,36.44,40.87,2387772,54.63025355532433,2629295.55,-28.436350901768527,3.3134161064127414,
2020-03-15,40.56,40.56,38.34,38.83,1738215,53.61088235820664,2659314.6,-29.681274900398414,3.2516966199425115,
2020-03-17,38.11,39.28,35.13,35.39,2917746,52.435341560902984,2726330.85,-35.19501922724776,3.321950570913966,
