datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,11.0,11.35,10.6,11.25,994679,,,,,
2020-01-03,11.5,11.85,10.9,11.85,565432,,,,,
2020-01-05,11.85,12.25,11.85,12.15,380931,,,,,
2020-01-07,12.4,12.4,11.4,11.4,500045,,,,,
2020-01-09,11.75,11.75,11.0,11.35,473748,,,,,
2020-01-13,11.05,11.25,10.25,10.25,3481769,,,,,
2020-01-15,9.75,10.0,9.3,9.3,1518924,,,,,
2020-01-17,8.85,8.9,8.85,8.85,438277,,,,,
2020-01-19,8.45,8.75,8.45,8.45,1251513,,,,,
2020-01-21,8.05,8.45,7.65,8.45,2538365,,,,,
2020-01-23,8.85,9.25,8.85,9.25,915559,,,,,
2020-01-27,9.7,10.15,9.25,10.15,501080,,,,,
2020-01-29,10.65,10.9,10.1,10.1,1051480,,,,,
2020-01-31,9.6,10.1,9.15,9.15,493437,,,,,
2020-02-02,8.7,8.7,8.7,8.7,91861,,,,0.7556405723378463,
2020-02-04,8.3,9.55,8.3,9.2,563436,,,,0.8082676026226295,
2020-02-06,9.65,9.95,9.1,9.2,548028,,,,0.8125598815869599,
2020-02-10,9.7,9.7,8.6,8.6,545501,,,,0.8412230906216595,
2020-02-12,8.9,9.05,8.5,9.05,479060,,,,0.8129816082858115,
2020-02-14,9.35,9.5,8.8,8.95,419176,,887615.05,,0.802298099077751,
2020-02-16,8.85,8.85,8.55,8.7,316223,,853692.25,,0.7651169463583012,
2020-02-18,8.65,8.75,8.35,8.4,1139173,,882379.3,,0.7320659955445856,
2020-02-20,8.45,8.85,8.1,8.4,299658,,878315.65,,0.7336589942854566,
2020-02-24,8.2,8.5,7.65,7.65,910058,,898816.3,,0.7438163463835407,
2020-02-26,7.3,7.7,7.0,7.0,1576965,,953977.15,,0.7400506765949114,
2020-02-28,6.7,7.05,6.65,7.0,488171,,804297.25,,0.7112440857584963,
2020-03-01,7.35,7.35,6.7,6.9,533752,,755038.65,,0.7061239537071935,
2020-03-03,6.9,7.0,6.2,6.2,912338,,778741.7,,0.7138777937277412,
2020-03-05,5.95,6.4,5.7,5.7,1032387,,767785.4,,0.7127441955096298,
2020-03-09,5.5,5.7,5.45,5.45,666687,8.901666666666666,674201.5,,0.6753289694377935,
2020-03-11,5.45,5.55,5.0,5.0,3621272,8.649946236559138,809487.15,-55.55555555555556,0.6652901151584977,
2020-03-13,4.9,5.25,4.75,5.25,1474871,8.430594866458549,858176.7,-55.69620253164557,0.6521641927857617,
2020-03-15,5.25,5.4,5.15,5.4,266241,8.23507261700961,818914.75,-55.55555555555556,0.6204806886399143,
